"ID","ADDITIONAL_DESCRIPTION"
6254149,"<h5>E-Z Coil Installation Tool - #2; M2; M2.5</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254150,"<h5>E-Z Coil Installation Tool - #3</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254151,"<h5>E-Z Coil Installation Tool - #4; M3</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254152,"<h5>E-Z Coil Installation Tool - #6; M3.5</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254153,"<h5>E-Z Coil Installation Tool - #8; M4</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254154,"<h5>E-Z Coil Installation Tool - 10-24</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254155,"<h5>E-Z Coil Installation Tool - 10-32; 12-24; M5</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254156,"<h5>E-Z Coil Installation Tool - 1/4; M6</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254181,"<h5>E-Z Coil Installation Tool - M36-4.0</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254182,"<h5>E-Z Coil Installation Tool - M39-4.0</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254359,"<h5>E-Z Coil Tang Break Off Tool (Internal Threads: #2)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>"
6254360,"<h5>E-Z Coil Tang Break Off Tool (Internal Threads: #4)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>"
6254361,"<h5>E-Z Coil Tang Break Off Tool (Internal Threads: #6)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>"
6254362,"<h5>E-Z Coil Tang Break Off Tool (Internal Threads: #8 and 10-24)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>"
6254363,"<h5>E-Z Coil Tang Break Off Tool (Internal Threads: 10-32)</h5><p>Our E-Z Coil Tang Break Off Tool is used to remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</p><h5>Features</h5><ul><li>Remove the driving tangs of EZ-Coil inserts to eliminate their interference with the end of the assembled bolt</li></ul><h5>Applications:</h5><ul><li>Removing the driving tangs of EZ-Coil inserts</li></ul>"
6254157,"<h5>E-Z Coil Installation Tool - 5/16-18; M7</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254158,"<h5>E-Z Coil Installation Tool - 5/16-24; M8</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254159,"<h5>E-Z Coil Installation Tool - 3/8-16</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254160,"<h5>E-Z Coil Installation Tool - 3/8-24; M10</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254161,"<h5>E-Z Coil Installation Tool - 7/16; M11</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254162,"<h5>E-Z Coil Installation Tool - 1/2; M12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254163,"<h5>E-Z Coil Installation Tool - 9/16; M14</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254164,"<h5>E-Z Coil Installation Tool - M14-1.25</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254165,"<h5>E-Z Coil Installation Tool - 5/8; M16</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254166,"<h5>E-Z Coil Installation Tool - 3/4; M18</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254167,"<h5>E-Z Coil Installation Tool - 3/4-16; M20</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254168,"<h5>E-Z Coil Installation Tool - 7/8; M22</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254169,"<h5>E-Z Coil Installation Tool - 1""; M24</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254170,"<h5>E-Z Coil Installation Tool - 1-1/8-7</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254171,"<h5>E-Z Coil Installation Tool - 1-1/4-7</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254172,"<h5>E-Z Coil Installation Tool - 1-3/8-6</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254173,"<h5>E-Z Coil Installation Tool - 1-1/2-6</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254174,"<h5>E-Z Coil Installation Tool - 1-1/8-12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254175,"<h5>E-Z Coil Installation Tool - 1-1/4-12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254176,"<h5>E-Z Coil Installation Tool - 1-3/8-12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254177,"<h5>E-Z Coil Installation Tool - 1-1/2-12</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254178,"<h5>E-Z Coil Installation Tool - M27-3.0</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254179,"<h5>E-Z Coil Installation Tool - M30-3.5</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6254180,"<h5>E-Z Coil Installation Tool - M33-3.5</h5><p>Our mandrel-style installation tool provides an inexpensive way to quickly install E-Z Coil inserts.</p><h5>Features</h5><ul><li>E-Z Coil mandrel-style installation tools provide an inexpensive way to quickly installing E-Z Coil inserts</li></ul><h5>Applications:</h5><ul><li>Quickly installing E-Z Coil inserts</li></ul>"
6253795,"<h5>Drive Tool for E-Z LOK &amp; E-Z Knife Threaded Inserts (Internal Threads: 4-40)</h5><p>E-Z LOK Drive Tools speed the installation of solid threaded inserts for metal, Knife Thread Inserts for hard wood and Hex Drive Thread Inserts for soft wood. A standard hex shaft allows for the use of power drills or drill presses in higher volume installations. Both styles quickly drive in the inserts without time consuming thread engagement.</p><h5>Features</h5><ul><li>Quickly install E-Z LOK slotted inserts, without engaging the internal thread</li><li>Use with Solid Threaded Inserts, Knife Thread Inserts, and Hex Drive Inserts</li><li>Fits standard power drills and drill presses</li><li>Quickly install inserts without engaging internal threads</li></ul><h5>Applications:</h5><ul><li>Quickly installing Solid Threaded Inserts, Knife Thread Inserts, and Hex Drive Inserts</li></ul>"
6253796,"<h5>Drive Tool for E-Z LOK &amp; E-Z Knife Threaded Inserts (Internal Threads: 6-32)</h5><p>E-Z LOK Drive Tools speed the installation of solid threaded inserts for metal, Knife Thread Inserts for hard wood and Hex Drive Thread Inserts for soft wood. A standard hex shaft allows for the use of power drills or drill presses in higher volume installations. Both styles quickly drive in the inserts without time consuming thread engagement.</p><h5>Features</h5><ul><li>Quickly install E-Z LOK slotted inserts, without engaging the internal thread</li><li>Use with Solid Threaded Inserts, Knife Thread Inserts, and Hex Drive Inserts</li><li>Fits standard power drills and drill presses</li><li>Quickly install inserts without engaging internal threads</li></ul><h5>Applications:</h5><ul><li>Quickly installing Solid Threaded Inserts, Knife Thread Inserts, and Hex Drive Inserts</li></ul>"
