id,catalog_number,description
6157825,316-004,E-Z LOK 316-004 Threaded Insert for Metal - Standard Wall - 316 Stainless - 4-40 x 10-32
6253618,316-006,E-Z LOK 316-006 Threaded Insert for Metal - Standard Wall - 316 Stainless - 6-32 x 1/4-20
6253619,316-008,E-Z LOK 316-008 Threaded Insert for Metal - Standard Wall - 316 Stainless - 8/32 x 5/16-18
6253621,416-3,E-Z LOK 416-3 Threaded Insert for Metal - Standard Wall - 316 Stainless - M3-0.5 x M6-1.0
6253622,316-3,E-Z LOK 316-3 Threaded Insert for Metal - Standard Wall - 316 Stainless - 10-24 x 3/8-16
6253623,316-332,E-Z LOK 316-332 Threaded Insert for Metal - Standard Wall - 316 Stainless - 10-32 x 3/8-16
6253624,316-4,E-Z LOK 316-4 Threaded Insert for Metal - Standard Wall - 316 Stainless - 1/4-20 x 7/16-14
6253625,416-4,E-Z LOK 416-4 Threaded Insert for Metal - Standard Wall - 316 Stainless - M4-0.7 x M8-1.25
6253626,416-5,E-Z LOK 416-5 Threaded Insert for Metal - Standard Wall - 316 Stainless - M5-0.8 x M8-1.25
6253627,316-5,E-Z LOK 316-5 Threaded Insert for Metal - Standard Wall - 316 Stainless - 5/16-18 x 1/2-13
6253628,416-6,E-Z LOK 416-6 Threaded Insert for Metal - Standard Wall - 316 Stainless - M6-1.0 x M10-1.50
6253629,316-6,E-Z LOK 316-6 Threaded Insert for Metal - Standard Wall - 316 Stainless - 3/8-16 x 9/16-12
6253630,416-8,E-Z LOK 416-8 Threaded Insert for Metal - Standard Wall - 316 Stainless - M8-1.25 x M12-1.75
6253631,416-10,E-Z LOK 416-10 Threaded Insert for Metal - Standard Wall - 316 Stainless - M10-1.5 x M16-2.0
6253632,316-8,E-Z LOK 316-8 Threaded Insert for Metal - Standard Wall - 316 Stainless - 1/2-13 x 3/4-10
6253633,416-12,E-Z LOK 416-12 Threaded Insert for Metal - Standard Wall - 316 Stainless - M12-1.75 x M16-2.0
6253634,316-12,E-Z LOK 316-12 Threaded Insert for Metal - Standard Wall - 316 Stainless - 3/4-10 x 1-8
6253635,41715,E-Z LOK 41715 Threaded Insert for Metal - M27-3.0 x 1.5D
6253636,21815,E-Z LOK 21815 Threaded Insert for Metal - 1-1/8-7 x 1.5D C
6253637,31815,E-Z LOK 31815 Threaded Insert for Metal - 1-1/8-12 x 1.5D
6253638,21915,E-Z LOK 21915 Threaded Insert for Metal - 1-1/4-7 x 1.5D
6253639,31915,E-Z LOK 31915 Threaded Insert for Metal - 1-1/4-12 x 1.5D
6253640,41915,E-Z LOK 41915 Threaded Insert for Metal - M33-3.5 x 1.5D
6253641,42015,E-Z LOK 42015 Threaded Insert for Metal - M36-4.0 x 1.5D
6253642,22015,E-Z LOK 22015 Threaded Insert for Metal - 1-3/8-6 x 1.5D
6253643,32015,E-Z LOK 32015 Threaded Insert for Metal - 1-3/8-12 x 1.5D
6253644,42115,E-Z LOK 42115 Threaded Insert for Metal - M39-4.0 x 1.5D
6253645,41815,E-Z LOK 41815 Threaded Insert for Metal - M30-3.5 x 1.5D
6253646,22115,E-Z LOK 22115 Threaded Insert for Metal - 1-1/2-6 x 1.5D
6253647,32115,E-Z LOK 32115 Threaded Insert for Metal - 1-1/2-12 x 1.5D
6253648,8500,E-Z LOK 8500 Drive Tool for Threaded Inserts (Internal Threads: 8-32)
6253649,8600,"E-Z LOK 8600 Drive Tool for Threaded Inserts (Internal Threads: 10-24, 10-32)"
6253650,9000,"E-Z LOK 9000 Drive Tool for Threaded Inserts (Internal Threads: 1/4-20, M6)"
6253651,9100,"E-Z LOK 9100 Drive Tool for Threaded Inserts (Internal Threads: 5/16-18, M8)"
6253652,9200,E-Z LOK 9200 Drive Tool for Threaded Inserts (Internal Threads: 3/8-16)
6253653,20060,E-Z LOK 20060 Drill - HSS - 3/32
6253654,20070,E-Z LOK 20070 Tap - HSS - STI - Bottoming - 2-56
6253655,20160,E-Z LOK 20160 Drill - HSS - #36
6253656,20170,E-Z LOK 20170 Tap - HSS - STI - Bottoming - 3-48
6253657,20270,E-Z LOK 20270 Tap - HSS - STI - Bottoming - 4-40
6253658,20360,E-Z LOK 20360 Drill - HSS - #29
6253659,20370,E-Z LOK 20370 Tap - HSS - STI - Bottoming - 5-40 - Imported
6253660,20375,E-Z LOK 20375 Tap - HSS - STI - Bottoming - 5-40 - Made in USA
6253661,20470,E-Z LOK 20470 Tap - HSS - STI - Bottoming - 6-32
6253662,20570,E-Z LOK 20570 Tap - HSS - STI - Bottoming - 8-32
6253663,20670,E-Z LOK 20670 Tap - HSS - STI - Bottoming - 10-24
6253664,20760,E-Z LOK 20760 Drill - HSS - 15/64
6253665,20770,E-Z LOK 20770 Tap - HSS - STI - Bottoming - 12-24
6253666,20870,E-Z LOK 20870 Tap - HSS - STI - Bottoming - 1/4-20
6253667,20970,E-Z LOK 20970 Tap - HSS - STI - Bottoming - 5/16-18
6253668,21070,E-Z LOK 21070 Tap - HSS - STI - Bottoming - 3/8-16
6253669,21170,E-Z LOK 21170 Tap - HSS - STI - Bottoming - 7/16-14
6253670,21270,E-Z LOK 21270 Tap - HSS - STI - Bottoming - 1/2-13
6253671,21370,E-Z LOK 21370 Tap - HSS - STI - Bottoming - 9/16-12
6253672,21460,E-Z LOK 21460 Drill - HSS - 21/32
6253673,21470,E-Z LOK 21470 Tap - HSS - STI - Bottoming - 5/8-11
6253674,21560,E-Z LOK 21560 Drill - HSS - 25/32
6253675,21570,E-Z LOK 21570 Tap - HSS - STI - Bottoming - 3/4-10
6253676,21660,E-Z LOK 21660 Drill - HSS - 29/32
6253677,21670,E-Z LOK 21670 Tap - HSS - STI - Bottoming - 7/8-9
6253678,21760,E-Z LOK 21760 Drill - HSS - 1-1/32
6253679,21770,E-Z LOK 21770 Tap - HSS - STI - Bottoming - 1-8
6253680,21870,E-Z LOK 21870 Tap - HSS - STI - Bottoming - 1-1/8-7
6253681,21970,E-Z LOK 21970 Tap - HSS - STI - Bottoming - 1-1/4-7
6253682,22070,E-Z LOK 22070 Tap - HSS - STI - Bottoming - 1-3/8-6
6253683,22170,E-Z LOK 22170 Tap - HSS - STI - Bottoming - 1-1/2-6
6253684,30270,E-Z LOK 30270 Tap - HSS - STI - Bottoming - 4-48
6253685,30475,E-Z LOK 30475 Tap - HSS - STI - Bottoming - 6-40
6253686,30570,E-Z LOK 30570 Tap - HSS - STI - Bottoming - 8-36
6253687,30670,E-Z LOK 30670 Tap - HSS - STI - Bottoming - 10-32
6253688,30870,E-Z LOK 30870 Tap - HSS - STI - Bottoming - 1/4-28
6253689,30970,E-Z LOK 30970 Tap - HSS - STI - Bottoming - 5/16-24
6253690,31070,E-Z LOK 31070 Tap - HSS - STI - Bottoming - 3/8-24
6253691,31170,E-Z LOK 31170 Tap - HSS - STI - Bottoming - 7/16-20
6253692,31270,E-Z LOK 31270 Tap - HSS - STI - Bottoming - 1/2-20
6253693,31370,E-Z LOK 31370 Tap - HSS - STI - Bottoming - 9/16-18
6253694,31460,E-Z LOK 31460 Drill - HSS - 41/64
6253695,31470,E-Z LOK 31470 Tap - HSS - STI - Bottoming - 5/8-18
6253696,31560,E-Z LOK 31560 Drill - HSS - 49/64
6253697,31570,E-Z LOK 31570 Tap - HSS - STI - Bottoming - 3/4-16
6253698,31660,E-Z LOK 31660 Drill - HSS - 57/64
6253699,31670,E-Z LOK 31670 Tap - HSS - STI - Bottoming - 7/8-14
6253700,31760,E-Z LOK 31760 Drill - HSS - 1-1/64
6253701,31770,E-Z LOK 31770 Tap - HSS - STI - Bottoming - 1-14
6253702,31870,E-Z LOK 31870 STI Tap - Bottoming - 1-1/8-12
6253703,31970,E-Z LOK 31970 Tap - HSS - STI - Bottoming - 1-1/4-12
6253704,32070,E-Z LOK 32070 Tap - HSS - STI - Bottoming - 1-3/8-12
6253705,32170,E-Z LOK 32170 STI Tap - Bottoming - 1-1/2-12
6253706,32270,E-Z LOK 32270 Tap - HSS - STI - Bottoming - 1-12
6253707,40060,E-Z LOK 40060 Drill - HSS - 2.10
6253708,40070,E-Z LOK 40070 Tap - HSS - STI - Bottoming - M2-0.4
6253709,40160,E-Z LOK 40160 Drill - HSS - 2.60
6253710,40170,E-Z LOK 40170 Tap - HSS - STI - Bottoming - M2.5-0.45
6253711,40260,E-Z LOK 40260 Drill - HSS - 3.10
6253712,40270,E-Z LOK 40270 Tap - HSS - STI - Bottoming - M3-0.5
6253713,40365,E-Z LOK 40365 Drill - HSS - #27
6253714,40370,E-Z LOK 40370 Tap - HSS - STI - Bottoming - M3.5-0.6
6253715,40460,E-Z LOK 40460 Drill - HSS - 4.10
6253716,40470,E-Z LOK 40470 Tap - HSS - STI - Bottoming - M4-0.7
6253717,40560,E-Z LOK 40560 Drill - HSS - 5.20
6253718,40570,E-Z LOK 40570 Tap - HSS - STI - Bottoming - M5-0.8
6253719,40660,E-Z LOK 40660 Drill - HSS - 6.20
6253720,40670,E-Z LOK 40670 Tap - HSS - STI - Bottoming - M6-1.0
6253721,40765,E-Z LOK 40765 Drill - HSS - 9/32
6253722,40770,E-Z LOK 40770 Tap - HSS - STI - Bottoming - M7-1.0
6253723,40870,E-Z LOK 40870 Tap - HSS - STI - Bottoming - M8-1.25
6253724,40970,E-Z LOK 40970 Tap - HSS - STI - Bottoming - M10-1.5
6253725,41070,E-Z LOK 41070 Tap - HSS - STI - Bottoming - M12-1.75
6253726,41160,E-Z LOK 41160 Drill - 14.50
6253727,41170,E-Z LOK 41170 STI Tap - Bottoming - M14-2.0
6253728,41175,E-Z LOK 41175 Tap - HSS - STI - Bottoming - M14-2.0
6253729,41260,E-Z LOK 41260 Drill - HSS - 16.50
6253730,41270,E-Z LOK 41270 Tap - HSS - STI - Bottoming - M16-2.0
6253731,41375,E-Z LOK 41375 Tap - HSS - STI - Bottoming - M18-2.5
6253732,41470,E-Z LOK 41470 Tap - HSS - STI - Bottoming - M20-2.5
6253733,41570,E-Z LOK 41570 Tap - HSS - STI - Bottoming - M22-2.5
6253734,41660,E-Z LOK 41660 Drill - 24.75
6253735,41665,E-Z LOK 41665 Drill - HSS - 31/32
6253736,41670,E-Z LOK 41670 STI Tap - Bottoming - M24-3.0
6253737,41675,E-Z LOK 41675 Tap - HSS - STI - Bottoming - M24 -3.0
6253738,41760,E-Z LOK 41760 Drill - HSS - 27.50
6253739,41770,E-Z LOK 41770 Tap - HSS - STI - Bottoming - M27-3.0
6253740,41860,E-Z LOK 41860 Drill - HSS - 30.50
6253741,41875,E-Z LOK 41875 Tap - HSS - STI - Bottoming - M30 -3.5
6253742,41960,E-Z LOK 41960 Drill - HSS - 33.50
6253743,41970,E-Z LOK 41970 Tap - HSS - STI - Bottoming - M33-3.5
6253744,42060,E-Z LOK 42060 Drill - HSS - 36.50
6253745,42070,E-Z LOK 42070 Tap - HSS - STI - Bottoming - M36-4.0
6253746,42160,E-Z LOK 42160 Drill - HSS - 39.50
6253747,42170,E-Z LOK 42170 Tap - HSS - STI - Bottoming - M39-4.0
6253748,42260,E-Z LOK 42260 Drill - HSS - 11.30
6253749,42275,E-Z LOK 42275 Tap - HSS - STI - Bottoming - M11-1.5
6253750,50870,E-Z LOK 50870 Tap - HSS - STI - Bottoming - M8-1.0
6253751,50970,E-Z LOK 50970 Tap - HSS - STI - Bottoming - M10-1.25
6253752,50975,E-Z LOK 50975 Tap - HSS - STI - Bottoming - M10-1.0
6253753,51070,E-Z LOK 51070 Tap - HSS - STI - Bottoming - M12-1.5
6253754,51075,E-Z LOK 51075 Tap - HSS - STI - Bottoming - M12-1.25
6253755,51170,E-Z LOK 51170 Tap - HSS - STI - Bottoming - M14-1.5
6253756,51175,E-Z LOK 51175 Tap - HSS - STI - Bottoming - M14-1.25
6253757,51260,E-Z LOK 51260 Drill - HSS - 16.25
6253758,51270,E-Z LOK 51270 Tap - HSS - STI - Bottoming - M16-1.5
6253759,51365,E-Z LOK 51365 Drill - HSS - 18.25
6253760,51370,E-Z LOK 51370 Tap - HSS - STI - Bottoming - M18-2.0
6253761,51375,E-Z LOK 51375 Tap - HSS - STI - Bottoming - M18-1.5
6253762,51470,E-Z LOK 51470 Tap - HSS - STI - Bottoming - M20-2.0
6253763,51570,E-Z LOK 51570 Tap - HSS - STI - Bottoming - M22-2.0
6253764,51660,E-Z LOK 51660 Drill - HSS - 24.25
6253765,51670,E-Z LOK 51670 STI Tap - Bottoming - M24-2.0
6253766,51675,E-Z LOK 51675 Tap - HSS - STI - Bottoming - M24-2.0
6253767,202329,E-Z LOK 202329 Thread Repair Station
6253768,360-0716BP,E-Z LOK 360-0716BP Drill - Brad Point - HSS - 7/16
6253769,360-0932BP,E-Z LOK 360-0932BP Drill - Brad Point - HSS - 9/32
6253770,360-10,E-Z LOK 360-10 Drill - HSS - Stub - 29/64
6253771,360-12,E-Z LOK 360-12 Drill - HSS - Stub - 33/64
6253772,360-1332,E-Z LOK 360-1332 Drill - HSS - 13/32
6253773,360-14,E-Z LOK 360-14 Drill - HSS - Stub - 37/64
6253774,360-1532BP,E-Z LOK 360-1532BP Drill - Brad Point - HSS - 15/32
6253775,360-1564BP,E-Z LOK 360-1564BP Drill - Brad Point - HSS - 15/64
6253776,360-1732,E-Z LOK 360-1732 Drill - HSS - 17/32
6253777,360-1764BP,E-Z LOK 360-1764BP Drill - Brad Point - HSS - 17/64
6253778,360-2364BP,E-Z LOK 360-2364BP Drill - Brad Point - HSS - 23/64
6253779,360-2564BP,E-Z LOK 360-2564BP Drill - Brad Point - HSS - 25/64
6253780,360-2764,E-Z LOK 360-2764 Drill - HSS - 27/64
6253781,360-3164,E-Z LOK 360-3164 Drill - HSS - 31/64
