id,additional_description
102663,"<h5>Note</h5><p>Wingnut tightened to 25 in. lb. of torque</p><h5>Safety Notes</h5> <ul><li>Service pressure ratings are based on the following parameters: matching elastomer gaskets and weld ferrules properly aligned and assembled with the clamps tightened to required torques. Tests are done hydostatically with no water hammer or shock loads.</li><li>All ratings shown are dependent upon related components within the system and proper installation.</li><li> Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</li></ul>"
102932,"<h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
103265,"<h5>Note</h5><p>Specify if you are using a piping system or a tubing system when ordering.</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
103268,"<h5>Note</h5><p>Specify if you are using a piping system or a tubing system when ordering.</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
103270,"<h5>Note</h5><p>Specify if you are using a piping system or a tubing system when ordering.</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
115105,"<h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>Meets 21CFR 177.2600</p>"
115113,"<h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5> <ul><li>Meets 21CFR 177.1550</li><li>Passed U.S.P. Class VI Cytotoxicity testing</li></ul>"
115146,"<h5>Construction</h5><p>Peroxide cured</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5> <ul><li>Gasket material approved by (3A), USDA and complies with FDA's 21CFR177.2600 and 1550.</li><li>PSI Service Ratings for the sanitary clamps DO NOT APPLY to connections (1"" and above) using any PTFE gaskets, due to the potential for cold flow under normal operating conditions.</li><li>PTFE gaskets, when used with any clamp, are likely to leak at pressures far below the published service ratings. This restriction does not apply to the fractionally sized ½"" and ¾"" connections, due to their recessed, fully contained design.</li><li>Passed U.S.P. Class VI Cytotoxicity testing</li></ul>"
115147,"<h5>Construction</h5><p>Peroxide cured</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5> <ul><li>Gasket material approved by (3A), USDA and complies with FDA's 21CFR177.2600 and 1550.</li><li>PSI Service Ratings for the sanitary clamps DO NOT APPLY to connections (1"" and above) using any PTFE gaskets, due to the potential for cold flow under normal operating conditions.</li><li>PTFE gaskets, when used with any clamp, are likely to leak at pressures far below the published service ratings. This restriction does not apply to the fractionally sized ½"" and ¾"" connections, due to their recessed, fully contained design.</li><li>Passed U.S.P. Class VI Cytotoxicity testing</li></ul>"
115150,"<h5>Construction</h5><p>Peroxide cured</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5> <ul><li>Gasket material approved by (3A), USDA and complies with FDA's 21CFR177.2600 and 1550.</li><li>PSI Service Ratings for the sanitary clamps DO NOT APPLY to connections (1"" and above) using any PTFE gaskets, due to the potential for cold flow under normal operating conditions.</li><li>PTFE gaskets, when used with any clamp, are likely to leak at pressures far below the published service ratings. This restriction does not apply to the fractionally sized ½"" and ¾"" connections, due to their recessed, fully contained design.</li><li>Passed U.S.P. Class VI Cytotoxicity testing</li></ul>"
115154,"<h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5> <ul><li>Meets 21CFR 177.1550</li><li>Passed U.S.P. Class VI Cytotoxicity testing</li></ul>"
115155,"<h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5> <ul><li>Meets 21CFR 177.1550</li><li>Passed U.S.P. Class VI Cytotoxicity testing</li></ul>"
106879,"<h5>Available Options</h5> <ul><li>#3, #5 and electropolish finishes are available</li><li>Other alloys are available</li></ul><h5>Construction</h5><p>3A sanitary finish ID and OD</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
106891,"<h5>Available Options</h5> <ul><li>#3, #5 and electropolish finishes are available</li><li>Other alloys are available</li></ul><h5>Construction</h5><p>3A sanitary finish ID and OD</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
106904,"<h5>Available Options</h5> <ul><li>#3, #5 and electropolish finishes are available</li><li>Other alloys are available</li></ul><h5>Construction</h5><p>3A sanitary finish ID and OD</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
106911,"<h5>Available Options</h5> <p>Other alloys are available</p> <h5>Safety Notes</h5> <p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p>"
106947,"<h5>Available Options</h5> <ul><li>#3, #5 and electropolish finishes are available</li><li>Other alloys are available</li></ul><h5>Construction</h5><p>3A sanitary finish ID and OD</p><h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
106651,"<h5>Installation</h5> <ul><li>Straight sections need support every 10 ft.</li><li>Each side of every valve (as close as possible to the connection) needs support</li><li>Support each change of directions</li></ul><h5>Safety Notes</h5> <ul><li>Proper Installation: straight sections need support every 10 ft., each side of every valve (as close as possible to the connection) needs support, support each change of directions</li><li> Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</li></ul>"
111597,"<h5>Safety Notes</h5><p>Warning: This product contains lead, a chemical known to the State of California to cause cancer and birth defects or other reproductive harm.</p><h5>Features</h5><p>3-A Sanitary Standards for Sanitary Fittings, Number 63-03 (Authorization number 621).</p>"
