"ID","LIST_PRICE"
5946374,"$1,543.00"
5946373,"$1,543.00"
5946371,"$1,543.00"
5946370,"$1,543.00"
5946369,"$1,543.00"
5946368,"$1,543.00"
5946367,"$1,543.00"
5946362,"$1,656.00"
5946344,"$2,304.00"
5946342,"$2,304.00"
5946339,"$1,353.00"
5946338,"$1,353.00"
5946337,"$1,353.00"
5946336,"$1,353.00"
5946335,"$1,958.00"
5946334,"$1,958.00"
5946333,"$1,920.00"
5946330,"$3,001.00"
5946329,"$2,398.00"
5946327,"$2,845.00"
5946324,"$1,439.00"
5946321,"$1,188.00"
5946320,"$1,215.00"
5946317,"$1,215.00"
5946314,"$1,215.00"
5946312,"$1,188.00"
5946310,"$1,790.00"
5946309,"$1,861.00"
5946306,"$1,752.00"
5946305,"$1,752.00"
5946299,"$1,236.00"
5946298,"$1,265.00"
5946297,"$1,236.00"
5946295,"$1,154.00"
5946294,"$1,154.00"
5946285,"$276.00"
5946283,"$1,525.00"
5946282,"$973.00"
5946281,"$763.00"
5946280,"$650.00"
5946279,"$809.00"
5946278,"$727.00"
5946277,"$621.00"
5946276,"$462.00"
5946275,"$346.00"
5946274,"$1,663.00"
5946273,"$1,398.00"
5946272,"$2,285.00"
5946271,"$1,862.00"
5946270,"$2,285.00"
5946269,"$1,862.00"
5946268,"$2,285.00"
5946267,"$1,862.00"
5946266,"$2,113.00"
5946265,"$1,587.00"
5946264,"$3,767.00"
5946263,"$2,129.00"
5946262,"$1,956.00"
5946261,"$2,886.00"
5946260,"$2,260.00"
5946259,"$2,154.00"
5946258,"$3,002.00"
5946257,"$2,260.00"
5946256,"$2,154.00"
5946254,"$2,260.00"
5946253,"$2,154.00"
5946252,"$2,187.00"
5946251,"$1,812.00"
5946122,"$986.00"
5946121,"$781.00"
5946120,"$633.00"
5946119,"$479.00"
5946050,"$113.00"
5946021,"$626.00"
5946020,"$694.00"
5946019,"$575.00"
5946018,"$473.00"
5946017,"$448.00"
5946009,"$460.00"
5946008,"$418.00"
5946007,"$418.00"
5946006,"$303.00"
5946005,"$303.00"
5946004,"$270.00"
5946003,"$270.00"
5946002,"$296.00"
5946001,"$296.00"
5946000,"$276.00"
5945999,"$276.00"
5945998,"$260.00"
5945997,"$260.00"
5945996,"$322.00"
5945995,"$322.00"
5945994,"$314.00"
5945993,"$314.00"
5945992,"$275.00"
5945991,"$275.00"
5945990,"$212.00"
5945989,"$212.00"
5945988,"$212.00"
5945986,"$194.00"
5945985,"$187.00"
5945984,"$218.00"
5945983,"$212.00"
5945982,"$203.00"
5945981,"$200.00"
5945980,"$192.00"
5945979,"$218.00"
5945978,"$214.00"
5945977,"$210.00"
5945976,"$187.00"
5945975,"$171.00"
5945974,"$141.00"
5945973,"$210.00"
5945972,"$200.00"
5945971,"$192.00"
5945970,"$161.00"
5945969,"$141.00"
5945968,"$166.00"
5945967,"$166.00"
5945966,"$158.00"
5945964,"$134.00"
5945963,"$309.00"
5945962,"$309.00"
5945960,"$296.00"
5945959,"$229.00"
5945958,"$229.00"
5945957,"$200.00"
5945956,"$200.00"
5945955,"$200.00"
5945954,"$200.00"
5945953,"$184.00"
5945952,"$184.00"
5945951,"$252.00"
5945950,"$252.00"
5945949,"$200.00"
5945948,"$166.00"
5945947,"$152.00"
5945946,"$141.00"
5945945,"$141.00"
5945944,"$134.00"
5945943,"$597.00"
5945942,"$597.00"
5945941,"$557.00"
5945940,"$557.00"
5945939,"$470.00"
5945938,"$470.00"
5945937,"$428.00"
5945936,"$428.00"
5945935,"$428.00"
5945934,"$428.00"
5945932,"$404.00"
5945931,"$369.00"
5945930,"$369.00"
5945929,"$385.00"
5945928,"$385.00"
5945927,"$369.00"
5945926,"$369.00"
5945925,"$346.00"
5945924,"$346.00"
5945923,"$307.00"
5945922,"$284.00"
5945918,"$943.00"
5945917,"$584.00"
5945916,"$474.00"
5945915,"$492.00"
5945914,"$2,706.00"
5945913,"$1,530.00"
5945912,"$1,269.00"
5945911,"$721.00"
5945910,"$704.00"
5945909,"$598.00"
5945908,"$474.00"
5945907,"$392.00"
5945906,"$361.00"
5945905,"$421.00"
5945904,"$344.00"
5945848,"$717.00"
5945847,"$641.00"
5945846,"$488.00"
5945845,"$437.00"
5945844,"$425.00"
5945843,"$441.00"
5945842,"$376.00"
5945841,"$368.00"
5945840,"$4,578.00"
5945839,"$3,547.00"
5945838,"$2,820.00"
5945837,"$2,505.00"
5945836,"$1,666.00"
5945835,"$1,595.00"
5945834,"$1,843.00"
5945833,"$1,517.00"
5945832,"$1,265.00"
5945832,"$1,265.00"
5945831,"$1,154.00"
5945830,"$1,028.00"
5945825,"$172.00"
5945813,"$2,037.00"
5945812,"$1,909.00"
5945811,"$2,478.00"
5945810,"$2,169.00"
5945803,"$2,410.00"
5945802,"$940.00"
5945800,"$903.00"
5945793,"$2,276.00"
5945792,"$2,276.00"
5945791,"$2,124.00"
5945790,"$2,748.00"
5945786,"$717.00"
5945785,"$855.00"
5945784,"$675.00"
5945783,"$675.00"
5945782,"$614.00"
5945781,"$614.00"
5945780,"$1,685.00"
5945779,"$1,585.00"
5945427,"$140.00"
5944734,"$106.00"
5944621,"$97.00"
5944066,"$296.00"
5943971,"$581.00"
5943969,"$156.00"
5943636,"$1,987.00"
5943574,"$53.00"
5943557,"$294.00"
5943541,"$209.00"
5943485,"$134.00"
5943479,"$115.00"
5943437,"$95.00"
5943372,"$45.00"
5943197,"$428.00"
5943165,"$145.00"
5943162,"$162.00"
5943159,"$41.00"
5943117,"$69.00"
5943110,"$122.00"
5943099,"$182.00"
5942278,"$720.00"
5942270,"$654.00"
5941777,"$16.00"
5941771,"$21.00"
5941770,"$11.00"
5941769,"$12.00"
5941689,"$779.00"
5941688,"$778.00"
5941687,"$577.00"
5941649,"$731.00"
5941642,"$558.00"
5941641,"$570.00"
5941610,"$549.00"
5941545,"$2,200.00"
5941543,"$2,101.00"
5941525,"$36.00"
5941442,"$696.00"
5941441,"$626.00"
5941435,"$391.00"
5941433,"$415.00"
5941430,"$19.00"
5941426,"$527.00"
5941423,"$416.00"
5941331,"$338.00"
5940986,"$150.00"
5940976,"$21.00"
5940846,"$26.00"
5940618,"$116.00"
5940539,"$52.00"
5940357,"$183.00"
5940107,"$660.00"
5940084,"$8.00"
5940052,"$8.00"
5939685,"$26.00"
5939548,"$122.00"
5939547,"$60.00"
5939520,"$151.00"
5939100,"$11.00"
5938848,"$8.00"
5938836,"$8.00"
5938728,"$19.00"
5938727,"$8.00"
5938652,"$8.00"
5937423,"$5,003.00"
5937421,"$2,357.00"
5937419,"$34,352.00"
5937418,"$32,030.00"
5937417,"$30,531.00"
5937416,"$29,242.00"
5937415,"$21,483.00"
5937414,"$20,382.00"
5937413,"$19,313.00"
5937412,"$18,768.00"
5937411,"$17,454.00"
5937410,"$16,140.00"
5937409,"$15,357.00"
5937408,"$15,174.00"
5937407,"$14,204.00"
5937406,"$13,098.00"
5937405,"$12,720.00"
5937404,"$11,876.00"
5937403,"$10,889.00"
5937402,"$10,044.00"
5937401,"$9,552.00"
5937400,"$9,289.00"
5937399,"$8,133.00"
5937398,"$7,646.00"
5937397,"$7,115.00"
5937396,"$6,874.00"
5937393,"$1,151.00"
5937392,"$553.00"
5937391,"$385.00"
5937390,"$389.00"
5937389,"$297.00"
5937388,"$265.00"
5937387,"$276.00"
5937385,"$204.00"
5937384,"$188.00"
5937382,"$342.00"
5937380,"$12,648.00"
5937380,"$12,648.00"
5937378,"$8,496.00"
5937378,"$8,496.00"
5937375,"$3,352.00"
5937374,"$4,169.00"
5937373,"$569.00"
5937372,"$3,493.00"
5937371,"$767.00"
5937370,"$1,920.00"
5937369,"$1,797.00"
5934999,"$34.00"
5905857,"$116.00"
5834121,"$234.00"
5834119,"$62.00"
5834118,"$992.00"
5834117,"$1,523.00"
5834116,"$269.00"
5834115,"$6,680.00"
5834114,"$7,199.00"
5834113,"$4,781.00"
5834112,"$1,278.00"
5834111,"$664.00"
5834110,"$492.00"
5834109,"$2,317.00"
5834108,"$2,326.00"
5834107,"$1,957.00"
5834106,"$2,393.00"
5834105,"$1,425.00"
5834104,"$867.00"
5834103,"$172.00"
5834102,"$224.00"
5834101,"$181.00"
5834100,"$40,005.00"
5834099,"$32,566.00"
5834098,"$27,892.00"
5834097,"$19,664.00"
5834096,"$17,033.00"
5834095,"$16,015.00"
5834094,"$25,267.00"
5834092,"$18,429.00"
5834091,"$26,138.00"
5834090,"$18,699.00"
5834089,"$14,026.00"
5834088,"$9,243.00"
5834087,"$9,243.00"
5834086,"$5,624.00"
5834085,"$5,624.00"
5834084,"$4,608.00"
5834083,"$4,608.00"
5834082,"$8,351.00"
5834081,"$6,828.00"
5834080,"$5,495.00"
5834079,"$8,444.00"
5834078,"$8,444.00"
5834077,"$13,170.00"
5834075,"$5,462.00"
5834074,"$3,857.00"
5834073,"$3,857.00"
5834072,"$2,925.00"
5834071,"$2,925.00"
5832099,"$90.00"
5831267,"$802.00"
5829729,"$4,263.00"
5828831,"$78.00"
5828830,"$7,004.00"
5828829,"$5,652.00"
5828190,"$7,414.00"
5825144,"$1,265.00"
5825144,"$1,265.00"
5818424,"$7,699.00"
5816852,"$53,603.00"
5815519,"$8,823.00"
5815517,"$76.00"
5815516,"$48,015.00"
5815515,"$28.00"
5789524,"$467.00"
5789523,"$1,046.00"
5789519,"$6,058.00"
5767513,"$12,857.00"
5767512,"$12,857.00"
5767511,"$12,857.00"
5767507,"$5,587.00"
5767506,"$5,359.00"
5767505,"$8,639.00"
5767504,"$6,310.00"
5767503,"$6,849.00"
5767501,"$6,648.00"
5767500,"$8,144.00"
5767499,"$7,232.00"
5767498,"$6,150.00"
5767497,"$5,815.00"
5767496,"$6,354.00"
5767494,"$6,153.00"
5767490,"$6,310.00"
5767489,"$6,849.00"
5767488,"$8,144.00"
5767487,"$5,815.00"
5767486,"$6,354.00"
5767484,"$6,153.00"
5767482,"$5,811.00"
5767477,"$6,769.00"
5767476,"$4,978.00"
5767475,"$5,517.00"
5767473,"$5,316.00"
5767455,"$6,541.00"
5767454,"$4,750.00"
5767451,"$5,088.00"
5767450,"$10,078.00"
5767448,"$6,720.00"
5767445,"$6,382.00"
5767443,"$7,171.00"
5767442,"$6,676.00"
5767441,"$6,448.00"
5767438,"$1,604.00"
5767433,"$722.00"
5767432,"$722.00"
5767431,"$757.00"
5767430,"$722.00"
5767429,"$722.00"
5767428,"$1,201.00"
5767426,"$1,662.00"
5767425,"$645.00"
5767424,"$520.00"
5767423,"$1,218.00"
5767422,"$1,218.00"
5767421,"$1,274.00"
5767420,"$1,274.00"
5767410,"$23,087.00"
5767408,"$21,297.00"
5767405,"$20,807.00"
5767403,"$19,715.00"
5767397,"$18,388.00"
5767386,"$14,422.00"
5767385,"$11,050.00"
5767384,"$12,632.00"
5767383,"$13,932.00"
5767382,"$10,560.00"
5767381,"$12,142.00"
5767380,"$13,653.00"
5767379,"$11,050.00"
5767378,"$12,632.00"
5767377,"$13,932.00"
5767376,"$10,560.00"
5767375,"$12,142.00"
5767373,"$9,723.00"
5767372,"$11,305.00"
5767364,"$12,167.00"
5767363,"$9,026.00"
5767362,"$10,377.00"
5767361,"$11,677.00"
5767360,"$8,536.00"
5767359,"$9,887.00"
5767358,"$11,398.00"
5767357,"$11,182.00"
5767356,"$8,041.00"
