"ID","NET_PRICE"
5946374,"$1,002.95"
5946373,"$1,002.95"
5946371,"$1,002.95"
5946370,"$1,002.95"
5946369,"$1,002.95"
5946368,"$1,002.95"
5946367,"$1,002.95"
5946362,"$1,076.40"
5946344,"$1,497.60"
5946342,"$1,497.60"
5946339,"$879.45"
5946338,"$879.45"
5946337,"$879.45"
5946336,"$879.45"
5946335,"$1,272.70"
5946334,"$1,272.70"
5946333,"$1,248.00"
5946330,"$1,950.65"
5946329,"$1,558.70"
5946327,"$1,849.25"
5946324,"$935.35"
5946321,"$772.20"
5946320,"$789.75"
5946317,"$789.75"
5946314,"$789.75"
5946312,"$772.20"
5946310,"$1,163.50"
5946309,"$1,209.65"
5946306,"$1,138.80"
5946305,"$1,138.80"
5946299,"$803.40"
5946298,"$822.25"
5946297,"$803.40"
5946295,"$750.10"
5946294,"$750.10"
5946285,"$179.40"
5946283,"$991.25"
5946282,"$632.45"
5946281,"$495.95"
5946280,"$422.50"
5946279,"$525.85"
5946278,"$472.55"
5946277,"$403.65"
5946276,"$300.30"
5946275,"$224.90"
5946274,"$1,080.95"
5946273,"$908.70"
5946272,"$1,485.25"
5946271,"$1,210.30"
5946270,"$1,485.25"
5946269,"$1,210.30"
5946268,"$1,485.25"
5946267,"$1,210.30"
5946266,"$1,373.45"
5946265,"$1,031.55"
5946264,"$2,448.55"
5946263,"$1,383.85"
5946262,"$1,271.40"
5946261,"$1,875.90"
5946260,"$1,469.00"
5946259,"$1,400.10"
5946258,"$1,951.30"
5946257,"$1,469.00"
5946256,"$1,400.10"
5946254,"$1,469.00"
5946253,"$1,400.10"
5946252,"$1,421.55"
5946251,"$1,177.80"
5946122,"$640.90"
5946121,"$507.65"
5946120,"$411.45"
5946119,"$311.35"
5946050,"$73.45"
5946021,"$406.90"
5946020,"$451.10"
5946019,"$373.75"
5946018,"$307.45"
5946017,"$291.20"
5946009,"$299.00"
5946008,"$271.70"
5946007,"$271.70"
5946006,"$196.95"
5946005,"$196.95"
5946004,"$175.50"
5946003,"$175.50"
5946002,"$192.40"
5946001,"$192.40"
5946000,"$179.40"
5945999,"$179.40"
5945998,"$169.00"
5945997,"$169.00"
5945996,"$209.30"
5945995,"$209.30"
5945994,"$204.10"
5945993,"$204.10"
5945992,"$178.75"
5945991,"$178.75"
5945990,"$137.80"
5945989,"$137.80"
5945988,"$137.80"
5945986,"$126.10"
5945985,"$121.55"
5945984,"$141.70"
5945983,"$137.80"
5945982,"$131.95"
5945981,"$130.00"
5945980,"$124.80"
5945979,"$141.70"
5945978,"$139.10"
5945977,"$136.50"
5945976,"$121.55"
5945975,"$111.15"
5945974,"$91.65"
5945973,"$136.50"
5945972,"$130.00"
5945971,"$124.80"
5945970,"$104.65"
5945969,"$91.65"
5945968,"$107.90"
5945967,"$107.90"
5945966,"$102.70"
5945964,"$87.10"
5945963,"$200.85"
5945962,"$200.85"
5945960,"$192.40"
5945959,"$148.85"
5945958,"$148.85"
5945957,"$130.00"
5945956,"$130.00"
5945955,"$130.00"
5945954,"$130.00"
5945953,"$119.60"
5945952,"$119.60"
5945951,"$163.80"
5945950,"$163.80"
5945949,"$130.00"
5945948,"$107.90"
5945947,"$98.80"
5945946,"$91.65"
5945945,"$91.65"
5945944,"$87.10"
5945943,"$388.05"
5945942,"$388.05"
5945941,"$362.05"
5945940,"$362.05"
5945939,"$305.50"
5945938,"$305.50"
5945937,"$278.20"
5945936,"$278.20"
5945935,"$278.20"
5945934,"$278.20"
5945932,"$262.60"
5945931,"$239.85"
5945930,"$239.85"
5945929,"$250.25"
5945928,"$250.25"
5945927,"$239.85"
5945926,"$239.85"
