file-name,catalog-number,list-price,net-price,is-product-not-found
3-1.xhtml,ZE2208MB,"$3,471.00","$2,256.15",
3-10.xhtml,RCL1002,"$1,791.00","$1,020.87",
3-100.xhtml,,,,/file/general/404top.png
3-1000.xhtml,CU724167,$8.00,$5.20,
3-1001.xhtml,CU293167,$8.00,$5.20,
3-1002.xhtml,CL402271,$26.00,$16.90,
3-1003.xhtml,CH203950SR,$122.00,$79.30,
3-1004.xhtml,CH202950SR,$60.00,$39.00,
3-1005.xhtml,CF698045,$151.00,$98.15,
3-1006.xhtml,,,,/file/general/404top.png
3-1007.xhtml,BSS5509D,$11.00,$7.15,
3-1008.xhtml,B1141517,$8.00,$5.20,
3-1009.xhtml,B1131517,$8.00,$5.20,
3-101.xhtml,,,,/file/general/404top.png
3-1010.xhtml,B1018803,$19.00,$12.35,
3-1011.xhtml,B1018566,$8.00,$5.20,
3-1012.xhtml,B1007503,$8.00,$5.20,
3-1013.xhtml,W2200SL,"$5,003.00","$3,251.95",
3-1014.xhtml,VM33LVAC,"$2,357.00","$1,532.05",
3-1015.xhtml,,,,/file/general/404top.png
3-1016.xhtml,HCRL30012,"$34,352.00","$22,328.80",
3-1017.xhtml,HCRL30010,"$32,030.00","$20,819.50",
3-1018.xhtml,HCRL3008,"$30,531.00","$19,845.15",
3-1019.xhtml,HCRL3006,"$29,242.00","$19,007.30",
3-102.xhtml,,,,/file/general/404top.png
3-1020.xhtml,HCRL25012,"$21,483.00","$13,963.95",
3-1021.xhtml,HCRL25010,"$20,382.00","$13,248.30",
3-1022.xhtml,HCRL2508,"$19,313.00","$12,553.45",
3-1023.xhtml,HCRL2506,"$18,768.00","$12,199.20",
3-1024.xhtml,HCRL20012,"$17,454.00","$11,345.10",
3-1025.xhtml,HCRL20010,"$16,140.00","$10,491.00",
3-1026.xhtml,HCRL2008,"$15,357.00","$9,982.05",
3-1027.xhtml,HCRL2006,"$15,174.00","$9,863.10",
3-1028.xhtml,HCRL15012,"$14,204.00","$9,232.60",
3-1029.xhtml,HCRL15010,"$13,098.00","$8,513.70",
3-103.xhtml,,,,/file/general/404top.png
3-1030.xhtml,HCRL1508,"$12,720.00","$8,268.00",
3-1031.xhtml,HCRL1506,"$11,876.00","$7,719.40",
3-1032.xhtml,HCRL10012,"$10,889.00","$7,077.85",
3-1033.xhtml,HCRL10010,"$10,044.00","$6,528.60",
3-1034.xhtml,HCRL1008,"$9,552.00","$6,208.80",
3-1035.xhtml,HCRL1006,"$9,289.00","$6,037.85",
3-1036.xhtml,HCRL5012,"$8,133.00","$5,286.45",
3-1037.xhtml,HCRL5010,"$7,646.00","$4,969.90",
3-1038.xhtml,HCRL508,"$7,115.00","$4,624.75",
3-1039.xhtml,HCRL506,"$6,874.00","$4,468.10",
3-104.xhtml,,,,/file/general/404top.png
3-1040.xhtml,GBJ050A,"$1,151.00",$748.15,
3-1041.xhtml,GBJ030A,$553.00,$359.45,
3-1042.xhtml,GBJ020SA,$385.00,$250.25,
3-1043.xhtml,GBJ020A,$389.00,$252.85,
3-1044.xhtml,GBJ015A,$297.00,$193.05,
3-1045.xhtml,GBJ010SA,$265.00,$172.25,
3-1046.xhtml,GBJ010A,$276.00,$179.40,
3-1047.xhtml,GBJ005A,$204.00,$132.60,
3-1048.xhtml,GBJ003A,$188.00,$122.20,
3-1049.xhtml,GBJ002A,,,
3-105.xhtml,,,,/file/general/404top.png
3-1050.xhtml,GBJ002LA,$342.00,$222.30,
3-1051.xhtml,BLS1506,"$12,648.00","$8,221.20",
3-1052.xhtml,BLS506,"$8,496.00","$5,522.40",
3-1053.xhtml,BHP682,"$3,352.00","$2,178.80",
3-1054.xhtml,BHP672,"$4,169.00","$2,709.85",
3-1055.xhtml,BHP292,$569.00,$369.85,
3-1056.xhtml,BHP272,"$3,493.00","$2,270.45",
3-1057.xhtml,BHP190,$767.00,$498.55,
3-1058.xhtml,BHP172,"$1,920.00","$1,248.00",
3-1059.xhtml,BHP112,"$1,797.00","$1,168.05",
3-106.xhtml,,,,/file/general/404top.png
3-1060.xhtml,,,,/file/general/404top.png
3-1061.xhtml,91065,$171.00,$85.50,
3-1062.xhtml,54439,$34.00,$17.00,
3-1063.xhtml,SLB70,$219.00,$164.25,
3-1064.xhtml,SLB60,$205.00,$153.75,
3-1065.xhtml,SLB56,$293.00,$219.75,
3-1066.xhtml,SLB42,$172.00,$129.00,
3-1067.xhtml,SLB36,$111.00,$83.25,
3-1068.xhtml,SLB35,$61.00,$45.75,
3-1069.xhtml,SLB24,$82.00,$61.50,
3-107.xhtml,,,,/file/general/404top.png
3-1070.xhtml,IB1538,$428.00,$321.00,
3-1071.xhtml,CHA1538,$818.00,$613.50,
3-1072.xhtml,SJ2518,$760.00,$570.00,
3-1073.xhtml,SJ2512,$565.00,$423.75,
3-1074.xhtml,SJ258,$487.00,$365.25,
3-1075.xhtml,SJ2012,$403.00,$302.25,
3-1076.xhtml,SJ2010,$377.00,$282.75,
3-1077.xhtml,SJ208,$359.00,$269.25,
3-1078.xhtml,SJ1512,$342.00,$256.50,
3-1079.xhtml,SJ158,$269.00,$201.75,
3-108.xhtml,,,,/file/general/404top.png
3-1080.xhtml,SJ156,$259.00,$194.25,
3-1081.xhtml,SER40,"$1,527.00","$1,145.25",
3-1082.xhtml,SER30,"$1,276.00",$957.00,
3-1083.xhtml,SER20,"$1,115.00",$836.25,
3-1084.xhtml,SER10,$994.00,$745.50,
3-1085.xhtml,BE35,$90.00,$67.50,
3-1086.xhtml,BE25,$66.00,$49.50,
3-1087.xhtml,SE18,$244.00,$183.00,
3-1088.xhtml,SE16,$148.00,$111.00,
3-1089.xhtml,SE12,$142.00,$106.50,
3-109.xhtml,,,,/file/general/404top.png
3-1090.xhtml,SCN25,$243.00,$182.25,
3-1091.xhtml,SCN20,$169.00,$126.75,
3-1092.xhtml,SCN15,$129.00,$96.75,
3-1093.xhtml,SC2518,$513.00,$384.75,
3-1094.xhtml,SC2512,$381.00,$285.75,
3-1095.xhtml,SC258,$354.00,$265.50,
3-1096.xhtml,SC2010,$255.00,$191.25,
3-1097.xhtml,SC2012,$271.00,$203.25,
3-1098.xhtml,SC208,$243.00,$182.25,
3-1099.xhtml,SC1512,$218.00,$163.50,
3-11.xhtml,ZW2408MB,"$3,458.00","$2,247.70",
3-110.xhtml,,,,/file/general/404top.png
3-1100.xhtml,SC158,$170.00,$127.50,
3-1101.xhtml,SC156,$168.00,$126.00,
3-1102.xhtml,RJA1538,"$2,968.00","$2,226.00",
3-1103.xhtml,RJA1022,"$1,714.00","$1,285.50",
3-1104.xhtml,RJ2029,"$2,246.00","$1,684.50",
3-1105.xhtml,RJ24A,"$2,057.00","$1,542.75",
