"ID","ATTRIBUTES"
1968115,"Thread Size:1/2-20 UNF|Width (in):0.312"
1968116,"Thread Size:1/2-13 UNC|Width (in):0.312"
1968118,"Thread Size:5/8-18 UNF|Width (in):0.375"
1968119,"Thread Size:5/8-11 UNC|Width (in):0.375"
1968120,"Thread Size:3/4-16 UNF|Width (in):0.422"
1968121,"Thread Size:3/4-10 UNC|Width (in):0.422"
1968170,"Thread Size:1/4 NPTF"
1968217,"Thread Size:1/4 NPTF"
1968218,"Thread Size:1/4 NPT"
1968220,"Thread Size:1/4 NPTF"
1968785,"Thread Size:1/8 NPTF"
1968866,"Thread Size:1/8 NPTF"
1968946,"Thread Size:3/8 NPTF"
1971148,"Thread Size:7/16-20 UNF SAE-4"
1972113,"Tube Dia (in):0.25"
1975217,"Length (in):4|Width (in):2"
1980608,"Thread Size:1/4 NPTF"
1980609,"Thread Size:1/8 NPTF"
1980610,"Thread Size:1/8 NPTF"
1980611,"Thread Size:1/8 NPTF"
1980613,"Thread Size:9/16-18 UNF SAE-6"
1980618,"Thread Size:7/16-20 UNF|Tube Dia (in):0.25"
1980619,"Thread Size:9/16-18 UNF|Tube Dia (in):0.375"
1980620,"Thread Size:7/16-20 UNF|Tube Dia (in):0.25"
1980621,"Thread Size:9/16-18 UNF|Tube Dia (in):0.375"
1980622,"Thread Size:9/16-18 UNF|Tube Dia (in):0.375"
1980623,"Tube Dia (in):0.375"
1980624,"Tube Dia (in):0.25"
1980625,"Tube Dia (in):0.25"
1980626,"Tube Dia (in):0.375"
1980627,"Tube Dia (in):0.375"
1980628,"Tube Dia (in):0.375"
1980629,"Tube Dia (in):0.25"
1980630,"Tube Dia (in):0.375"
1980631,"Tube Dia (in):0.25"
1980632,"Tube Dia (in):0.375"
1980633,"Tube Dia (in):0.375"
1980634,"Tube Dia (in):0.375"
1980635,"Tube Dia (in):0.25"
1980636,"Tube Dia (in):0.25"
1980637,"Tube Dia (in):0.375"
1980638,"Thread Size:1/4 NPTF|Tube Dia (in):0.375"
1980640,"Tube Dia (in):0.375"
1980641,"Tube Dia (in):0.25"
1980646,"Height (in):1.75|Port Size:1/2-13UNC|Width (in):1.875"
1980647,"Height (in):1.875|Port Size:5/8-11UNC|Width (in):2"
1980648,"Height (in):2|Port Size:3/4-10UNC|Width (in):2"
1981232,"Height (in):5.562|Length (in):3.75|Port Size:1/4 NPTF|Width (in):2.66"
1981233,"Stroke Length (in):0.5"
1981234,"Stroke Length (in):1"
1981235,"Stroke Length (in):0.5"
1981236,"Stroke Length (in):1"
1981237,"Height (in):2.312|Length (in):2.5|Port Size:1/8 NPT|Stroke Length (in):0.5|Thread Size:5/16-24 UNF|Width (in):1.5"
1981238,"Height (in):2.812|Length (in):2.5|Port Size:1/8 NPT|Stroke Length (in):1|Thread Size:5/16-24 UNF|Width (in):1.5"
1981239,"Height (in):2.812|Length (in):3|Port Size:1/8 NPT|Stroke Length (in):0.5|Thread Size:5/16-24 UNF|Width (in):2.5"
1981240,"Height (in):3.312|Length (in):3|Port Size:1/8 NPT|Stroke Length (in):1|Thread Size:5/16-24 UNF|Width (in):2.5"
1981241,"Length (in):1.636|Stroke Length (in):0.25|Thread Size:1/2-13 UNC"
1981242,"Length (in):2.042|Stroke Length (in):0.5|Thread Size:1/2-13 UNC"
1981243,"Width (in):2.75"
1981244,"Width (in):1.875"
1981245,"Height (in):7|Length (in):4|Width (in):1.875"
1981246,"Height (in):1.375|Length (in):5.25|Width (in):2.5"
1981247,"Length (in):5.508|Port Size:1/4 NPT"
1981248,"Length (in):1.655|Stroke Length (in):0.25|Thread Size:5/16-11 UNC"
1981249,"Stroke Length (in):0.75"
1981250,"Stroke Length (in):0.295"
1981251,"Length (in):2.225|Stroke Length (in):0.5|Thread Size:5/16-11 UNC"
1981252,"Length (in):1.756|Stroke Length (in):0.5|Thread Size:3/4-10 UNC"
1981253,"Length (in):2.475|Stroke Length (in):1|Thread Size:3/4-10 UNC"
1981254,"Height (in):6.047|Length (in):3.75|Width (in):2.656"
1981257,"Length (in):1.636|Stroke Length (in):0.25|Thread Size:1/2-20 UNF"
1981258,"Length (in):2.042|Stroke Length (in):0.5|Thread Size:1/2-20 UNF"
1981259,"Length (in):1.655|Stroke Length (in):0.25|Thread Size:5/8-18 UNF"
1981262,"Length (in):2.225|Stroke Length (in):0.5|Thread Size:5/8-18 UNF"
1981263,"Length (in):1.756|Stroke Length (in):0.5|Thread Size:3/4-16 UNF"
1981264,"Length (in):0.844"
1981265,"Length (in):2.475|Stroke Length (in):1|Thread Size:3/4-16 UNF"
1981266,"Length (in):2.005|Stroke Length (in):0.5|Thread Size:1-12 UNF"
1981267,"Length (in):2.626|Stroke Length (in):1|Thread Size:1-12 UNF"
1981268,"Length (in):13.062|Port Size:38721|Width (in):6.125"
1981269,"Stroke Length (in):0.375"
1981270,"Stroke Length (in):0.375"
1981273,"Length (in):14.875|Width (in):9.25"
1981274,"Length (in):14.875|Width (in):9.25"
1981277,"Length (in):13.062|Port Size:38721|Width (in):6.125"
1981278,"Length (in):13.062|Port Size:38721|Width (in):6.125"
1981279,"Length (in):14.25|Port Size:38721|Width (in):9.625"
1981280,"Port Size:1/4 NPTF|Stroke Length (in):0.437|Width (in):2.19"
1981281,"Port Size:1/4 NPTF|Stroke Length (in):0.437|Width (in):3"
1981282,"Port Size:1/4 NPTF|Stroke Length (in):0.562|Width (in):1.635"
1981284,"Stroke Length (in):0.295"
1981285,"Length (in):3.312|Stroke Length (in):1|Thread Size:1-5/16-16 UNF"
1981292,"Length (in):6.378|Port Size:1/4 NPT"
1981293,"Height (in):2|Length (in):5.75|Port Size:1/4 NPTF|Width (in):4.875"
1981294,"Stroke Length (in):0.75"
1981295,"Stroke Length (in):0.375"
1981296,"Length (in):2.938"
1981297,"Length (in):7.688"
1981298,"Thread Size:1/4 NPT"
1981299,"Thread Size:1/4 NPT"
1981300,"Length (in):2.4|Thread Size:1/4 NPTF"
1981301,"Length (in):1.9|Thread Size:1/4 NPTF"
