"ID","DETAIL_ATTRIBUTES"
1965709,"Product Specification:Color (ASTM) = 2, Flash Point 400 F, Hydraulic Oil, Grade (ASTM) 215 Pour Point (deg F)= -30|Size (gal):0.25|Type:Hydraulic_Fluid"
1965710,"Product Specification:Color (ASTM) = 2, Flash Point 400 F, Hydraulic Oil, Grade (ASTM) 215 Pour Point (deg F)= -30|Size (gal):1|Type:Hydraulic_Fluid"
1965711,"Product Specification:Color (ASTM) = 2, Flash Point 400 F, Hydraulic Oil, Grade (ASTM) 215 Pour Point (deg F)= -30|Size (gal):2.5|Type:Hydraulic_Fluid"
1965712,"Product Specification:Color (ASTM) = Light Amber, Flash Point 500 F, Flame-Out Fir Resistant, Grade (ASTM) 220 Pour Point (deg F)= -15|Size (gal):1|Type:Hydraulic_Fluid"
1965714,"Product Specification:Color (ASTM) = 2, Flash Point 400 F, Environmentally Friendly Pour Point (deg F)= -22|Size (gal):1|Type:Hydraulic_Fluid"
1965715,"Product Specification:Color (ASTM) = 2, Flash Point 400 F, Environmentally Friendly Pour Point (deg F)= -22|Size (gal):2.5|Type:Hydraulic_Fluid"
1965894,"Product Specification:Includes 107 cu in (102 cu in usable) metal reservoir, plus gasket and fasterners needed to replace the plastic reservoir on pump nos."
1966356,"Hose Length (ft):50|Inside Diameter (in):0.245|Outside Diameter (in):0.375|Type:Tubing"
1968115,"Hex Width (in):0.75|Type:Jam_Nut_TB"
1968116,"Hex Width (in):0.75|Type:Jam_Nut_TB"
1968118,"Hex Width (in):0.938|Type:Jam_Nut_TB"
1968119,"Hex Width (in):0.938|Type:Jam_Nut_TB"
1968120,"Hex Width (in):1.125|Type:Jam_Nut_TB"
1968121,"Hex Width (in):1.125|Type:Jam_Nut_TB"
1968133,"Product Specification:Fitting Style = Compression Tube|Tube Size (in):0.375"
1968203,"Female Thread Size:1/8 NPTF|Male Thread Size:1/8 NPTF"
1968210,"Female Thread Size:1/4 NPTF|Male Thread Size:1/4 NPTF|Type:45 Degree Pipe Adapter"
1968215,"Tube Size (in):0.375|Type:Union (Compression Tube)"
1968217,"Tube Size (in):0.375|Type:Male Connector Compression Tube To Pipe C"
1968218,"Tube Size (in):0.375|Type:90 Degree Compression Tube To Pipe"
1968220,"Tube Size (in):0.375|Type:Male Run Compression Tube To Pipe MRT"
1968221,"Product Specification:Port 1 Thread Size = 1/4 NPTF, Port 2 Thread Size = 1/4 NPTF|Type:Male Pipe (Straight)"
1968372,"Product Specification:Port 1 Thread Size = 1/8 NPTF, Port 2 Thread Size = 1/8 NPTF|Type:Male Pipe (Straight)"
1968517,"Product Specification:Port 1 Thread Size = 3/8 NPTF, Port 2 Thread Size = 1/4 NPTF|Type:Male Pipe (Straight)"
1968631,"Female Thread Size:1/4 NPTF|Male Thread Size:1/8 NPTF"
1968678,"Female Thread Size:1/4 NPTF|Male Thread Size:1/4 NPTF"
