file_name,catalog_number,attribute_name,attribute_value
1%20(10),100223,Length (in),5.75
1%20(10),100223,Port Size,1/4 NPTF
1%20(10),100223,Height (in),2
1%20(10),100223,Width (in),4.875
1%20(100),100849,Stroke Length (in),1.938
1%20(101),100859,Stroke Length (in),1.267
1%20(102),100860,Stroke Length (in),1.267
1%20(103),100863,Length (in),2.856
1%20(103),100863,Stroke Length (in),0.188
1%20(103),100863,Port Size,7/16-20UNF SAE-4
1%20(103),100863,Width (in),1.625
1%20(104),100868,Stroke Length (in),1.267
1%20(105),100870,Stroke Length (in),1.163
1%20(106),100871,Stroke Length (in),1.938
1%20(107),100889,Stroke Length (in),1.267
1%20(108),100890,Stroke Length (in),1.267
1%20(109),100891,Stroke Length (in),1.267
1%20(11),100279,Length (in),10
1%20(11),100279,Port Size,38721
1%20(11),100279,Width (in),5
1%20(110),100892,Stroke Length (in),1.267
1%20(111),100893,Stroke Length (in),1.267
1%20(112),100894,Stroke Length (in),1.267
1%20(113),100895,Stroke Length (in),1.267
1%20(114),100896,Stroke Length (in),1.267
1%20(115),100897,Stroke Length (in),1.267
1%20(116),100898,Stroke Length (in),1.625
1%20(117),100899,Stroke Length (in),1.625
1%20(118),100900,Stroke Length (in),1.625
1%20(119),100901,Stroke Length (in),1.625
1%20(12),100879,Length (in),14.125
1%20(12),100879,Width (in),11.5
1%20(120),100902,Stroke Length (in),1.625
1%20(121),100903,Stroke Length (in),1.625
1%20(122),100904,Stroke Length (in),1.625
1%20(123),100905,Stroke Length (in),1.625
1%20(124),100906,Stroke Length (in),1.625
1%20(129),100914,Width (in),3.5
1%20(13),100888,Length (in),14.125
1%20(13),100888,Width (in),11.5
1%20(131),100945,Stroke Length (in),0.818
1%20(132),100946,Stroke Length (in),0.818
1%20(133),100947,Stroke Length (in),0.818
1%20(134),100948,Stroke Length (in),0.818
1%20(135),100949,Stroke Length (in),0.818
1%20(136),100950,Stroke Length (in),0.818
1%20(137),100951,Stroke Length (in),0.818
1%20(138),100952,Stroke Length (in),0.818
1%20(139),100953,Stroke Length (in),0.818
1%20(14),110050,Length (in),5.868
