file_name,catalog_number,attribute_name,attribute_value
1%20(10),100223,Actuation Type,Manual
1%20(10),100223,Max Operating Pressure (psi),5000
1%20(100),100849,Clamp Body Style,Threaded
1%20(100),100849,Clamping Force (lbs),2400
1%20(100),100849,Clamp Port Size,1/8 NPTF
1%20(100),100849,Action Type,Double Acting
1%20(100),100849,Direction Of Rotation,Right
1%20(100),100849,Mounting Thread Size,1-7/8 - 16UN
1%20(101),100859,Clamp Body Style,Cartridge
1%20(101),100859,Clamping Force (lbs),2400
1%20(101),100859,Clamp Port Size,0.125 Port Dia.
1%20(101),100859,Action Type,Single Acting
1%20(101),100859,Direction Of Rotation,Left
1%20(101),100859,Mounting Thread Size,1-7/8 - 12UN
1%20(102),100860,Clamp Body Style,Cartridge
1%20(102),100860,Clamping Force (lbs),2400
1%20(102),100860,Clamp Port Size,0.125 Port Dia.
1%20(102),100860,Action Type,Single Acting
1%20(102),100860,Direction Of Rotation,Right
1%20(102),100860,Mounting Thread Size,1-7/8 - 12UN
1%20(103),100863,Clamping Force (lbs),2000
1%20(103),100863,Type,Mounting Conventional
1%20(104),100868,Clamp Body Style,Cartridge
1%20(104),100868,Clamping Force (lbs),2400
1%20(104),100868,Clamp Port Size,0.125 Port Dia.
1%20(104),100868,Action Type,Single Acting
1%20(104),100868,Direction Of Rotation,Straight Pull
1%20(104),100868,Mounting Thread Size,1-7/8 - 12UN
1%20(105),100870,Clamp Body Style,Threaded
1%20(105),100870,Clamping Force (lbs),2400
1%20(105),100870,Clamp Port Size,1/8 NPTF
1%20(105),100870,Action Type,Double Acting
1%20(105),100870,Direction Of Rotation,Straight Pull
1%20(105),100870,Mounting Thread Size,1-7/8 - 16UN
1%20(106),100871,Clamp Body Style,Threaded
1%20(106),100871,Clamping Force (lbs),2400
1%20(106),100871,Clamp Port Size,1/8 NPTF
1%20(106),100871,Action Type,Double Acting
1%20(106),100871,Direction Of Rotation,Straight Pull
1%20(106),100871,Mounting Thread Size,1-7/8 - 16UN
1%20(107),100889,Clamp Body Style,Threaded
1%20(107),100889,Clamping Force (lbs),2400
1%20(107),100889,Clamp Port Size,7/16-20 UNF SAE-4
1%20(107),100889,Action Type,Double Acting
1%20(107),100889,Direction Of Rotation,Left
1%20(107),100889,Mounting Thread Size,1-7/8 - 16UN
1%20(108),100890,Clamp Body Style,Threaded
1%20(108),100890,Clamping Force (lbs),2400
1%20(108),100890,Clamp Port Size,7/16-20 UNF SAE-4
1%20(108),100890,Action Type,Double Acting
1%20(108),100890,Direction Of Rotation,Right
1%20(108),100890,Mounting Thread Size,1-7/8 - 16UN
1%20(109),100891,Clamp Body Style,Threaded
1%20(109),100891,Clamping Force (lbs),2400
1%20(109),100891,Clamp Port Size,7/16-20 UNF SAE-4
1%20(109),100891,Action Type,Double Acting
1%20(109),100891,Direction Of Rotation,Straight Pull
1%20(109),100891,Mounting Thread Size,1-7/8 - 16UN
1%20(11),100279,Product Specification,NPTF Thread
1%20(11),100279,Max Operating Pressure (psi),4475
1%20(110),100892,Clamp Body Style,Threaded
1%20(110),100892,Clamping Force (lbs),2400
1%20(110),100892,Clamp Port Size,7/16-20 UNF SAE-4
1%20(110),100892,Action Type,Single Acting
1%20(110),100892,Direction Of Rotation,Left
1%20(110),100892,Mounting Thread Size,1-7/8 - 16UN
1%20(111),100893,Clamp Body Style,Threaded
1%20(111),100893,Clamping Force (lbs),2400
1%20(111),100893,Clamp Port Size,7/16-20 UNF SAE-4
1%20(111),100893,Action Type,Single Acting
1%20(111),100893,Direction Of Rotation,Right
1%20(111),100893,Mounting Thread Size,1-7/8 - 16UN
1%20(112),100894,Clamp Body Style,Threaded
1%20(112),100894,Clamping Force (lbs),2400
1%20(112),100894,Clamp Port Size,7/16-20 UNF SAE-4
1%20(112),100894,Action Type,Single Acting
1%20(112),100894,Direction Of Rotation,Straight Pull
1%20(112),100894,Mounting Thread Size,1-7/8 - 16UN
1%20(113),100895,Clamp Body Style,Manifold
1%20(113),100895,Clamping Force (lbs),2400
1%20(113),100895,Clamp Port Size,Manifold
1%20(113),100895,Action Type,Single Acting
1%20(113),100895,Direction Of Rotation,Left
1%20(113),100895,Mounting Thread Size,5/16-18 UNC SHCS
1%20(114),100896,Clamp Body Style,Manifold
1%20(114),100896,Clamping Force (lbs),2400
1%20(114),100896,Clamp Port Size,Manifold
1%20(114),100896,Action Type,Single Acting
1%20(114),100896,Direction Of Rotation,Right
1%20(114),100896,Mounting Thread Size,5/16-18 UNC SHCS
1%20(115),100897,Clamp Body Style,Manifold
1%20(115),100897,Clamping Force (lbs),2400
1%20(115),100897,Clamp Port Size,Manifold
1%20(115),100897,Action Type,Single Acting
1%20(115),100897,Direction Of Rotation,Straight Pull
1%20(115),100897,Mounting Thread Size,5/16-18 UNC SHCS
1%20(116),100898,Clamp Body Style,Threaded
1%20(116),100898,Clamping Force (lbs),5000
1%20(116),100898,Clamp Port Size,7/16-20 UNF SAE-4
1%20(116),100898,Action Type,Double Acting
1%20(116),100898,Direction Of Rotation,Left
1%20(116),100898,Mounting Thread Size,2-1/2 - 16UN
1%20(117),100899,Clamp Body Style,Threaded
1%20(117),100899,Clamping Force (lbs),5000
1%20(117),100899,Clamp Port Size,7/16-20 UNF SAE-4
1%20(117),100899,Action Type,Double Acting
1%20(117),100899,Direction Of Rotation,Right
1%20(117),100899,Mounting Thread Size,2-1/2 - 16UN
1%20(118),100900,Clamp Body Style,Threaded
1%20(118),100900,Clamping Force (lbs),5000
1%20(118),100900,Clamp Port Size,7/16-20 UNF SAE-4
1%20(118),100900,Action Type,Double Acting
1%20(118),100900,Direction Of Rotation,Straight Pull
1%20(118),100900,Mounting Thread Size,2-1/2 - 16UN
1%20(119),100901,Clamp Body Style,Threaded
1%20(119),100901,Clamping Force (lbs),5000
1%20(119),100901,Clamp Port Size,7/16-20 UNF SAE-4
1%20(119),100901,Action Type,Single Acting
1%20(119),100901,Direction Of Rotation,Left
1%20(119),100901,Mounting Thread Size,2-1/2 - 16UN
1%20(12),100879,Input Voltage (vac),460
1%20(12),100879,Type,Palletized_System
1%20(12),100879,Power Dissipation (hp),1
1%20(12),100879,Max Operating Pressure (psi),5000
1%20(12),100879,Rated Speed (rpm),1725
1%20(120),100902,Clamp Body Style,Threaded
1%20(120),100902,Clamping Force (lbs),5000
1%20(120),100902,Clamp Port Size,7/16-20 UNF SAE-4
1%20(120),100902,Action Type,Single Acting
1%20(120),100902,Direction Of Rotation,Right
1%20(120),100902,Mounting Thread Size,2-1/2 - 16UN
1%20(121),100903,Clamp Body Style,Threaded
1%20(121),100903,Clamping Force (lbs),5000
1%20(121),100903,Clamp Port Size,7/16-20 UNF SAE-4
1%20(121),100903,Action Type,Single Acting
1%20(121),100903,Direction Of Rotation,Straight Pull
1%20(121),100903,Mounting Thread Size,2-1/2 - 16UN
1%20(122),100904,Clamp Body Style,Cartridge
1%20(122),100904,Clamping Force (lbs),5000
1%20(122),100904,Clamp Port Size,0.125 Port Dia.
1%20(122),100904,Action Type,Single Acting
1%20(122),100904,Direction Of Rotation,Left
1%20(122),100904,Mounting Thread Size,2-1/2 - 12UNC
1%20(123),100905,Clamp Body Style,Cartridge
1%20(123),100905,Clamping Force (lbs),5000
1%20(123),100905,Clamp Port Size,0.125 Port Dia.
1%20(123),100905,Action Type,Single Acting
1%20(123),100905,Direction Of Rotation,Right
1%20(123),100905,Mounting Thread Size,2-1/2 - 12UNC
1%20(124),100906,Clamp Body Style,Cartridge
1%20(124),100906,Clamping Force (lbs),5000
1%20(124),100906,Clamp Port Size,0.125 Port Dia.
1%20(124),100906,Action Type,Single Acting
1%20(124),100906,Direction Of Rotation,Straight Pull
1%20(124),100906,Mounting Thread Size,2-1/2 - 12UNC
1%20(125),100910,Outside Diameter (in),2
1%20(125),100910,Mounting Thread Size,1-1/4 - 16UN
1%20(126),100911,Outside Diameter (in),2.75
1%20(126),100911,Mounting Thread Size,1-7/8 - 16UN
1%20(127),100912,Outside Diameter (in),3.25
1%20(127),100912,Mounting Thread Size,2-1/4 - 16UN
1%20(128),100913,Outside Diameter (in),3.5
1%20(128),100913,Mounting Thread Size,2-1/2 - 16UN
1%20(129),100914,Mounting Thread Size,2-1/2 - 16UN
1%20(13),100888,Input Voltage (vac),115
1%20(13),100888,Type,Palletized_System
1%20(13),100888,Power Dissipation (hp),1
1%20(13),100888,Max Operating Pressure (psi),5000
1%20(13),100888,Rated Speed (rpm),1725
1%20(130),100916,Outside Diameter (in),2
1%20(130),100916,Mounting Thread Size,1-1/4 - 12UNF
1%20(131),100945,Clamp Body Style,Threaded
1%20(131),100945,Clamping Force (lbs),750
1%20(131),100945,Clamp Port Size,7/16-20 UNF SAE-4
1%20(131),100945,Action Type,Single Acting
1%20(131),100945,Direction Of Rotation,Left
1%20(131),100945,Mounting Thread Size,1-1/4 - 12UNF
1%20(132),100946,Clamp Body Style,Threaded
1%20(132),100946,Clamping Force (lbs),750
1%20(132),100946,Clamp Port Size,7/16-20 UNF SAE-4
1%20(132),100946,Action Type,Single Acting
1%20(132),100946,Direction Of Rotation,Right
1%20(132),100946,Mounting Thread Size,1-1/4 - 12UNF
1%20(133),100947,Clamp Body Style,Threaded
1%20(133),100947,Clamping Force (lbs),750
1%20(133),100947,Clamp Port Size,7/16-20 UNF SAE-4
1%20(133),100947,Action Type,Single Acting
1%20(133),100947,Direction Of Rotation,Straight Pull
1%20(133),100947,Mounting Thread Size,1-1/4 - 12UNF
1%20(134),100948,Clamp Body Style,Threaded
1%20(134),100948,Clamping Force (lbs),750
1%20(134),100948,Clamp Port Size,7/16-20 UNF SAE-4
1%20(134),100948,Action Type,Double Acting
1%20(134),100948,Direction Of Rotation,Left
1%20(134),100948,Mounting Thread Size,1-1/4 - 12UNF
1%20(135),100949,Clamp Body Style,Threaded
1%20(135),100949,Clamping Force (lbs),750
1%20(135),100949,Clamp Port Size,7/16-20 UNF SAE-4
1%20(135),100949,Action Type,Double Acting
1%20(135),100949,Direction Of Rotation,Right
1%20(135),100949,Mounting Thread Size,1-1/4 - 12UNF
1%20(136),100950,Clamp Body Style,Threaded
1%20(136),100950,Clamping Force (lbs),750
1%20(136),100950,Clamp Port Size,7/16-20 UNF SAE-4
1%20(136),100950,Action Type,Double Acting
1%20(136),100950,Direction Of Rotation,Straight Pull
1%20(136),100950,Mounting Thread Size,1-1/4 - 12UNF
1%20(137),100951,Clamp Body Style,Cartridge
1%20(137),100951,Clamping Force (lbs),750
1%20(137),100951,Clamp Port Size,0.125 Port Dia.
1%20(137),100951,Action Type,Single Acting
1%20(137),100951,Direction Of Rotation,Left
1%20(137),100951,Mounting Thread Size,1-5/16 - 12UN
1%20(138),100952,Clamp Body Style,Cartridge
1%20(138),100952,Clamping Force (lbs),750
1%20(138),100952,Clamp Port Size,0.125 Port Dia.
1%20(138),100952,Action Type,Single Acting
1%20(138),100952,Direction Of Rotation,Right
1%20(138),100952,Mounting Thread Size,1-5/16 - 12UN
1%20(139),100953,Clamp Body Style,Cartridge
