"ID","ATTRIBUTES"
6348845,"Color:Red|Depth (in):144|Finish:Powder Coat|Height (in):1|Length (in):144|Material:Steel|Overall Height (in):1|Overall Length (in):144|Overall Width (in):1|Width (in):1"
6348846,"Color:Blue|Depth (in):144|Finish:Powder Coat|Height (in):1|Length (in):144|Material:Steel|Overall Height (in):1|Overall Length (in):144|Overall Width (in):1|Width (in):1"
6348847,"Color:Orange|Depth (in):144|Finish:Powder Coat|Height (in):1|Length (in):144|Material:Steel|Overall Height (in):1|Overall Length (in):144|Overall Width (in):1|Width (in):1"
6348848,"Color:White|Depth (in):144|Finish:Powder Coat|Height (in):1|Length (in):144|Material:Steel|Overall Height (in):1|Overall Length (in):144|Overall Width (in):1|Width (in):1"
6348849,"Color:Yellow|Depth (in):144|Finish:Powder Coat|Height (in):1|Length (in):144|Material:Steel|Overall Height (in):1|Overall Length (in):144|Overall Width (in):1|Width (in):1"
6348851,"Finish:white zinc"
6348852,"Color:White|Depth (in):12.3333|Height (in):1.3333|Length (in):12.3333|Material:Polyethylene|Overall Height (in):1.3333|Overall Length (in):12.3333|Overall Width (in):12.3333|Width (in):12.3333"
6348853,"Finish:white zinc"
6348854,"Finish:white zinc"
6348858,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Men Working|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348859,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Hombres Trabajando|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348862,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Sound Horn|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348865,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Se Necesita Casco De Seguridad|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348866,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:No Pedestrian Traffic|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348867,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:No Tr fico De Peatones|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348868,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:People Working|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348872,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Pedestrian Traffic Sound Horn|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348889,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:No Fumar rea De Carga Para Bater as|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348890,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Watch For Forklifts|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348892,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:No Parking|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348898,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Microwave In Use|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348902,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Microwave Oven Could Be Harmful To Persons Wearing Pacemakers|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348904,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Radioactive Equipment In This Area|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348906,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Do Not Operate Machine Without Guards In Place|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348908,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Low Ceiling|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348910,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Look Out For Powered Industrial Trucks|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348912,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Lift Trucks Go Slow|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348918,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Keep Out|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348922,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Keep Closed|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
6348926,"Double-Sided:No|Header:Caution|Height (in):7 1/2|Legend:Watch Your Step|Sign Background Color:Yellow|Sign Material:Vinyl Label|Sign Shape:Rectangle|Width (in):10 1/2"
