"ID","DETAIL_ATTRIBUTES"
6348939,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349047,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349067,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349069,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349077,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349088,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:English|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349113,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349147,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349175,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349221,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349227,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349233,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349279,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349289,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349331,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349357,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349427,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349461,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349469,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349497,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349575,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349674,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:English|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349717,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349795,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349817,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349908,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:English|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349915,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6349925,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350006,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:English|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350105,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350119,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350133,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350149,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350181,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350215,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350237,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350254,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:English|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350263,"Glow in the Dark:Yes|Header Background Color:Black/Orange|Header Legend Color:Black|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6350407,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350415,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350429,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350471,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350475,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350551,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350593,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350607,"Glow in the Dark:Yes|Header Background Color:Black/Red|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350691,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350701,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350709,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350715,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
6350743,"Glow in the Dark:Yes|Header Background Color:Blue|Header Legend Color:White|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:Adhesive|UV Resistant:Yes"
