id,detail_attributes
6423206,Options:Full version|Nominal AC current:17 A|Software:AA|Enclosure:IP20|Output current – max:17 A|Product Length/Depth:6.5 in|Product Height:14.57 in|Product Width:6.61 in
6152640,"Product Length/Depth:23.5 in|Product Height:8 in|Product Width:8 in|Warranty:Not Applicable|Compliances:Contact Manufacturer|Certifications:IEEE Std. C37.41|Interrupt rating:65 kAIC|Class:Class E|Special features:Single barrel, Indoor/outdoor"
6040645,"Product Length/Depth:2.13 in|Product Height:2.92 in|Product Width:2.3 in|Warranty:Refer to warranty document.|Compliances:RoHS Compliant, NAFTA|Certifications:cULus Listed, NOM|Special features:Voltage Color Coding|Face/body material:Nylon|Wiring method:Back|Allowable wire size:#14-8 AWG|Amperage Rating:30A|Number Of Poles:Three-pole|Type:Locking Plug|NEMA configuration:L16-30|Design type:Ultra grip|Number of wires:4|Operatingtemperature:-40 to 60 °C (-40 to 140 °F)|Cord diameter:0.38-1.16 in (9.5-29.5 mm)|Application:Industrial|Torque rating:14-16 lbf-inch"
5908218,"Product Length/Depth:2.55 in|Product Height:.71 in|Product Width:.47 in|Warranty:3 year|Certifications:cUL Recognized, UL Recognized|Contact configuration:AC: L1 switched, DC: NPN open collector|Maximum AC current:300 mA|Maximum DC current:300 mA|Operating temperature – min:-4 °F|Connection:Dual key micro|LED indicator:Output ON|Enclosure material:Polyurethane foam (RIM)|Sensor type:Through beam|Contact Rating:300 mA|AC/DC at 20-264 Vac/15-30 Vdc|Number of pins:4|Operating temperature – max:158 °F|Environmental rating:NEMA 1, NEMA 3, NEMA 4, NEMA 4X, NEMA 6, NEMA 12, NEMA 13, IP69K|Protection:Auto reset short circuit"
5828764,"Product Length/Depth:76 mm|Product Height:93 mm|Product Width:45 mm|Compliances:CE Marked|Certifications:IEC 60947-4-1, UL 508, CSA Std. C22.2 No. 14, VDE, CSA, CSA File No.: 165628, CSA-C22.2 No. 60947-4-1-14, UL, IEC/EN 60947, IEC/EN 60947-4-1, VDE 0660, CSA Class No.: 3211-05, UL File No.: E36332, CE, UL 60947-4-1, UL Category, Control No.: NLRV|Rated operational current for specified heat dissipation (In):2.5 A|Short-circuit rating:Is the panel builder's responsibility. The specifications for the switchgear must be observed.|Ambient operating temperature (enclosed) – min:25 °C|Rated operational power at AC-3, 380/400 V, 50 Hz:.75 kW|Clearances and creepage distances:Meets the product standard's requirements.|Electromagnetic compatibility:Is the panel builder's responsibility. The specifications for the switchgear must be observed.|Lifting:Does not apply, since the entire switchgear needs to be evaluated.|Switching capacity:2.5 A (3 contacts in series), DC-5 up to 250V, 2.5 A, AC-3 up to 690 V|Stripping length (main cable):10 mm|Ambient operating temperature (enclosed) – max:40 °C|Verification of thermal stability of enclosures:Meets the product standard's requirements.|Ambient storage temperature – min:40 °C|Fitted with:Thermal protection|Adjustment range undelayed short-circuit release – max:39 A|Connections for external conductors:Is the panel builder's responsibility.|Rated short-circuit breaking capacity at 400 V AC:150 kA|Assigned motor power at 575/600 V, 60 Hz, 3-phase:1.5 HP|Rated operational power at AC-3, 440 V, 50 Hz:1.1 kW|Ambient operating temperature – max:55 °C|Rated operational power at AC-3, 220/230 V, 50 Hz:.37 kW|Lifespan, electrical:100,000 operations (at 400V, AC-3)|Static heat dissipation, non-current-dependent Pvs:0 W|Electrical connection type of main circuit:Screw connection|Impulse withstand voltage:Is the panel builder's responsibility.|Number of poles:Three-pole|Ambient operating temperature – min:-25 °C"
5828759,"Product Length/Depth:1.8 in|Product Height:3.7 in|Product Width:3 in|Warranty:1 year|Certifications:UL 508, CSA Std. C22.2|Type:Pushbutton|Trip type:Class 10"
5815174,"Product Length/Depth:8.25 in|Product Height:7 in|Product Width:6.75 in|Product Weight:4.4 lb|Certifications:UL Listed, CSA Certified|Type:Ampgard renewal part motor starter components|Quantity:1|Rating:400 A|Relay:400 A"
5767529,"Product Length/Depth:4.61 in|Product Height:3.31 in|Product Width:4.38 in|Certifications:CSA Certified, UL Listed|Catalog Notes:Heater Packs must be purchased separately"
2839967,"Product Length/Depth:2.55 in|Product Height:.71 in|Product Width:.47 in|Warranty:3 year|Certifications:cUL Recognized, UL Recognized|Enclosure material:Polyurethane foam (RIM)|Series:Comet|Sensor type:Through beam|Number of pins:4|Operating temperature – min:-4 °F|Input voltage:20-264 Vac at 50/60 Hz, 15-30 Vdc (NPN)|Operating temperature – max:158 °F|Connection:Dual key micro|Environmental rating:NEMA 1, NEMA 3, NEMA 4, NEMA 4X, NEMA 6, NEMA 12, NEMA 13, IP69K|LED indicator:Power"
2070633,Product Length/Depth:1.8 in|Product Height:3.7 in|Product Width:3 in|Type:Pushbutton|Trip Type:Class 10
