"id", "catalog_number", "main_image", "attributes", "detail_attributes", "documents"
"6423206","MMX32AA017N0-0","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/64/23206/default_6423206.jpg","","","1497402"
"6152640","15HLE-30E","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/61/52640/default_6152640.jpg","","",""
"6040645","AHCL1630P","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/60/40645/CCL-family_red_C_500x500_72dpi.jpg","","",""
"5908218","12100RQD03","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/59/08218/70058163.jpg","","",""
"5828764","PKZM0-2.5","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/58/28764/XTPB004BC1_C_500x500_72dpi.jpg","","",""
"5828759","PKZM0-20","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/58/28759/XTPB004BC1_C_500x500_72dpi.jpg","","",""
"5818081","EATON-COO","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/58/18081/XMew8o8.png","","",""
"5817869","EATON-COC","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/58/17869/n48MzgU.png","","",""
"5817594","101-1700-009","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/58/17594/0022AA01AA00A0000000000AA00J_R_220x220_96dpi.jpg","","",""
"5815174","2147A58G03","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/58/15174/5815174.jpg","","",""
"5767529","AN56DN0AB","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/57/67529/AN56DN0AB_C_1000x1000_300dpi_YUA5d7i.jpg","","",""
"2839967","11100RQD03","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/28/39967/70056667.jpg","","",""
"2070633","PKZM0-16XT","https://mrosupply2-dyn-images.s3.amazonaws.com/product_images/20/70633/XTPB004BC1_C_500x500_72dpi.jpg","","",""
