"ID","ATTRIBUTES"
1308032,"Enclosure:IP00|Frame:1"
1308033,"Enclosure:IP00|Frame:1"
1308034,"Enclosure:IP00|Frame:1"
1308035,"Enclosure:IP00|Frame:1"
1308036,"Enclosure:IP00|Frame:2"
1308037,"Enclosure:IP00|Frame:2"
1308038,"Enclosure:IP00|Frame:2"
1308039,"Enclosure:IP20|Frame:1"
1308040,"Enclosure:IP20|Frame:1"
1308041,"Enclosure:IP20|Frame:1"
1308042,"Enclosure:IP20|Frame:1"
1308043,"Enclosure:IP00|Frame:2"
1308044,"Enclosure:IP00|Frame:2"
1308045,"Enclosure:IP00|Frame:2"
1308046,"Enclosure:IP00|Frame:2"
1308047,"Enclosure:IP00|Frame:3"
1308048,"Enclosure:IP00|Frame:3"
1308049,"Enclosure:IP00|Frame:4"
1308050,"Enclosure:IP00|Frame:4"
1308051,"Enclosure:IP00|Frame:4"
1308057,"Enclosure:IP00|Frame:7"
1308058,"Enclosure:IP00|Frame:7"
1308059,"Enclosure:IP00|Frame:8"
1308060,"Enclosure:IP00|Frame:8"
1308064,"Enclosure:IP20|Frame:1"
1308065,"Enclosure:IP20|Frame:1"
1308066,"Enclosure:IP20|Frame:1"
1308067,"Enclosure:IP20|Frame:2"
1308068,"Enclosure:IP20|Frame:2"
1308069,"Enclosure:IP20|Frame:2"
1308070,"Enclosure:IP00|Frame:3"
1308071,"Enclosure:IP00|Frame:3"
1308072,"Enclosure:IP00|Frame:3"
1308073,"Enclosure:IP00|Frame:4"
1308074,"Enclosure:IP00|Frame:4"
1308076,"Enclosure:IP00|Frame:4"
1308080,"HP:5 HP"
1308081,"HP:5 HP"
1308082,"HP:5 HP"
1308083,"HP:5 HP"
1308084,"HP:7.5 HP"
1308085,"HP:7.5 HP"
1308086,"HP:7.5 HP"
1308087,"HP:7.5 HP"
1308088,"HP:10 HP"
1308089,"HP:10 HP"
1308090,"HP:10 HP"
1308091,"HP:10 HP"
1308092,"HP:10 HP"
1308093,"HP:10 HP"
1308094,"HP:10 HP"
1308095,"HP:10 HP"
1308096,"HP:15 HP"
1308097,"HP:15 HP"
1308098,"HP:15 HP"
1308099,"HP:15 HP"
1308100,"HP:15 HP"
1308101,"HP:15 HP"
1308102,"HP:15 HP"
1308103,"HP:15 HP"
1308104,"HP:20 HP"
1308105,"HP:20 HP"
1308106,"HP:20 HP"
1308107,"HP:20 HP"
1308108,"HP:25 HP"
1308109,"HP:25 HP"
1308111,"HP:25 HP"
1308112,"HP:30 HP"
1308113,"HP:30 HP"
1308114,"HP:30 HP"
1308115,"HP:30 HP"
1308116,"HP:30 HP"
1308117,"HP:30 HP"
1308118,"HP:30 HP"
1308119,"HP:30 HP"
1308120,"HP:50 HP"
1308121,"HP:50 HP"
1308122,"HP:40 HP"
1308123,"HP:40 HP"
1308124,"HP:50 HP"
1308125,"HP:50 HP"
1308126,"HP:40 HP"
1308127,"HP:40 HP"
1308128,"HP:60 HP"
1308129,"HP:60 HP"
1308130,"HP:60 HP"
1308131,"HP:60 HP"
1308132,"HP:75 HP"
1308133,"HP:75 HP"
1308134,"HP:75 HP"
1308135,"HP:75 HP"
1308136,"HP:75 HP"
1308137,"HP:75 HP"
1308138,"HP:75 HP"
1308139,"HP:75 HP"
1308140,"HP:100 HP"
1308141,"HP:100 HP"
1308142,"HP:100 HP"
1308143,"HP:100 HP"
1308144,"HP:100 HP"
1308145,"HP:100 HP"
1308146,"HP:100 HP"
1308147,"HP:100 HP"
1308148,"HP:125 HP"
1308149,"HP:125 HP"
1308150,"HP:125 HP"
1308151,"HP:125 HP"
1308152,"HP:125 HP"
1308153,"HP:125 HP"
1308154,"HP:125 HP"
1308155,"HP:125 HP"
1308156,"HP:150 HP"
1308157,"HP:150 HP"
1308158,"HP:150 HP"
1308159,"HP:150 HP"
1308160,"HP:150 HP"
1308161,"HP:150 HP"
1308162,"HP:150 HP"
1308163,"HP:150 HP"
1308164,"HP:175 HP"
1308165,"HP:175 HP"
1308166,"HP:175 HP"
1308167,"HP:175 HP"
1308168,"HP:200 HP"
1308169,"HP:200 HP"
1308170,"HP:200 HP"
1308171,"HP:200 HP"
1308172,"HP:250 HP"
1308173,"HP:250 HP"
1308174,"HP:250 HP"
1308175,"HP:250 HP"
1308176,"HP:300 HP"
1308177,"HP:300 HP"
1308178,"HP:300 HP"
1308179,"HP:300 HP"
1308180,"HP:350 HP"
1308181,"HP:350 HP"
1308182,"HP:350 HP"
1308183,"HP:350 HP"
1308492,"HP:0.75 HP"
1308493,"HP:1.5 HP"
1308494,"HP:5 HP"
1308495,"HP:0.50 HP"
1308496,"HP:3 HP"
1308497,"HP:7.5 HP"
1308498,"HP:10 HP"
1308957,"Voltage:120 Vac/dc"
1308958,"Voltage:24 Vac/dc"
1308959,"Voltage:120 Vac/dc"
1308960,"Voltage:24 Vac/dc"
1308961,"Voltage:120 Vac/dc"
1308962,"Voltage:24 Vac/dc"
1308963,"Voltage:120 Vac/dc"
1308964,"Voltage:24 Vac/dc"
1308965,"Voltage:120 Vac/dc"
1308966,"Voltage:24 Vac/dc"
1309361,"Voltage:24...48 V 50/60 Hz"
1309362,"Voltage:50...127 V 50/60 Hz"
1309363,"Voltage:130...250 V 50/60 Hz"
1309364,"Voltage:24...48 V 50/60 Hz"
1309365,"Voltage:50...127 V 50/60 Hz"
1309366,"Voltage:130...250 V 50/60 Hz"
1309556,"Voltage:24 VDC"
1310116,"Voltage:12...600 Vdc"
1310178,"Voltage:275...380 V 50/60 Hz"
1310180,"Voltage:Unspecified"
1310210,"Enclosure:TEFC|Frame:404/5T|HP:50|Hz:60|Phase:3|RPM:880|Voltage:230/460"
1310211,"Enclosure:TEFC|Frame:404/5T|HP:60|Hz:60|Phase:3|RPM:880|Voltage:230/460"
1310212,"Enclosure:TEFC|Frame:444/5T|HP:75|Hz:60|Phase:3|RPM:885|Voltage:460"
1310213,"Enclosure:TEFC|Frame:444/5T|HP:100|Hz:60|Phase:3|RPM:885|Voltage:460"
1310214,"Enclosure:TEFC|Frame:445/7T|HP:125|Hz:60|Phase:3|RPM:885|Voltage:460"
1310215,"Enclosure:TEFC|Frame:445/7T|HP:150|Hz:60|Phase:3|RPM:885|Voltage:460"
1310216,"Enclosure:TEFC|Frame:447/9T|HP:200|Hz:60|Phase:3|RPM:890|Voltage:460"
1310217,"Enclosure:TEFC|Frame:504/5Z|HP:200|Hz:60|Phase:3|RPM:1200|Voltage:575"
1310218,"Enclosure:TEFC|Frame:505Z|HP:200|Hz:60|Phase:3|RPM:1200|Voltage:575V"
1310219,"Enclosure:TEFC|Frame:586/7|HP:250|Hz:60|Phase:3|RPM:895|Voltage:460"
1310220,"Enclosure:TEFC|Frame:447/9T|HP:250|Hz:60|Phase:3|RPM:1190|Voltage:460"
1310221,"Enclosure:TEFC|Frame:586/7Z|HP:250|Hz:60|Phase:3|RPM:1190|Voltage:460"
1310222,"Enclosure:TEFC|Frame:445/7T|HP:250|Hz:60|Phase:3|RPM:1785|Voltage:460"
1310223,"Enclosure:TEFC|Frame:504/5Z|HP:250|Hz:60|Phase:3|RPM:1790|Voltage:460"
1310224,"Enclosure:TEFC|Frame:586/7|HP:300|Hz:60|Phase:3|RPM:895|Voltage:460"
1310225,"Enclosure:TEFC|Frame:447/9T|HP:300|Hz:60|Phase:3|RPM:1190|Voltage:460"
1310226,"Enclosure:TEFC|Frame:586/7Z|HP:300|Hz:60|Phase:3|RPM:1190|Voltage:460"
1310227,"Enclosure:TEFC|Frame:586/7|HP:300|Hz:60|Phase:3|RPM:1190|Voltage:460"
1310228,"Enclosure:TEFC|Frame:580Z|HP:300|Phase:3|RPM:1200|Voltage:575"
1310229,"Enclosure:TEFC|Frame:447/9T|HP:300|Hz:60|Phase:3|RPM:1785|Voltage:460"
1310230,"Enclosure:TEFC|Frame:586/7Z|HP:300|Hz:60|Phase:3|RPM:1790|Voltage:460"
1310231,"Enclosure:TEFC|Frame:586/7Z|HP:300|Hz:60|Phase:3|RPM:1790|Voltage:575"
1310232,"Enclosure:TEFC|Frame:586/7|HP:350|Hz:60|Phase:3|RPM:895|Voltage:460"
1310233,"Enclosure:TEFC|Frame:586/7Z|HP:350|Hz:60|Phase:3|RPM:1195|Voltage:460"
1310234,"Enclosure:TEFC|Frame:586/7|HP:350|Phase:3|RPM:1200|Voltage:460"
1310235,"Enclosure:TEFC|Frame:447/9T|HP:350|Hz:60|Phase:3|RPM:1785|Voltage:460"
1310236,"Enclosure:TEFC|Frame:586/7Z|HP:350|Hz:60|Phase:3|RPM:1790|Voltage:460"
1310237,"Enclosure:TEFC|Frame:586/7Z|HP:400|Hz:60|Phase:3|RPM:1190|Voltage:460"
1310238,"Enclosure:TEFC|Frame:586/7|HP:400|Hz:60|Phase:3|RPM:1190|Voltage:460"
1310239,"Enclosure:TEFC|Frame:586/7Z|HP:400|Hz:60|Phase:3|RPM:1200|Voltage:575"
1310240,"Enclosure:TEFC|Frame:586/7Z|HP:400|Hz:60|Phase:3|RPM:1790|Voltage:460"
1310241,"HP:400"
1310242,"Enclosure:TEFC|Frame:586/7Z|HP:450|Hz:60|Phase:3|RPM:1195|Voltage:460"
