"ID","DETAIL_ATTRIBUTES"
1307886,"Maximum rated current Ie:100 A|Reference:MPW100|Setting range for thermal release:55-75 A|Terminal type:Box"
1307887,"Maximum rated current Ie:100 A|Reference:MPW100|Setting range for thermal release:70-90 A|Terminal type:Box"
1307888,"Maximum rated current Ie:100 A|Reference:MPW100|Setting range for thermal release:80-100 A|Terminal type:Box"
1307914,"Maximum rated current Ie:65 A|Reference:MPW65|Setting range for thermal release:32-40 A|Terminal type:Box"
1307915,"Maximum rated current Ie:65 A|Reference:MPW65|Setting range for thermal release:40-50 A|Terminal type:Box"
1307916,"Maximum rated current Ie:65 A|Reference:MPW65|Setting range for thermal release:50-65 A|Terminal type:Box"
1307917,"Application:Overload relay RW|Reference:BF"
1307918,"Application:Overload relay RW|Reference:BF"
1307919,"Application:Overload relay RW|Reference:BF"
1307920,"Application complement:117D|Finishing:Unspecified|Material:Electrolytic copper|Operating voltage:< 1000 V|Quantity per package:3 un|Reference:GA"
1307921,"Application complement:317-10D|Finishing:Coated with tin|Material:Electrolytic copper|Operating voltage:< 1000 V|Quantity per package:3 un|Reference:GA"
1307922,"Application complement:317-1D|Finishing:Coated with tin|Material:Electrolytic copper|Operating voltage:< 1000 V|Quantity per package:3 un|Reference:GA"
1307923,"Application complement:317-2D|Finishing:Coated with tin|Material:Electrolytic copper|Operating voltage:< 1000 V|Quantity per package:3 un|Reference:GA"
1307924,"Application complement:317-3D|Finishing:Coated with tin|Material:Electrolytic copper|Operating voltage:< 1000 V|Quantity per package:3 un|Reference:GA"
1307925,"Contactor model:CWM95/105|Current range:63-80 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW117"
1307926,"Contactor model:CWM95/105|Current range:75-97 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW117"
1307927,"Contactor model:CWM95/105|Current range:90-112 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW117"
1307928,"Contactor model:CWM112|Current range:75-97 A|Mounting type:Individual|Number of poles:3 poles|Reference:RW117"
1307929,"Contactor model:CWM112|Current range:90-112 A|Mounting type:Individual|Number of poles:3 poles|Reference:RW117"
1307930,"Contactor model:CWC07-16, CW07|Current range:0,4-0,63 A|Mounting type:Direct|Number of poles:3 poles|Reference:RW17"
