id,catalog_number,attributes,detail_attributes
6425307,01036ES3E215JM-S,,
6425087,SSW050085T2246TPZ,,
6425074,SSW050030T2246TPZ,,
6425070,ESWE-B9T02KX-D07,,
6424463,SSW07-08-HMI-LOC,,
6424317,CFW500A04P3T4NB20GQ,,
6423964,DBW030380D3848SZ,,
6423671,RTW17-E02MATE05,,
6423207,ESWE-B9T02KX-D06,,
6423190,ESWE-B9T02KX-D08,,
6423109,SSW900C0130T5E2B,,
6423092,WENCL-ESL16-12-00,,
6423090,APS9-3-302HD,,
6423043,ESWE-B40V24KX-D14,,
6422230,CFW500A01P6T4NB20G2,,
6421347,CFW500A04P3T4NB20G2,,
6421346,CFW500D24P0T4DB20G2,,
6421239,GTA162ANVD2B-CHA,,
6420910,CFW500B289POT2DB66G2,,
6391310,ESW9 V23EW27,,
6377834,JM015402DPW01,Hz:60|Voltage:230/460|Phase:3|Hp:15|RPM:3600|Enclosure:ODP|Frame:213JM/215JM,
6377832,JM015402DPNPW01,Hz:60|Voltage:230/460|Phase:3|Hp:15|RPM:3600|Enclosure:ODP|Frame:213JM/215JM,
6377641,SSW900-KMD-CB02,,
6377275,SSW070412T5SH1Z,,
6377256,CFW500-SFY2,,
6377159,SSW900D0255T5E3B,,
6377107,CFW500A10P0B2DB66G2,,
6377067,CFW500A01P6T4DB66DSG2,,
6377039,CFW500A06P5T4DB66G2,,
6377031,RMW17-FSF01D97,,
6377017,PESW-B80D39EX-R75,,
6376453,CFW500B10P0B2DB20G2,,
6376329,CFW500B07P3B2DB20G2,,
6376291,CFW500B14DOT4DB66G2,,
6376180,RTW17-A02MATE05,,
6374239,SSW050060T2246TPZ,,
6373471,SSW900E0480T5E3B,,
6373363,CFW300-CETH,,
6371310,CFW500A01P0T4NB20G2,,
6371253,CFW500B31P0T4DB66G2,,
6371166,SSW900C0171T5E2B,,
6370949,SSW900E0670T5E3B,,
6370938,SSW900B0061T5E2B,,
6348576,CFW500E49P0T4DB20G2,,
6348517,CFW500A10P0T4DB66G2,,
6348253,CFW500C16P0T4DB20-G2,,
6348234,CFW500B28P0T2DB66G2,,
6316417,CFW500A02P6B2NB20G2,,
6316416,CFW500A02P6S2NB20G2,,
6287014,CFW500B24P0T4DB66G2,,
6203161,CFW500A16P0T2DB66G2,,
6175366,SSW900F0820T6E3B,,
6175291,15571881,,
6153700,CFW500A07P0T2NB20G2,,
6153689,CFW701B24P0T4DB55C3,,
6132942,SSW900E0604T5E3B,,
6101175,CFW500B10P0T4DB20G2,,
6097924,CFW500D31P0T4DB20G2,,
6096597,CWB80-11-30D02,,
6092419,ODG 634 U G130-255,,
6092145,CSW-CY2F45-WH,,
6055009,W50 6808,,
6054805,UBW225N-FT200-3A,,
6054424,3318ES1BB56C-S,,
6042806,MGP-5812,,
6042626,11330218,,
6042490,SCA06B05P0D2,,
6042430,ODGM 514 G130,,
6042131,CWBS50-33-30D15,,
6042130,CWBS25-33-30D15,,
6040596,00736OS1C184T-S,,
6035879,15099741,,
5990503,00518OS1C184T-S,,
5975984,CFW500A01P0T4NBN20,,
5967876,ESWC-300T5A9-RE8,,
5967875,ESWC-180T5A9-RE7,,
5967874,ESWC-150T5A9-RE7,,
5967873,ESWC-105T5A9-RE6,,
5967872,ESWC-65T5S9-RE6,,
5967871,ESWC-65T5K9-RE6,,
5967870,ESWC-65T5J9-RE6,,
5967869,ESWC-65T5I9-RE6,,
5967868,ESWC-65T5E9-RE6,,
5967867,ESWC-65T5D9-RE6,,
5967866,ESWC-65T5C9-RE6,,
5967865,ESWC-65T5B9-RE6,,
5967864,ESWC-65T5A9-RE6,,
5967863,ESWC-38T5A9-RE4,,
5967862,ESWC-25T5A9-RE4,,
5967861,ESWC-18T5A9-RE3,,
5967860,ESWC-12T5A9-RE3,,
5967859,ESWC-9T5A9-RE2,,
5967858,ESWC-65TM1S9-RE6,,
5967857,ESWC-65TM1K9-RE6,,
5967856,ESWC-65TM1J9-RE6,,
5967855,ESWC-65TM1I9-RE6,,
5967854,ESWC-65TM1E9-RE6,,
5967853,ESWC-65TM1D9-RE6,,
5967852,ESWC-65TM1C9-RE6,,
5967851,ESWC-65TM1B9-RE6,,
5967850,ESWC-65TM1A9-RE6,,
5905667,HF 136C 3C 200M/L-04E-TH-TF-BR400,,
5905337,.3336ES1BJPW56J-S,Hz:60|Voltage:115/208-230|Phase:1|Hp:1/3|RPM:3600|Enclosure:TEFC|Frame:W56J,
5903035,ESW-B18D45E-R32,,
5903034,ACBS-20 MPW100,,
5903033,ACBS-02 MPW100,,
5903032,ACBS-11 MPW100,,
5903031,ACBF-11 MPW100,,
5903030,CSW-BIDLB-4D61,,
5903029,CSW-BIDLB-3D61,,
5903028,CSW-BIDLB-2D61,,
5903027,CSW-BIDLB-1D61,,
5903026,00236XS1CJPR56J,Hz:60|Voltage:208-230|Phase:1|Hp:2|RPM:3600|Enclosure:XP|Frame:56J,
5903025,00736OT3ER184TC-S,Hz:60|Voltage:230/460|Phase:3|Hp:7-1/2|RPM:3600|Enclosure:ODP|Frame:184TC,
5903024,CFW500E56P0T2DB20Y2,,
5903023,CFW500E49P0T4DB20Y2,,
5903022,CFW500E39P0T4DB20Y2,,
5903021,CFW500D47P0T2DB20Y2,,
5903020,CFW500D33P0T2DB20Y2,,
5903019,CFW500D31P0T4DB20Y2,,
5903018,CFW500D28P0T2DB20Y2,,
5903017,CFW500D24P0T4DB20Y2,,
5903016,CFW500C24P0T2DB20Y2,,
5903015,CFW500C16P0T4DB20Y2,,
5903014,CFW500C14P0T4DB20Y2,,
5903013,CFW500B16P0T2DB20Y2,,
5903012,CFW500B10P0T4DB20Y2,,
5903011,CFW500B10P0B2DB20Y2,,
5903010,CFW500B07P3B2DB20Y2,,
5903009,CFW500B06P5T4DB20Y2,,
5903008,CFW500B04P3T4DB20Y2,,
5903007,CFW500B02P6T4DB20Y2,,
5903006,CFW500A09P6T2NB20Y2,,
5903005,CFW500A07P0T2NB20Y2,,
5903004,CFW500A07P0S2NB20Y2,,
5903003,CFW500A06P1T4NB20Y2,,
5903002,CFW500A04P3T4NB20Y2,,
5903001,CFW500A04P3S2NB20Y2,,
5903000,CFW500A04P3B2NB20Y2,,
5902999,CFW500A02P6T4NB20Y2,,
5902998,CFW500A02P6S2NB20Y2,,
5902997,CFW500A02P6B2NB20Y2,,
5902996,CFW500A01P6T4NB20Y2,,
5902995,CFW500A01P6S2NB20Y2,,
5902994,CFW500A01P6B2NB20Y2,,
5902993,CFW500A01P0T4NB20Y2,,
5902992,NDE-W22-IEEE-320,,
5902991,NDE-W22-IEEE-280,,
5902990,NDE-W22-IEEE-210,,
5902989,DES-W22-IEEE-280,,
5902988,00336ET3H145T-W22,Hz:60|Voltage:575|Phase:3|Hp:3|RPM:3600|Enclosure:TEFC|Frame:145T,
5902987,FLC-IE180-INPRO-W22,,
5902986,20012XT3H447T,Hz:60|Voltage:575|Phase:3|Hp:200|RPM:1200|Enclosure:XP|Frame:447T,
5902985,VPC-O5010/11-W40,,
5902984,CFW110045T4OFAYZ,,
5902983,02512ET3H324JM-W22,Hz:60|Voltage:575|Phase:3|Hp:25|RPM:1200|Enclosure:TEFC|Frame:324JM,
5902982,FLC-O447/9-314-W40,,
5902981,URMP V23,,
5902980,RTD-12361954,,
5902979,TBX-14372558,,
5902978,TBX-ES315-4,,
5902977,TBX-14357587,,
5902976,TERMBLCK-14222466,,
5902975,SP-TBX-12643900,,
5902974,BASEPLATE-13704608,,
5902973,BASEPLATE-13704526,,
5902972,BASEPLATE-13704525,,
5902971,BASEPLATE-13704524,,
5902970,SP-TACSEAL-10017390,,
5902969,CFW11SP-10186815,,
5902968,STS-12289211,,
5902967,SSW7000C120T211N2,,
5902966,SSW7000C100T211N2,,
5902965,SSW7000C370T411N2,,
5902964,SSW7000C300T411N2,,
5902963,SSW7000C240T411N2,,
5902962,SSW7000C210T411N2,,
5902961,SSW7000C180T411N2,,
5902960,SSW7000C300T211N2,,
5902959,SSW7000C150T411N2,,
5902958,SSW7000C120T411N2,,
5902957,SSW070412T5SH2RFZ,,
5902956,SSW070365T5SH2RFZ,,
5902955,SSW070365T5SH2Z,,
5902954,SSW070312T5SH2RFZ,,
5902953,SSW070312T5SH2Z,,
5902952,SSW070255T5SH2RFZ,,
5902951,SSW070255T5SH2Z,,
5902950,SSW06SP-10189902,,
5902949,SSW06SP-10203481,,
5902948,SSW06SP-10203484,,
5902947,SSW06SP-10056503,,
5902946,SP-TERMBLCK-12643903,,
5902945,FCO-E210-SPECIAL,,
5902944,FLD-14155594,,
5902943,FLD-E580-322-VENT,,
5902942,FLD-E440-322-VENT,,
5902941,FLD-E440-314-VENT,,
5902940,FLC-E440-314-VENT,,
5902939,CFW11SP-12017561,,
5902938,CFW11SP-12017558,,
5902937,CFW11SP-12017507,,
5902936,CFW11SP-12017505,,
5902935,CFW11SP-12017453,,
5902934,CFW11SP-12017452,,
5902933,CFW11SP-12017449,,
5902932,CFW11SP-11468420,,
5902931,CFW11SP-11468419,,
5902930,CFW11SP-11468403,,
