id,catalog_number,attributes
2521015,BI MCW,Application: Capacitive module MCW | Application complement: Not specified | Type: Busbar | Function: Interconnection | Material: Aluminum | Finishing/color: Not specified
2523884,PAC M12,Application: Capacitor for CFP | Application complement: Unspecified | Type: Fixing (nut-washer) PAC | Size: M12 | Material: Steel | Finishing: For replacement
2523885,PAC M8,Application: Capacitor for CFP | Application complement: Unspecified | Type: Fixing (nut-washer) PAC | Size: M12 | Material: Steel | Finishing: For replacement
2523941,PL DWB160 3P,"Application: Circuit Breaker MC DWB | Application complement: 160 3P | Type: Padlock PL | Material: Steel, Stainless Steel and Brass | Finishing or color: Finishing of manufacturing process"
2523942,PL DWB250,"Application: Circuit Breaker MC DWB | Application complement: 250 | Type: Padlock PL | Material: Steel, Stainless Steel and Brass | Finishing or color: Finishing of manufacturing process"
5901963,PL DWB400,"Application: Circuit Breaker MC DWB | Application complement: 400 | Type: Padlock PL | Material: Steel, Stainless Steel and Brass | Finishing or color: Finishing of manufacturing process"
5901964,PL DWB800-1600,"Application: Circuit Breaker MC DWB | Application complement: 800-1600 | Type: Padlock PL | Material: Steel, Stainless Steel and Brass | Finishing or color: Finishing of manufacturing process"
2852651,BMP CWM150,Application: Contactor CWM | Application complement: 150 | Function: Terminal protection (BMP) | Pad printing function: Not specified | Sealing ring: Without seal ring | Material: Polycarbonate | Color: Not specified
2852652,BMP CWM180,Application: Contactor CWM | Application complement: 180 | Function: Terminal protection (BMP) | Pad printing function: Not specified | Sealing ring: Without seal ring | Material: Polycarbonate | Color: Not specified
2852653,BMP CWM300,Application: Contactor CWM | Application complement: 300 | Function: Terminal protection (BMP) | Pad printing function: Not specified | Sealing ring: Without seal ring | Material: Polycarbonate | Color: Not specified
2521031,BMP CWM400,Application: Contactor CWME | Application complement: 400 | Function: Terminal protection (BMP) | Pad printing function: Not specified | Sealing ring: Without seal ring | Material: Polycarbonate | Color: Not specified
2521032,BMP CWM800,Application: Contactor CWME | Application complement: 800 | Function: Terminal protection (BMP) | Pad printing function: Not specified | Sealing ring: Without seal ring | Material: Polycarbonate | Color: Not specified
1315918,APBD,Application: Double pushbutton (BD) | Application complement: Not contain | Function: Protection (AP) | Pad printing function: General | Sealing ring: Without seal ring | Material: Silicone | Color: Not specified
5902106,GBES-02,Application: Emergency pushbutton (BES) | Application complement: Not contain | Function: PBW enclosure guard (G) | Pad printing function: EMERGENCY-STOP | Sealing ring: Without seal ring | Material: Plastic | Color: Not specified
5740063,APEG-02,Application: Emergency pushbutton (EG) | Application complement: Not contain | Function: Protection (AP) | Pad printing function: EMERGENCY-STOP | Sealing ring: With seal ring | Material: Plastic | Color: Not specified
1315921,APEG,Application: Emergency pushbutton (EG) | Application complement: Not contain | Function: Protection (AP) | Pad printing function: Not specified | Sealing ring: With seal ring | Material: Plastic | Color: Not specified
1315919,APBF,Application: Flush pushbutton (BF) | Application complement: Not contain | Function: Protection (AP) | Pad printing function: General | Sealing ring: Without seal ring | Material: Silicone | Color: Not specified
2520822,APBI,Application: Illuminated pushbutton (BI) | Application complement: Not contain | Function: Protection (AP) | Pad printing function: General | Sealing ring: Without seal ring | Material: Silicone | Color: Not specified
2852100,ALBI-30,APPLICATION: Illuminated pushbutton ALBI | FUNCTION OF CONTROLS REFLECTOR: 30 DESLIGADO | MATERIAL USED AT REFLECTOR: Plastic | REFLECTOR FINISHING OR COLOR: Standard of process
2852101,ALBI-31,APPLICATION: Illuminated pushbutton ALBI | FUNCTION OF CONTROLS REFLECTOR: 31 LIGADO | MATERIAL USED AT REFLECTOR: Plastic | REFLECTOR FINISHING OR COLOR: Standard of process
