id,catalog_number,upc_number,weight,main_image,documents,attributes
6423176,91040101,,EXIST,,,
6423075,80T10,,,,,
6422563,LRR850_625-SS-107.000,,,,,
6422551,UB224E3LK4,EXIST,,EXIST,,
6422287,91040001,,,,,
6422255,111-20350-01,EXIST,,,,
6421806,1070T-T20-0758250,,,,,
6421568,HP7705-4.5DTSRH,,,,,
6421436,NH8155055.00,,EXIST,,,
6421083,91040104,EXIST,EXIST,,,
6377777,91040903,,,,,
6377687,1425WLQM1B15-AD-219,,,,,
6377502,FG500XLG,,,,,
6377347,635-60712-80,,EXIST,,,
6377285,300S71-65.00-34.00-5.50,,,,,
6377163,NS820T21R30,,,,,
6377153,1025G20-3.000-XX,,EXIST,,,
6376990,10012493,EXIST,,EXIST,,
6376765,1090T10-95.00-27.00,,EXIST,,,
6376762,1070T10,,,,,
6376569,EUROFLEX-100794-00 REV-B-ETO-C,,,,,
6376529,1040T31-R-R-3.750,,EXIST,,,
6376422,1085NRT,,EXIST,,,
6376278,1180T10-11.000-11.000,,EXIST,,,
6376057,91011304,,EXIST,,,
6374466,CU_005141,EXIST,,EXIST,,
6374464,CU_008628,EXIST,,,,
6374102,10286699,EXIST,EXIST,,,
6373630,91040903,,EXIST,,EXIST,
6372875,1025G32-XX-XX-100.0,,EXIST,,EXIST,
6371959,1035G-G32-ETO-COMPLETE,,,,EXIST,
6371907,10028439,EXIST,,,,
6371874,08B-1CB_241P,,,,,
6371836,10612171,EXIST,EXIST,,,
6371613,10144761 LF882TAB R-10IN,EXIST,EXIST,EXIST,,
6371609,795111,EXIST,EXIST,,,
6371582,LF4705V-96.00in_1/8C_1/8E,,,,,
6371171,91040601 LRF350_275-SS-74.500,,EXIST,,EXIST,
6348413,10385115,,EXIST,,,
6348412,10385217,,EXIST,,,
6348374,10487953,EXIST,EXIST,,,
6348373,10483479,EXIST,EXIST,,,
6348338,VS245-1.750C-60.00C,,EXIST,,EXIST,
6348231,1010G10-41.80-37.80 VITON,,EXIST,,,
6348230,1010G10-41.80-37.80 NITRILE,,EXIST,,,
6348163,10056788,EXIST,,EXIST,,
