"ID","WEIGHT"
2844744,"8"
2833018,"55"
2039337,"97"
6422250,"33"
6422222,"58"
6422188,"55"
6421134,"20"
6421133,"43"
6374292,"21"
6374000,"33"
6373718,"33"
6101264,"27"
6042752,"79"
6034651,"21"
5827135,"47"
5813245,"21"
1353087,"8"
1327899,"2"
1327895,"1"
1327894,"5"
1327893,"5"
1327892,"6"
1327891,"6"
1327890,"5"
1327889,"5"
1327887,"5"
1327886,"5"
1327884,"6"
1327883,"6"
1327882,"5"
1327881,"5"
1327879,"5"
1327877,"5"
1327876,"5"
1327875,"5"
1327874,"5"
1327833,"11"
1327832,"3"
1327831,"6"
1327830,"6"
1327829,"3"
1327828,"7"
1327813,"20"
1327812,"16"
1327811,"16"
1327810,"14"
1327809,"8"
1327808,"8"
1327807,"7"
1327806,"6"
1327805,"6"
1327804,"15"
1327803,"15"
1327802,"9"
1327801,"4"
1327799,"4"
1327798,"4"
1327797,"4"
1327796,"3"
1327795,"2"
1327794,"2"
1327793,"11"
1327791,"6"
1327788,"6"
1327783,"18"
1327772,"11"
1327765,"13"
1327748,"5"
1327743,"32"
1327742,"20"
1327741,"12"
1327740,"13"
1327737,"9"
1327732,"5"
1327731,"5"
1327729,"7"
1327726,"6"
1327725,"3"
1327724,"3"
1327723,"3"
1327721,"3"
1327720,"2"
228778,"24"
228777,"24"
228775,"24"
228750,"22"
228748,"22"
228620,"12"
228598,"12"
228584,"12"
228582,"12"
228581,"12"
228580,"12"
228579,"12"
228578,"12"
228577,"12"
228576,"12"
228507,"14"
228398,"7"
228315,"9"
