"ID","ATTRIBUTES"
228187,"Output HP:0.41|Output RPM:63|Ratio:28 to 1|Reducer Type:Single"
228205,"Output HP:1.103|Output RPM:250|Ratio:7 to 1|Reducer Type:Single|Size:56C"
228206,"Output HP:0.775|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
228220,"Output HP:1.103|Output RPM:250|Ratio:7 to 1|Reducer Type:Single|Size:56C"
228226,"Output HP:0.533|Output RPM:83|Ratio:21 to 1|Reducer Type:Single|Size:56C"
228227,"Output HP:0.41|Output RPM:63|Ratio:28 to 1|Reducer Type:Single|Size:56C"
228231,"Output HP:0.203|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
228232,"Output HP:0.11|Output RPM:25|Ratio:70 to 1|Reducer Type:Single|Size:56C"
228234,"Output HP:1.103|Output RPM:250|Ratio:7 to 1|Reducer Type:Single|Size:56C"
228252,"Output HP:0.41|Output RPM:63|Ratio:28 to 1|Reducer Type:Single"
228261,"Output HP:1.103|Output RPM:250|Ratio:7 to 1|Reducer Type:Single|Size:56C"
228263,"Output HP:0.775|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
228270,"Output HP:0.67|Output RPM:125|Ratio:14 to 1|Reducer Type:Single|Size:56C"
228272,"Output HP:0.533|Output RPM:83|Ratio:21 to 1|Reducer Type:Single|Size:56C"
228276,"Output HP:0.41|Output RPM:63|Ratio:28 to 1|Reducer Type:Single|Size:56C"
228278,"Output HP:0.309|Output RPM:47|Ratio:37 to 1|Reducer Type:Single|Size:56C"
228280,"Output HP:0.234|Output RPM:38|Ratio:46 to 1|Reducer Type:Single|Size:56C"
228286,"Output HP:0.203|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
228287,"Output HP:0.11|Output RPM:25|Ratio:70 to 1|Reducer Type:Single|Size:56C"
228288,"Output HP:0.07|Output RPM:17.2|Ratio:102 to 1|Reducer Type:Single|Size:56C"
228299,"Output HP:0.203|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:71B14"
228349,"Output HP:1.18|Output RPM:125|Ratio:14 to 1|Reducer Type:Single|Size:56C"
228363,"Output HP:1.18|Output RPM:125|Ratio:14 to 1|Reducer Type:Single|Size:56C"
228373,"Output HP:0.472|Output RPM:49|Ratio:36 to 1|Reducer Type:Single|Size:56C"
228376,"Output HP:0.399|Output RPM:41|Ratio:43 to 1|Reducer Type:Single|Size:56C"
228377,"Output HP:0.282|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
228386,"Output HP:0.472|Output RPM:49|Ratio:36 to 1|Reducer Type:Single|Size:56C"
228395,"Output HP:1.569|Output RPM:175|Ratio:10 to 1|Reducer Type:Single"
228401,"Output HP:0.282|Output RPM:29|Ratio:60 to 1|Reducer Type:Single"
228403,"Output HP:0.199|Output RPM:21.9|Ratio:80 to 1|Reducer Type:Single"
228406,"Output HP:2.027|Output RPM:250|Ratio:7 to 1|Reducer Type:Single|Size:56C"
228408,"Output HP:1.569|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
228410,"Output HP:1.18|Output RPM:125|Ratio:14 to 1|Reducer Type:Single|Size:56C"
228412,"Output HP:0.897|Output RPM:97|Ratio:18 to 1|Reducer Type:Single|Size:56C"
228414,"Output HP:0.613|Output RPM:67|Ratio:26 to 1|Reducer Type:Single|Size:56C"
228416,"Output HP:0.472|Output RPM:49|Ratio:36 to 1|Reducer Type:Single|Size:56C"
228419,"Output HP:0.399|Output RPM:41|Ratio:43 to 1|Reducer Type:Single|Size:56C"
228424,"Output HP:0.282|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
228425,"Output HP:0.239|Output RPM:25.7|Ratio:68 to 1|Reducer Type:Single|Size:56C"
228426,"Output HP:0.199|Output RPM:21.9|Ratio:80 to 1|Reducer Type:Single|Size:56C"
228428,"Output HP:0.147|Output RPM:17.5|Ratio:100 to 1|Reducer Type:Single|Size:56C"
228454,"Output HP:0.014|Output RPM:1.1|Ratio:1591 to 1|Reducer Type:Double|Size:56C"
228462,"Output HP:4.35|Output RPM:250|Ratio:7 to 1|Reducer Type:Single"
228495,"Output HP:4.35|Output RPM:250|Ratio:7 to 1|Reducer Type:Single|Size:56C"
228498,"Output HP:2.25|Output RPM:117|Ratio:15 to 1|Reducer Type:Single|Size:56C"
228509,"Output HP:0.44|Output RPM:26.1|Ratio:67 to 1|Reducer Type:Single|Size:56C"
228520,"Output HP:1|Output RPM:49|Ratio:36 to 1|Reducer Type:Single|Size:56C"
228577,"Ratio:10 to 1"
228578,"Ratio:15 to 1"
228579,"Ratio:19 to 1"
228580,"Ratio:24 to 1"
228581,"Ratio:30 to 1"
228582,"Ratio:36 to 1"
