ID,ATTRIBUTES
450285,"Coupling Size:1,070"
452065,Coupling Size:1.5|Width:4.25
452493,Coupling Size:1.5|OD:6|Width:4.40
452522,Coupling Size:1.5|OD:6|Width:6.30
452543,Coupling Size:1.625|Width:6.80
452544,Coupling Size:1.625|Width:3.45
2291625,Coupling Size:1|OD:4.5625|Width:3.00
2291626,Coupling Size:1|OD:4.5625|Width:4.80
2291628,Coupling Size:1|OD:4.5625
2291629,Coupling Size:1|OD:4.5625|Width:4.45
2291634,Coupling Size:1|OD:4.5625|Width:4.75
2291635,Coupling Size:1|OD:4.5625|Width:4.90
2291639,Coupling Size:1.5|OD:6|Width:5.95
2291640,Coupling Size:1.5|OD:6|Width:6.80
2291641,Coupling Size:1.5|OD:6|Width:6.55
2291642,Coupling Size:1.5|OD:6|Width:5.85
2291647,Coupling Size:1.5|OD:6|Width:6.40
2291648,Coupling Size:1.5|OD:6|Width:7.00
2291649,Coupling Size:1.5|OD:6|Width:8.80
2291650,Coupling Size:1.5|OD:6|Width:6.00
2291659,Coupling Size:1.5|OD:6
2291660,Coupling Size:1.5|OD:6|Width:9.50
2291665,Coupling Size:1.5|OD:6
2291666,Coupling Size:1.5|OD:6
2291669,Coupling Size:1.5|OD:6|Width:5.90
2291670,Coupling Size:1.5|OD:6
2291671,Coupling Size:1.5|OD:6
2291672,Coupling Size:1.5|OD:6|Width:6.40
2291673,Coupling Size:1.5|OD:6|Width:4.40
2291689,Coupling Size:1.5|OD:6
2291690,Coupling Size:1.5|OD:6|Width:5.60
2291691,Coupling Size:1.5|OD:6
2291692,Coupling Size:1.5|OD:6
2291693,Coupling Size:1.5|OD:6
2291698,Coupling Size:1.5|OD:6
2291699,Coupling Size:1.5|OD:6
2291700,Coupling Size:1.5|OD:6|Width:6.10
2291701,Coupling Size:1.5|Width:3.40
2291702,Coupling Size:1|OD:4.5625
2291703,Coupling Size:1|OD:4.5625
2291708,Coupling Size:1|OD:4.5625
2291709,Coupling Size:1|OD:4.5625
2291710,Coupling Size:1|OD:4.5625|Width:4.90
2291711,Coupling Size:1|OD:4.5625
2291712,Coupling Size:1|OD:4.5625
2291713,Coupling Size:1|OD:4.5625|Width:3.30
2291724,Coupling Size:1|OD:4.5625
2291725,Coupling Size:1|OD:4.5625
2291726,Coupling Size:1|OD:4.5625
2291731,Coupling Size:1|OD:4.5625
2291732,Coupling Size:1|OD:4.5625
2291733,Coupling Size:1|OD:4.5625|Width:5.00
2291734,Coupling Size:1|Width:5.50
2291735,Coupling Size:2|OD:7
2291736,Coupling Size:2|OD:7|Width:7.85
2291737,Coupling Size:2|OD:7|Width:7.00
