"ID","DETAIL_ATTRIBUTES"
450285,"Bore Size Max:1.75|Bore Type:Rough Bore|Bushing Type:P1|Component Type:Split-Taper Grid Hub|Coupling Type:Grid Coupling|Hub Material:Carbon steel|Lube/Non-Lube:Lubricated|Measurement System:Imperial|Overall Length (in):3"
452065,"Bolt Circle:4.8125|Bolt Type:Shrouded|Component Type:Fastener Set (with gasket)|Coupling Type:Gear Coupling|Fastener Quantity:8|Height (in):1.60|Includes:Fasteners & Gasket|Length (in):3.60|Lube/Non-Lube:Lubricated|Material:Alloy steel|Measurement System:Imperial|Model:Waldron|Series:Fast, Series H"
452493,"Bore Size Max:2.1875|Bore Type:Rough Bore|Component Type:Flex Hub|Coupling Type:Gear Coupling|Height (in):2.90|Hub Diameter (in):3.125|Length (in):4.60|Length Through Bore (in):2.0625|Length Through Bore (mm):52.3875|Lube/Non-Lube:Lubricated|Material:Carbon steel|Max Bore w/standard key:2.1875|Measurement System:Imperial|Model:Waldron|Size Code:1.5|Sleeve Outside Diameter (in):6|Speed Max (rpm):7400"
452522,"Bolt Circle:4.8125|Bolt Type:Shrouded|Component Type:Standard Sleeve|Coupling Type:Gear Coupling|Height (in):2.90|Length (in):6.30|Lube/Non-Lube:Lubricated|Measurement System:Imperial|Model:Waldron|Sleeve Material:Steel|Sleeve Overall Length (in):1.9375|Sleeve Type:Flanged|Speed Max (rpm):9000"
452543,"Component Type:Seal|Coupling Type:Gear Coupling|Height (in):0.65|Includes:Seal|Length (in):4.25|Lube/Non-Lube:Lubricated|Material:BUNA-N|Measurement System:Imperial|Model:Powerlign|Series:Fast, Series H, Waldron"
452544,"Component Type:Spirolox Ring|Coupling Type:Gear Coupling|Height (in):0.30|Includes:Spirolox Ring|Length (in):4.55|Lube/Non-Lube:Lubricated|Material:Alloy steel|Measurement System:Imperial|Model:Powerlign|Series:Waldron"
2291625,"Bolt Circle:3.75|Bolt Type:Exposed|Component Type:Fastener Set (with gasket)|Coupling Type:Gear Coupling|Fastener Quantity:6|Height (in):3.00|Includes:Fastener Set (with gasket)|Length (in):3.00|Lube/Non-Lube:Lubricated|Material:Alloy Steel / Paper|Measurement System:Imperial|Model:Waldron|Series:Fast, Series H, Waldron"
2291626,"Bolt Type:Exposed|Bore Size Max:2.25|Bore Type:Rough Bore|Component Type:Rigid Hub|Coupling Type:Gear Coupling|Height (in):2.80|Hub Diameter (in):3|Length (in):5.10|Length Through Bore (in):1.5625|Length Through Bore (mm):39.6875|Lube/Non-Lube:Lubricated|Material:Carbon steel|Max Bore w/standard key for Rigid Hub:2.25|Measurement System:Imperial|Model:Series H|Size Code:1|Sleeve Outside Diameter (in):4.5625|Speed Max (rpm):14500"
2291628,"Bolt Type:Exposed|Component Type:Vertical Plate|Coupling Type:Gear Coupling|Includes:Vertical Plate|Lube/Non-Lube:Lubricated|Material:Alloy steel|Measurement System:Imperial|Model:Series H|Series:Fast, Waldron and H"
2291629,"Bolt Type:Exposed/Shrouded|Component Type:Gasket|Coupling Type:Gear Coupling|Height (in):0.35|Includes:Gasket|Length (in):4.65|Lube/Non-Lube:Lubricated|Material:Paper|Measurement System:Imperial|Model:FASTS & Series H|Series:Fast, Series H, Waldron"
