ID,ATTRIBUTES
480395,Pitch:1.250 in
480397,Pitch:1.250 in
480399,Pitch:1.500 in
480402,Pitch:1.500 in
480405,Pitch:1.750 in
480414,Pitch:0.500 in
480416,Pitch:0.625 in
480420,Pitch:0.625 in
480424,Pitch:0.750 in
480427,Pitch:0.750 in
480431,Pitch:1.000 in
480434,Pitch:1.000 in
480435,Pitch:1.000 in
480438,Pitch:1.250 in
480441,Pitch:1.250 in
480446,Pitch:1.250 in
480448,Pitch:1.250 in
480451,Pitch:1.250 in
480457,Pitch:1.500 in
480459,Pitch:1.500 in
480460,Pitch:1.500 in
480462,Pitch:1.500 in
480464,Pitch:1.750 in
480468,Pitch:1.750 in
480471,Pitch:1.750 in
480474,Pitch:2.000 in
480476,Pitch:2.000 in
480481,Pitch:2.000 in
480487,Pitch:0.500 in
480489,Pitch:0.500 in
480496,Pitch:0.500 in
480500,Pitch:0.625 in
480504,Pitch:0.625 in
480506,Pitch:0.625 in
480510,Pitch:0.625 in
480511,Pitch:0.625 in
480514,Pitch:0.625 in
480518,Pitch:0.750 in
480519,Pitch:0.750 in
480524,Pitch:0.750 in
480525,Pitch:0.750 in
480530,Pitch:0.750 in
480534,Pitch:0.750 in
480537,Pitch:1.000 in
480540,Pitch:1.000 in
480541,Pitch:1.000 in
480543,Pitch:1.000 in
480548,Pitch:1.000 in
480550,Pitch:1.000 in
480553,Pitch:1.000 in
480555,Pitch:1.000 in
480556,Pitch:1.000 in
480577,"Pitch:3.067 in|Maximum Allowable Load:6,000 lb/ft|Average Ultimate Strength:110,000 lb/ft"
480599,"Pitch:2.563 in|Maximum Allowable Load:2,700 lb/ft|Average Ultimate Strength:34,286 lb/ft"
480614,"Pitch:6.000 in|Maximum Allowable Load:4,500 lb/ft"
480647,"Pitch:3.000 in|Maximum Allowable Load:2,100 lb/ft"
480650,Pitch:1.000 in|Strands:1
480655,Pitch:1.000 in|Strands:1
480656,Pitch:1.000 in|Strands:1
480658,Pitch:1.000 in|Strands:1
480659,Pitch:1.000 in|Strands:1
480661,Pitch:1.000 in|Strands:1
480662,Pitch:1.000 in|Strands:1
480664,"Pitch:2.620 in|Maximum Allowable Load:2,400 lb/ft|Average Ultimate Strength:27,143 lb/ft"
480679,"Pitch:6.000 in|Maximum Allowable Load:14,000 lb/ft|Average Ultimate Strength:138,571 lb/ft"
480685,"Pitch:3.075 in|Maximum Allowable Load:5,100 lb/ft|Average Ultimate Strength:81,429 lb/ft"
480688,"Pitch:6.000 in|Maximum Allowable Load:4,250 lb/ft"
480689,"Pitch:6.000 in|Maximum Allowable Load:4,500 lb/ft"
480699,"Pitch:4.040 in|Maximum Allowable Load:3,700 lb/ft"
480784,"Pitch:2.609 in|Maximum Allowable Load:2,400 lb/ft"
480868,"Pitch:1.630 in|Maximum Allowable Load:1,100 lb/ft"
480870,"Pitch:6.000 in|Maximum Allowable Load:3,220 lb/ft"
480874,"Pitch:2.308 in|Maximum Allowable Load:1,400 lb/ft"
480982,"Pitch:6.050 in|Maximum Allowable Load:15,000 lb/ft|Average Ultimate Strength:117,143 lb/ft"
481004,"Pitch:3.075 in|Maximum Allowable Load:4,450 lb/ft|Average Ultimate Strength:51,429 lb/ft"
481006,"Pitch:6.050 in|Maximum Allowable Load:15,000 lb/ft|Average Ultimate Strength:121,429 lb/ft"
481013,"Pitch:4.000 in|Maximum Allowable Load:5,300 lb/ft|Average Ultimate Strength:58,571 lb/ft"
481035,"Pitch:12.000 in|Maximum Allowable Load:12,300 lb/ft|Average Ultimate Strength:90,000 lb/ft"
481129,"Pitch:2.609 in|Maximum Allowable Load:2,850 lb/ft"
481152,"Pitch:2.609 in|Maximum Allowable Load:2,350 lb/ft"
481153,"Pitch:3.075 in|Maximum Allowable Load:3,700 lb/ft"
481196,Pitch:1.000 in
481198,Pitch:1.000 in|Strands:1
481199,Pitch:1.000 in|Strands:1
481200,Pitch:1.000 in|Strands:1
481379,"Pitch:1.500 in|Strands:1|Average Ultimate Strength:36,500 lb/ft"
481405,"Pitch:1.750 in|Strands:1|Average Ultimate Strength:48,500 lb/ft"
481427,"Pitch:2.000 in|Strands:1|Average Ultimate Strength:68,000 lb/ft"
481432,"Pitch:2.000 in|Strands:2|Average Ultimate Strength:136,000 lb/ft"
481458,"Pitch:2.500 in|Strands:1|Average Ultimate Strength:100,000 lb/ft"
481488,"Pitch:3.000 in|Strands:1|Average Ultimate Strength:152,200 lb/ft"
