"ID","DETAIL_ATTRIBUTES"
480395,"Height (in):2.00|Lacing:4 x 4 in|Length (in):2.00|Overall Width:1.469 in|Pin Diameter:0.375 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.157 in|Volume:0.131|Volume unit:CDM|Width (in):2.00"
480397,"Height (in):4.00|Lacing:6 x 6 in|Length (in):4.00|Overall Width:2.126 in|Pin Diameter:0.375 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.157 in|Volume:0.277|Volume unit:GLL|Width (in):4.00"
480399,"Height (in):4.00|Lacing:6 x 6 in|Length (in):4.00|Overall Width:2.496 in|Pin Diameter:0.437 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.185 in|Volume:0.277|Volume unit:GLL|Width (in):4.00"
480402,"Height (in):4.00|Lacing:8 x 8 in|Length (in):4.00|Overall Width:3.268 in|Pin Diameter:0.437 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.185 in|Volume:0.277|Volume unit:GLL|Width (in):4.00"
480405,"Height (in):4.00|Lacing:6 x 6 in|Length (in):4.00|Overall Width:2.933 in|Pin Diameter:0.500 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.217 in|Volume:0.277|Volume unit:GLL|Width (in):4.00"
480414,"Height (in):2.00|Lacing:6 x 6 in|Length (in):2.00|Overall Width:0.835 in|Pin Diameter:0.156 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.059 in|Volume:0.131|Volume unit:CDM|Width (in):2.00"
480416,"Height (in):2.00|Lacing:2 x 2 in|Length (in):2.00|Overall Width:0.425 in|Pin Diameter:0.200 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.079 in|Volume:0.131|Volume unit:CDM|Width (in):2.00"
480420,"Height (in):2.00|Lacing:6 x 6 in|Length (in):2.00|Overall Width:1.087 in|Pin Diameter:0.200 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.079 in|Volume:0.131|Volume unit:CDM|Width (in):2.00"
480424,"Height (in):2.00|Lacing:4 x 4 in|Length (in):2.00|Overall Width:0.906 in|Pin Diameter:0.234 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.094 in|Volume:0.131|Volume unit:CDM|Width (in):2.00"
480427,"Height (in):2.00|Lacing:6 x 6 in|Length (in):2.00|Overall Width:1.303 in|Pin Diameter:0.234 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.094 in|Volume:0.131|Volume unit:CDM|Width (in):2.00"
480431,"Height (in):2.00|Lacing:4 x 4 in|Length (in):2.00|Overall Width:1.161 in|Pin Diameter:0.312 in|Product:High Performance Light|Rexnord California's Proposition 65 Policy:True|Series:High Performance|Sidebar Thickness:0.122 in|Volume:0.131|Volume unit:CDM|Width (in):2.00"
