"ID","DETAIL_ATTRIBUTES"
483403,"Chain Material:LF|Chain Pitch:50 mm|Chain Width (in):2.165 in|Chain Width (mm):55 mm|Curve Retention Type:Corner Disc|Height (in):0.00|Length (in):0.00|Rod/Pin Material:Stainless steel|Series:Multi-flex|Straight or Side-Flex:Side-flexing|Surface Type:Solid-Top|Volume:0|Width (in):0.00"
483404,"Chain Material:LF|Chain Pitch:50 mm|Chain Width (in):2.165 in|Chain Width (mm):55 mm|Curve Retention Type:Corner Disc|Height (in):0.00|Length (in):0.00|Rod/Pin Material:Stainless steel|Series:Multi-flex|Straight or Side-Flex:Side-flexing|Surface Type:Solid-Top|Volume:0|Width (in):0.00"
483405,"Chain Material:LF|Chain Pitch:50 mm|Chain Width (in):2.09 in|Chain Width (mm):53.09 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Rod/Pin Material:Stainless steel|Series:Multi-flex|Straight or Side-Flex:Side-flexing|Surface Type:Solid-Top|Volume:0|Width (in):0.00"
483407,"Base Chain Material:Steel|Chain Material:D|Chain Material Description:Gray Plain Acetal|Chain Number:820|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):4440|Chain Strength (lbs):1000|Chain Width (in):10 in|Chain Width (mm):254 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483408,"Base Chain Material:Steel|Chain Material:D|Chain Material Description:Gray Plain Acetal|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):4440|Chain Strength (lbs):1000|Chain Width (in):7.5 in|Chain Width (mm):190.5 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483409,"Base Chain Material:Stainless steel|Chain Material:D|Chain Material Description:Gray Plain Acetal|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):3330|Chain Strength (lbs):750|Chain Width (in):10 in|Chain Width (mm):254 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483410,"Base Chain Material:Stainless steel|Chain Material:D|Chain Material Description:Gray Plain Acetal|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):3330|Chain Strength (lbs):750|Chain Width (in):3.25 in|Chain Width (mm):82.6 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483411,"Base Chain Material:Stainless steel|Chain Material:D|Chain Material Description:Gray Plain Acetal|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):3330|Chain Strength (lbs):750|Chain Width (in):6 in|Chain Width (mm):152.4 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483414,"Base Chain Material:Stainless steel|Chain Material:D|Chain Material Description:Gray Plain Acetal|Chain Number:963|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):3330|Chain Strength (lbs):750|Chain Width (in):3.25 in|Chain Width (mm):82.6 mm|Curve Retention Type:Straight|Height (in):0.00|Length (in):0.00|Series:Straight Running|Straight or Side-Flex:Straight Running|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483415,"Chain Material:BWR|Chain Pitch:50 mm|Chain Width (in):2.09 in|Chain Width (mm):53.09 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Rod/Pin Material:Stainless steel|Series:Multi-flex|Straight or Side-Flex:Side-flexing|Surface Type:Solid-Top|Volume:0|Width (in):0.00"
483416,"Base Chain Material:Steel|Chain Material:LF|Chain Material Description:Tan Low Friction|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):4440|Chain Strength (lbs):1000|Chain Width (in):10 in|Chain Width (mm):254 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483417,"Base Chain Material:Steel|Chain Material:LF|Chain Material Description:Tan Low Friction|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):4440|Chain Strength (lbs):1000|Chain Width (in):12 in|Chain Width (mm):304.8 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483418,"Base Chain Material:Steel|Chain Material:LF|Chain Material Description:Tan Low Friction|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):4440|Chain Strength (lbs):1000|Chain Width (in):7.5 in|Chain Width (mm):190.5 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483419,"Base Chain Material:Stainless steel|Chain Material:LF|Chain Material Description:Tan Low Friction|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):3330|Chain Strength (lbs):750|Chain Width (in):10 in|Chain Width (mm):254 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483420,"Base Chain Material:Stainless steel|Chain Material:LF|Chain Material Description:Tan Low Friction|Chain Number:1873TAB|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):3330|Chain Strength (lbs):750|Chain Width (in):12 in|Chain Width (mm):304.8 mm|Curve Retention Type:TAB|Height (in):0.00|Length (in):0.00|Series:Side-flexing|Straight or Side-Flex:Side-flexing|Surface Type:Solid Top|Volume:0|Width (in):0.00"
483422,"Base Chain Material:Stainless steel|Chain Material:LF|Chain Material Description:Tan Low Friction|Chain Number:963|Chain Pitch:1.5in|Chain Pitch (in):1.5|Chain Pitch (mm):38.1|Chain Strength (N):3330|Chain Strength (lbs):750|Chain Width (in):7.5 in|Chain Width (mm):190.5 mm|Curve Retention Type:Straight|Height (in):0.00|Length (in):0.00|Series:Straight Running|Straight or Side-Flex:Straight Running|Surface Type:Solid Top|Volume:0|Width (in):0.00"
