ID,ATTRIBUTES
478560,"Product Size:E2|Coupling Type:Elastomeric|Maximum RPM:6,600"
478561,"Product Size:E2|Coupling Type:Elastomeric|Maximum RPM:6,600"
478562,"Product Size:E2M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478563,"Product Size:E2M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478567,"Product Size:E3|Coupling Type:Elastomeric|Maximum RPM:6,600"
478568,"Product Size:E3|Coupling Type:Elastomeric|Maximum RPM:6,600"
478569,"Product Size:E3M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478570,"Product Size:E3M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478574,"Product Size:E4|Coupling Type:Elastomeric|Maximum RPM:6,600"
478575,"Product Size:E4|Coupling Type:Elastomeric|Maximum RPM:6,600"
478576,"Product Size:E4|Coupling Type:Elastomeric|Maximum RPM:6,600"
478577,"Product Size:E4M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478578,"Product Size:E4M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478583,"Product Size:E5|Coupling Type:Elastomeric|Maximum RPM:6,600"
478584,"Product Size:E5|Coupling Type:Elastomeric|Maximum RPM:6,600"
478585,"Product Size:E5|Coupling Type:Elastomeric|Maximum RPM:6,600"
478586,"Product Size:E5M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478587,"Product Size:E5M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478591,"Product Size:E10|Coupling Type:Elastomeric|Maximum RPM:6,600"
478592,"Product Size:E10|Coupling Type:Elastomeric|Maximum RPM:6,600"
478593,"Product Size:E10|Coupling Type:Elastomeric|Maximum RPM:6,600"
478594,"Product Size:E10M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478595,"Product Size:E10M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478600,"Product Size:E20|Coupling Type:Elastomeric|Maximum RPM:6,600"
478601,"Product Size:E20|Coupling Type:Elastomeric|Maximum RPM:6,600"
478602,"Product Size:E20|Coupling Type:Elastomeric|Maximum RPM:6,600"
478603,"Product Size:E20M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478604,"Product Size:E20M|Coupling Type:Elastomeric|Maximum RPM:6,600"
478607,"Product Size:E30|Coupling Type:Elastomeric|Maximum RPM:5,800"
478608,"Product Size:E30|Coupling Type:Elastomeric|Maximum RPM:5,800"
478609,"Product Size:E30|Coupling Type:Elastomeric|Maximum RPM:5,800"
478610,"Product Size:E30|Coupling Type:Elastomeric|Maximum RPM:5,800"
478611,"Product Size:E30M|Coupling Type:Elastomeric|Maximum RPM:5,800"
478612,"Product Size:E30M|Coupling Type:Elastomeric|Maximum RPM:5,800"
478613,"Product Size:E30M|Coupling Type:Elastomeric|Maximum RPM:5,800"
478619,"Product Size:E40|Coupling Type:Elastomeric|Maximum RPM:5,500"
478620,"Product Size:E40|Coupling Type:Elastomeric|Maximum RPM:5,500"
478621,"Product Size:E40|Coupling Type:Elastomeric|Maximum RPM:5,500"
478622,"Product Size:E40M|Coupling Type:Elastomeric|Maximum RPM:5,500"
478623,"Product Size:E40M|Coupling Type:Elastomeric|Maximum RPM:5,500"
478626,"Product Size:E50|Coupling Type:Elastomeric|Maximum RPM:4,200"
478627,"Product Size:E50|Coupling Type:Elastomeric|Maximum RPM:4,200"
478628,"Product Size:E50|Coupling Type:Elastomeric|Maximum RPM:4,200"
478629,"Product Size:E50M|Coupling Type:Elastomeric|Maximum RPM:4,200"
478630,"Product Size:E50M|Coupling Type:Elastomeric|Maximum RPM:4,200"
478635,"Product Size:E60|Coupling Type:Elastomeric|Maximum RPM:3,800"
478636,"Product Size:E60|Coupling Type:Elastomeric|Maximum RPM:3,800"
478637,"Product Size:E60|Coupling Type:Elastomeric|Maximum RPM:3,800"
478638,"Product Size:E60M|Coupling Type:Elastomeric|Maximum RPM:3,800"
478639,"Product Size:E60M|Coupling Type:Elastomeric|Maximum RPM:3,800"
478644,"Product Size:E60|Coupling Type:Elastomeric|Maximum RPM:3,800"
478645,"Product Size:E70|Coupling Type:Elastomeric|Maximum RPM:3,600"
478646,"Product Size:E70|Coupling Type:Elastomeric|Maximum RPM:3,600"
478647,"Product Size:E70|Coupling Type:Elastomeric|Maximum RPM:3,600"
478649,"Product Size:E70|Coupling Type:Elastomeric|Maximum RPM:3,600"
478650,"Product Size:E70M|Coupling Type:Elastomeric|Maximum RPM:3,600"
478651,"Product Size:E70M|Coupling Type:Elastomeric|Maximum RPM:3,600"
478655,"Product Size:E80|Coupling Type:Elastomeric|Maximum RPM:2,000"
