"ID","DETAIL_ATTRIBUTES"
478560,"Capscrews:Standard Imperial|Continuous Torque Rating:190 lb-in / 22 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:3.50 in / 89mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478561,"Capscrews:Standard Imperial|Continuous Torque Rating:190 lb-in / 22 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:3.50 in / 89mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478562,"Capscrews:Metric Capscrews|Continuous Torque Rating:190 lb-in / 22 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:3.50 in / 89mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478563,"Capscrews:Metric Capscrews|Continuous Torque Rating:190 lb-in / 22 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:3.50 in / 89mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478567,"Capscrews:Standard Imperial|Continuous Torque Rating:365 lb-in / 41 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:4.00 in / 102mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478568,"Capscrews:Standard Imperial|Continuous Torque Rating:365 lb-in / 41 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:4.00 in / 102mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478569,"Capscrews:Metric Capscrews|Continuous Torque Rating:365 lb-in / 41 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:4.00 in / 102mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478570,"Capscrews:Metric Capscrews|Continuous Torque Rating:365 lb-in / 41 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:4.00 in / 102mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
478574,"Capscrews:Standard Imperial|Continuous Torque Rating:550 lb-in / 62 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:4.56 in / 116mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478575,"Capscrews:Standard Imperial|Continuous Torque Rating:690 lb-in / 78 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):6.00|Length (in):6.00|Major Diameter of Coupling:4.56 in / 116mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.54|Volume unit:CDM|Width (in):6.00"
