"ID","DETAIL_ATTRIBUTES"
518696,"Gear Drive Size:Polaris;Delta|Height (in):16.00|Length (in):9.00|Volume Unit:GLL|Width (in):16.00"
757169,"Gear Drive Size:Delta|Height (in):24.00|Length (in):24.00|Volume Unit:Hectoliter|Width (in):24.00"
757181,"Gear Drive Size:Delta|Height (in):24.00|Length (in):24.00|Volume Unit:Hectoliter|Width (in):24.00"
757388,"Gear Drive Size:Earth|Height (in):23.00|Length (in):23.00|Volume Unit:Hectoliter|Width (in):23.00"
757389,"Gear Drive Size:Earth|Height (in):17.00|Length (in):23.00|Volume Unit:Cubic meter|Width (in):34.00"
757391,"Gear Drive Size:Earth|Height (in):23.00|Length (in):35.00|Volume Unit:Hectoliter|Width (in):23.00"
757392,"Gear Drive Size:Earth|Height (in):23.00|Length (in):35.00|Volume Unit:Hectoliter|Width (in):23.00"
757393,"Gear Drive Size:Earth|Height (in):23.00|Length (in):34.00|Volume Unit:Cubic meter|Width (in):23.00"
757397,"Gear Drive Size:Earth|Height (in):23.00|Length (in):29.00|Volume Unit:Hectoliter|Width (in):23.00"
757402,"Gear Drive Size:Earth|Height (in):23.00|Length (in):31.00|Volume Unit:Cubic meter|Width (in):23.00"
757403,"Gear Drive Size:Earth|Height (in):23.00|Length (in):31.00|Volume Unit:Cubic meter|Width (in):23.00"
757825,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757826,"Gear Drive Size:Luna|Height (in):12.00|Length (in):12.00|Volume Unit:Hectoliter|Width (in):12.00"
757827,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757828,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757829,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757830,"Gear Drive Size:Luna|Height (in):12.00|Length (in):12.00|Volume Unit:Hectoliter|Width (in):12.00"
757831,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757832,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757834,"Gear Drive Size:Luna|Height (in):12.00|Length (in):12.00|Volume Unit:Hectoliter|Width (in):12.00"
757835,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757836,"Gear Drive Size:Luna|Height (in):12.00|Length (in):12.00|Volume Unit:Hectoliter|Width (in):12.00"
757837,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757838,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757839,"Gear Drive Size:Luna|Height (in):12.00|Length (in):12.00|Volume Unit:Hectoliter|Width (in):12.00"
757840,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757841,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757842,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757843,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757844,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757845,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757846,"Gear Drive Size:Luna|Height (in):12.00|Length (in):12.00|Volume Unit:Hectoliter|Width (in):12.00"
757847,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757848,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757849,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757851,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757852,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757853,"Gear Drive Size:Luna|Height (in):12.00|Length (in):12.00|Volume Unit:Hectoliter|Width (in):12.00"
757854,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757855,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
757856,"Gear Drive Size:Luna|Height (in):18.00|Length (in):18.00|Volume Unit:Hectoliter|Width (in):18.00"
