ID,ATTRIBUTES
485441,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485444,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485446,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485447,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485448,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485449,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485450,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485451,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485452,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485453,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485454,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485455,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485456,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485457,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485459,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485461,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485462,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485463,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485464,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485465,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485466,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485467,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485469,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485471,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485472,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485474,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485475,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485477,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485478,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485480,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485481,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485482,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485484,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485485,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485486,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485487,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485488,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485489,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485491,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485493,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485494,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485495,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485496,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485497,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485498,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485499,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485500,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485501,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485502,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485504,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485505,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485506,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485507,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485508,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485509,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485510,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485513,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485514,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485515,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485516,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485517,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485518,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485519,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485520,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485522,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485523,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485524,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485525,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485527,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485528,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485529,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION
485530,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485531,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485533,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485534,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485535,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485536,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485537,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION
485538,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485539,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485542,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485543,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485544,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION
485545,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485546,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485547,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485548,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485550,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485551,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485552,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485554,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485555,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485556,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485558,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485559,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485560,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485561,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485562,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485563,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485564,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485565,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485566,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485567,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485568,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485569,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485570,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485571,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485572,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485573,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485576,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION
485577,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485578,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485580,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION
485581,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485583,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485584,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485585,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485587,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485588,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485589,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485590,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485591,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485592,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485593,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485594,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485595,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485596,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485597,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485598,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485599,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
485600,Bearing Type:CYLINDRICAL ROLLER BRG|Clearance:SEE DESCRIPTION|Locking:DIRECT SHAFT MOUNT
