"ID","WEIGHT"
5899652,"4.7"
6422551,"2"
6039655,"3.28"
6038228,"10.25"
5894235,"0.1"
5834382,"0.1"
5789973,"0.37"
5786316,"8"
2364177,"0.5"
2364115,"27"
2565918,"7.32"
2565900,"0.4"
2524647,"4.45"
2502068,"29.32"
2364536,"7"
2342152,"0.14"
2341947,"0.5"
2341942,"1.25"
753870,"0.4"
491890,"8"
486149,"11.9"
486147,"9.79"
486146,"9.92"
486144,"6.66"
486142,"3.54"
486141,"5.52"
486140,"5.66"
486139,"2.93"
486138,"4.5"
486137,"4.59"
486136,"4.69"
486135,"4.69"
486134,"3.6"
486133,"3.68"
486131,"3.79"
486130,"3.7"
486128,"1.88"
486127,"2.99"
486126,"3.07"
486125,"3.11"
486124,"3.08"
486123,"3.08"
486122,"3.08"
486121,"1.78"
486120,"2.71"
486119,"2.79"
486118,"2.79"
486117,"2.72"
486115,"1.55"
486114,"2.57"
486113,"2.57"
486112,"2.6"
486111,"2.58"
486109,"1.24"
486108,"2.05"
486107,"1.99"
486106,"2.08"
486105,"2"
486104,"2.06"
486102,"2.16"
486100,"2.02"
486099,"1.81"
486098,"0.96"
486097,"1.55"
486096,"1.59"
486095,"1.57"
486094,"1.61"
486092,"1.57"
486091,"0.72"
486090,"1.17"
486089,"1.21"
486088,"1.27"
486087,"1.22"
486086,"1.29"
486085,"1.21"
486083,"0.66"
486082,"1.03"
486080,"1.05"
486079,"1.08"
486077,"1.04"
486076,"0.53"
486075,"0.89"
486074,"0.92"
486073,"0.94"
486071,"0.91"
486069,"0.71"
486068,"0.75"
486067,"0.7"
486064,"0.73"
486062,"0.3"
486060,"0.49"
486059,"0.5"
486058,"0.63"
486056,"0.36"
486054,"0.34"
486053,"0.34"
486052,"19.16"
486051,"7.13"
486047,"1.45"
486045,"2.19"
486044,"0.98"
486043,"1.67"
486042,"1.6"
486038,"1.11"
486034,"6.08"
486033,"5.08"
486032,"3.96"
486031,"1.07"
486030,"1.61"
486029,"1.69"
486028,"1.29"
486027,"2.49"
486026,"2.32"
486025,"2.32"
486023,"1.73"
486022,"1.73"
486021,"1.73"
486020,"1.73"
486019,"1.27"
486018,"1.27"
486017,"1.27"
486015,"0.94"
486014,"0.33"
486013,"5.47"
486012,"1.1"
486011,"2.82"
486010,"0.45"
486007,"0.45"
486006,"1.67"
486005,"0.33"
486004,"0.26"
486003,"0.51"
486002,"0.26"
486001,"4.84"
485998,"2.25"
485997,"4.79"
485995,"3.47"
485994,"3.7"
485993,"2.29"
485991,"2.26"
485988,"2.91"
485987,"2.91"
485986,"2.1"
485985,"1.69"
485983,"2.32"
485982,"10.63"
485981,"8.66"
485980,"1.85"
485979,"1.55"
485978,"6.92"
485977,"0.65"
485976,"2.89"
485975,"0.66"
485974,"0.49"
485973,"2.13"
485971,"2.09"
485970,"10.37"
485969,"1.43"
485968,"4.29"
485967,"1.55"
485966,"0.4"
485965,"2.89"
485964,"0.57"
485963,"3.78"
485960,"14.3"
485959,"15.46"
485958,"3.44"
485957,"11.65"
485956,"12.67"
485955,"2.77"
485954,"9.47"
485953,"2.29"
485952,"7.41"
485951,"1.84"
485950,"5.82"
485949,"5.84"
485948,"1.45"
485947,"4.35"
485946,"4.77"
485945,"1.11"
485944,"10.22"
485943,"2.51"
485942,"8.37"
485941,"2.19"
485939,"4.85"
485938,"1.36"
485937,"4.41"
485936,"4.41"
485935,"4.83"
485934,"1.27"
485933,"1.2"
485932,"3.14"
485931,"3.39"
485929,"0.85"
485928,"2.43"
485927,"2.58"
485926,"2.58"
485925,"0.68"
485924,"1.78"
485923,"1.86"
485922,"0.49"
485921,"1.6"
485920,"1.72"
485919,"0.45"
485918,"1.47"
485917,"0.38"
485916,"1.08"
485915,"0.28"
485914,"0.46"
485913,"0.71"
485912,"0.7"
485910,"0.18"
485908,"0.46"
485907,"0.12"
485906,"0.93"
485905,"0.23"
485900,"5.16"
485898,"15.28"
485897,"3.78"
485896,"13.2"
485895,"13.18"
485894,"3"
485893,"11.42"
485891,"2.68"
485889,"9.65"
485887,"2.19"
485886,"1.88"
485885,"7.64"
485884,"8.12"
485883,"8.12"
485882,"1.89"
485879,"6.98"
485877,"1.5"
485876,"1.3"
485875,"5.27"
485874,"5.66"
485873,"5.67"
485872,"1.3"
485871,"4.21"
485870,"4.21"
485869,"4.62"
485867,"4.31"
485866,"4.38"
485865,"1.06"
485864,"3.4"
485861,"3.65"
485860,"3.65"
485859,"3.38"
485857,"0.85"
485856,"2.65"
485855,"2.67"
485854,"2.91"
485853,"2.91"
485852,"2.68"
485851,"2.67"
485850,"0.66"
485849,"0.66"
485848,"2.06"
485847,"2.08"
485846,"2.09"
485845,"2.25"
485844,"2.2"
485843,"2.22"
485841,"2.07"
485840,"2.22"
485839,"2.06"
485838,"0.52"
485836,"1.51"
485835,"1.52"
485834,"1.91"
485833,"1.63"
485830,"0.37"
485828,"1.12"
485827,"1.44"
485826,"1.2"
485825,"1.2"
485824,"1.4"
485823,"1.13"
485822,"1.13"
485821,"0.3"
485820,"0.91"
485819,"0.83"
485818,"0.85"
485817,"0.9"
485816,"0.2"
485815,"0.56"
485814,"0.59"
485813,"0.13"
485811,"14.57"
485809,"12.24"
485808,"3.17"
485805,"7.05"
485802,"1.85"
485801,"1.74"
485800,"5.39"
485799,"5.8"
485798,"1.44"
485796,"4.69"
485795,"4.69"
485794,"1.32"
485793,"3.52"
485792,"3.71"
485791,"3.48"
485790,"3.73"
485789,"0.98"
485788,"0.81"
485787,"2.92"
485786,"2.93"
485784,"3.11"
485783,"0.81"
485782,"2.67"
485781,"2.6"
485780,"2.85"
485779,"2.86"
485778,"0.83"
485777,"0.77"
485776,"2.52"
485775,"2.59"
485774,"2.6"
485773,"0.72"
485772,"1.93"
485771,"2.01"
485770,"2.03"
485769,"2"
485768,"2.03"
485766,"2.03"
485765,"0.51"
485764,"1.62"
485763,"1.67"
485762,"1.7"
485760,"1.61"
485759,"1.48"
485758,"0.45"
485757,"1.14"
485755,"1.22"
485754,"0.33"
485752,"1.02"
485751,"1.1"
485750,"1.1"
485749,"1.08"
485748,"0.28"
485747,"0.88"
485746,"0.92"
485745,"0.92"
485744,"0.87"
485743,"0.23"
485742,"0.73"
485741,"0.18"
485740,"0.13"
485739,"0.5"
485738,"0.51"
485737,"0.53"
485735,"0.34"
485732,"0.09"
485731,"5.48"
485730,"4.88"
485729,"4.86"
485728,"1.5"
486351,"1.41"
486350,"0.77"
486349,"9.64"
486348,"14.01"
486347,"14.3"
486346,"15"
486344,"7.96"
486343,"8.58"
486342,"6.42"
486341,"6.43"
486340,"3.2"
486339,"5.18"
486338,"5.18"
486337,"5.17"
486336,"5.19"
486335,"4.7"
486334,"4.47"
486333,"4.69"
486332,"4.47"
486330,"4.85"
486329,"2.48"
486328,"4.14"
486327,"4.85"
486326,"4.26"
486325,"4.26"
486324,"2.08"
486323,"3.45"
486322,"3.63"
486321,"3"
486320,"1.51"
486319,"2.46"
486318,"2.47"
486317,"2.56"
486316,"2.52"
486314,"1.81"
486313,"1.82"
486312,"1.88"
486309,"1.63"
486308,"1.69"
486307,"0.94"
486306,"1.49"
486305,"1.56"
486304,"1.14"
486303,"1.14"
486302,"1.1"
486301,"1.09"
486300,"1.15"
486298,"0.45"
486296,"0.75"
486295,"0.75"
486294,"0.71"
486293,"0.75"
486292,"0.44"
486291,"0.43"
486290,"0.46"
486289,"0.46"
486288,"0.47"
486287,"0.48"
486285,"22.71"
486284,"4.81"
486281,"1.91"
486278,"1.41"
486277,"2.3"
486276,"1.29"
486275,"2.21"
486274,"2.14"
486272,"23.96"
486271,"25.77"
486267,"12.66"
486266,"13.15"
486264,"6.95"
486263,"11.09"
486261,"4.83"
486260,"7.82"
486259,"8.01"
486258,"4.13"
486257,"6.53"
486256,"6.78"
486255,"6.96"
486253,"6.77"
486252,"3.42"
486251,"5.36"
486250,"5.54"
486248,"5.87"
486244,"2.75"
486243,"4.28"
486242,"4.49"
486241,"4.31"
486240,"4.51"
486239,"4.49"
486233,"2.16"
486232,"3.43"
486231,"3.57"
486230,"3.57"
486229,"3.65"
486228,"3.65"
486227,"3.66"
486224,"1.72"
486223,"2.72"
486222,"2.82"
486221,"2.71"
486220,"1"
486219,"2.83"
486218,"2.87"
486216,"2.82"
486214,"1.32"
486213,"2.11"
486212,"2.19"
486211,"2.12"
486210,"2.18"
486209,"2.27"
486208,"2.2"
486207,"2.14"
486206,"2.08"
486205,"2.16"
486203,"0.74"
486201,"2.17"
486197,"0.97"
486195,"1.61"
486194,"1.61"
486193,"1.65"
486192,"1.55"
486191,"1.61"
486190,"1.61"
486189,"1.78"
486188,"1.74"
486187,"1.53"
486186,"1.64"
486183,"0.69"
486182,"1.16"
486181,"1.22"
486180,"1.18"
486179,"1.15"
486178,"1.13"
486177,"1.19"
486176,"1.18"
486174,"1.17"
486173,"1.2"
486172,"0.49"
486171,"0.84"
486170,"0.84"
486167,"0.77"
486166,"0.93"
486165,"0.88"
486164,"0.84"
486163,"0.6"
486162,"0.6"
486161,"0.57"
486160,"0.54"
486159,"0.6"
486158,"0.62"
486157,"0.59"
486156,"0.6"
486155,"19.11"
486154,"19.68"
486153,"8.52"
486152,"13.42"
486151,"13.97"
486150,"13.97"
497560,"575"
479228,"7.87"
479227,"10.01"
479226,"6.5"
479225,"23.48"
479224,"24.09"
479223,"6.97"
479222,"6.97"
479221,"7.38"
479220,"5.1"
479219,"5.75"
479218,"1.26"
479217,"1.25"
479216,"0.65"
479215,"0.5"
479213,"0.48"
479212,"0.17"
479211,"0.3"
479210,"0.12"
479209,"0.48"
479208,"0.11"
479207,"0.3"
479206,"331.54"
479204,"87.14"
479203,"157.26"
479202,"60.5"
479201,"26.2"
479199,"21.5"
479198,"14.8"
479197,"9.4"
479195,"5.17"
479194,"2.88"
479193,"1.37"
479191,"1.02"
479190,"0.5"
479189,"282.19"
479188,"254.42"
479187,"177.47"
479186,"165"
479185,"98.11"
479184,"82"
479183,"40.48"
479182,"51"
479180,"24.03"
479178,"22.4"
479175,"17.4"
479174,"17.4"
479173,"12.9"
479172,"12.23"
479170,"7.63"
479169,"8.09"
479167,"4.49"
479166,"4.76"
479164,"2.78"
479163,"3.02"
479162,"1.54"
479161,"1.9"
479160,"1.19"
479159,"1.33"
479158,"0.68"
479157,"0.82"
479156,"0.66"
479155,"0.66"
479154,"434.31"
479152,"460.75"
479151,"254.63"
479149,"260"
479148,"154.32"
479146,"163"
479145,"104.15"
479143,"91.95"
479139,"46"
479137,"47.7"
479134,"31.79"
479133,"40.8"
479132,"40.26"
479130,"40.34"
479129,"20.38"
479128,"24.46"
479127,"22.07"
479126,"23.8"
479125,"24.7"
479124,"28.93"
479123,"25.1"
479122,"13.22"
479121,"14.76"
479120,"15.74"
479119,"16.05"
479118,"16.31"
479117,"16.6"
479116,"17.28"
479115,"17.1"
479114,"20.77"
479113,"20.64"
479111,"21.03"
479110,"17.62"
479108,"8.29"
479106,"9.23"
479105,"9.49"
479104,"10.2"
479103,"9.95"
479102,"10.66"
479100,"12.3"
479097,"10.97"
479096,"5.05"
479095,"4.69"
479093,"5.33"
479092,"5.91"
479091,"6.09"
479090,"6.27"
479089,"6.36"
479088,"6.7"
484587,"76"
484585,"76"
484584,"72"
484580,"156"
484578,"157"
484576,"152"
484572,"35.24"
484569,"40"
484567,"152"
484565,"50.38"
484558,"61"
484557,"61"
484548,"59"
484543,"31"
484541,"38"
484540,"38"
484539,"40"
484534,"59"
484530,"58"
484525,"140"
484524,"33"
484523,"35"
484522,"35"
484517,"89"
484409,"31"
484407,"37"
484399,"81"
484395,"160"
484392,"82"
484391,"78"
484387,"159"
484385,"156"
484384,"76"
484379,"73"
484377,"135"
484375,"146"
484364,"37.24"
484362,"34.24"
484360,"53.24"
484359,"148"
484356,"52.38"
484351,"73"
484343,"149"
484340,"147"
484337,"73"
484336,"69"
484331,"146"
484328,"144"
484327,"69"
484325,"69"
484322,"65"
484320,"143"
484318,"148"
484316,"146"
484312,"31.24"
484306,"143"
484305,"141"
484303,"44.38"
484301,"124"
484296,"54"
484295,"54"
484292,"120"
484288,"53"
484286,"148"
479087,"6.93"
479086,"7.23"
479084,"6.93"
479012,"25.1"
478951,"10.97"
478939,"2.4"
478938,"2.91"
478937,"2.91"
478936,"3.13"
478935,"3.14"
478934,"3.31"
478933,"3.5"
478931,"3.4"
478930,"3.61"
478929,"3.81"
478927,"3.68"
478926,"4.07"
478925,"4.37"
478919,"1.83"
478918,"2.81"
