id,supplier_id,list_price,cost,description,category_id,catalog_number,weight,condition,is_obsolete,ship_time,freight_class
2271546,125,475.54,139,Browning FBE920X 1 1/2 E920 BRG UNITS,227,FBE920X 1 1/2,12.2,1,FALSE,24,50
2271547,125,356.66,104,Browning FBE920X 1 1/4 E920 BRG UNITS,217,FBE920X 1 1/4,4.55,1,FALSE,24,50
2271548,125,475.54,139,Browning FBE920X 1 11/16 E920 BRG UNITS,217,FBE920X 1 11/16,11.85,1,FALSE,24,50
2271549,125,549.88,160,Browning FBE920X 1 15/16 E920 BRG UNITS,217,FBE920X 1 15/16,12,1,FALSE,24,50
2271550,125,356.66,104,Browning FBE920X 1 3/16 E920 BRG UNITS,217,FBE920X 1 3/16,4.62,1,FALSE,24,50
2271551,125,549.88,160,Browning FBE920X 1 3/4 E920 BRG UNITS,217,FBE920X 1 3/4,13.22,1,FALSE,24,50
2271552,125,496.34,145,Browning FBE920X 1 3/8 E920 BRG UNITS,217,FBE920X 1 3/8,6.7,1,FALSE,24,50
2271553,125,642.34,187,Browning FBE920X 1 5/8 E920 BRG UNITS,217,FBE920X 1 5/8,10,1,FALSE,24,50
2271554,125,401.26,117,Browning FBE920X 1 7/16 E920 BRG UNITS,217,FBE920X 1 7/16,7.48,1,FALSE,24,50
2271555,125,713.32,208,Browning FBE920X 2 1/2 E920 BRG UNITS,217,FBE920X 2 1/2,20.58,1,FALSE,24,50
2271556,125,939.06,274,Browning FBE920X 2 1/4 E920 BRG UNITS,217,FBE920X 2 1/4,21.58,1,FALSE,24,50
2271557,125,1099.7,320,Browning FBE920X 2 11/16 E920 BRG UNITS,217,FBE920X 2 11/16,30.46,1,FALSE,24,50
2271558,125,965.98,281,Browning FBE920X 2 15/16 E920 BRG UNITS,217,FBE920X 2 15/16,28.8,1,FALSE,24,50
2271559,125,624.14,182,Browning FBE920X 2 3/16 E920 BRG UNITS,217,FBE920X 2 3/16,16.05,1,FALSE,24,50
2271560,125,1298.82,378,Browning FBE920X 2 3/4 E920 BRG UNITS,217,FBE920X 2 3/4,30.32,1,FALSE,24,50
2271561,125,662.8,193,Browning FBE920X 2 7/16 E920 BRG UNITS,217,FBE920X 2 7/16,20.6,1,FALSE,24,50
2271562,125,1578.16,459,Browning FBE920X 3 1/2 E920 BRG UNITS,217,FBE920X 3 1/2,45,1,FALSE,24,50
2271563,125,2318.26,674,Browning FBE920X 3 15/16 E920 BRG UNITS,217,FBE920X 3 15/16,71.66,1,FALSE,24,50
2271564,125,2129.24,620,Browning FBE920X 3 3/16 E920 BRG UNITS,217,FBE920X 3 3/16,46,1,FALSE,24,50
2271565,125,1438.5,419,Browning FBE920X 3 7/16 E920 BRG UNITS,217,FBE920X 3 7/16,48.45,1,FALSE,24,50
2271566,125,549.88,160,Browning FBE920X2 E920 BRG UNITS,217,FBE920X2,11.8,1,FALSE,24,50
2271567,125,965.98,281,Browning FBE920X3 E920 BRG UNITS,217,FBE920X3,28.35,1,FALSE,24,50
2271568,125,2882.98,839,Browning FBE920X4 E920 BRG UNITS,217,FBE920X4,70.86,1,FALSE,24,50
2271569,125,903.21,263,Browning PBE920FX 2 1/2 E920 BRG UNITS,227,PBE920FX 2 1/2,20.3,1,FALSE,24,50
2271570,125,903.21,263,Browning PBE920FX 2 1/4 E920 BRG UNITS,227,PBE920FX 2 1/4,19,1,FALSE,24,50
2271571,125,1389.06,404,Browning PBE920FX 2 11/16 E920 BRG UNITS,227,PBE920FX 2 11/16,30.14,1,FALSE,24,50
2271572,125,1099.7,320,Browning PBE920FX 2 15/16 E920 BRG UNITS,227,PBE920FX 2 15/16,29.25,1,FALSE,24,50
2271573,125,1127.2,328,Browning PBE920FX 2 15/16 CTJ E920 BRG UNITS,227,PBE920FX 2 15/16 CTJ,29.92,1,FALSE,24,50
2271574,125,1266.14,369,Browning PBE920FX 2 3/4 E920 BRG UNITS,227,PBE920FX 2 3/4,29.92,1,FALSE,24,50
2271575,125,713.32,208,Browning PBE920FX 2 7/16 E920 BRG UNITS,227,PBE920FX 2 7/16,20.38,1,FALSE,24,50
2271576,125,2073.82,603,Browning PBE920FX 3 1/2 E920 BRG UNITS,227,PBE920FX 3 1/2,48.7,1,FALSE,24,50
2271577,125,2211.26,643,Browning PBE920FX 3 15/16 E920 BRG UNITS,227,PBE920FX 3 15/16,70.05,1,FALSE,24,50
2271578,125,1890.3,550,Browning PBE920FX 3 3/16 E920 BRG UNITS,227,PBE920FX 3 3/16,50.85,1,FALSE,24,50
2271579,125,1521.76,443,Browning PBE920FX 3 7/16 E920 BRG UNITS,227,PBE920FX 3 7/16,48.8,1,FALSE,24,50
2271580,125,3863.78,1124,Browning PBE920FX 4 1/2 E920 BRG UNITS,227,PBE920FX 4 1/2,85.55,1,FALSE,24,50
2271581,125,4814.86,1400,Browning PBE920FX 4 15/16 E920 BRG UNITS,227,PBE920FX 4 15/16,127.4,1,FALSE,24,50
2271582,125,3596.28,1046,Browning PBE920FX 4 7/16 E920 BRG UNITS,227,PBE920FX 4 7/16,84.8,1,FALSE,24,50
2271583,125,1266.14,369,Browning PBE920FX3 E920 BRG UNITS,227,PBE920FX3,28.66,1,FALSE,24,50
2271584,125,2496.6,726,Browning PBE920FX4 E920 BRG UNITS,227,PBE920FX4,69.16,1,FALSE,24,50
2271585,125,6167.22,1794,Browning PBE920FX5 E920 BRG UNITS,227,PBE920FX5,125.8,1,FALSE,24,50
2271586,125,505.26,147,Browning PBE920X 1 1/2 E920 BRG UNITS,227,PBE920X 1 1/2,11.35,1,FALSE,24,50
2271587,125,368.54,108,Browning PBE920X 1 1/4 E920 BRG UNITS,227,PBE920X 1 1/4,4.55,1,FALSE,24,50
2271588,125,505.26,147,Browning PBE920X 1 11/16 E920 BRG UNITS,227,PBE920X 1 11/16,10.95,1,FALSE,24,50
2271589,125,526.06,153,Browning PBE920X 1 15/16 E920 BRG UNITS,227,PBE920X 1 15/16,12.35,1,FALSE,24,50
2271590,125,368.54,108,Browning PBE920X 1 3/16 E920 BRG UNITS,227,PBE920X 1 3/16,4.65,1,FALSE,24,50
2271591,125,564.7,165,Browning PBE920X 1 3/4 E920 BRG UNITS,227,PBE920X 1 3/4,12.8,1,FALSE,24,50
2271592,125,416.1,121,Browning PBE920X 1 3/8 E920 BRG UNITS,227,PBE920X 1 3/8,7.76,1,FALSE,24,50
2271593,125,554.31,162,Browning PBE920X 1 5/8 E920 BRG UNITS,227,PBE920X 1 5/8,11.2,1,FALSE,24,50
2271594,125,416.1,121,Browning PBE920X 1 7/16 E920 BRG UNITS,227,PBE920X 1 7/16,7.55,1,FALSE,24,50
2271595,125,731.32,213,Browning PBE920X 2 1/2 E920 BRG UNITS,227,PBE920X 2 1/2,20.25,1,FALSE,24,50
2271596,125,713.32,208,Browning PBE920X 2 1/4 E920 BRG UNITS,227,PBE920X 2 1/4,21.3,1,FALSE,24,50
2271597,125,1099.7,320,Browning PBE920X 2 11/16 E920 BRG UNITS,227,PBE920X 2 11/16,29.3,1,FALSE,24,50
2271598,125,1022.4,298,Browning PBE920X 2 15/16 E920 BRG UNITS,227,PBE920X 2 15/16,28.25,1,FALSE,24,50
2271599,125,594.42,173,Browning PBE920X 2 3/16 E920 BRG UNITS,227,PBE920X 2 3/16,15.95,1,FALSE,24,50
2271600,125,1099.7,320,Browning PBE920X 2 3/4 E920 BRG UNITS,227,PBE920X 2 3/4,26,1,FALSE,24,50
2271601,125,662.8,193,Browning PBE920X 2 7/16 E920 BRG UNITS,227,PBE920X 2 7/16,20.6,1,FALSE,24,50
2271602,125,1890.3,550,Browning PBE920X 3 1/2 E920 BRG UNITS,227,PBE920X 3 1/2,47,1,FALSE,24,50
2271603,125,2073.82,603,Browning PBE920X 3 3/16 E920 BRG UNITS,227,PBE920X 3 3/16,49.24,1,FALSE,24,50
2271604,125,1480.1,431,Browning PBE920X 3 7/16 E920 BRG UNITS,227,PBE920X 3 7/16,47.3,1,FALSE,24,50
2271605,125,526.06,153,Browning PBE920X2 E920 BRG UNITS,227,PBE920X2,12.2,1,FALSE,24,50
2271606,125,1099.7,320,Browning PBE920X3 E920 BRG UNITS,227,PBE920X3,28.1,1,FALSE,24,50
2271607,125,674.95,197,Browning TUE920X 1 1/2 E920 BRG UNITS,224,TUE920X 1 1/2,10.52,1,FALSE,24,50
2271608,125,615.22,179,Browning TUE920X 1 11/16 E920 BRG UNITS,224,TUE920X 1 11/16,9,1,FALSE,24,50
2271609,125,692.52,202,Browning TUE920X 1 15/16 E920 BRG UNITS,224,TUE920X 1 15/16,10.58,1,FALSE,24,50
2271610,125,759.75,221,Browning TUE920X 1 3/4 E920 BRG UNITS,224,TUE920X 1 3/4,12,1,FALSE,24,50
2271611,125,564.1,164,Browning TUE920X 1 3/8 E920 BRG UNITS,224,TUE920X 1 3/8,6,1,FALSE,24,50
2271612,125,564.1,164,Browning TUE920X 1 7/16 E920 BRG UNITS,224,TUE920X 1 7/16,6.7,1,FALSE,24,50
2271613,125,1049.98,306,Browning TUE920X 2 1/2 E920 BRG UNITS,224,TUE920X 2 1/2,20.3,1,FALSE,24,50
2271614,125,1468.22,427,Browning TUE920X 2 11/16 E920 BRG UNITS,224,TUE920X 2 11/16,29.92,1,FALSE,24,50
2271615,125,1278.02,372,Browning TUE920X 2 15/16 E920 BRG UNITS,224,TUE920X 2 15/16,28.2,1,FALSE,24,50
2271616,125,855.96,249,Browning TUE920X 2 3/16 E920 BRG UNITS,224,TUE920X 2 3/16,13.92,1,FALSE,24,50
2271617,125,1610.77,469,Browning TUE920X 2 3/4 E920 BRG UNITS,224,TUE920X 2 3/4,28.96,1,FALSE,24,50
2271618,125,817.36,238,Browning TUE920X 2 7/16 E920 BRG UNITS,224,TUE920X 2 7/16,20.6,1,FALSE,24,50
2271619,125,3611.6,1051,Browning TUE920X 3 15/16 E920 BRG UNITS,224,TUE920X 3 15/16,79.24,1,FALSE,24,50
2271620,125,2003.2,583,Browning TUE920X 3 7/16 E920 BRG UNITS,224,TUE920X 3 7/16,47.76,1,FALSE,24,50
2271621,125,5841.8,1699,Browning TUE920X 4 7/16 E920 BRG UNITS,224,TUE920X 4 7/16,74,1,FALSE,24,50
2271622,125,692.52,202,Browning TUE920X2 E920 BRG UNITS,224,TUE920X2,10.52,1,FALSE,24,50
2271623,125,1468.22,427,Browning TUE920X3 E920 BRG UNITS,224,TUE920X3,28.2,1,FALSE,24,50
2271624,125,1760,982,Browning TGC20 TORQ/GARD-900,762,TGC20,2.8,1,FALSE,24,50
2271625,125,1936,1081,Browning TGC200 TORQ/GARD-900,762,TGC200,12.04,1,FALSE,24,50
2271626,125,2944,1643,Browning TGC200SDPA TORQ/GARD-900,762,TGC200SDPA,12.05,1,FALSE,24,50
2271627,125,1450,809,Browning TGC3 TORQ/GARD-900,762,TGC3,1.52,1,FALSE,24,50
2271628,125,3436,1917,Browning TGC400 TORQ/GARD-900,762,TGC400,39.24,1,FALSE,24,50
2271629,125,1520,848,Browning TGC6 TORQ/GARD-900,762,TGC6,1.64,1,FALSE,24,50
2271630,125,1560,871,Browning TGC60 TORQ/GARD-900,762,TGC60,5.28,1,FALSE,24,50
2271631,125,2280,1272,Browning TGC60SDPA TORQ/GARD-900,762,TGC60SDPA,6.28,1,FALSE,24,50
2271632,125,4413.6,2463,Browning TGC800 TORQ/GARD-900,762,TGC800,39.35,1,FALSE,24,50
2271633,125,3313.2,1399,Browning 12T2000A2 TAKEUP FRAMES,228,12T2000A2,55,1,FALSE,24,50
2271634,125,3313.2,1399,Browning 12T2000B2 TAKEUP FRAMES,228,12T2000B2,55,1,FALSE,24,50
2271635,125,3631.87,1534,Browning 12T2000C2 TAKEUP FRAMES,228,12T2000C2,55,1,FALSE,24,50
2271636,125,3368.8,1422,Browning 18T2000A2 TAKEUP FRAMES,228,18T2000A2,60,1,FALSE,24,50
2271637,125,3368.8,1422,Browning 18T2000B2 TAKEUP FRAMES,228,18T2000B2,60,1,FALSE,24,50
2271638,125,3368.8,1422,Browning 18T2000C2 TAKEUP FRAMES,228,18T2000C2,60,1,FALSE,24,50
2271639,125,4398.8,1857,Browning 18T2000D2 TAKEUP FRAMES,228,18T2000D2,86,1,FALSE,24,50
2271640,125,4398.8,1857,Browning 18T2000D4 TAKEUP FRAMES,228,18T2000D4,86,1,FALSE,24,50
2271641,125,4398.8,1857,Browning 18T2000E2 TAKEUP FRAMES,228,18T2000E2,86,1,FALSE,24,50
2271642,125,4398.8,1857,Browning 18T2000E4 TAKEUP FRAMES,228,18T2000E4,86,1,FALSE,24,50
2271643,125,4886,2063,Browning 18T2000F2 TAKEUP FRAMES,228,18T2000F2,138,1,FALSE,24,50
2271644,125,4886,2063,Browning 18T2000F4 TAKEUP FRAMES,228,18T2000F4,138,1,FALSE,24,50
2271645,125,4886,2063,Browning 18T2000G2 TAKEUP FRAMES,228,18T2000G2,138,1,FALSE,24,50
2271646,125,4886,2063,Browning 18T2000G4 TAKEUP FRAMES,228,18T2000G4,138,1,FALSE,24,50
2271647,125,5749.2,2427,Browning 18T2000H2 TAKEUP FRAMES,228,18T2000H2,150,1,FALSE,24,50
