id,additional_description
524810,"<table class=""description-table""><tr><th>Adjusting Screw Thread Size</th><td>M10</td></tr><tr><th>Breather Thread Size</th><td>M10</td></tr><tr><th>Overall Height</th><td>1. 79 in</td></tr><tr><th>Overall Width</th><td>1. 97 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Thread Size</th><td>M10</td></tr><tr><th>Insert Length</th><td>1. 57 in</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
843333,"<table class=""description-table""><tr><th>Adjusting Screw Thread Size</th><td>M4</td></tr><tr><th>Belt Guard Overall Width</th><td>0. 63 in</td></tr><tr><th>Bore Shape</th><td>Round</td></tr><tr><th>Breather Thread Size</th><td>M4</td></tr><tr><th>Diameter of the Shaft</th><td>1. 25 in</td></tr><tr><th>Flange Diameter</th><td>1. 57 in</td></tr><tr><th>Overall Width</th><td>0. 63 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
843037,"<table class=""description-table""><tr><th>Adjusting Screw Thread Size</th><td>M6</td></tr><tr><th>Breather Thread Size</th><td>M6</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Thread Size</th><td>M6</td></tr><tr><th>Handle Height</th><td>1. 57 in</td></tr><tr><th>Handle Length</th><td>1. 57 in</td></tr><tr><th>Hub Diameter</th><td>0. 63 in</td></tr><tr><th>Hub Height</th><td>1. 26 in</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
846096,"<table class=""description-table""><tr><th>Adjustment Slot Width</th><td>0. 33 in</td></tr><tr><th>Available Frame Bolt Hole Spacing</th><td>1. 18 in</td></tr><tr><th>Bolt Hole Spacing (Width)</th><td>33 in</td></tr><tr><th>Bore Size</th><td>2 in</td></tr><tr><th>Diameter of the Shaft (tube)</th><td>2 in (tube)</td></tr><tr><th>Overall Height</th><td>6. 77 in</td></tr><tr><th>Overall Width</th><td>2. 72 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
844814,"<table class=""description-table""><tr><th>Adjustment Slot Width</th><td>0. 41 in</td></tr><tr><th>Available Frame Bolt Hole Spacing</th><td>3. 31 in</td></tr><tr><th>Bolt Hole Spacing (Width)</th><td>0. 94 in</td></tr><tr><th>Bore Size</th><td>1. 9 in</td></tr><tr><th>Diameter of the Shaft (tube)</th><td>1 1/2 (pipe)</td></tr><tr><th>Hole Spacing Width</th><td>2. 83 in</td></tr><tr><th>Overall Height</th><td>4. 92 in</td></tr><tr><th>Overall Width</th><td>4. 57 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
526875,"<table class=""description-table""><tr><th>Assembled with Nut</th><td>No</td></tr><tr><th>Stud Length</th><td>0. 75 in</td></tr><tr><th>Breather Thread Size</th><td>5/16-18</td></tr><tr><th>Clevis Overall Length (Tie Rod)</th><td>1 in</td></tr><tr><th>Hardware Included</th><td>No</td></tr><tr><th>Overall Length</th><td>1 in</td></tr><tr><th>Overall Width</th><td>0. 86 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Thread Size</th><td>5/16-18</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
843444,"<table class=""description-table""><tr><th>Assembled with Nut</th><td>No</td></tr><tr><th>Stud Length</th><td>0. 875 in</td></tr><tr><th>Breather Thread Size</th><td>M8</td></tr><tr><th>Clevis Overall Length (Tie Rod)</th><td>1 in</td></tr><tr><th>Hardware Included</th><td>No</td></tr><tr><th>Overall Length</th><td>1 in</td></tr><tr><th>Overall Width</th><td>0. 86 in</td></tr></table>"
853299,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>0. 13 in</td></tr><tr><th>Overall Height</th><td>0. 89 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
524877,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>0. 46 in</td></tr><tr><th>Overall Height</th><td>0. 7 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
524874,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>0. 46 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
524883,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>1 in</td></tr><tr><th>Overall Height</th><td>0. 7 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
524881,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>1 in</td></tr><tr><th>Overall Height</th><td>0. 84 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
524876,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>1. 25 in</td></tr><tr><th>Overall Height</th><td>0. 84 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
524878,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>1. 6 in</td></tr><tr><th>Overall Height</th><td>0. 84 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
524879,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>2. 25 in</td></tr><tr><th>Overall Height</th><td>0. 84 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
524872,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Overall Height</th><td>0. 7 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 67 in</td></tr></table>"
855863,"<table class=""description-table""><tr><th>Adapter Length</th><td>10 ft</td></tr><tr><th>Length</th><td>3 m</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
845331,"<table class=""description-table""><tr><th>Adapter Length</th><td>14. 6 in</td></tr><tr><th>Assembled Item</th><td>40mm x 10mm Plate</td></tr><tr><th>Length</th><td>14. 6 in</td></tr><tr><th>Module Length</th><td>2. 93 in</td></tr><tr><th>Overall Height</th><td>1. 81 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Module Height</th><td>1. 81 in</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
845330,"<table class=""description-table""><tr><th>Adapter Length</th><td>14. 63 in</td></tr><tr><th>Assembled Item</th><td>M Profile Part 537-689231</td></tr><tr><th>Clevis Overall Length (Tie Rod)</th><td>14. 63 in</td></tr><tr><th>Length</th><td>14. 63 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Module Height</th><td>1. 81 in</td></tr><tr><th>Module Length</th><td>2. 93 in</td></tr><tr><th>Module Width</th><td>1. 26 in</td></tr><tr><th>Roller Height</th><td>1. 26 in</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
844070,"<table class=""description-table""><tr><th>Adapter Length</th><td>180 mm</td></tr><tr><th>Adjusting Screw Thread Size</th><td>M8</td></tr><tr><th>Breather Thread Size</th><td>M8</td></tr><tr><th>Length</th><td>180 mm</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Thread Size</th><td>M8</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
852882,"<table class=""description-table""><tr><th>Adapter Length</th><td>19. 29 in</td></tr><tr><th>Adjusting Screw Clearance Hole Diameter</th><td>2 in</td></tr><tr><th>Adjusting Screw Thread Size</th><td>M16</td></tr><tr><th>Base Material</th><td>Reinforced Nylon (PA)</td></tr><tr><th>Bore Size</th><td>2 in</td></tr><tr><th>Clevis Overall Length (Tie Rod)</th><td>19. 29 in</td></tr><tr><th>Diameter of the Shaft (tube)</th><td>2 in (tube)</td></tr><tr><th>Length</th><td>19. 29 in</td></tr><tr><th>Overall Height</th><td>5. 71 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Tube Outside Diameter</th><td>2 in</td></tr><tr><th>Static Load [max]</th><td>2250 lb</td></tr><tr><th>Thread Height</th><td>2. 13 in</td></tr><tr><th>Hub Diameter</th><td>3. 15 in</td></tr><tr><th>Hub Height</th><td>3. 35 in</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
851345,"<table class=""description-table""><tr><th>Adapter Length</th><td>19. 29 in</td></tr><tr><th>Adjusting Screw Clearance Hole Diameter</th><td>2 in</td></tr><tr><th>Adjusting Screw Thread Size</th><td>M16</td></tr><tr><th>Base Material</th><td>Reinforced Nylon (PA)</td></tr><tr><th>Clevis Overall Length (Tie Rod)</th><td>19. 29 in</td></tr><tr><th>Length</th><td>19. 29 in</td></tr><tr><th>Overall Height</th><td>5. 71 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Tube Outside Diameter</th><td>2 in</td></tr><tr><th>Static Load [max]</th><td>2160 lb</td></tr><tr><th>Thread Height</th><td>2. 13 in</td></tr><tr><th>Hub Diameter</th><td>3. 15 in</td></tr><tr><th>Hub Height</th><td>3. 35 in</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
843998,"<table class=""description-table""><tr><th>Adapter Length</th><td>3 m</td></tr><tr><th>Length</th><td>10 ft</td></tr><tr><th>Outside Face Width</th><td>0. 33 in</td></tr><tr><th>Overall Height</th><td>0. 65 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Base Width</th><td>0. 65 in</td></tr><tr><th>Special Feature</th><td>Guide Rails</td></tr></table>"
844271,"<table class=""description-table""><tr><th>Adapter Length</th><td>3. 15 in</td></tr><tr><th>Adjusting Rod Diameter</th><td>0. 5 in</td></tr><tr><th>Adjustment Slot Width</th><td>0. 41 in</td></tr><tr><th>Clevis Overall Length (Tie Rod)</th><td>3. 15 in</td></tr><tr><th>Length</th><td>3. 15 in</td></tr><tr><th>Overall Height</th><td>9. 47 in</td></tr><tr><th>Overall Width</th><td>1. 77 in</td></tr><tr><th>Rod Diameter</th><td>0. 5 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
844925,"<table class=""description-table""><tr><th>Adapter Length</th><td>3. 27 in</td></tr><tr><th>Adjustment Slot Width</th><td>0. 41 in</td></tr><tr><th>Clevis Overall Length (Tie Rod)</th><td>3. 27 in</td></tr><tr><th>Length</th><td>3. 27 in</td></tr><tr><th>Overall Height</th><td>6. 18 in</td></tr><tr><th>Overall Width</th><td>1. 65 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr><tr><th>Special Feature</th><td>Components</td></tr></table>"
524555,"<table class=""description-table""><tr><th>Adapter Length</th><td>3. 38 in</td></tr><tr><th>Attachment Slot Width</th><td>0. 34 in</td></tr><tr><th>Length</th><td>3. 38 in</td></tr><tr><th>Overall Width</th><td>3. 38 in</td></tr><tr><th>Slot Width</th><td>0. 34375 in</td></tr><tr><th>Standard Material</th><td>Yes</td></tr></table>"
