id,additional_description
44083,"<table class=""description-table""><tr><th>Description</th><td>QC732 S/R RED. 25: 1 RATIO, NO BASE, 'J' ASSY</td></tr><tr><th>Reduction</th><td>SINGLE</td></tr><tr><th>Output Shaft</th><td>PROJECTING O/P</td></tr><tr><th>Base</th><td>NO BASE</td></tr><tr><th>Input Style</th><td>COUPLED</td></tr><tr><th>Fan Cooled Rating?</th><td>YES</td></tr><tr><th>Output RPM @1750</th><td>70</td></tr><tr><th>Ratio</th><td>25</td></tr><tr><th>Shaft Assembly Code</th><td>J</td></tr><tr><th>Torque Cap (LB-IN)</th><td>2904</td></tr><tr><th>Bore Code</th><td>B7 - 140TC/180C</td></tr><tr><th>Motor HP (Class I)</th><td>2</td></tr><tr><th>Flange</th><td>Yes</td></tr></table>"
43844,"<table class=""description-table""><tr><th>Description</th><td>QC718 S/R RED. 15: 1 RATIO, NO BASE, 'J' ASSY</td></tr><tr><th>Reduction</th><td>SINGLE</td></tr><tr><th>Output Shaft</th><td>PROJECTING O/P</td></tr><tr><th>Base</th><td>NO BASE</td></tr><tr><th>Input Style</th><td>COUPLED</td></tr><tr><th>Fan Cooled Rating?</th><td>NO</td></tr><tr><th>Output RPM @1750</th><td>116. 7</td></tr><tr><th>Ratio</th><td>15</td></tr><tr><th>Shaft Assembly Code</th><td>J</td></tr><tr><th>Torque Cap (LB-IN)</th><td>422</td></tr><tr><th>Bore Code</th><td>B5 - 56C</td></tr><tr><th>Motor HP (Class I)</th><td>1</td></tr><tr><th>Flange</th><td>Yes</td></tr></table>"
36706,"<table class=""description-table""><tr><th>Description</th><td>HELICAL GEAR, 45 HELIX, 12 DP, 14. 5 PA, 15 TEETH, RH</td></tr><tr><th>Material</th><td>STEEL - HARDENED-ALL</td></tr><tr><th>KWY/Setscrew/Other</th><td>KWY ONLY-1/8 X 1/16</td></tr><tr><th>Pitch Diameter (IN)</th><td>1. 250</td></tr><tr><th>Outside Diameter (IN)</th><td>1. 370</td></tr><tr><th>Face Width (IN)</th><td>0. 750</td></tr><tr><th>Bore Diameter (IN)</th><td>0. 625</td></tr></table>"
43655,"<table class=""description-table""><tr><th>Description</th><td>F732 S/R RED. 60: 1 RATIO, NO BASE, 'G' ASSY</td></tr><tr><th>Reduction</th><td>SINGLE</td></tr><tr><th>Output Shaft</th><td>PROJECTING O/P</td></tr><tr><th>Base</th><td>NO BASE</td></tr><tr><th>Input Style</th><td>QUILL</td></tr><tr><th>Fan Cooled Rating?</th><td>YES</td></tr><tr><th>Output RPM @1750</th><td>29. 2</td></tr><tr><th>Ratio</th><td>60</td></tr><tr><th>Shaft Assembly Code</th><td>G</td></tr><tr><th>Torque Cap (LB-IN)</th><td>2750</td></tr><tr><th>Bore Code</th><td>B7 - 140TC/180C</td></tr><tr><th>Motor HP (Class I)</th><td>1-1/2</td></tr><tr><th>Flange</th><td>Yes</td></tr></table>"
35136,"<table class=""description-table""><tr><th>Description</th><td>SPUR GEAR, 6 DP, 20 PA, 21 TEETH, STEEL</td></tr><tr><th>Torque Rating (LB IN)</th><td>1605 @ 900 RPM MAX</td></tr><tr><th>Keyway/Setscrew</th><td>NO KWY OR SETSCREW</td></tr><tr><th>Pitch Diameter (IN)</th><td>3. 500</td></tr><tr><th>Face Width (IN)</th><td>2. 000</td></tr><tr><th>Bore Diameter (IN)</th><td>1. 000</td></tr><tr><th>Hub Diameter (IN)</th><td>2. 95</td></tr></table>"
42617,"<table class=""description-table""><tr><th>Description</th><td>F715 S/R RED. 40: 1 RATIO, NO BASE, 'H' ASSY</td></tr><tr><th>Reduction</th><td>SINGLE</td></tr><tr><th>Output Shaft</th><td>PROJECTING O/P</td></tr><tr><th>Base</th><td>NO BASE</td></tr><tr><th>Input Style</th><td>QUILL</td></tr><tr><th>Fan Cooled Rating?</th><td>NO</td></tr><tr><th>Output RPM @1750</th><td>43. 8</td></tr><tr><th>Ratio</th><td>40</td></tr><tr><th>Shaft Assembly Code</th><td>H</td></tr><tr><th>Torque Cap (LB-IN)</th><td>368</td></tr><tr><th>Bore Code</th><td>B5 - 56C</td></tr><tr><th>Motor HP (Class I)</th><td>1/3</td></tr><tr><th>Flange</th><td>Yes</td></tr></table>"
36181,"<table class=""description-table""><tr><th>Description</th><td>RACK GEAR, 14 1/2 PA, 12 DP, STEEL, </td></tr><tr><th>Length (Ft)</th><td>6</td></tr><tr><th>Face Width (IN)</th><td>0. 750</td></tr><tr><th>Pitch Line to Back (IN)</th><td>0. 417</td></tr><tr><th>Overall Thickness (IN)</th><td>0. 500</td></tr></table>"
42692,"<table class=""description-table""><tr><th>Description</th><td>F724 S/R RED. 15: 1 RATIO, NO BASE, 'H' ASSY</td></tr><tr><th>Reduction</th><td>SINGLE</td></tr><tr><th>Output Shaft</th><td>PROJECTING O/P</td></tr><tr><th>Base</th><td>NO BASE</td></tr><tr><th>Input Style</th><td>QUILL</td></tr><tr><th>Fan Cooled Rating?</th><td>NO</td></tr><tr><th>Output RPM @1750</th><td>116. 7</td></tr><tr><th>Ratio</th><td>15</td></tr><tr><th>Shaft Assembly Code</th><td>H</td></tr><tr><th>Torque Cap (LB-IN)</th><td>900</td></tr><tr><th>Bore Code</th><td>B7 - 140TC/180C</td></tr><tr><th>Motor HP (Class I)</th><td>2</td></tr><tr><th>Flange</th><td>Yes</td></tr></table>"
34920,"<table class=""description-table""><tr><th>Description</th><td>SPUR GEAR, 32 DP, 14 1/2 PA, 22 TEETH, STEEL</td></tr><tr><th>Torque Rating (LB IN)</th><td>7. 6 @ 1800 RPM</td></tr><tr><th>Keyway/Setscrew</th><td>NO KWY OR SETSCREW</td></tr><tr><th>Pitch Diameter (IN)</th><td>0. 688</td></tr><tr><th>Face Width (IN)</th><td>0. 187</td></tr><tr><th>Bore Diameter (IN)</th><td>0. 250</td></tr><tr><th>Hub Diameter (IN)</th><td>0. 00</td></tr></table>"
41999,"<table class=""description-table""><tr><th>Description</th><td>F738 S/R RED. 60: 1 RATIO, NO BASE, 'J' ASSY</td></tr><tr><th>Reduction</th><td>SINGLE</td></tr><tr><th>Output Shaft</th><td>PROJECTING O/P</td></tr><tr><th>Base</th><td>NO BASE</td></tr><tr><th>Input Style</th><td>QUILL</td></tr><tr><th>Fan Cooled Rating?</th><td>YES</td></tr><tr><th>Output RPM @1750</th><td>29. 2</td></tr><tr><th>Ratio</th><td>60</td></tr><tr><th>Shaft Assembly Code</th><td>J</td></tr><tr><th>Torque Cap (LB-IN)</th><td>3907</td></tr><tr><th>Bore Code</th><td>B7 - 140TC/180C</td></tr><tr><th>Motor HP (Class I)</th><td>2</td></tr><tr><th>Flange</th><td>Yes</td></tr></table>"
36104,"<table class=""description-table""><tr><th>Description</th><td>MITER GEAR, 6 DP, 20 PA, 1: 1 R, 24 TEETH, STEEL</td></tr><tr><th>Diametral Pitch</th><td>6</td></tr><tr><th>Material &amp; Condition</th><td>STEEL-HARDENED-TEETH</td></tr><tr><th>Torque Rating (LB-IN)</th><td>NOT RATED</td></tr><tr><th>KWY/Setscrew/Other</th><td>W/KWY &amp; SETSCREWS</td></tr><tr><th>Pitch Diameter (IN)</th><td>4. 000</td></tr><tr><th>Outside Diameter (IN)</th><td>4. 240</td></tr><tr><th>Mounting Distance</th><td>3. 625</td></tr><tr><th>Bore Diameter (IN)</th><td>1. 250</td></tr></table>"
35982,"<table class=""description-table""><tr><th>Description</th><td>MITER GEAR, 32 DP, 20 PA, 1: 1 R, 24 TEETH, STEEL</td></tr><tr><th>Diametral Pitch</th><td>32</td></tr><tr><th>Material &amp; Condition</th><td>STEEL-UNHARDENED</td></tr><tr><th>Torque Rating (LB-IN)</th><td>NOT RATED</td></tr><tr><th>KWY/Setscrew/Other</th><td>NO KWY OR SETSCREW</td></tr><tr><th>Pitch Diameter (IN)</th><td>0. 750</td></tr><tr><th>Outside Diameter (IN)</th><td>0. 790</td></tr><tr><th>Mounting Distance</th><td>0. 688</td></tr><tr><th>Bore Diameter (IN)</th><td>0. 188</td></tr></table>"
34786,"<table class=""description-table""><tr><th>Description</th><td>SPUR GEAR, 32 DP, 14 1/2 PA, 40 TEETH, BRASS</td></tr><tr><th>Torque Rating (LB IN)</th><td>SEE TEXT</td></tr><tr><th>Keyway/Setscrew</th><td>NO KWY OR SETSCREW</td></tr><tr><th>Pitch Diameter (IN)</th><td>1. 250</td></tr><tr><th>Face Width (IN)</th><td>0. 187</td></tr><tr><th>Bore Diameter (IN)</th><td>0. 250</td></tr><tr><th>Hub Diameter (IN)</th><td>0. 00</td></tr></table>"
44443,"<table class=""description-table""><tr><th>Description</th><td>F730 S/R RED. 30: 1 RATIO, NO BASE, 'H' ASSY</td></tr><tr><th>Reduction</th><td>SINGLE</td></tr><tr><th>Output Shaft</th><td>SOLID O/P</td></tr><tr><th>Base</th><td>NO BASE</td></tr><tr><th>Input Style</th><td>QUILL</td></tr><tr><th>Fan Cooled Rating?</th><td>NO</td></tr><tr><th>Output RPM @1750</th><td>58. 3</td></tr><tr><th>Ratio</th><td>30</td></tr><tr><th>Shaft Assembly Code</th><td>H</td></tr><tr><th>Torque Cap (LB-IN)</th><td>1725</td></tr><tr><th>Bore Code</th><td>B7 - 140TC</td></tr><tr><th>Motor HP (Class I)</th><td>2</td></tr><tr><th>Flange</th><td>Yes</td></tr></table>"
