id,additional_description
1387466,"<table class=""description-table""><tr><th>Model Number</th><td>EH0152DFA</td></tr><tr><th>Horsepower</th><td>15</td></tr><tr><th>RPM</th><td>3600</td></tr><tr><th>RPM (full load)</th><td>3500</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>215T</td></tr><tr><th>Mounting</th><td>Footed</td></tr><tr><th>Enclosure</th><td>ODP</td></tr><tr><th>Amps</th><td>36. 8/18. 4</td></tr><tr><th>Amps (locked)</th><td>232/116</td></tr><tr><th>Efficiency (at 100%)</th><td>90. 2</td></tr><tr><th>Efficiency (at 75%)</th><td>90. 5</td></tr><tr><th>Efficiency (at 50%)</th><td>89. 6</td></tr><tr><th>Power Factor (at 100%)</th><td>86. 5</td></tr><tr><th>Power Factor (at 75%)</th><td>84. 0</td></tr><tr><th>Power Factor (at 50%)</th><td>77. 0</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>22. 50</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>210</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>260</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>Premium</td></tr><tr><th>Construction Materials</th><td>Cast Iron</td></tr><tr><th>Estimated Weight</th><td>178. 00</td></tr><tr><th>Washdown</th><td>No</td></tr><tr><th>Wiring Diagram</th><td>Main: 3, 4 - Alternate: 6, 7</td></tr></table>"
1387515,"<table class=""description-table""><tr><th>Model Number</th><td>SIY054MCI</td></tr><tr><th>Horsepower</th><td>. 5</td></tr><tr><th>RPM</th><td>1800</td></tr><tr><th>RPM (full load)</th><td>1765</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>56C</td></tr><tr><th>Mounting</th><td>C-Face Footless</td></tr><tr><th>Enclosure</th><td>TENV</td></tr><tr><th>Amps</th><td>1. 64/0. 82</td></tr><tr><th>Amps (locked)</th><td>16/8</td></tr><tr><th>Efficiency (at 100%)</th><td>79. 0</td></tr><tr><th>Efficiency (at 75%)</th><td>78. 5</td></tr><tr><th>Efficiency (at 50%)</th><td>73. 5</td></tr><tr><th>Power Factor (at 100%)</th><td>72. 3</td></tr><tr><th>Power Factor (at 75%)</th><td>63. 2</td></tr><tr><th>Power Factor (at 50%)</th><td>50. 9</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>1. 48</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>300</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>400</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>EISA 2007</td></tr><tr><th>Construction Materials</th><td>Stainless Steel</td></tr><tr><th>Estimated Weight</th><td>32. 00</td></tr><tr><th>Washdown</th><td>Yes</td></tr><tr><th>Wiring Diagram</th><td>1, 2</td></tr></table>"
1387602,"<table class=""description-table""><tr><th>Model Number</th><td>DHY752FHA</td></tr><tr><th>Horsepower</th><td>7. 5</td></tr><tr><th>RPM</th><td>3600</td></tr><tr><th>RPM (full load)</th><td>3525</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>213TC</td></tr><tr><th>Mounting</th><td>C-Face Footed</td></tr><tr><th>Enclosure</th><td>TEFC</td></tr><tr><th>Amps</th><td>17. 2/8. 6</td></tr><tr><th>Amps (locked)</th><td>142/71</td></tr><tr><th>Efficiency (at 100%)</th><td>89. 5</td></tr><tr><th>Efficiency (at 75%)</th><td>89. 0</td></tr><tr><th>Efficiency (at 50%)</th><td>87. 2</td></tr><tr><th>Power Factor (at 100%)</th><td>92. 1</td></tr><tr><th>Power Factor (at 75%)</th><td>92. 0</td></tr><tr><th>Power Factor (at 50%)</th><td>88. 7</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>11. 14</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>200</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>300</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>Premium</td></tr><tr><th>Construction Materials</th><td>Rolled Steel</td></tr><tr><th>Estimated Weight</th><td>124. 00</td></tr><tr><th>Washdown</th><td>No</td></tr><tr><th>Wiring Diagram</th><td>1, 2</td></tr></table>"
1387788,"<table class=""description-table""><tr><th>Model Number</th><td>XH0032PJA</td></tr><tr><th>Horsepower</th><td>3</td></tr><tr><th>RPM</th><td>3600</td></tr><tr><th>RPM (full load)</th><td>3525</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>182JM</td></tr><tr><th>Mounting</th><td>C-Face Footed</td></tr><tr><th>Enclosure</th><td>TEFC</td></tr><tr><th>Amps</th><td>7. 4/3. 7</td></tr><tr><th>Amps (locked)</th><td>72/36</td></tr><tr><th>Efficiency (at 100%)</th><td>86. 5</td></tr><tr><th>Efficiency (at 75%)</th><td>86. 3</td></tr><tr><th>Efficiency (at 50%)</th><td>84. 2</td></tr><tr><th>Power Factor (at 100%)</th><td>88. 5</td></tr><tr><th>Power Factor (at 75%)</th><td>84. 0</td></tr><tr><th>Power Factor (at 50%)</th><td>75. 5</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>4. 47</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>250</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>350</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>Premium</td></tr><tr><th>Construction Materials</th><td>Stainless Steel</td></tr><tr><th>Estimated Weight</th><td>83. 00</td></tr><tr><th>Washdown</th><td>Yes</td></tr><tr><th>Wiring Diagram</th><td>1, 2</td></tr></table>"
1387650,"<table class=""description-table""><tr><th>Model Number</th><td>DH0054PHA</td></tr><tr><th>Horsepower</th><td>5</td></tr><tr><th>RPM</th><td>1800</td></tr><tr><th>RPM (full load)</th><td>1760</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>184TC</td></tr><tr><th>Mounting</th><td>C-Face Footed</td></tr><tr><th>Enclosure</th><td>TEFC</td></tr><tr><th>Amps</th><td>13. 2/6. 6</td></tr><tr><th>Amps (locked)</th><td>104/52</td></tr><tr><th>Efficiency (at 100%)</th><td>89. 5</td></tr><tr><th>Efficiency (at 75%)</th><td>89. 0</td></tr><tr><th>Efficiency (at 50%)</th><td>85. 8</td></tr><tr><th>Power Factor (at 100%)</th><td>80. 4</td></tr><tr><th>Power Factor (at 75%)</th><td>74. 0</td></tr><tr><th>Power Factor (at 50%)</th><td>62. 5</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>14. 94</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>250</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>350</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>Premium</td></tr><tr><th>Construction Materials</th><td>Rolled Steel</td></tr><tr><th>Estimated Weight</th><td>98. 00</td></tr><tr><th>Washdown</th><td>Yes</td></tr><tr><th>Wiring Diagram</th><td>1, 2</td></tr></table>"
1387396,"<table class=""description-table""><tr><th>Model Number</th><td>EH0754FFA</td></tr><tr><th>Horsepower</th><td>75</td></tr><tr><th>RPM</th><td>1800</td></tr><tr><th>RPM (full load)</th><td>1770</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>365T</td></tr><tr><th>Mounting</th><td>Footed</td></tr><tr><th>Enclosure</th><td>TEFC</td></tr><tr><th>Amps</th><td>180/90</td></tr><tr><th>Amps (locked)</th><td>1085/542. 5</td></tr><tr><th>Efficiency (at 100%)</th><td>95. 0</td></tr><tr><th>Efficiency (at 75%)</th><td>95. 3</td></tr><tr><th>Efficiency (at 50%)</th><td>94. 5</td></tr><tr><th>Power Factor (at 100%)</th><td>84. 0</td></tr><tr><th>Power Factor (at 75%)</th><td>81. 4</td></tr><tr><th>Power Factor (at 50%)</th><td>75. 5</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>222. 60</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>200</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>240</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>Premium</td></tr><tr><th>Construction Materials</th><td>Cast Iron</td></tr><tr><th>Estimated Weight</th><td>816. 00</td></tr><tr><th>Washdown</th><td>No</td></tr><tr><th>Wiring Diagram</th><td>Main: 3, 4 - Alternate: 5, 6, 7</td></tr></table>"
1387369,"<table class=""description-table""><tr><th>Model Number</th><td>EHY756FFA</td></tr><tr><th>Horsepower</th><td>7. 5</td></tr><tr><th>RPM</th><td>1200</td></tr><tr><th>RPM (full load)</th><td>1170</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>254T</td></tr><tr><th>Mounting</th><td>Footed</td></tr><tr><th>Enclosure</th><td>TEFC</td></tr><tr><th>Amps</th><td>20. 2/10. 1</td></tr><tr><th>Amps (locked)</th><td>127/63. 5</td></tr><tr><th>Efficiency (at 100%)</th><td>91. 7</td></tr><tr><th>Efficiency (at 75%)</th><td>92. 0</td></tr><tr><th>Efficiency (at 50%)</th><td>91. 5</td></tr><tr><th>Power Factor (at 100%)</th><td>77. 0</td></tr><tr><th>Power Factor (at 75%)</th><td>72. 0</td></tr><tr><th>Power Factor (at 50%)</th><td>61. 5</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>33. 70</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>200</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>240</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>Premium</td></tr><tr><th>Construction Materials</th><td>Cast Iron</td></tr><tr><th>Estimated Weight</th><td>238. 00</td></tr><tr><th>Washdown</th><td>No</td></tr><tr><th>Wiring Diagram</th><td>Main: 3, 4 - Alternate: 5, 6, 7</td></tr></table>"
1387392,"<table class=""description-table""><tr><th>Model Number</th><td>EH0304FFA</td></tr><tr><th>Horsepower</th><td>30</td></tr><tr><th>RPM</th><td>1800</td></tr><tr><th>RPM (full load)</th><td>1765</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>286T</td></tr><tr><th>Mounting</th><td>Footed</td></tr><tr><th>Enclosure</th><td>TEFC</td></tr><tr><th>Amps</th><td>72/36</td></tr><tr><th>Amps (locked)</th><td>435/217. 5</td></tr><tr><th>Efficiency (at 100%)</th><td>93. 6</td></tr><tr><th>Efficiency (at 75%)</th><td>93. 9</td></tr><tr><th>Efficiency (at 50%)</th><td>92. 5</td></tr><tr><th>Power Factor (at 100%)</th><td>84. 0</td></tr><tr><th>Power Factor (at 75%)</th><td>81. 5</td></tr><tr><th>Power Factor (at 50%)</th><td>75. 0</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>89. 30</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>200</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>230</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>Premium</td></tr><tr><th>Construction Materials</th><td>Cast Iron</td></tr><tr><th>Estimated Weight</th><td>401. 00</td></tr><tr><th>Washdown</th><td>No</td></tr><tr><th>Wiring Diagram</th><td>Main: 3, 4 - Alternate: 5, 6, 7</td></tr></table>"
1387562,"<table class=""description-table""><tr><th>Model Number</th><td>NBY074FCA</td></tr><tr><th>Horsepower</th><td>. 75</td></tr><tr><th>RPM</th><td>1800</td></tr><tr><th>RPM (full load)</th><td>1725</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>56C</td></tr><tr><th>Mounting</th><td>C-Face Footless</td></tr><tr><th>Enclosure</th><td>TEFC</td></tr><tr><th>Amps</th><td>2. 60/1. 30</td></tr><tr><th>Amps (locked)</th><td>11/5. 5</td></tr><tr><th>Efficiency (at 100%)</th><td>78. 5</td></tr><tr><th>Efficiency (at 75%)</th><td>77. 8</td></tr><tr><th>Efficiency (at 50%)</th><td>73. 7</td></tr><tr><th>Power Factor (at 100%)</th><td>68. 8</td></tr><tr><th>Power Factor (at 75%)</th><td>59. 8</td></tr><tr><th>Power Factor (at 50%)</th><td>46. 4</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>2. 28</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>220</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>250</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>EISA 2007</td></tr><tr><th>Construction Materials</th><td>Rolled Steel</td></tr><tr><th>Estimated Weight</th><td>28. 00</td></tr><tr><th>Washdown</th><td>No</td></tr><tr><th>Wiring Diagram</th><td>1, 2</td></tr></table>"
1387509,"<table class=""description-table""><tr><th>Model Number</th><td>SI0024PHI</td></tr><tr><th>Horsepower</th><td>2</td></tr><tr><th>RPM</th><td>1800</td></tr><tr><th>RPM (full load)</th><td>1750</td></tr><tr><th>Phase</th><td>3</td></tr><tr><th>Frequency</th><td>60</td></tr><tr><th>Voltage</th><td>230/460</td></tr><tr><th>Frame Size</th><td>56C</td></tr><tr><th>Mounting</th><td>C-Face Footed</td></tr><tr><th>Enclosure</th><td>TEFC</td></tr><tr><th>Amps</th><td>5. 70/2. 85</td></tr><tr><th>Amps (locked)</th><td>38/19</td></tr><tr><th>Efficiency (at 100%)</th><td>84. 0</td></tr><tr><th>Efficiency (at 75%)</th><td>83. 2</td></tr><tr><th>Efficiency (at 50%)</th><td>80. 0</td></tr><tr><th>Power Factor (at 100%)</th><td>78. 2</td></tr><tr><th>Power Factor (at 75%)</th><td>70. 5</td></tr><tr><th>Power Factor (at 50%)</th><td>57. 6</td></tr><tr><th>Full Load Torque (lb ft sq)</th><td>6. 01</td></tr><tr><th>Locked Rotor Torque (% of Full Load)</th><td>230</td></tr><tr><th>Breakdown Torque (% of Full Load)</th><td>350</td></tr><tr><th>Brake Torque ( ft lb )</th><td>0</td></tr><tr><th>Efficiency Type</th><td>EISA 2007</td></tr><tr><th>Construction Materials</th><td>Stainless Steel</td></tr><tr><th>Estimated Weight</th><td>44. 00</td></tr><tr><th>Washdown</th><td>Yes</td></tr><tr><th>Wiring Diagram</th><td>1, 2</td></tr></table>"
