id,additional_description
403779,
400009,
400056,
403764,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>CSK25-2RS</td></tr><tr><th>Bearing Series</th><td>N/A</td></tr><tr><th>Bore(in. )</th><td>0. 980</td></tr><tr><th>Keyway in Bore(in. )</th><td>None</td></tr><tr><th>Keyway on Outer Race</th><td>None</td></tr><tr><th>Lubrication Type</th><td>GREASE</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>63</td></tr><tr><th>Maximum Inner Race Overrunning Speed(rpm)</th><td>5200</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>5200</td></tr><tr><th>Ball Bearing Rating Dynamic(lbs. )</th><td>2407. 5</td></tr><tr><th>Ball Bearing Rating Static(lbs. )</th><td>1228. 5</td></tr><tr><th>Roller Bearing Rating Dynamic(lbs. )</th><td>N/A</td></tr><tr><th>Roller Bearing Rating Static(lbs. )</th><td>N/A</td></tr><tr><th>Resistance After Run-in (lb. in. )</th><td>5. 31</td></tr><tr><th>Shipping Weight (lbs. )</th><td>0. 40</td></tr></tbody></table>"
400720,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>RIZ45</td></tr><tr><th>Bore (in. )</th><td>1. 77</td></tr><tr><th>Keyway in Bore(in. )</th><td>per DIN6885. 1</td></tr><tr><th>Lubrication Type</th><td>GREASE</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>660</td></tr><tr><th>Maximum Inner Race Overrunning Speed(rpm)</th><td>6600</td></tr><tr><th>Maximum Drive Speed (rpm)</th><td>285</td></tr><tr><th>Sprag Lift-off Speed(rpm)</th><td>665</td></tr><tr><th>Shipping Weight (lbs. )</th><td>11. 02</td></tr></tbody></table>"
400319,
399884,
403516,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>GFR35</td></tr><tr><th>Bore (in. )</th><td>1. 380</td></tr><tr><th>Keyway in Bore(in. )</th><td>per DIN 6885. 1</td></tr><tr><th>Lubrication Type</th><td>OIL</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>535</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>1550</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>3800</td></tr><tr><th>Resistance After Run-in(lb. in. )</th><td>N/R</td></tr><tr><th>Shipping Weight (lbs. )</th><td>6. 61</td></tr></tbody></table>"
403715,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>GFR30</td></tr><tr><th>Bore (in. )</th><td>1. 180</td></tr><tr><th>Keyway in Bore(in. )</th><td>per DIN 6885. 1</td></tr><tr><th>Lubrication Type</th><td>OIL</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>369</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>1700</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>4100</td></tr><tr><th>Resistance After Run-in(lb. in. )</th><td>N/R</td></tr><tr><th>Shipping Weight (lbs. )</th><td>4. 85</td></tr></tbody></table>"
401547,
403798,
399738,
401344,
399795,
398592,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>CSK40</td></tr><tr><th>Bearing Series</th><td>N/A</td></tr><tr><th>Bore(in. )</th><td>1. 570</td></tr><tr><th>Keyway in Bore(in. )</th><td>None</td></tr><tr><th>Keyway on Outer Race</th><td>None</td></tr><tr><th>Lubrication Type</th><td>GREASE</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>240</td></tr><tr><th>Maximum Inner Race Overrunning Speed(rpm)</th><td>3000</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>3000</td></tr><tr><th>Ball Bearing Rating Dynamic(lbs. )</th><td>3496. 5</td></tr><tr><th>Ball Bearing Rating Static(lbs. )</th><td>2756. 25</td></tr><tr><th>Roller Bearing Rating Dynamic(lbs. )</th><td>N/A</td></tr><tr><th>Roller Bearing Rating Static(lbs. )</th><td>N/A</td></tr><tr><th>Resistance After Run-in (lb. in. )</th><td>6. 20</td></tr><tr><th>Shipping Weight (lbs. )</th><td>1. 10</td></tr></tbody></table>"
399995,
403518,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>CSK30-P</td></tr><tr><th>Bearing Series</th><td>6206</td></tr><tr><th>Bore(in. )</th><td>1. 180</td></tr><tr><th>Keyway in Bore(in. )</th><td>DIN6885. 3</td></tr><tr><th>Keyway on Outer Race</th><td>None</td></tr><tr><th>Lubrication Type</th><td>GREASE</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>102</td></tr><tr><th>Maximum Inner Race Overrunning Speed(rpm)</th><td>4200</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>4200</td></tr><tr><th>Ball Bearing Rating Dynamic(lbs. )</th><td>2632. 5</td></tr><tr><th>Ball Bearing Rating Static(lbs. )</th><td>1451. 25</td></tr><tr><th>Roller Bearing Rating Dynamic(lbs. )</th><td>N/A</td></tr><tr><th>Roller Bearing Rating Static(lbs. )</th><td>N/A</td></tr><tr><th>Resistance After Run-in (lb. in. )</th><td>3. 89</td></tr><tr><th>Shipping Weight (lbs. )</th><td>0. 46</td></tr></tbody></table>"
399890,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>CSK40-2RS</td></tr><tr><th>Bearing Series</th><td>N/A</td></tr><tr><th>Bore(in. )</th><td>1. 570</td></tr><tr><th>Keyway in Bore(in. )</th><td>None</td></tr><tr><th>Keyway on Outer Race</th><td>None</td></tr><tr><th>Lubrication Type</th><td>GREASE</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>240</td></tr><tr><th>Maximum Inner Race Overrunning Speed(rpm)</th><td>3000</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>3000</td></tr><tr><th>Ball Bearing Rating Dynamic(lbs. )</th><td>3496. 5</td></tr><tr><th>Ball Bearing Rating Static(lbs. )</th><td>2756. 25</td></tr><tr><th>Roller Bearing Rating Dynamic(lbs. )</th><td>N/A</td></tr><tr><th>Roller Bearing Rating Static(lbs. )</th><td>N/A</td></tr><tr><th>Resistance After Run-in (lb. in. )</th><td>8. 85</td></tr><tr><th>Shipping Weight (lbs. )</th><td>1. 32</td></tr></tbody></table>"
400322,
400040,
400019,
399956,
401563,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>CSK15-P</td></tr><tr><th>Bearing Series</th><td>6202</td></tr><tr><th>Bore(in. )</th><td>0. 590</td></tr><tr><th>Keyway in Bore(in. )</th><td>DIN6885. 3</td></tr><tr><th>Keyway on Outer Race</th><td>None</td></tr><tr><th>Lubrication Type</th><td>GREASE</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>12</td></tr><tr><th>Maximum Inner Race Overrunning Speed(rpm)</th><td>8400</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>8400</td></tr><tr><th>Ball Bearing Rating Dynamic(lbs. )</th><td>1665</td></tr><tr><th>Ball Bearing Rating Static(lbs. )</th><td>769. 5</td></tr><tr><th>Roller Bearing Rating Dynamic(lbs. )</th><td>N/A</td></tr><tr><th>Roller Bearing Rating Static(lbs. )</th><td>N/A</td></tr><tr><th>Resistance After Run-in (lb. in. )</th><td>0. 80</td></tr><tr><th>Shipping Weight (lbs. )</th><td>0. 13</td></tr></tbody></table>"
399993,
400293,
402285,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>AS80</td></tr><tr><th>Bore(in. )</th><td>3. 150</td></tr><tr><th>Keyway</th><td>DIN6885. 3</td></tr><tr><th>Lubrication Type</th><td>Oil</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>785</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>600</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>900</td></tr><tr><th>Resistance After Run-in (lb. in. )</th><td>51. 33</td></tr><tr><th>Shipping Weight(lbs. )</th><td>3. 11</td></tr></tbody></table>"
398698,
400330,
403757,"<table class=""description-table""><tbody><tr><th>Model / Part Number</th><td>DC5776A</td></tr><tr><th>Inner Race Outer Diameter(in. )</th><td>2. 274</td></tr><tr><th>Outer Race Inner Diameter (in. )</th><td>2. 93</td></tr><tr><th>Annular Space(in. )</th><td>0. 33</td></tr><tr><th>Min Axial Length(in. )</th><td>0. 63</td></tr><tr><th>Min Outer Race Outer Dimaeter(in. )</th><td>3. 86</td></tr><tr><th>Max Inner Race Inner Diameter(in. )</th><td>1. 5</td></tr><tr><th>Lubrication Type</th><td>Oil</td></tr><tr><th>Torque Capacity (lb. ft. )</th><td>446</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>3300</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>1600</td></tr><tr><th>Shipping Weight(lbs. )</th><td>0. 24</td></tr></tbody></table>"
403640,"<table class=""description-table""><tbody><tr><th>Model / Part Number</th><td>DC5476A</td></tr><tr><th>Inner Race Outer Diameter(in. )</th><td>2. 156</td></tr><tr><th>Outer Race Inner Diameter (in. )</th><td>2. 812</td></tr><tr><th>Annular Space(in. )</th><td>0. 33</td></tr><tr><th>Min Axial Length(in. )</th><td>0. 63</td></tr><tr><th>Min Outer Race Outer Dimaeter(in. )</th><td>3. 62</td></tr><tr><th>Max Inner Race Inner Diameter(in. )</th><td>1. 42</td></tr><tr><th>Lubrication Type</th><td>Oil</td></tr><tr><th>Torque Capacity (lb. ft. )</th><td>387</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>3500</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>1700</td></tr><tr><th>Shipping Weight(lbs. )</th><td>0. 24</td></tr></tbody></table>"
399440,
402563,
401458,
403781,
404445,
401314,
399955,
400313,
399962,
399980,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>RIZ90</td></tr><tr><th>Bore (in. )</th><td>3. 54</td></tr><tr><th>Keyway in Bore(in. )</th><td>per DIN6885. 1</td></tr><tr><th>Lubrication Type</th><td>GREASE</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>4244</td></tr><tr><th>Maximum Inner Race Overrunning Speed(rpm)</th><td>3000</td></tr><tr><th>Maximum Drive Speed (rpm)</th><td>180</td></tr><tr><th>Sprag Lift-off Speed(rpm)</th><td>420</td></tr><tr><th>Shipping Weight (lbs. )</th><td>65. 04</td></tr></tbody></table>"
400888,
403441,
399967,
403055,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>AL30</td></tr><tr><th>Bore (in. )</th><td>1. 180</td></tr><tr><th>Keyway in Bore(in. )</th><td>per DIN 6885. 1</td></tr><tr><th>Lubrication Type</th><td>OIL</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>369</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>1700</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>4100</td></tr><tr><th>Resistance After Run-in(lb. in. )</th><td>20. 36</td></tr><tr><th>Shipping Weight (lbs. )</th><td>4. 85</td></tr></tbody></table>"
402375,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>AL35</td></tr><tr><th>Bore (in. )</th><td>1. 380</td></tr><tr><th>Keyway in Bore(in. )</th><td>per DIN 6885. 1</td></tr><tr><th>Lubrication Type</th><td>OIL</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>535</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>1550</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>3800</td></tr><tr><th>Resistance After Run-in(lb. in. )</th><td>53. 10</td></tr><tr><th>Shipping Weight (lbs. )</th><td>6. 61</td></tr></tbody></table>"
403697,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>RSBW60</td></tr><tr><th>Bore(in. )</th><td>2. 36</td></tr><tr><th>Keyseat in Bore(in. )</th><td>N/A</td></tr><tr><th>Lubrication Type / Amt. </th><td>GREASE</td></tr><tr><th>Bore Range Min. (in. )</th><td>N/A</td></tr><tr><th>Bore Range Max. (in. )</th><td>N/A</td></tr><tr><th>Torque Capacity(lb. ft)</th><td>1882</td></tr><tr><th>Maximum Overrunning Speed(rpm)</th><td>250</td></tr><tr><th>Resistance After Run-in(lb. ft. )</th><td>N/A</td></tr><tr><th>Shipping Weight(lbs. )</th><td>14. 33</td></tr></tbody></table>"
403795,
399073,
402239,
404498,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>ASNU40</td></tr><tr><th>Bore(in. )</th><td>1. 570</td></tr><tr><th>Keyway</th><td>DIN6885. 3</td></tr><tr><th>Lubrication Type</th><td>Oil</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>397</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>1100</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>1700</td></tr><tr><th>Resistance After Run-in (lb. in. )</th><td>33. 63</td></tr><tr><th>Shipping Weight(lbs. )</th><td>2. 03</td></tr></tbody></table>"
399233,
402331,"<table class=""description-table""><tbody><tr><th>Model Number</th><td>ASNU45</td></tr><tr><th>Bore(in. )</th><td>1. 770</td></tr><tr><th>Keyway</th><td>DIN6885. 3</td></tr><tr><th>Lubrication Type</th><td>Oil</td></tr><tr><th>Torque Capacity(lb. ft. )</th><td>576</td></tr><tr><th>Maximum Inner Race Overrunning Speed (rpm)</th><td>1000</td></tr><tr><th>Maximum Outer Race Overrunning Speed(rpm)</th><td>1600</td></tr><tr><th>Resistance After Run-in (lb. in. )</th><td>38. 06</td></tr><tr><th>Shipping Weight(lbs. )</th><td>2. 89</td></tr></tbody></table>"
400066,
