id,additional_description
2013420,"<table class=""description-table""><tbody><tr><th>Series</th><td>4415</td></tr><tr><th>Tube</th><td>Nitrile, black, smooth, RMA Class A</td></tr><tr><th>Reinforcement</th><td>Synthetic fabric with wire helix</td></tr><tr><th>Cover</th><td>Neoprene, RMA Class B</td></tr><tr><th>Branding</th><td>Jason logo 4415 SAE 100R4 Return Line Orange Mylar Longitudinal Stripe</td></tr><tr><th>Temperature Range</th><td>-40 to +212 ºF-40 to +100 ºC</td></tr><tr><th>Standard Lengths</th><td>100 ft</td></tr><tr><th>I. D. </th><td>3/4 in19. 05 mm</td></tr><tr><th>O. D. </th><td>1. 25 in31. 75 mm</td></tr><tr><th>Rein. Plies</th><td>2</td></tr><tr><th>Max. W. P. @ 68ºF</th><td>300 psi20. 68 bar</td></tr><tr><th>Weight</th><td>0. 45 lb/ft0. 67 kg/m</td></tr><tr><th>Min. Bend Radius</th><td>4. 00 in101. 60 mm</td></tr><tr><th>Stock Item</th><td>Yes</td></tr></tbody></table>"
1695246,"<table class=""description-table""><tbody><tr><th>Series</th><td>4415</td></tr><tr><th>Tube</th><td>Nitrile, black, smooth, RMA Class A</td></tr><tr><th>Reinforcement</th><td>Synthetic fabric with wire helix</td></tr><tr><th>Cover</th><td>Neoprene, RMA Class B</td></tr><tr><th>Branding</th><td>Jason logo 4415 SAE 100R4 Return Line Orange Mylar Longitudinal Stripe</td></tr><tr><th>Temperature Range</th><td>-40 to +212 ºF-40 to +100 ºC</td></tr><tr><th>Standard Lengths</th><td>100 ft</td></tr><tr><th>I. D. </th><td>3/4 in19. 05 mm</td></tr><tr><th>O. D. </th><td>1. 25 in31. 75 mm</td></tr><tr><th>Rein. Plies</th><td>2</td></tr><tr><th>Max. W. P. @ 68ºF</th><td>300 psi20. 68 bar</td></tr><tr><th>Weight</th><td>0. 45 lb/ft0. 67 kg/m</td></tr><tr><th>Min. Bend Radius</th><td>4. 00 in101. 60 mm</td></tr><tr><th>Stock Item</th><td>Yes</td></tr></tbody></table>"
1996568,
1989198,"<table class=""description-table""><tbody><tr><th>Top Width</th><td>12. 7 mm</td></tr><tr><th>Thickness</th><td>10 mm</td></tr><tr><th>Inside Length</th><td>4000 mm</td></tr><tr><th>Approx. Weight</th><td>1. 2 lbs</td></tr></tbody></table>"
2007768,"<table class=""description-table""><tbody><tr><th>Belt Length</th><td>140. 0 mm</td></tr><tr><th>Pitch Code</th><td>AT-10</td></tr><tr><th>Width</th><td>50 mm</td></tr><tr><th>No. of Teeth</th><td>140</td></tr></tbody></table>"
1988524,"<table class=""description-table""><tbody><tr><th>Approx. Weight Per Rib</th><td>8. 64 lbs</td></tr></tbody></table>"
640284,"<table class=""description-table""><tbody><tr><th>Top Width</th><td>9. 7 mm</td></tr><tr><th>Thickness</th><td>8 mm</td></tr><tr><th>Inside Length</th><td>762 mm</td></tr><tr><th>Approx. Weight</th><td>0. 2 lbs</td></tr></tbody></table>"
1989454,"<table class=""description-table""><tbody><tr><th>Top Width</th><td>9. 7 mm</td></tr><tr><th>Thickness</th><td>8 mm</td></tr><tr><th>Inside Length</th><td>762 mm</td></tr><tr><th>Approx. Weight</th><td>0. 2 lbs</td></tr></tbody></table>"
2009088,"<table class=""description-table""><tbody><tr><th>Top Width</th><td>21/32 in</td></tr><tr><th>Thickness</th><td>3/8 in</td></tr><tr><th>Angle</th><td>40 º</td></tr><tr><th>Approx. Weight</th><td>0. 69 lbs</td></tr></tbody></table>"
2006510,"<table class=""description-table""><tbody><tr><th>Belt Length</th><td>144. 0 mm</td></tr><tr><th>Pitch Code</th><td>T-5</td></tr><tr><th>Width</th><td>25 mm</td></tr><tr><th>No. of Teeth</th><td>288</td></tr></tbody></table>"
2008663,"<table class=""description-table""><tbody><tr><th>Belt Length</th><td>48. 0 mm</td></tr><tr><th>Pitch Code</th><td>T-5</td></tr><tr><th>Width</th><td>8 mm</td></tr><tr><th>No. of Teeth</th><td>96</td></tr></tbody></table>"
2014236,"<table class=""description-table""><tbody><tr><th>Series</th><td>AA</td></tr><tr><th>Coupling Material</th><td>Aluminum</td></tr><tr><th>Size</th><td>2 x 3 in</td></tr><tr><th>Working Pressure (Maximum PSI)</th><td>250</td></tr></tbody></table>"
1695663,"<table class=""description-table""><tbody><tr><th>Series</th><td>AA</td></tr><tr><th>Coupling Material</th><td>Aluminum</td></tr><tr><th>Size</th><td>2 x 3 in</td></tr><tr><th>Working Pressure (Maximum PSI)</th><td>250</td></tr></tbody></table>"
2014237,"<table class=""description-table""><tbody><tr><th>Series</th><td>AA</td></tr><tr><th>Coupling Material</th><td>304 Stainless</td></tr><tr><th>Size</th><td>2 x 3 in</td></tr><tr><th>Working Pressure (Maximum PSI)</th><td>250</td></tr></tbody></table>"
1695664,"<table class=""description-table""><tbody><tr><th>Series</th><td>AA</td></tr><tr><th>Coupling Material</th><td>304 Stainless</td></tr><tr><th>Size</th><td>2 x 3 in</td></tr><tr><th>Working Pressure (Maximum PSI)</th><td>250</td></tr></tbody></table>"
2009458,"<table class=""description-table""><tbody><tr><th>No. of Teeth</th><td>161</td></tr><tr><th>Width</th><td>20 mm</td></tr></tbody></table>"
2004172,"<table class=""description-table""><tbody><tr><th>Belt Length</th><td>60. 0 mm</td></tr><tr><th>Pitch Code</th><td>AT-5</td></tr><tr><th>Width</th><td>10 mm</td></tr><tr><th>No. of Teeth</th><td>120</td></tr></tbody></table>"
