id,additional_description
2072897,"<p>This tube brush has bristles along the sides as well as in the front. It is used in areas where a wider tube cleaning action is required or where the equipment has an end point that cannot be reached with a hand brush. Works well as a drain brush, particularly in black. Requires a European-thread handle. (This part number replaces 53932)</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>6.25</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Block Material: </th><td>Polypropylene</td></tr><tr><th>Bristle Material: </th><td>Polyester</td></tr><tr><th>Unit Weight (lbs. ): </th><td>.9</td></tr></table>"
2073441,"<p>This tube brush has bristles along the sides as well as in the front. It is used in areas where a wider tube cleaning action is required or where the equipment has an end point that cannot be reached with a hand brush. Works well as a drain brush, particularly in black. Requires a European-thread handle. (This part number replaces 53933)</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>6.25</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Block Material: </th><td>Polypropylene</td></tr><tr><th>Bristle Material: </th><td>Polyester</td></tr><tr><th>Unit Weight (lbs. ): </th><td>.9</td></tr></table>"
2073602,"<p>This hygienic dustpan has a sharp edge so food particles are efficiently brushed into it. The neck joint is very robust and can withstand strong downward pressure.</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>12.25</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Material: </th><td>Polypropylene</td></tr><tr><th>Unit Weight (lbs. ): </th><td>.6</td></tr></table>"
2073022,"<p>This extendable handle is often used with the pad holder and deck scrubs for reaching high walls and tanks. Also used with CIP brushes for cleaning on top of overhead pipes.</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>108.5</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Material: </th><td>Aluminum</td></tr><tr><th>Other Material: </th><td>Polypropylene</td></tr><tr><th>Unit Weight (lbs. ): </th><td>2.2</td></tr></table>"
2073023,"<p>This extendable handle is often used with the pad holder and deck scrubs for reaching high walls and tanks. Also used with CIP brushes for cleaning on top of overhead pipes.</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>108.5</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Material: </th><td>Aluminum</td></tr><tr><th>Other Material: </th><td>Polypropylene</td></tr><tr><th>Unit Weight (lbs. ): </th><td>2.2</td></tr></table>"
2073024,"<p>This extendable handle is often used with the pad holder and deck scrubs for reaching high walls and tanks. Also used with CIP brushes for cleaning on top of overhead pipes.</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>108.5</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Material: </th><td>Aluminum</td></tr><tr><th>Other Material: </th><td>Polypropylene</td></tr><tr><th>Unit Weight (lbs. ): </th><td>2.2</td></tr></table>"
2073284,"<p>This deck scrub is specifically designed for cleaning difficult-to-reach and constrained areas. By applying firm downward pressure on the scrub, the bristles will reach and clean into awkward corners and recesses.</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>9.75</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Block Material: </th><td>Polypropylene</td></tr><tr><th>Bristle Material: </th><td>Polyester</td></tr><tr><th>Unit Weight (lbs. ): </th><td>.7</td></tr></table>"
2073285,"<p>This deck scrub is specifically designed for cleaning difficult-to-reach and constrained areas. By applying firm downward pressure on the scrub, the bristles will reach and clean into awkward corners and recesses.</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>9.75</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Block Material: </th><td>Polypropylene</td></tr><tr><th>Bristle Material: </th><td>Polyester</td></tr><tr><th>Unit Weight (lbs. ): </th><td>.7</td></tr></table>"
2073277,"<p>This is an extremely stiff, short-bristled scrubbing broom. When dirt is stubborn and sticky, this broom can withstand heavy downward force from the user. Its small size makes it ideal for cleaning in narrow spaces.</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>10.75</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Block Material: </th><td>Polypropylene</td></tr><tr><th>Bristle Material: </th><td>Polyester</td></tr><tr><th>Unit Weight (lbs. ): </th><td>.9</td></tr></table>"
2073288,"<p>This deck scrub is specifically designed for cleaning difficult-to-reach and constrained areas. By applying firm downward pressure on the scrub, the bristles will reach and clean into awkward corners and recesses.</p><h5>Specifications</h5><table class=""description-table""><tr><th>Length (inches): </th><td>9.75</td></tr><tr><th>FDA Compliant Raw Material: </th><td>Yes</td></tr><tr><th>Block Material: </th><td>Polypropylene</td></tr><tr><th>Bristle Material: </th><td>Polyester</td></tr><tr><th>Unit Weight (lbs. ): </th><td>.7</td></tr></table>"
