id,additional_description
745006,"<p>Black Oxide Plated Steel Two-Piece Clamping Collar. Design fully engages the shaft without marring. Easily installed where major disassembly would otherwise be required. Greater axial holding power than set screw or one-piece clamping collars. Effective on hard &amp; soft shafts. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>7/16 in</td></tr><tr><th>OD</th><td>15/16 in</td></tr><tr><th>Width</th><td>3/8 in</td></tr><tr><th>Recessed Screw</th><td>No</td></tr><tr><th>Material</th><td>Steel, ASTM A108</td></tr><tr><th>Finish</th><td>Black Oxide</td></tr><tr><th>Clamp Screw</th><td>Hex Socket Cap Screw, 3A Thread, Steel, ASTM A574: 6-32 x 3/8</td></tr><tr><th>Approximate Weight</th><td>0. 76 oz</td></tr><tr><th>UPC Code</th><td>044861201107</td></tr></table>"
745100,"<p>Unplated Steel Set Screw Collar. Traditional cost effective collar design. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>1 5/8 in</td></tr><tr><th>OD</th><td>2 1/2 in</td></tr><tr><th>Width</th><td>13/16 in</td></tr><tr><th>Material</th><td>Steel, ASTM A108</td></tr><tr><th>Finish</th><td>Plain</td></tr><tr><th>Set Screw</th><td>Hex Socket Set Screw, 3A Thread, Steel, ASTM F912: 3/8-16 x 3/8</td></tr><tr><th>Approximate Weight</th><td>10. 10 oz</td></tr><tr><th>UPC Code</th><td>044861003503</td></tr></table>"
745415,"<p>Black Oxide Steel Metric One-Piece Clamping Collar. Design fully engages the shaft without marring. Greater axial holding power than set screw collars. Effective on hard &amp; soft shafts. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>34 mm</td></tr><tr><th>OD</th><td>2 1/4 in</td></tr><tr><th>Width</th><td>19/32 in</td></tr><tr><th>Recessed Screw</th><td>No</td></tr><tr><th>Material</th><td>Steel, ASTM A108</td></tr><tr><th>Finish</th><td>Black Oxide</td></tr><tr><th>Clamp Screw</th><td>Hex Socket Cap Screw, Steel: M6 x 16</td></tr><tr><th>Approximate Weight</th><td>6. 20 oz</td></tr><tr><th>UPC Code</th><td>044861601198</td></tr></table>"
745313,"<p>Stainless Steel Two-Piece Clamping Collar - Recessed Screw Head. Recessed Screw Head provides an outside surface free of major projections for safety. Design fully engages the shaft without marring. Easily installed where major disassembly would otherwise be required. Greater axial holding power than set screw collars. Effective on hard &amp; soft shafts. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>3/16 in</td></tr><tr><th>OD</th><td>13/16 in</td></tr><tr><th>Width</th><td>1/4 in</td></tr><tr><th>Recessed Screw</th><td>Yes</td></tr><tr><th>Material</th><td>Stainless Steel, ASTM A582</td></tr><tr><th>Finish</th><td>Plain</td></tr><tr><th>Clamp Screw</th><td>Hex Socket Cap Screw, 3A Thread, Stainless Steel, ASTM F837: 4-40 x 3/8</td></tr><tr><th>Approximate Weight</th><td>0. 48 oz</td></tr><tr><th>UPC Code</th><td>044861152201</td></tr></table>"
744902,"<p>Black Oxide Steel One-Piece Clamping Collar. Design fully engages the shaft without marring. Greater axial holding power than set screw collars. Effective on hard &amp; soft shafts. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>1/8 in</td></tr><tr><th>OD</th><td>11/16 in</td></tr><tr><th>Width</th><td>5/16 in</td></tr><tr><th>Recessed Screw</th><td>No</td></tr><tr><th>Material</th><td>Steel, ASTM A108</td></tr><tr><th>Finish</th><td>Black Oxide</td></tr><tr><th>Clamp Screw</th><td>Hex Socket Cap Screw, 3A Thread, Steel, ASTM A574: 4-40 x 3/8</td></tr><tr><th>Approximate Weight</th><td>0. 44 oz</td></tr><tr><th>UPC Code</th><td>044861134870</td></tr></table>"
744926,"<p>Black Oxide Plated Steel Metric Set Screw Collar. Traditional cost effective collar design. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>22 mm</td></tr><tr><th>OD</th><td>1 1/2 in</td></tr><tr><th>Width</th><td>14. 000 mm</td></tr><tr><th>Material</th><td>Steel, ASTM A108</td></tr><tr><th>Finish</th><td>Black Oxide</td></tr><tr><th>Set Screw</th><td>Hex Socket Set Screw, Steel: M6 x 6</td></tr><tr><th>Approximate Weight</th><td>2. 30 oz</td></tr><tr><th>UPC Code</th><td>044861600221</td></tr></table>"
745422,"<p>Stainless Steel Two-Piece Clamping Collar - Recessed Screw Head. Recessed Screw Head provides an outside surface free of major projections for safety. Design fully engages the shaft without marring. Easily installed where major disassembly would otherwise be required. Greater axial holding power than set screw collars. Effective on hard &amp; soft shafts. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>7/16 in</td></tr><tr><th>OD</th><td>1 1/16 in</td></tr><tr><th>Width</th><td>5/16 in</td></tr><tr><th>Recessed Screw</th><td>Yes</td></tr><tr><th>Material</th><td>Stainless Steel, ASTM A582</td></tr><tr><th>Finish</th><td>Plain</td></tr><tr><th>Clamp Screw</th><td>Hex Socket Cap Screw, 3A Thread, Stainless Steel, ASTM F837: 6-32 x 3/8</td></tr><tr><th>Approximate Weight</th><td>0. 96 oz</td></tr><tr><th>UPC Code</th><td>044861152218</td></tr></table>"
746651,"<p>Stainless Steel Two-Piece Clamping Collar. Design fully engages the shaft without marring. Easily installed where major disassembly would otherwise be required. Greater axial holding power than set screw or one-piece clamping collars. Effective on hard &amp; soft shafts. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>4 in</td></tr><tr><th>OD</th><td>5 1/4 in</td></tr><tr><th>Width</th><td>7/8 in</td></tr><tr><th>Recessed Screw</th><td>Yes</td></tr><tr><th>Material</th><td>Stainless Steel, ASTM A582</td></tr><tr><th>Finish</th><td>Plain</td></tr><tr><th>Clamp Screw</th><td>Hex Socket Cap Screw, 3A Thread, Stainless Steel, ASTM F837: 3/8-24 x 1</td></tr><tr><th>Approximate Weight</th><td>33. 00 oz</td></tr><tr><th>UPC Code</th><td>044861259498</td></tr></table>"
745119,"<p>Aluminum Two-Piece Clamping Collar with Keyway. Design fully engages the shaft without marring. Easily installed where major disassembly would otherwise be required. Greater axial holding power than set screw or one-piece clamping collars. Effective on hard &amp; soft shafts. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>5/8 in</td></tr><tr><th>OD</th><td>1 5/16 in</td></tr><tr><th>Width</th><td>7/16 in</td></tr><tr><th>Recessed Screw</th><td>No</td></tr><tr><th>Material</th><td>Aluminum, ASTM B211</td></tr><tr><th>Finish</th><td>Plain</td></tr><tr><th>Clamp Screw</th><td>Hex Socket Cap Screw, 3A Thread, Steel, ASTM A574: 10-32 x 1/2</td></tr><tr><th>Approximate Weight</th><td>0. 21 oz</td></tr><tr><th>Keyway</th><td>With Keyway</td></tr><tr><th>UPC Code</th><td>044861005323</td></tr></table>"
745263,"<p>Black Oxide Plated Steel Two-Piece Clamping Collar. Design fully engages the shaft without marring. Easily installed where major disassembly would otherwise be required. Greater axial holding power than set screw or one-piece clamping collars. Effective on hard &amp; soft shafts. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Bore Size</th><td>1 3/8 in</td></tr><tr><th>OD</th><td>2 1/4 in</td></tr><tr><th>Width</th><td>9/16 in</td></tr><tr><th>Recessed Screw</th><td>No</td></tr><tr><th>Material</th><td>Steel, ASTM A108</td></tr><tr><th>Finish</th><td>Black Oxide</td></tr><tr><th>Clamp Screw</th><td>Hex Socket Cap Screw, 3A Thread, Steel, ASTM A574: 1/4-28 x 3/4</td></tr><tr><th>Approximate Weight</th><td>5. 70 oz</td></tr><tr><th>UPC Code</th><td>044861221280</td></tr></table>"
