id,additional_description
218176,"<h5>Take up units with set screw lock.</h5><ul><li>Standard duty</li><li>Wide slot</li><li>Wide inner race bearing</li><li>Available with high temp. bearing, see HUCT</li><li>B-type seals</li><li>L3-type seals available in some sizes</li></ul><p> Unit Number: UCT 212UCT 212</p><table class=""description-table""><tbody><tr><th>O</th><th>G</th><th>P</th><th>Q</th><th>S</th><th>B</th><th>k</th><th>E</th><th>A</th><th>W</th><th>J</th><th>L</th><th>R</th><th>H</th><th>Bi</th><th>N</th><th>M</th></tr><tr><td>1 1/4</td><td>3/4</td><td>4 1/32</td><td>2 17/32</td><td>1 3/8</td><td>4 1/32</td><td>1 1/16</td><td>5 1/8</td><td>5 3/4</td><td>7 5/8</td><td>2 17/32</td><td>1 21/32</td><td>2 15/16</td><td>4 11/16</td><td>2.5630</td><td>1.0000</td><td>1.5630</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
220030,"<h5>Nickel plated piloted flanges.</h5><ul><li>Black Oxide bearing insert</li><li>B-type seals </li></ul><p> Unit Number: BUCNPFCS 207-22</p><table class=""description-table""><tbody><tr><th>A</th><th>P</th><th>S</th><th>J</th><th>K</th><th>G</th><th>F</th><th>I</th><th>Z</th><th>Bi</th><th>N</th><th>M</th><th>Bolt Used</th></tr><tr><td>5</td><td>4 1/8</td><td>15/32</td><td>3/8</td><td>3/8</td><td>7/8</td><td>3.375</td><td>5/16</td><td>1 5/16</td><td>1.6890</td><td>0.6890</td><td>1.0000</td><td>3/8</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218747,"<h5>Spherical bearing inserts with eccentric locking collar.</h5><ul><li>Relubricatable</li><li>Narrow inner race bearing</li><li>K-type seals</li></ul><p> Unit Number: SA 210-31G</p><table class=""description-table""><tbody><tr><th>Be</th><th>D</th><th>Bi</th><th>N</th><th>M</th><th>G</th><th>Ds (in. )</th><th>K</th><th>H</th></tr><tr><td>0.8661</td><td>3.5433</td><td>1.7205</td><td>0.4331</td><td>0.7559</td><td>0.2677</td><td>5/16-24UNF</td><td>2.7520</td><td>0.7205</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218450,"<h5>4-Bolt piloted flange units with set screw lock.</h5><ul><li>Medium duty</li><li>Wide inner race bearing with greater load carrying capacity than standard duty</li><li>B-type seals</li><li>L3-type seals available in some sizes</li></ul><p> Unit Number: UCFC X09</p><table class=""description-table""><tbody><tr><th>A</th><th>P</th><th>S</th><th>J</th><th>K</th><th>G</th><th>F</th><th>I</th><th>Z</th><th>Bi</th><th>N</th><th>M</th><th>Bolt Used</th></tr><tr><td>6 3/32</td><td>5 1/8</td><td>35/64</td><td>15/32</td><td>7/16</td><td>1</td><td>4.250</td><td>5/16</td><td>1 19/32</td><td>2.0315</td><td>0.7480</td><td>1.2835</td><td>7/16</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
219636,"<h5>Nickel plated tapped base pillow blocks.</h5><ul><li>Hard Chrome Coated bearing insert</li><li>High shaft height</li><li>B-type seals </li></ul><p> Unit Number: CUCNPPA 206-19</p><table class=""description-table""><tbody><tr><th>h</th><th>A</th><th>E</th><th>B</th><th>w</th><th>F-Tapped Holes</th><th>D-Min Tap</th><th>M</th><th>Bi</th></tr><tr><td>1 11/16</td><td>4</td><td>3</td><td>1 1/2</td><td>3 3/8</td><td>7/16-14 UNC</td><td>5/8</td><td>0.8740</td><td>1.5000</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218936,"<h5>3-Bolt flange bracket units.</h5><ul><li>All Stainless Steel </li><li>B-type seals </li><li>L3-type seals available in some sizes Consult IPTCI for speed limitations</li></ul><p> Unit Number: SUCSFB 206-19SUCSFB 206-19</p><table class=""description-table""><tbody><tr><th>W</th><th>B</th><th>D</th><th>L</th><th>S</th><th>G</th><th>H</th><th>J</th><th>E</th><th>I</th><th>Z</th><th>Bi</th><th>N</th><th>M</th><th>Bolt Used</th></tr><tr><td>5 3/8</td><td>3 1/4</td><td>2 3/4</td><td>1 1/4</td><td>25/64</td><td>3/8</td><td>2 1/16</td><td>1 1/4</td><td>1 7/8</td><td>45/64</td><td>1 37/64</td><td>1.5000</td><td>0.6260</td><td>0.8740</td><td>5/16</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218196,"<h5>Take up units with eccentric locking collar.</h5><ul><li>Standard duty</li><li>Wide slot</li><li>Wide inner race bearing</li><li>B-type seals</li><li>L3-type seals available in some sizes</li></ul><p> Unit Number: NAT 206-18</p><table class=""description-table""><tbody><tr><th>O</th><th>G</th><th>P</th><th>Q</th><th>S</th><th>B</th><th>k</th><th>E</th><th>A</th><th>W</th><th>J</th><th>L</th><th>R</th><th>H</th><th>Bi</th><th>N</th><th>M</th><th>I</th><th>K</th></tr><tr><td>5/8</td><td>13/32</td><td>2 7/32</td><td>1 15/32</td><td>55/64</td><td>2 1/4</td><td>17/32</td><td>3 1/2</td><td>4 1/32</td><td>4 7/16</td><td>1 15/32</td><td>1 3/32</td><td>1 11/16</td><td>2 3/4</td><td>1.9016</td><td>0.7165</td><td>0.7165</td><td>0.4685</td><td>1.7520</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218655,"<h5>Spherical bearing inserts with set screw lock.</h5><ul><li>Non-relubricatable</li><li>Narrow inner race bearing</li><li>K-type seals</li></ul><p> Unit Number: SB 206-18N</p><table class=""description-table""><tbody><tr><th>Be</th><th>D</th><th>Bi</th><th>N</th><th>M</th><th>G</th><th>Ds (in. )</th></tr><tr><td>0.6299</td><td>2.4409</td><td>1.1417</td><td>0.3150</td><td>0.8267</td><td>0.2362</td><td>1/4-28UNF</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
219966,"<h5>Nickel plated take up units.</h5><ul><li>Black Oxide bearing insert</li><li>Narrow slot</li><li>B-type seals </li></ul><p> Unit Number: BUCNPTRS 205</p><table class=""description-table""><tbody><tr><th>o</th><th>g</th><th>p</th><th>q</th><th>s</th><th>b</th><th>k</th><th>e</th><th>a</th><th>w</th><th>j</th><th>l</th><th>Bi</th><th>N</th><th>M</th></tr><tr><td>7/8</td><td>7/16</td><td>1 3/8</td><td>3/4</td><td>1 1/2</td><td>1/4</td><td>2 5/8</td><td>3 1/8</td><td>3 9/16</td><td>7/8</td><td>5/16</td><td>2 3/16</td><td>1.3386</td><td>0.5630</td><td>0.7756</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218242,"<h5>Take up units with set screw lock.</h5><ul><li>Standard duty</li><li>Narrow slot</li><li> Cast iron housing</li><li>Wide inner race bearing</li><li>B-type seals</li><li>L3-type seals available in some sizes</li></ul><p> Unit Number: UCTRS 207-21</p><table class=""description-table""><tbody><tr><th>I</th><th>C</th><th>P</th><th>S</th><th>B</th><th>k</th><th>E</th><th>A</th><th>W</th><th>L</th><th>F</th><th>H</th><th>Bi</th><th>N</th><th>M</th></tr><tr><td>15/16</td><td>1/2</td><td>1 3/8</td><td>7/8</td><td>2 1/2</td><td>5/16</td><td>3 1/2</td><td>4 1/8</td><td>4 1/2</td><td>1</td><td>5/16</td><td>2 11/16</td><td>1.6890</td><td>0.6890</td><td>1.0000</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218200,"<h5>Take up units with eccentric locking collar.</h5><ul><li>Standard duty</li><li>Wide slot</li><li>Wide inner race bearing</li><li>B-type seals</li><li>L3-type seals available in some sizes</li></ul><p> Unit Number: NAT 207-20NAT 207-20</p><table class=""description-table""><tbody><tr><th>O</th><th>G</th><th>P</th><th>Q</th><th>S</th><th>B</th><th>k</th><th>E</th><th>A</th><th>W</th><th>J</th><th>L</th><th>R</th><th>H</th><th>Bi</th><th>N</th><th>M</th><th>I</th><th>K</th></tr><tr><td>5/8</td><td>1/2</td><td>2 17/32</td><td>1 15/32</td><td>55/64</td><td>2 17/32</td><td>17/32</td><td>3 1/2</td><td>4 1/32</td><td>5 3/32</td><td>1 15/32</td><td>1 3/16</td><td>2</td><td>3 1/16</td><td>2.0118</td><td>0.7402</td><td>0.7402</td><td>0.5315</td><td>2.1890</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218233,"<h5>Take up units with set screw lock.</h5><ul><li>Standard duty</li><li>Narrow slot</li><li> Cast iron housing</li><li>Wide inner race bearing</li><li>B-type seals</li><li>L3-type seals available in some sizes</li></ul><p> Unit Number: UCTRS 205-15</p><table class=""description-table""><tbody><tr><th>I</th><th>C</th><th>P</th><th>S</th><th>B</th><th>k</th><th>E</th><th>A</th><th>W</th><th>L</th><th>F</th><th>H</th><th>Bi</th><th>N</th><th>M</th></tr><tr><td>7/8</td><td>7/16</td><td>1 3/8</td><td>3/4</td><td>1 1/2</td><td>1/4</td><td>2 5/8</td><td>3 1/8</td><td>3 9/16</td><td>7/8</td><td>5/16</td><td>2 3/16</td><td>1.3386</td><td>0.5630</td><td>0.7756</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218007,"<h5>3-Bolt flange units with set screw lock.</h5><ul><li>Ductile iron housing</li><li>Narrow inner race bearing</li><li>K-type seals</li></ul><p> Unit Number: SBRFB 207-20G</p><table class=""description-table""><tbody><tr><th>A</th><th>E</th><th>G</th><th>B</th><th>L</th><th>S</th><th>Z</th><th>Bi</th><th>Y</th><th>Bolt Used</th></tr><tr><td>4 13/16</td><td>3 15/16</td><td>1/2</td><td>3 1/2</td><td>15/16</td><td>13/32</td><td>1 7/16</td><td>1.2992</td><td>2 13/32</td><td>3/8</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
218489,"<h5>Bearing inserts with set screw lock.</h5><ul><li>Medium duty</li><li>Wide inner race bearing with greater load carrying capacity than UC insert</li><li>B-type seals</li><li>L3-type seals available in some sizes</li></ul><p> Unit Number: UC X10-31UC X10-31</p><table class=""description-table""><tbody><tr><th>D</th><th>Bi</th><th>Be</th><th>N</th><th>M</th><th>G</th><th>Ds (in. )</th></tr><tr><td>3.9370</td><td>2.1890</td><td>0.9843</td><td>0.8740</td><td>1.3150</td><td>0.3543</td><td>3/8-24UNF</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
217845,"<h5>Flange units with eccentric locking collar.</h5><ul><li>Ductile iron housing</li><li>Square bolt holes</li><li>Narrow inner race bearing</li><li>K-type seals</li><li>Also available in non-relubricatable</li></ul><p> Unit Number: SALF 207-22GH4</p><table class=""description-table""><tbody><tr><th>A</th><th>E</th><th>I</th><th>G</th><th>L</th><th>S</th><th>B</th><th>Z</th><th>Bi</th><th>N</th><th>K</th><th>Bolt Used</th></tr><tr><td>4 13/16</td><td>3 15/16</td><td>33/64</td><td>33/64</td><td>15/16</td><td>15/32</td><td>3 1/2</td><td>1 11/16</td><td>1.5315</td><td>0.3740</td><td>2 3/16</td><td>3/8</td></tr></tbody></table><p>Dimensions are in Inches.</p>"
