id,additional_description
884750,"<p>200/220/440, 208/230/460, 240/480 Primary Volts - 23/110, 24/120 Secondary Volts</p> <ul><li> Epoxy encapsulated design protects core &amp; coil assembly from potentially damaging contaminants </li> <li> Integrally molded terminal blocks with isolation barriers to prevent arc over, terminal blocks allow full access for ring terminals for easy installation and solid termination </li> <li> Heavy gauge steel mounting feet </li> <li> Available factory or field installed fuse blocks provide integral fusing on the primary or primary and secondary </li> <li> Dual labeling for easy product identification when equipped with a fuse block </li> <li> 55° C Temperature rise </li> <li> 105° C Insulation Class </li> <li> 200/220/440, 208/230/460, 240/480 Primary Volts; 23/110, 24/115, 25/120 Secondary Volts; 1Ø, 50/60 Hz </li></ul><table class=""description-table""><tr><th>Out of Package Weight (lbs)</th><td>9. 700</td></tr></table>"
884557,"<p>208/230/460 Primary Volts - 115 Secondary Volts</p> <ul><li> Epoxy encapsulated design protects core &amp; coil assembly from potentially damaging contaminants </li> <li> Integrally molded terminal blocks with isolation barriers to prevent arc over, terminal blocks allow full access for ring terminals for easy installation and solid termination </li> <li> Heavy gauge steel mounting feet </li> <li> Available factory or field installed fuse blocks provide integral fusing on the primary or primary and secondary </li> <li> Dual labeling for easy product identification when equipped with a fuse block </li> <li> 55° C Temperature rise </li> <li> 105° C Insulation Class </li> <li> 208/230/460 Primary Volts; 115 Secondary Volts; 1Ø, 50/60 Hz </li></ul><table class=""description-table""><tr><th>Out of Package Weight (lbs)</th><td>9. 500</td></tr></table>"
884793,"<p>208, 220/380/440, 230/400/460, 240/416/480 Primary Volts - 85/100/110, 91/110/120, 95/115/125, 99/120/130 Secondary Volts</p> <ul><li> Epoxy encapsulated design protects core &amp; coil assembly from potentially damaging contaminants </li> <li> Integrally molded terminal blocks with isolation barriers to prevent arc over, terminal blocks allow full access for ring terminals for easy installation and solid termination </li> <li> Heavy gauge steel mounting feet </li> <li> Available factory or field installed fuse blocks provide integral fusing on the primary or primary and secondary </li> <li> Dual labeling for easy product identification when equipped with a fuse block </li> <li> 55° C Temperature rise </li> <li> 105° C Insulation Class </li> <li> 208, 220/380/440, 230/400/460, 240/416/480 Primary Volts; 85/100/110, 91/110/120, 95/115/125, 99/120/130 Secondary Volts; 1Ø, 50/60 Hz </li></ul><table class=""description-table""><tr><th>Out of Package Weight (lbs)</th><td>9. 500</td></tr></table>"
884583,"<p>230/460/575 Primary Volts - 95/115 Secondary Volts</p> <ul><li> Epoxy encapsulated design protects core &amp; coil assembly from potentially damaging contaminants </li> <li> Integrally molded terminal blocks with isolation barriers to prevent arc over, terminal blocks allow full access for ring terminals for easy installation and solid termination </li> <li> Heavy gauge steel mounting feet </li> <li> Available factory or field installed fuse blocks provide integral fusing on the primary or primary and secondary </li> <li> Dual labeling for easy product identification when equipped with a fuse block </li> <li> 55° C Temperature rise </li> <li> 105° C Insulation Class </li> <li> 230/460/575 Primary Volts; 95/115 Secondary Volts; 1Ø, 50/60 Hz </li></ul><table class=""description-table""><tr><th>Out of Package Weight (lbs)</th><td>9. 500</td></tr></table>"
884733,"<p>120 x 240 Primary Volts - 24 Secondary Volts</p> <ul><li> Epoxy encapsulated design protects core &amp; coil assembly from potentially damaging contaminants </li> <li> Integrally molded terminal blocks with isolation barriers to prevent arc over, terminal blocks allow full access for ring terminals for easy installation and solid termination </li> <li> Heavy gauge steel mounting feet </li> <li> Available factory or field installed fuse blocks provide integral fusing on the primary or primary and secondary </li> <li> Dual labeling for easy product identification when equipped with a fuse block </li> <li> 55° C Temperature rise </li> <li> 105° C Insulation Class </li> <li> 120 x 240 Primary Volts; 24 Secondary Volts; 1Ø, 50/60 Hz </li></ul><table class=""description-table""><tr><th>Out of Package Weight (lbs)</th><td>9. 400</td></tr></table>"
884817,"<p>240 x 480, 230 x 460, 220 x 440 Primary Volts - 120/115/110 Secondary Volts</p> <ul><li> Epoxy encapsulated design protects core &amp; coil assembly from potentially damaging contaminants </li> <li> Integrally molded terminal blocks with isolation barriers to prevent arc over, terminal blocks allow full access for ring terminals for easy installation and solid termination </li> <li> Heavy gauge steel mounting feet </li> <li> Available factory or field installed fuse blocks provide integral fusing on the primary or primary and secondary </li> <li> Dual labeling for easy product identification when equipped with a fuse block </li> <li> 55° C Temperature rise </li> <li> 105° C Insulation Class </li> <li> 240 x 480, 230 x 460, 220 x 440 Primary Volts; 120/115/110 Secondary Volts; 1Ø, 50/60 Hz </li></ul><table class=""description-table""><tr><th>Out of Package Weight (lbs)</th><td>9. 400</td></tr></table>"
884991,"<p>575 Delta Primary Volts - 230Y/133 Secondary Volts - All Acme Drive Isolation Transformers (DITs) above 7. 5kVA are wound with strip windings to ensure the lowest possible eddy current losses. All our DITs use a three leg wound core. This superior design has very low losses and quiet operation. Both of these features combine to significantly reduce losses and operation costs compared to other types of constructions. All Acme DITs up to and including the 220kVA have copper terminations. The transition from aluminum strip coil conductors to copper terminations is accomplished by a bonding process known as ""Koldwelding"" This process has been used by Acme for over 25 years to provide a trouble-free, permanent bonding of the two metals. </p><ul><li>UL Type 3R Enclosures with Weather Shield on Ventilated Units (above 20 kVA). Type 2 Enclosure without weather shield. </li> <li> 3-Phase 60 Hertz </li> <li> 180°C and 220°C insulation systems </li> <li> Acme’s reinforced core assemblies enhance quiet operation </li> <li> Nominally 6% impedance </li> <li> Designed for use with AC, adjustable frequency or DC drives </li> <li> Full capacity taps are featured on all units. On 27 through 660 kVA units, taps are 2-2 1/2% ANFC and 2-2 1/2% BNFC. </li> <li> Full range of kVA ratings cover all standard drive systems </li> <li> Ample wiring compartment for easy cable entry </li> <li> Optional wall mounting brackets for certain sizes </li> <li> Stress relief: Acme uses strip conductors (above 7. 5 kVA) instead of wire for a DIT series that easily accommodates the severe electrical and mechanical stresses found in today’s AC &amp; DC motor drives. The inherent excellent line isolation of these transformers is further enhanced with the extra protection of Acme’s Electrostatic Shield — free in all DIT’s. </li><li>Lower losses: The harmonic currents generated by AC &amp; DC drives increase eddy current losses (heat) in transformer windings. The thicker the winding conductor, the greater the losses. Acme uses one turn per layer of thin strip conductor which provides lower eddy current losses than comparable wire wound units. Lower losses = cooler operation and longer transformer life. </li><li>Reduced short circuit forces: Strip windings minimize axial short circuit forces that can cause mechanical displacement of the windings under fault conditions. For extra protection all designs 7. 5 kVA and above use primary and secondary coils of equal axial length. This feature tends to negate axial short circuit forces, further improving transformer life expectancy. </li><li> All ventilated units, are of strip wound construction. </li></ul><table class=""description-table""><tr><th>Out of Package Height (in)</th><td>41. 520</td></tr><tr><th>Out of Package Width (in)</th><td>32. 900</td></tr><tr><th>Out of Package Length/Depth (in)</th><td>29. 880</td></tr><tr><th>Out of Package Weight (lbs)</th><td>990. 000</td></tr></table>"
884919,"<p>460 Delta Primary Volts - 230Y/133 Secondary Volts - All Acme Drive Isolation Transformers (DITs) above 7. 5kVA are wound with strip windings to ensure the lowest possible eddy current losses. All our DITs use a three leg wound core. This superior design has very low losses and quiet operation. Both of these features combine to significantly reduce losses and operation costs compared to other types of constructions. All Acme DITs up to and including the 220kVA have copper terminations. The transition from aluminum strip coil conductors to copper terminations is accomplished by a bonding process known as ""Koldwelding"" This process has been used by Acme for over 25 years to provide a trouble-free, permanent bonding of the two metals. </p><ul><li>UL Type 3R Enclosures with Weather Shield on Ventilated Units (above 20 kVA). Type 2 Enclosure without weather shield. </li> <li> 3-Phase 60 Hertz </li> <li> 180°C and 220°C insulation systems </li> <li> Acme’s reinforced core assemblies enhance quiet operation </li> <li> Nominally 6% impedance </li> <li> Designed for use with AC, adjustable frequency or DC drives </li> <li> Full capacity taps are featured on all units. On 27 through 660 kVA units, taps are 2-2 1/2% ANFC and 2-2 1/2% BNFC. </li> <li> Full range of kVA ratings cover all standard drive systems </li> <li> Ample wiring compartment for easy cable entry </li> <li> Optional wall mounting brackets for certain sizes </li> <li> Stress relief: Acme uses strip conductors (above 7. 5 kVA) instead of wire for a DIT series that easily accommodates the severe electrical and mechanical stresses found in today’s AC &amp; DC motor drives. The inherent excellent line isolation of these transformers is further enhanced with the extra protection of Acme’s Electrostatic Shield — free in all DIT’s. </li><li>Lower losses: The harmonic currents generated by AC &amp; DC drives increase eddy current losses (heat) in transformer windings. The thicker the winding conductor, the greater the losses. Acme uses one turn per layer of thin strip conductor which provides lower eddy current losses than comparable wire wound units. Lower losses = cooler operation and longer transformer life. </li><li>Reduced short circuit forces: Strip windings minimize axial short circuit forces that can cause mechanical displacement of the windings under fault conditions. For extra protection all designs 7. 5 kVA and above use primary and secondary coils of equal axial length. This feature tends to negate axial short circuit forces, further improving transformer life expectancy. </li><li> All ventilated units, are of strip wound construction. </li></ul><table class=""description-table""><tr><th>Out of Package Height (in)</th><td>41. 520</td></tr><tr><th>Out of Package Width (in)</th><td>32. 900</td></tr><tr><th>Out of Package Length/Depth (in)</th><td>29. 880</td></tr><tr><th>Out of Package Weight (lbs)</th><td>990. 000</td></tr></table>"
884891,"<p>230 Delta Primary Volts - 230Y/133 Secondary Volts - All Acme Drive Isolation Transformers (DITs) above 7. 5kVA are wound with strip windings to ensure the lowest possible eddy current losses. All our DITs use a three leg wound core. This superior design has very low losses and quiet operation. Both of these features combine to significantly reduce losses and operation costs compared to other types of constructions. All Acme DITs up to and including the 220kVA have copper terminations. The transition from aluminum strip coil conductors to copper terminations is accomplished by a bonding process known as ""Koldwelding"" This process has been used by Acme for over 25 years to provide a trouble-free, permanent bonding of the two metals. </p><ul><li>UL Type 3R Enclosures with Weather Shield on Ventilated Units (above 20 kVA). Type 2 Enclosure without weather shield. </li> <li> 3-Phase 60 Hertz </li> <li> 180°C and 220°C insulation systems </li> <li> Acme’s reinforced core assemblies enhance quiet operation </li> <li> Nominally 6% impedance </li> <li> Designed for use with AC, adjustable frequency or DC drives </li> <li> Full capacity taps are featured on all units. On 27 through 660 kVA units, taps are 2-2 1/2% ANFC and 2-2 1/2% BNFC. </li> <li> Full range of kVA ratings cover all standard drive systems </li> <li> Ample wiring compartment for easy cable entry </li> <li> Optional wall mounting brackets for certain sizes </li> <li> Stress relief: Acme uses strip conductors (above 7. 5 kVA) instead of wire for a DIT series that easily accommodates the severe electrical and mechanical stresses found in today’s AC &amp; DC motor drives. The inherent excellent line isolation of these transformers is further enhanced with the extra protection of Acme’s Electrostatic Shield — free in all DIT’s. </li><li>Lower losses: The harmonic currents generated by AC &amp; DC drives increase eddy current losses (heat) in transformer windings. The thicker the winding conductor, the greater the losses. Acme uses one turn per layer of thin strip conductor which provides lower eddy current losses than comparable wire wound units. Lower losses = cooler operation and longer transformer life. </li><li>Reduced short circuit forces: Strip windings minimize axial short circuit forces that can cause mechanical displacement of the windings under fault conditions. For extra protection all designs 7. 5 kVA and above use primary and secondary coils of equal axial length. This feature tends to negate axial short circuit forces, further improving transformer life expectancy. </li><li> All ventilated units, are of strip wound construction. </li></ul><table class=""description-table""><tr><th>Out of Package Height (in)</th><td>41. 520</td></tr><tr><th>Out of Package Width (in)</th><td>32. 900</td></tr><tr><th>Out of Package Length/Depth (in)</th><td>29. 880</td></tr><tr><th>Out of Package Weight (lbs)</th><td>990. 000</td></tr></table>"
884955,"<p>460 Delta Primary Volts - 460Y/266 Secondary Volts - All Acme Drive Isolation Transformers (DITs) above 7. 5kVA are wound with strip windings to ensure the lowest possible eddy current losses. All our DITs use a three leg wound core. This superior design has very low losses and quiet operation. Both of these features combine to significantly reduce losses and operation costs compared to other types of constructions. All Acme DITs up to and including the 220kVA have copper terminations. The transition from aluminum strip coil conductors to copper terminations is accomplished by a bonding process known as ""Koldwelding"" This process has been used by Acme for over 25 years to provide a trouble-free, permanent bonding of the two metals. </p><ul><li>UL Type 3R Enclosures with Weather Shield on Ventilated Units (above 20 kVA). Type 2 Enclosure without weather shield. </li> <li> 3-Phase 60 Hertz </li> <li> 180°C and 220°C insulation systems </li> <li> Acme’s reinforced core assemblies enhance quiet operation </li> <li> Nominally 6% impedance </li> <li> Designed for use with AC, adjustable frequency or DC drives </li> <li> Full capacity taps are featured on all units. On 27 through 660 kVA units, taps are 2-2 1/2% ANFC and 2-2 1/2% BNFC. </li> <li> Full range of kVA ratings cover all standard drive systems </li> <li> Ample wiring compartment for easy cable entry </li> <li> Optional wall mounting brackets for certain sizes </li> <li> Stress relief: Acme uses strip conductors (above 7. 5 kVA) instead of wire for a DIT series that easily accommodates the severe electrical and mechanical stresses found in today’s AC &amp; DC motor drives. The inherent excellent line isolation of these transformers is further enhanced with the extra protection of Acme’s Electrostatic Shield — free in all DIT’s. </li><li>Lower losses: The harmonic currents generated by AC &amp; DC drives increase eddy current losses (heat) in transformer windings. The thicker the winding conductor, the greater the losses. Acme uses one turn per layer of thin strip conductor which provides lower eddy current losses than comparable wire wound units. Lower losses = cooler operation and longer transformer life. </li><li>Reduced short circuit forces: Strip windings minimize axial short circuit forces that can cause mechanical displacement of the windings under fault conditions. For extra protection all designs 7. 5 kVA and above use primary and secondary coils of equal axial length. This feature tends to negate axial short circuit forces, further improving transformer life expectancy. </li><li> All ventilated units, are of strip wound construction. </li></ul><table class=""description-table""><tr><th>Out of Package Height (in)</th><td>41. 520</td></tr><tr><th>Out of Package Width (in)</th><td>32. 900</td></tr><tr><th>Out of Package Length/Depth (in)</th><td>29. 880</td></tr><tr><th>Out of Package Weight (lbs)</th><td>990. 000</td></tr></table>"
