id,additional_description
535593,"<table class=""description-table""><tr><th>Description</th><td>WG-12-F-NA-16-P-R</td></tr><tr><th>Product Number</th><td>887112</td></tr><tr><th>Family Features</th><td>Free-Standing Web Guides</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Roller Width: </th><td>12 in. </td></tr><tr><th>Maximum Recommended Web Width: </th><td>10 in. </td></tr><tr><th>Controller: </th><td>GC300-Not Included</td></tr><tr><th>Sensor Type: </th><td>Infrared</td></tr><tr><th>Sensor: </th><td>PH-16</td></tr><tr><th>Number of Sensors: </th><td>1</td></tr><tr><th>Sensor Location: </th><td>Right Side</td></tr><tr><th>Actuator Stroke: </th><td>2 in. </td></tr><tr><th>Actuator Unloaded Max Velocity: </th><td>1. 00 in/s</td></tr><tr><th>Maximum Web Tension: </th><td>5 lb/in. </td></tr><tr><th>Cable Length: </th><td>16 ft</td></tr><tr><th>Finish: </th><td>Powder Paint</td></tr><tr><th></th><td>Consult Nexen for other configurations. </td></tr><tr><th>Weight: </th><td>55. 5 LB</td></tr></table>"
535592,"<table class=""description-table""><tr><th>Description</th><td>WG-12-E-NA-16-P-B</td></tr><tr><th>Product Number</th><td>887111</td></tr><tr><th>Family Features</th><td>Free-Standing Web Guides</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Roller Width: </th><td>12 in. </td></tr><tr><th>Maximum Recommended Web Width: </th><td>10 in. </td></tr><tr><th>Controller: </th><td>AE120-Not Included</td></tr><tr><th>Sensor Type: </th><td>Infrared</td></tr><tr><th>Sensor: </th><td>PH-16</td></tr><tr><th>Number of Sensors: </th><td>2</td></tr><tr><th>Sensor Location: </th><td>Both Sides</td></tr><tr><th>Actuator Stroke: </th><td>2 in. </td></tr><tr><th>Actuator Unloaded Max Velocity: </th><td>1. 00 in/s</td></tr><tr><th>Maximum Web Tension: </th><td>5 lb/in. </td></tr><tr><th>Cable Length: </th><td>16 ft</td></tr><tr><th>Finish: </th><td>Powder Paint</td></tr><tr><th></th><td>Consult Nexen for other configurations. </td></tr><tr><th>Weight: </th><td>55. 5 LB</td></tr></table>"
533133,"<table class=""description-table""><tr><th>Description</th><td>RB25-S/P-S-NSK-LH*OBS</td></tr><tr><th>Product Number</th><td>960157</td></tr><tr><th>Family Features</th><td>Spring Engaged, Air Released, Premium Profile Guide Rail Brake</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Manufacturer And Series: </th><td>NSK, LH, Size 25</td></tr><tr><th>headtext: </th><td>This Product Is No Longer Available, It Has Been Replaced By Product #968157. </td></tr><tr><th>Features: </th><td>High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings</td></tr><tr><th>Comments: </th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force: </th><td>1000 N</td></tr><tr><th>Actuator Cycle Life: </th><td>More Than 1, 000, 000 Static Holding Cycles</td></tr><tr><th>Over All Length: </th><td>78. 0 mm</td></tr><tr><th>Over All Width: </th><td>69. 5 mm</td></tr><tr><th>Over All Height: </th><td>30. 0 mm</td></tr><tr><th>Backlash: </th><td>Less Than 0. 20 mm</td></tr><tr><th>Actuation/Return: </th><td>Spring/Air</td></tr><tr><th>Port Size: </th><td>4 mm Plastic Tubing Fitting Screwed Into A M3 Port</td></tr><tr><th>Maximum Pressure: </th><td>6. 9 bar</td></tr><tr><th>Minimum Release Pressure: </th><td>5. 5 bar</td></tr><tr><th>Approximate Engagement Response Time: </th><td>50 ms</td></tr><tr><th>Brake Air Chamber Volume When New: </th><td>78. 400 in³</td></tr><tr><th>Brake Air Chamber Volume When Worn Out: </th><td>16. 200 in³</td></tr><tr><th>Ratings: </th><td>CE, And RoHS</td></tr><tr><th>Mass: </th><td>0. 84 kg</td></tr><tr><th>Finish: </th><td>Black Oxide</td></tr><tr><th>Restrictions: </th><td>Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications</td></tr><tr><th></th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight: </th><td>2. 4 LB</td></tr></table>"
533128,"<table class=""description-table""><tr><th>Description</th><td>RB25-S/P-S-NSK-LS*OBS</td></tr><tr><th>Product Number</th><td>960156</td></tr><tr><th>Family Features</th><td>Spring Engaged, Air Released, Premium Profile Guide Rail Brake</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Manufacturer And Series: </th><td>NSK, LS, Size 25</td></tr><tr><th>headtext: </th><td>This Product Is No Longer Available, It Has Been Replaced By Product #968156. </td></tr><tr><th>Features: </th><td>High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings</td></tr><tr><th>Comments: </th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force: </th><td>1000 N</td></tr><tr><th>Actuator Cycle Life: </th><td>More Than 1, 000, 000 Static Holding Cycles</td></tr><tr><th>Over All Length: </th><td>78. 0 mm</td></tr><tr><th>Over All Width: </th><td>69. 5 mm</td></tr><tr><th>Over All Height: </th><td>30. 0 mm</td></tr><tr><th>Backlash: </th><td>Less Than 0. 20 mm</td></tr><tr><th>Actuation/Return: </th><td>Spring/Air</td></tr><tr><th>Port Size: </th><td>4 mm Plastic Tubing Fitting Screwed Into A M3 Port</td></tr><tr><th>Maximum Pressure: </th><td>6. 9 bar</td></tr><tr><th>Minimum Release Pressure: </th><td>5. 5 bar</td></tr><tr><th>Approximate Engagement Response Time: </th><td>50 ms</td></tr><tr><th>Brake Air Chamber Volume When New: </th><td>78. 400 in³</td></tr><tr><th>Brake Air Chamber Volume When Worn Out: </th><td>16. 200 in³</td></tr><tr><th>Ratings: </th><td>CE, And RoHS</td></tr><tr><th>Mass: </th><td>0. 84 kg</td></tr><tr><th>Finish: </th><td>Black Oxide</td></tr><tr><th>Restrictions: </th><td>Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications</td></tr><tr><th></th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight: </th><td>2. 2 LB</td></tr></table>"
533135,"<table class=""description-table""><tr><th>Description</th><td>RB25-S/P-S-THK-SR*OBS</td></tr><tr><th>Product Number</th><td>960151</td></tr><tr><th>Family Features</th><td>Spring Engaged, Air Released, Premium Profile Guide Rail Brake</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Manufacturer And Series: </th><td>THK, SR, Size 25</td></tr><tr><th>headtext: </th><td>This Product Is No Longer Available, It Has Been Replaced By Product #968151. </td></tr><tr><th>Features: </th><td>High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings</td></tr><tr><th>Comments: </th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force: </th><td>900 N</td></tr><tr><th>Actuator Cycle Life: </th><td>More Than 1, 000, 000 Static Holding Cycles</td></tr><tr><th>Over All Length: </th><td>78. 0 mm</td></tr><tr><th>Over All Width: </th><td>69. 5 mm</td></tr><tr><th>Over All Height: </th><td>30. 0 mm</td></tr><tr><th>Backlash: </th><td>Less Than 0. 20 mm</td></tr><tr><th>Actuation/Return: </th><td>Spring/Air</td></tr><tr><th>Port Size: </th><td>4 mm Plastic Tubing Fitting Screwed Into A M3 Port</td></tr><tr><th>Maximum Pressure: </th><td>6. 9 bar</td></tr><tr><th>Minimum Release Pressure: </th><td>5. 5 bar</td></tr><tr><th>Approximate Engagement Response Time: </th><td>50 ms</td></tr><tr><th>Brake Air Chamber Volume When New: </th><td>78. 400 in³</td></tr><tr><th>Brake Air Chamber Volume When Worn Out: </th><td>16. 200 in³</td></tr><tr><th>Ratings: </th><td>CE, And RoHS</td></tr><tr><th>Mass: </th><td>0. 84 kg</td></tr><tr><th>Finish: </th><td>Black Oxide</td></tr><tr><th>Restrictions: </th><td>Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications</td></tr><tr><th></th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight: </th><td>2. 5 LB</td></tr></table>"
533125,"<table class=""description-table""><tr><th>Description</th><td>RB25-S/P-S-STAR-16XX*OBS</td></tr><tr><th>Product Number</th><td>960152</td></tr><tr><th>Family Features</th><td>Spring Engaged, Air Released, Premium Profile Guide Rail Brake</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Manufacturer And Series: </th><td>SKF, LLRHS A, And STAR, 1605, 1607, 1645, 1647, Size 25</td></tr><tr><th>headtext: </th><td>This Product Is No Longer Available, It Has Been Replaced By Product #968152. </td></tr><tr><th>Features: </th><td>High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings</td></tr><tr><th>Comments: </th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force: </th><td>1000 N</td></tr><tr><th>Actuator Cycle Life: </th><td>More Than 1, 000, 000 Static Holding Cycles</td></tr><tr><th>Over All Length: </th><td>78. 0 mm</td></tr><tr><th>Over All Width: </th><td>69. 5 mm</td></tr><tr><th>Over All Height: </th><td>30. 0 mm</td></tr><tr><th>Backlash: </th><td>Less Than 0. 20 mm</td></tr><tr><th>Actuation/Return: </th><td>Spring/Air</td></tr><tr><th>Port Size: </th><td>4 mm Plastic Tubing Fitting Screwed Into A M3 Port</td></tr><tr><th>Maximum Pressure: </th><td>6. 9 bar</td></tr><tr><th>Minimum Release Pressure: </th><td>5. 5 bar</td></tr><tr><th>Approximate Engagement Response Time: </th><td>50 ms</td></tr><tr><th>Brake Air Chamber Volume When New: </th><td>78. 400 in³</td></tr><tr><th>Brake Air Chamber Volume When Worn Out: </th><td>16. 200 in³</td></tr><tr><th>Ratings: </th><td>CE, And RoHS</td></tr><tr><th>Mass: </th><td>0. 84 kg</td></tr><tr><th>Finish: </th><td>Black Oxide</td></tr><tr><th>Restrictions: </th><td>Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications</td></tr><tr><th></th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight: </th><td>2. 2 LB</td></tr></table>"
533126,"<table class=""description-table""><tr><th>Description</th><td>RB25-S/P-S-STAR-18XX*OBS</td></tr><tr><th>Product Number</th><td>960153</td></tr><tr><th>Family Features</th><td>Spring Engaged, Air Released, Premium Profile Guide Rail Brake</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Manufacturer And Series: </th><td>SKF, LLRHS(LA, SA) And STAR, 1805, 1807, Size 25</td></tr><tr><th>headtext: </th><td>This Product Is No Longer Available, It Has Been Replaced By Product #968153. </td></tr><tr><th>Features: </th><td>High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings</td></tr><tr><th>Comments: </th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force: </th><td>1000 N</td></tr><tr><th>Actuator Cycle Life: </th><td>More Than 1, 000, 000 Static Holding Cycles</td></tr><tr><th>Over All Length: </th><td>78. 0 mm</td></tr><tr><th>Over All Width: </th><td>69. 5 mm</td></tr><tr><th>Over All Height: </th><td>30. 0 mm</td></tr><tr><th>Backlash: </th><td>Less Than 0. 20 mm</td></tr><tr><th>Actuation/Return: </th><td>Spring/Air</td></tr><tr><th>Port Size: </th><td>4 mm Plastic Tubing Fitting Screwed Into A M3 Port</td></tr><tr><th>Maximum Pressure: </th><td>6. 9 bar</td></tr><tr><th>Minimum Release Pressure: </th><td>5. 5 bar</td></tr><tr><th>Approximate Engagement Response Time: </th><td>50 ms</td></tr><tr><th>Brake Air Chamber Volume When New: </th><td>78. 400 in³</td></tr><tr><th>Brake Air Chamber Volume When Worn Out: </th><td>16. 200 in³</td></tr><tr><th>Ratings: </th><td>CE, And RoHS</td></tr><tr><th>Mass: </th><td>0. 84 kg</td></tr><tr><th>Finish: </th><td>Black Oxide</td></tr><tr><th>Restrictions: </th><td>Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications</td></tr><tr><th></th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight: </th><td>2. 2 LB</td></tr></table>"
533134,"<table class=""description-table""><tr><th>Description</th><td>RB25-S/P-S-THK-SHS*OBS</td></tr><tr><th>Product Number</th><td>960150</td></tr><tr><th>Family Features</th><td>Spring Engaged, Air Released, Premium Profile Guide Rail Brake</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Manufacturer And Series: </th><td>THK, SHS, Size 25</td></tr><tr><th>headtext: </th><td>This Product Is No Longer Available, It Has Been Replaced By Product #968150. </td></tr><tr><th>Features: </th><td>High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings</td></tr><tr><th>Comments: </th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force: </th><td>1000 N</td></tr><tr><th>Actuator Cycle Life: </th><td>More Than 1, 000, 000 Static Holding Cycles</td></tr><tr><th>Over All Length: </th><td>78. 0 mm</td></tr><tr><th>Over All Width: </th><td>69. 5 mm</td></tr><tr><th>Over All Height: </th><td>30. 0 mm</td></tr><tr><th>Backlash: </th><td>Less Than 0. 20 mm</td></tr><tr><th>Actuation/Return: </th><td>Spring/Air</td></tr><tr><th>Port Size: </th><td>4 mm Plastic Tubing Fitting Screwed Into A M3 Port</td></tr><tr><th>Maximum Pressure: </th><td>6. 9 bar</td></tr><tr><th>Minimum Release Pressure: </th><td>5. 5 bar</td></tr><tr><th>Approximate Engagement Response Time: </th><td>50 ms</td></tr><tr><th>Brake Air Chamber Volume When New: </th><td>78. 400 in³</td></tr><tr><th>Brake Air Chamber Volume When Worn Out: </th><td>16. 200 in³</td></tr><tr><th>Ratings: </th><td>CE, And RoHS</td></tr><tr><th>Mass: </th><td>0. 84 kg</td></tr><tr><th>Finish: </th><td>Black Oxide</td></tr><tr><th>Restrictions: </th><td>Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications</td></tr><tr><th></th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight: </th><td>2. 4 LB</td></tr></table>"
533129,"<table class=""description-table""><tr><th>Description</th><td>RB25-S/P-S-IKO-LWH*OBS</td></tr><tr><th>Product Number</th><td>960158</td></tr><tr><th>Family Features</th><td>Spring Engaged, Air Released, Premium Profile Guide Rail Brake</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Manufacturer And Series: </th><td>IKO, LWH, Size 25</td></tr><tr><th>headtext: </th><td>This Product Is No Longer Available, It Has Been Replaced By Product #968158. </td></tr><tr><th>Features: </th><td>High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings</td></tr><tr><th>Comments: </th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force: </th><td>1000 N</td></tr><tr><th>Actuator Cycle Life: </th><td>More Than 1, 000, 000 Static Holding Cycles</td></tr><tr><th>Over All Length: </th><td>78. 0 mm</td></tr><tr><th>Over All Width: </th><td>69. 5 mm</td></tr><tr><th>Over All Height: </th><td>30. 0 mm</td></tr><tr><th>Backlash: </th><td>Less Than 0. 20 mm</td></tr><tr><th>Actuation/Return: </th><td>Spring/Air</td></tr><tr><th>Port Size: </th><td>4 mm Plastic Tubing Fitting Screwed Into A M3 Port</td></tr><tr><th>Maximum Pressure: </th><td>6. 9 bar</td></tr><tr><th>Minimum Release Pressure: </th><td>5. 5 bar</td></tr><tr><th>Approximate Engagement Response Time: </th><td>50 ms</td></tr><tr><th>Brake Air Chamber Volume When New: </th><td>78. 400 in³</td></tr><tr><th>Brake Air Chamber Volume When Worn Out: </th><td>16. 200 in³</td></tr><tr><th>Ratings: </th><td>CE, And RoHS</td></tr><tr><th>Mass: </th><td>0. 84 kg</td></tr><tr><th>Finish: </th><td>Black Oxide</td></tr><tr><th>Restrictions: </th><td>Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications</td></tr><tr><th></th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight: </th><td>2. 2 LB</td></tr></table>"
533940,"<table class=""description-table""><tr><th>Description</th><td>LW*1. 125, 2'A' GRV, 04. 40 PD</td></tr><tr><th>Product Number</th><td>804300</td></tr><tr><th>Family Features</th><td>Air Engaged Straight Bore Shaft Mounted Clutch With Open Bearings</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>headtext: </th><td>Consider Pt# 805250, Air Champ 2, That Is A Direct Replacement Upgrade For This Product</td></tr><tr><th>Open Or Enclosed Design: </th><td>Open</td></tr><tr><th>Drive Arrangement: </th><td>2-A, 4. 40 in. PD Sheave</td></tr><tr><th>Bore Size: </th><td>1. 125 in. ; 0 - 1. 0 With Bushings</td></tr><tr><th>Bore Style: </th><td>Straight</td></tr><tr><th>Over All Length: </th><td>5. 56 in. </td></tr><tr><th>Over All Diameter: </th><td>6. 06 in. </td></tr><tr><th>Clutch Facing Type: </th><td>Standard Coefficient</td></tr><tr><th>Clutch Facing Edge Color Code: </th><td>Red</td></tr><tr><th>Maximum Static Clutch Torque: </th><td>370 inlbs</td></tr><tr><th>Maximum Clutch Continuous Thermal Dissipation: </th><td>0. 40 hp</td></tr><tr><th>Clutch Heat Sink Capacity: </th><td>60000 ftlb</td></tr><tr><th>Clutch Peak Thermal Input Rate: </th><td>16. 80 hp</td></tr><tr><th>Backlash: </th><td>0. 44°</td></tr><tr><th>Shaft Inertia: </th><td>16. 13 lbin²</td></tr><tr><th>Max Rpm: </th><td>1800</td></tr><tr><th>Actuation/Return: </th><td>Air/Spring</td></tr><tr><th>Port Size: </th><td>0. 125 NPT</td></tr><tr><th>Maximum Pressure: </th><td>80 psi</td></tr><tr><th>Minimum Engagement Pressure: </th><td>5 psi</td></tr><tr><th>Approximate Clutch Facing Life: </th><td>572 hphr</td></tr><tr><th>Clutch Air Chamber Volume When New: </th><td>0. 327 in³</td></tr><tr><th>Clutch Air Chamber Volume When Worn Out: </th><td>0. 855 in³</td></tr><tr><th>Ratings: </th><td>CE, And RoHS</td></tr><tr><th>Finish: </th><td>Black Oxide</td></tr><tr><th>Restrictions: </th><td>This Clutches Bore Can Be Reduced With The Bushings Found In Accessories To The Left</td></tr><tr><th>Weight: </th><td>14. 3 LB</td></tr></table>"
