id,additional_description
696800,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 600V 3 Phase input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696870,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 600V 3 Phase input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696749,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 600V 3 Phase input in NEMA 4X - Indoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696718,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 600V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696790,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 480V 3 Phase input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696847,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 480V 3 Phase input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696739,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 480V 3 Phase input in NEMA 4X - Indoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696748,"<p> SMV Series Drive: 5 HP (4 kW), 600V 3 Phase input in NEMA 4X - Indoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
1152,"<p> SMV Series Drive: 5 HP (4 kW), 600V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696789,"<p> SMV Series Drive: 5 HP (4 kW), 480V 3 Phase input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696846,"<p> SMV Series Drive: 5 HP (4 kW), 480V 3 Phase input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696738,"<p> SMV Series Drive: 5 HP (4 kW), 480V 3 Phase input in NEMA 4X - Indoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
1148,"<p> SMV Series Drive: 5 HP (4 kW), 480V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696817,"<p> SMV Series Drive: 5 HP (4 kW), 480V 3 Phase filtered input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696859,"<p> SMV Series Drive: 5 HP (4 kW), 480V 3 Phase filtered input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696765,"<p> SMV Series Drive: 5 HP (4 kW), 480V 3 Phase filtered input in NEMA 4X - Indoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696780,"<p> SMV Series Drive: 5 HP (4 kW), 240V 3 Phase input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>200-240 VAC 3ph. </td></tr></table>"
696837,"<p> SMV Series Drive: 5 HP (4 kW), 240V 3 Phase input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>200-240 VAC 3ph. </td></tr></table>"
696730,"<p> SMV Series Drive: 5 HP (4 kW), 240V 3 Phase input in NEMA 4X - Indoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>200-240 VAC 3ph. </td></tr></table>"
1142,"<p> SMV Series Drive: 5 HP (4 kW), 240V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>200-240 VAC 3ph. </td></tr></table>"
1185416,"<p> SMV Series Drive: 40 HP (30 kW), 600V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>40</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
674853,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 480V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696818,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 480V 3 Phase filtered input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696860,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 480V 3 Phase filtered input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696766,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 480V 3 Phase filtered input in NEMA 4X - Indoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696781,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 240V 3 Phase input in NEMA 4X - Indoor/Outdoor, Fan Cooled enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>200-240 VAC 3ph. </td></tr></table>"
696838,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 240V 3 Phase input in NEMA 4X - Indoor, Fan Cooled enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>200-240 VAC 3ph. </td></tr></table>"
696731,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 240V 3 Phase input in NEMA 4X - Indoor, Fan Cooled enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>200-240 VAC 3ph. </td></tr></table>"
696717,"<p> SMV Series Drive: 7. 5 HP (5. 5 kW), 240V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>7. 5</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>200-240 VAC 3ph. </td></tr></table>"
1327173,"<p> SMV Series Drive: 60 HP (45 kW), 600V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>60</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
1327171,"<p> SMV Series Drive: 60 HP (45 kW), 480V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>60</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
1327172,"<p> SMV Series Drive: 50 HP (37 kW), 600V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>50</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
1327170,"<p> SMV Series Drive: 50 HP (37 kW), 480V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>50</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696799,"<p> SMV Series Drive: 5 HP (4 kW), 600V 3 Phase input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696869,"<p> SMV Series Drive: 5 HP (4 kW), 600V 3 Phase input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>5</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696771,"<p> SMV Series Drive: 30 HP (22 kW), 480V 3 Phase filtered input in NEMA 4X - Indoor, Fan Cooled enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>30</td></tr><tr><th>Output Voltage</th><td>240</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696798,"<p> SMV Series Drive: 3 HP (2. 2 kW), 600V 3 Phase input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>3</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696868,"<p> SMV Series Drive: 3 HP (2. 2 kW), 600V 3 Phase input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>3</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696747,"<p> SMV Series Drive: 3 HP (2. 2 kW), 600V 3 Phase input in NEMA 4X - Indoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>3</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
1151,"<p> SMV Series Drive: 3 HP (2. 2 kW), 600V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>3</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696788,"<p> SMV Series Drive: 3 HP (2. 2 kW), 480V 3 Phase input in NEMA 4X - Indoor/Outdoor enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;Indoor/Outdoor</td></tr><tr><th>Normal Duty HP</th><td>3</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696845,"<p> SMV Series Drive: 3 HP (2. 2 kW), 480V 3 Phase input in NEMA 4X - Indoor enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>3</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
696874,"<p> SMV Series Drive: 25 HP (18. 5 kW), 600V 3 Phase input in NEMA 4X - Indoor, Fan Cooled enclosure with input disconnect </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x;With Disconnect</td></tr><tr><th>Normal Duty HP</th><td>25</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696753,"<p> SMV Series Drive: 25 HP (18. 5 kW), 600V 3 Phase input in NEMA 4X - Indoor, Fan Cooled enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>25</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696722,"<p> SMV Series Drive: 25 HP (18. 5 kW), 600V 3 Phase input in NEMA 1 enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f)</td></tr><tr><th>Normal Duty HP</th><td>25</td></tr><tr><th>Output Voltage</th><td>600</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>500-600 VAC 3ph. </td></tr></table>"
696794,"<p> SMV Series Drive: 25 HP (18. 5 kW), 480V 3 Phase input in NEMA 4X - Indoor/Outdoor, Fan Cooled enclosure </p><table class=""description-table""><tr><th>AC Drives</th></tr><tr><th>Drive Style</th><td>Sensor-less Vector;Volts/Hz. (V/f);Nema 4x</td></tr><tr><th>Normal Duty HP</th><td>25</td></tr><tr><th>Output Voltage</th><td>480</td></tr><tr><th>Product Type</th><td>AC Drives</td></tr><tr><th>Supply Voltage</th><td>380-480 VAC 3ph. </td></tr></table>"
