id,additional_description
723940,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>SJFL12T</td></tr><tr><th>Part Type: </th><td>Rod Ends</td></tr><tr><th>Product Line: </th><td>FK SJM-T/SJF-T/SRSM-T Series Rod Ends</td></tr><tr><th>Rod End Thread Size: </th><td>3/4-16 LH in. </td></tr><tr><th>Rod End Attachment: </th><td>Female threads</td></tr><tr><th>Rod End Construction: </th><td>3-piece</td></tr><tr><th>Rod End Style: </th><td>PTFE lined</td></tr><tr><th>Jam Nut Included: </th><td>No</td></tr><tr><th>Thread Length: </th><td>1. 750 in. </td></tr><tr><th>Rod End Head Bore Size: </th><td>0. 750 in. </td></tr><tr><th>Rod End Head Diameter: </th><td>1. 775 in. </td></tr><tr><th>Rod End Head Width: </th><td>0. 687 in. </td></tr><tr><th>Grease Fitting: </th><td>No</td></tr><tr><th>Rod End Centerline Length: </th><td>2. 875 in. </td></tr><tr><th>Heat-Treated: </th><td>Yes</td></tr><tr><th>Rod End Ball Width: </th><td>0. 875 in. </td></tr><tr><th>Rod End Misalign Angle (degrees): </th><td>14 degrees</td></tr><tr><th>Rod End Static Load Capacity: </th><td>21, 664 lbs. </td></tr><tr><th>Rod End Material: </th><td>Stainless steel</td></tr><tr><th>Rod End Finish: </th><td>Natural</td></tr></table><h5>Description</h5><p> FK SJM-T/SJF-T/SRSM-T Series rod ends feature 3-piece precision stainless steel construction. These self-lubricating, high-strength rod ends feature bodies and races composed of 17-4PH CRES heat-treated stainless steel and a 440C CRES heat-treated stainless steel ball. FK SJM-T/SJF-T/SRSM-T Series rod ends come standard with a PTFE fabric liner bonded to the race i. d. </p>"
724767,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>3208</td></tr><tr><th>Part Type: </th><td>Chassis Tube Ends</td></tr><tr><th>Product Line: </th><td>FK Weldable Tube Ends</td></tr><tr><th>Tubing End Material: </th><td>Chromoly steel</td></tr><tr><th>Tubing End Finish: </th><td>Natural</td></tr><tr><th>Thread Size: </th><td>3/4-16 in. RH</td></tr><tr><th>Tubing Diameter (in): </th><td>1. 500 in. </td></tr><tr><th>Tubing Wall Thickness (in): </th><td>0. 250 in. </td></tr><tr><th>Tubing End Style: </th><td>Smooth</td></tr></table><h5>Description</h5><p> FK weldable tube ends are very useful for the fabrication of suspension links, wishbones, and linkages. They're available in a variety of sizes in either right or left hand thread applications to best suit your vehicle needs. These tube ends are made from chromoly steel for easy weldability to common DOM material and, as with any fabrication part, proper welding technique is a must! </p>"
724762,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>3008L</td></tr><tr><th>Part Type: </th><td>Chassis Tube Ends</td></tr><tr><th>Product Line: </th><td>FK Weldable Tube Ends</td></tr><tr><th>Tubing End Material: </th><td>Chromoly steel</td></tr><tr><th>Tubing End Finish: </th><td>Natural</td></tr><tr><th>Thread Size: </th><td>3/4-16 in. LH</td></tr><tr><th>Tubing Diameter (in): </th><td>1. 375 in. </td></tr><tr><th>Tubing Wall Thickness (in): </th><td>0. 120 in. </td></tr><tr><th>Tubing End Style: </th><td>Smooth/Groove</td></tr><tr><th>Notes: </th><td>This end has a distinctive groove around the end. </td></tr></table><h5>Description</h5><p> FK weldable tube ends are very useful for the fabrication of suspension links, wishbones, and linkages. They're available in a variety of sizes in either right or left hand thread applications to best suit your vehicle needs. These tube ends are made from chromoly steel for easy weldability to common DOM material and, as with any fabrication part, proper welding technique is a must! </p>"
723806,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>CFL7</td></tr><tr><th>Part Type: </th><td>Rod Ends</td></tr><tr><th>Product Line: </th><td>FK CM/CF Series Rod Ends</td></tr><tr><th>Rod End Thread Size: </th><td>7/16-20 LH in. </td></tr><tr><th>Rod End Attachment: </th><td>Female threads</td></tr><tr><th>Rod End Construction: </th><td>2-piece</td></tr><tr><th>Rod End Style: </th><td>Metal to metal</td></tr><tr><th>Jam Nut Included: </th><td>No</td></tr><tr><th>Thread Length: </th><td>0. 937 in. </td></tr><tr><th>Rod End Head Bore Size: </th><td>0. 438 in. </td></tr><tr><th>Rod End Head Diameter: </th><td>1. 125 in. </td></tr><tr><th>Rod End Head Width: </th><td>0. 406 in. </td></tr><tr><th>Grease Fitting: </th><td>No</td></tr><tr><th>Rod End Centerline Length: </th><td>1. 812 in. </td></tr><tr><th>Heat-Treated: </th><td>No</td></tr><tr><th>Rod End Ball Width: </th><td>0. 562 in. </td></tr><tr><th>Rod End Misalign Angle (degrees): </th><td>21 degrees</td></tr><tr><th>Rod End Static Load Capacity: </th><td>6, 420 lbs. </td></tr><tr><th>Rod End Material: </th><td>Low carbon steel</td></tr><tr><th>Rod End Finish: </th><td>Natural</td></tr></table><h5>Description</h5><p> FK CM/CF Series rod ends are economy rod ends featuring 2-piece, metal-to-metal construction. Their bodies are made using low carbon steel that's zinc plated and chromate-treated, and their balls are made of 52100 hard chrome plated steel. These high-quality rod ends are often used in street rod applications without high-impact or load requirements. Optional PTFE liners are available. </p>"
723794,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>CFL5</td></tr><tr><th>Part Type: </th><td>Rod Ends</td></tr></table>"
724286,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>CM8M</td></tr><tr><th>Part Type: </th><td>Rod Ends</td></tr></table>"
724351,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>WSSX10TV</td></tr><tr><th>Part Type: </th><td>Rod End Receiver Bearings</td></tr><tr><th>Product Line: </th><td>FK Precision Wide Series Spherical Bearings</td></tr><tr><th>Receiver Race Diameter (in. ): </th><td>1. 1875 in. </td></tr><tr><th>Race Width (in. ): </th><td>0. 567 in. </td></tr><tr><th>Inner Ball Width (in. ): </th><td>0. 750 in. </td></tr><tr><th>Inner Ball Diameter (in. ): </th><td>0. 6250 in. </td></tr><tr><th>Rod End Ball Diameter (in. ): </th><td>1. 062 in. </td></tr><tr><th>Rod End Misalign Angle (degrees): </th><td>12 degrees</td></tr><tr><th>ULT. Static Radial Load (lbs. ): </th><td>20, 250 lbs. </td></tr><tr><th>Rod End Bearing Material: </th><td>Stainless steel</td></tr><tr><th>Notes: </th><td>Grooved bearing. </td></tr></table><h5>Description</h5><p> FK precision wide series spherical bearings are a great choice for fabricating long travel suspension arms and links. These strong, dependable spherical bearings are heat-treated stainless steel with a bonded PTFE liner to handle abuse. FK's self-lubricating PTFE liners are chemically bonded to the inner diameter of the race to offer a very high load-carrying capacity with greatly increased dynamic wear characteristics. They are available in plain or grooved styles. Wide series spherical bearings offer the best American-made quality because FK knows that in order to finish first, you must first finish. </p>"
723857,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>CM8Y</td></tr><tr><th>Part Type: </th><td>Rod Ends</td></tr><tr><th>Product Line: </th><td>FK CM/CF Series Rod Ends</td></tr><tr><th>Rod End Thread Size: </th><td>1/2-20 RH in. </td></tr><tr><th>Rod End Attachment: </th><td>Male threads</td></tr><tr><th>Rod End Construction: </th><td>2-piece</td></tr><tr><th>Rod End Style: </th><td>Metal to metal</td></tr><tr><th>Jam Nut Included: </th><td>No</td></tr><tr><th>Thread Length: </th><td>1. 500 in. </td></tr><tr><th>Rod End Head Bore Size: </th><td>0. 500 in. </td></tr><tr><th>Rod End Head Diameter: </th><td>1. 312 in. </td></tr><tr><th>Rod End Head Width: </th><td>0. 453 in. </td></tr><tr><th>Grease Fitting: </th><td>No</td></tr><tr><th>Rod End Centerline Length: </th><td>2. 438 in. </td></tr><tr><th>Heat-Treated: </th><td>No</td></tr><tr><th>Rod End Ball Width: </th><td>0. 625 in. </td></tr><tr><th>Rod End Misalign Angle (degrees): </th><td>20 degrees</td></tr><tr><th>Rod End Static Load Capacity: </th><td>8, 386 lbs. </td></tr><tr><th>Rod End Material: </th><td>Low carbon steel</td></tr><tr><th>Rod End Finish: </th><td>Zinc plated</td></tr><tr><th>Notes: </th><td>Comes with press-in stud in rod end bore. </td></tr></table><h5>Description</h5><p> FK CM/CF Series rod ends are economy rod ends featuring 2-piece, metal-to-metal construction. Their bodies are made using low carbon steel that's zinc plated and chromate-treated, and their balls are made of 52100 hard chrome plated steel. These high-quality rod ends are often used in street rod applications without high-impact or load requirements. Optional PTFE liners are available. </p>"
723751,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>CF5Y</td></tr><tr><th>Part Type: </th><td>Rod Ends</td></tr><tr><th>Product Line: </th><td>FK CM/CF Series Rod Ends</td></tr><tr><th>Rod End Thread Size: </th><td>5/16-24 RH in. </td></tr><tr><th>Rod End Attachment: </th><td>Female threads</td></tr><tr><th>Rod End Construction: </th><td>2-piece</td></tr><tr><th>Rod End Style: </th><td>Metal to metal</td></tr><tr><th>Jam Nut Included: </th><td>No</td></tr><tr><th>Thread Length: </th><td>0. 687 in. </td></tr><tr><th>Rod End Head Bore Size: </th><td>0. 313 in. </td></tr><tr><th>Rod End Head Diameter: </th><td>0. 875 in. </td></tr><tr><th>Rod End Head Width: </th><td>0. 312 in. </td></tr><tr><th>Grease Fitting: </th><td>No</td></tr><tr><th>Rod End Centerline Length: </th><td>1. 375 in. </td></tr><tr><th>Heat-Treated: </th><td>No</td></tr><tr><th>Rod End Ball Width: </th><td>0. 437 in. </td></tr><tr><th>Rod End Misalign Angle (degrees): </th><td>22 degrees</td></tr><tr><th>Rod End Static Load Capacity: </th><td>3, 934 lbs. </td></tr><tr><th>Rod End Material: </th><td>Low carbon steel</td></tr><tr><th>Rod End Finish: </th><td>Zinc plated</td></tr><tr><th>Notes: </th><td>Comes with press-in stud in rod end bore. </td></tr></table><h5>Description</h5><p> FK CM/CF Series rod ends are economy rod ends featuring 2-piece, metal-to-metal construction. Their bodies are made using low carbon steel that's zinc plated and chromate-treated, and their balls are made of 52100 hard chrome plated steel. These high-quality rod ends are often used in street rod applications without high-impact or load requirements. Optional PTFE liners are available. </p> "
724769,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand: </th><td>FK Rod Ends</td></tr><tr><th>Manufacturer's Part Number: </th><td>3209</td></tr><tr><th>Part Type: </th><td>Chassis Tube Ends</td></tr><tr><th>Product Line: </th><td>FK Weldable Tube Ends</td></tr><tr><th>Tubing End Material: </th><td>Chromoly steel</td></tr><tr><th>Tubing End Finish: </th><td>Natural</td></tr><tr><th>Thread Size: </th><td>7/8-14 in. RH</td></tr><tr><th>Tubing Diameter (in): </th><td>1. 500 in. </td></tr><tr><th>Tubing Wall Thickness (in): </th><td>0. 250 in. </td></tr><tr><th>Tubing End Style: </th><td>Smooth</td></tr></table><h5>Description</h5><p> FK weldable tube ends are very useful for the fabrication of suspension links, wishbones, and linkages. They're available in a variety of sizes in either right or left hand thread applications to best suit your vehicle needs. These tube ends are made from chromoly steel for easy weldability to common DOM material and, as with any fabrication part, proper welding technique is a must! </p>"
