ID,ADDITIONAL_DESCRIPTION
1411070,<ul><li>Two tools in one</li> <li>Crimps solderless terminals and connectors ranging from#10 to 22 AWG</li> <li>Wire cutter built into base</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>
1411071,<ul><li>Two tools in one</li> <li>Crimps solderless terminals and connectors ranging from#10 to 22 AWG</li> <li>Wire cutter built into base</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>
1411191,<ul><li>High leverage design for increased cutting and gripping power</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>
1411190,<ul><li>High leverage design for increased cutting and gripping power</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>
1411183,<ul><li>High leverage design for increased cutting and gripping power</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>
1411125,<ul><li>High leverage design for increased cutting and gripping power</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>
1411074,"<ul><li>Overall Length: 10""</li><li>Jaw Length: 2-1/8""</li><li>Pipe Capacity Minimum: 5/16""</li><li>Pipe Capacity Maximum: 1 1/2""</li><li>Forged Steel</li> <li>Double Pipe Grip</li> <li>Conforms to ANSI Specification No. B107. 20M Type V</li> <li>Conforms to Federal Specification No. GGG-P-471 Type VI</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>"
1411076,"<ul><li>Overall Length: 10""</li><li>Jaw Length: 2-1/8""</li><li>Pipe Capacity Minimum: 5/16""</li><li>Pipe Capacity Maximum: 1 1/2""</li><li>Forged Steel</li> <li>Double Pipe Grip</li> <li>Conforms to ANSI Specification No. B107. 20M Type V</li> <li>Conforms to Federal Specification No. GGG-P-471 Type VI</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>"
1411075,"<ul><li>Overall Length: 10""</li><li>Jaw Length: 2-1/8""</li><li>Pipe Capacity Minimum: 5/16""</li><li>Pipe Capacity Maximum: 1 1/2""</li><li>Forged Steel</li> <li>Double Pipe Grip</li> <li>Conforms to ANSI Specification No. B107. 20M Type V</li> <li>Conforms to Federal Specification No. GGG-P-471 Type VI</li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>"
1411152,"<ul><li>High leverage cutters with shear type blades for cutting 100 pair telephone cable, 4/0 aluminum, and 2/0 copper</li> <li>Cutter with ring meets Bell spec number R3371D2 </li> <li>Double-insulated tool features a two-coat orange over yellow insulation that provides the user with a certification of use to 1000 VAC/1500 VDC</li></ul>"
