ID,ADDITIONAL_DESCRIPTION
1011357,"<h5>Overview</h5><p>Sola Heavy/Duty is excited to introduce the new GL Power Supply Series to replace the current GL Series. The new Series covers power ratings from 25 to 500 watts providing a broader range of AC/DC power supply solutions for use in various industrial and medical applications. These compact and low profile switchers offer universal input voltages with no switches or jumpers. They are for higher volume worldwide applications requiring very high reliability and standard footprint size.</p><ul><li>Industry Standard Footprints</li><li>Universal Input</li><li>Full Power to 50°C</li><li>High Demonstrate MTBF</li><li>Automatic Overvoltage Protection</li><li>Overload Protection</li><li>Two Year Limited Warranty</li><li>EN61000-3-2 Compliance</li><li>Medical Approvals </li></ul><h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>GL Series</td></tr><tr><th>Configuration</th><td>Open Frame</td></tr><tr><th>Dimensions</th><td>4. 25 × 8. 5 × 1. 5 In. </td></tr><tr><th>Mounting Type</th><td>Panel</td></tr><tr><th>Number of Outputs</th><td>5</td></tr><tr><th>Operation</th><td>Switching</td></tr><tr><th>Output</th><td>5VDC@15A, 12VDC@2. 6A, 15VDC@2. 5A, -12VDC@2A, -15VDC@2. 5A</td></tr><tr><th>Power, Output</th><td>150 W</td></tr><tr><th>Primary Type</th><td>AC-DC</td></tr><tr><th>Special Features</th><td>Low-Profile, High Demonstrated MTBF, Automatic Overvoltage Protection, Overload Protection, Built-in EMI Filtering, 2-Years Limited Warranty, Remote Sense, Power Fail and DC Good Signals</td></tr><tr><th>Type</th><td>Embedded</td></tr><tr><th>Voltage, Input</th><td>85-132/170-264 VAC</td></tr><tr><th>Voltage, Output</th><td>5 VDC, 12 VDC, -12 VDC, 5 to 25 VDC, -5 to 25 VDC</td></tr></table>"
1011356,"<h5>Overview</h5><p>Sola Heavy/Duty is excited to introduce the new GL Power Supply Series to replace the current GL Series. The new Series covers power ratings from 25 to 500 watts providing a broader range of AC/DC power supply solutions for use in various industrial and medical applications. These compact and low profile switchers offer universal input voltages with no switches or jumpers. They are for higher volume worldwide applications requiring very high reliability and standard footprint size.</p><ul><li>Industry Standard Footprints</li><li>Universal Input</li><li>Full Power to 50°C</li><li>High Demonstrate MTBF</li><li>Automatic Overvoltage Protection</li><li>Overload Protection</li><li>Two Year Limited Warranty</li><li>EN61000-3-2 Compliance</li><li>Medical Approvals </li></ul><h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>GL Series</td></tr><tr><th>Configuration</th><td>Open Frame</td></tr><tr><th>Dimensions</th><td>4. 25 × 8. 5 × 1. 5 In. </td></tr><tr><th>Mounting Type</th><td>Panel</td></tr><tr><th>Number of Outputs</th><td>5</td></tr><tr><th>Operation</th><td>Switching</td></tr><tr><th>Output</th><td>3. 3VDC@1. 5A, 5VDC@12A, 12VDC@5A, -3. 3VDC@1. 5A, -12VDC@1A</td></tr><tr><th>Power, Output</th><td>145 W</td></tr><tr><th>Primary Type</th><td>AC-DC</td></tr><tr><th>Special Features</th><td>Low-Profile, High Demonstrated MTBF, Automatic Overvoltage Protection, Overload Protection, Built-in EMI Filtering, 2-Years Limited Warranty, Remote Sense, Power Fail and DC Good Signals</td></tr><tr><th>Type</th><td>Embedded</td></tr><tr><th>Voltage, Input</th><td>85-264 VAC</td></tr><tr><th>Voltage, Output</th><td>5 VDC, 12 VDC, -12 VDC, 3. 3 to 25 VDC, -3. 3 to 25 VDC</td></tr></table>"
1011359,"<h5>Overview</h5><p>Sola Heavy/Duty is excited to introduce the new GL Power Supply Series to replace the current GL Series. The new Series covers power ratings from 25 to 500 watts providing a broader range of AC/DC power supply solutions for use in various industrial and medical applications. These compact and low profile switchers offer universal input voltages with no switches or jumpers. They are for higher volume worldwide applications requiring very high reliability and standard footprint size.</p><ul><li>Industry Standard Footprints</li><li>Universal Input</li><li>Full Power to 50°C</li><li>High Demonstrate MTBF</li><li>Automatic Overvoltage Protection</li><li>Overload Protection</li><li>Two Year Limited Warranty</li><li>EN61000-3-2 Compliance</li><li>Medical Approvals </li></ul><h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>GL Series</td></tr><tr><th>Configuration</th><td>Open Frame</td></tr><tr><th>Dimensions</th><td>4. 25 × 8. 5 × 1. 5 In. </td></tr><tr><th>Mounting Type</th><td>Panel</td></tr><tr><th>Number of Outputs</th><td>4</td></tr><tr><th>Operation</th><td>Switching</td></tr><tr><th>Output</th><td>5VDC@15A, 12VDC@6A, 24VDC@3. 5A, -12VDC@2A</td></tr><tr><th>Power, Output</th><td>150 W</td></tr><tr><th>Primary Type</th><td>AC-DC</td></tr><tr><th>Special Features</th><td>Low-Profile, High Demonstrated MTBF, Automatic Overvoltage Protection, Overload Protection, Built-in EMI Filtering, 2-Years Limited Warranty, Remote Sense, Power Fail and DC Good Signals</td></tr><tr><th>Type</th><td>Embedded</td></tr><tr><th>Voltage, Input</th><td>85-132/170-264 VAC</td></tr><tr><th>Voltage, Output</th><td>5 VDC, 12 VDC, -12 VDC, 24 VDC</td></tr></table>"
1011857,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>SCP Series</td></tr><tr><th>Configuration</th><td>Encapsulated</td></tr><tr><th>Mounting Type</th><td>DIN Rail</td></tr><tr><th>Number of Outputs</th><td>3</td></tr><tr><th>Operation</th><td>Switching</td></tr><tr><th>Output</th><td>5VDC@3A, -15VDC@0. 5A, 15VDC@0. 5A</td></tr><tr><th>Power, Output</th><td>30 W</td></tr><tr><th>Primary Type</th><td>AC/DC-DC</td></tr><tr><th>Special Features</th><td>Compact, IP20 Protection, 5-Years Limited Warranty, Overcurrent Protection, Overload and Short Circuit Protection</td></tr><tr><th>Type</th><td>Industrial</td></tr><tr><th>Voltage, Input</th><td>85 to 264 VAC, 100 to 375 VDC</td></tr><tr><th>Voltage, Output</th><td>5 VDC, 15 VDC, -15 VDC</td></tr></table>"
1011838,"<h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>SCP Series</td></tr><tr><th>Configuration</th><td>Encapsulated</td></tr><tr><th>Mounting Type</th><td>DIN Rail</td></tr><tr><th>Number of Outputs</th><td>2</td></tr><tr><th>Operation</th><td>Switching</td></tr><tr><th>Output</th><td>15VDC@1A, -15VDC@1A</td></tr><tr><th>Power, Output</th><td>30 W</td></tr><tr><th>Primary Type</th><td>AC/DC-DC</td></tr><tr><th>Special Features</th><td>Compact, IP20 Protection, 5-Years Limited Warranty, Overcurrent Protection, Overload and Short Circuit Protection</td></tr><tr><th>Type</th><td>Industrial</td></tr><tr><th>Voltage, Input</th><td>85 to 264 VAC, 100 to 375 VDC</td></tr><tr><th>Voltage, Output</th><td>15 VDC, -15 VDC</td></tr></table>"
1011911,"<h5>Overview</h5><p>These high power, modular power supplies, from 1500 through 2000 watts, are capable of up to 12 independent outputs. Modular design makes these units easy to customize for unusual voltage and power combinations. All units have power factor corrected inputs, an end-mounted fan for cooling and a variety of built-in signals and controls. High-reliability and a flexible design make these an excellent choice for process control and semiconductor fabrication applications.</p><ul><li>For Industrial and Industrial Computing Applications</li><li>Universal AC: SH1 and SH2 Models — 85-264 VAC Single Phase; SH3 Models — 180-264 VAC Three Phase</li><li>Power Factor Correction to Meet IEC1000-3-2</li><li>Regulation: Single Outputs — &lt;2. 0%; Multiple Outputs — &lt;3. 3%</li><li>Signals: Remote Inhibit Global and Individual Output, Global Power Good, AC Power Fail</li><li>Single Wire Current Share for Redundancy or Scalability</li><li>Screw Terminals/Bus Bars for Power Terminations; Molex-Type Connections for Signals (Mating Connectors Included)</li><li>Chassis Mounting</li><li>World-Wide Approvals — UL, CSA, TUV and CE</li><li>EMI Filter FCC Level B, CISPR 22 Level B, EN55022 Level B </li></ul><h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>SHP Series</td></tr><tr><th>Configuration</th><td>Modular</td></tr><tr><th>Current, Output</th><td>87. 4 A</td></tr><tr><th>Frequency, Operating</th><td>47 to 440 Hz</td></tr><tr><th>Line Regulation</th><td>5 mV (Max. )</td></tr><tr><th>Load Regulation</th><td>5 mV (Max. )</td></tr><tr><th>Mounting Type</th><td>Panel</td></tr><tr><th>Number of Outputs</th><td>1</td></tr><tr><th>Operation</th><td>PFC</td></tr><tr><th>Output</th><td>24VDC@87. 4A</td></tr><tr><th>Power, Output</th><td>2000 W</td></tr><tr><th>Primary Type</th><td>AC-DC</td></tr><tr><th>Special Features</th><td>PFC</td></tr><tr><th>Standards</th><td>UL Listed, CSA Certified and CE Marked</td></tr><tr><th>Temperature, Operating</th><td>-10 to 50 °C</td></tr><tr><th>Type</th><td>Industrial</td></tr><tr><th>Voltage, Input</th><td>86-264 VAC</td></tr><tr><th>Voltage, Output</th><td>24 VDC</td></tr></table>"
1011723,"<h5>Overview</h5><p>These high power, modular power supplies, from 1500 through 2000 watts, are capable of up to 12 independent outputs. Modular design makes these units easy to customize for unusual voltage and power combinations. All units have power factor corrected inputs, an end-mounted fan for cooling and a variety of built-in signals and controls. High-reliability and a flexible design make these an excellent choice for process control and semiconductor fabrication applications.</p><ul><li>For Industrial and Industrial Computing Applications</li><li>Universal AC: SH1 and SH2 Models — 85-264 VAC Single Phase; SH3 Models — 180-264 VAC Three Phase</li><li>Power Factor Correction to Meet IEC1000-3-2</li><li>Regulation: Single Outputs — &lt;2. 0%; Multiple Outputs — &lt;3. 3%</li><li>Signals: Remote Inhibit Global and Individual Output, Global Power Good, AC Power Fail</li><li>Single Wire Current Share for Redundancy or Scalability</li><li>Screw Terminals/Bus Bars for Power Terminations; Molex-Type Connections for Signals (Mating Connectors Included)</li><li>Chassis Mounting</li><li>World-Wide Approvals — UL, CSA, TUV and CE</li><li>EMI Filter FCC Level B, CISPR 22 Level B, EN55022 Level B </li></ul><h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>SHP Series</td></tr><tr><th>Configuration</th><td>Modular</td></tr><tr><th>Current, Output</th><td>87. 4 A</td></tr><tr><th>Frequency, Operating</th><td>47 to 440 Hz</td></tr><tr><th>Line Regulation</th><td>5 mV (Max. )</td></tr><tr><th>Load Regulation</th><td>5 mV (Max. )</td></tr><tr><th>Mounting Type</th><td>Panel</td></tr><tr><th>Number of Outputs</th><td>1</td></tr><tr><th>Operation</th><td>PFC</td></tr><tr><th>Output</th><td>24VDC@87. 4A</td></tr><tr><th>Power, Output</th><td>2000 W</td></tr><tr><th>Primary Type</th><td>AC-DC</td></tr><tr><th>Special Features</th><td>PFC</td></tr><tr><th>Standards</th><td>UL Listed, CSA Certified and CE Marked</td></tr><tr><th>Temperature, Operating</th><td>-10 to 50 °C</td></tr><tr><th>Type</th><td>Industrial</td></tr><tr><th>Voltage, Input</th><td>180-264 VAC</td></tr><tr><th>Voltage, Output</th><td>24 VDC</td></tr></table>"
1011715,"<h5>Overview</h5><p>These high power, modular power supplies, from 1500 through 2000 watts, are capable of up to 12 independent outputs. Modular design makes these units easy to customize for unusual voltage and power combinations. All units have power factor corrected inputs, an end-mounted fan for cooling and a variety of built-in signals and controls. High-reliability and a flexible design make these an excellent choice for process control and semiconductor fabrication applications.</p><ul><li>For Industrial and Industrial Computing Applications</li><li>Universal AC: SH1 and SH2 Models — 85-264 VAC Single Phase; SH3 Models — 180-264 VAC Three Phase</li><li>Power Factor Correction to Meet IEC1000-3-2</li><li>Regulation: Single Outputs — &lt;2. 0%; Multiple Outputs — &lt;3. 3%</li><li>Signals: Remote Inhibit Global and Individual Output, Global Power Good, AC Power Fail</li><li>Single Wire Current Share for Redundancy or Scalability</li><li>Screw Terminals/Bus Bars for Power Terminations; Molex-Type Connections for Signals (Mating Connectors Included)</li><li>Chassis Mounting</li><li>World-Wide Approvals — UL, CSA, TUV and CE</li><li>EMI Filter FCC Level B, CISPR 22 Level B, EN55022 Level B </li></ul><h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>SHP Series</td></tr><tr><th>Configuration</th><td>Modular</td></tr><tr><th>Current, Output</th><td>62. 4 A</td></tr><tr><th>Frequency, Operating</th><td>47 to 440 Hz</td></tr><tr><th>Line Regulation</th><td>5 mV (Max. )</td></tr><tr><th>Load Regulation</th><td>5 mV (Max. )</td></tr><tr><th>Mounting Type</th><td>Panel</td></tr><tr><th>Number of Outputs</th><td>1</td></tr><tr><th>Operation</th><td>PFC</td></tr><tr><th>Output</th><td>24VDC@62. 4A</td></tr><tr><th>Power, Output</th><td>1500 W</td></tr><tr><th>Primary Type</th><td>AC-DC</td></tr><tr><th>Special Features</th><td>PFC</td></tr><tr><th>Standards</th><td>UL Listed, CSA Certified and CE Marked</td></tr><tr><th>Temperature, Operating</th><td>-10 to 50 °C</td></tr><tr><th>Type</th><td>Industrial</td></tr><tr><th>Voltage, Input</th><td>180-264 VAC</td></tr><tr><th>Voltage, Output</th><td>24 VDC</td></tr></table>"
1011903,"<h5>Overview</h5><p>These high power, modular power supplies, from 1500 through 2000 watts, are capable of up to 12 independent outputs. Modular design makes these units easy to customize for unusual voltage and power combinations. All units have power factor corrected inputs, an end-mounted fan for cooling and a variety of built-in signals and controls. High-reliability and a flexible design make these an excellent choice for process control and semiconductor fabrication applications.</p><ul><li>For Industrial and Industrial Computing Applications</li><li>Universal AC: SH1 and SH2 Models — 85-264 VAC Single Phase; SH3 Models — 180-264 VAC Three Phase</li><li>Power Factor Correction to Meet IEC1000-3-2</li><li>Regulation: Single Outputs — &lt;2. 0%; Multiple Outputs — &lt;3. 3%</li><li>Signals: Remote Inhibit Global and Individual Output, Global Power Good, AC Power Fail</li><li>Single Wire Current Share for Redundancy or Scalability</li><li>Screw Terminals/Bus Bars for Power Terminations; Molex-Type Connections for Signals (Mating Connectors Included)</li><li>Chassis Mounting</li><li>World-Wide Approvals — UL, CSA, TUV and CE</li><li>EMI Filter FCC Level B, CISPR 22 Level B, EN55022 Level B </li></ul><h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>SHP Series</td></tr><tr><th>Configuration</th><td>Modular</td></tr><tr><th>Current, Output</th><td>62. 4 A</td></tr><tr><th>Frequency, Operating</th><td>47 to 440 Hz</td></tr><tr><th>Line Regulation</th><td>0. 2 %</td></tr><tr><th>Load Regulation</th><td>0. 2%</td></tr><tr><th>Mounting Type</th><td>Panel</td></tr><tr><th>Number of Outputs</th><td>1</td></tr><tr><th>Operation</th><td>PFC</td></tr><tr><th>Output</th><td>24VDC@62. 4A</td></tr><tr><th>Power, Output</th><td>1500 W</td></tr><tr><th>Primary Type</th><td>AC-DC</td></tr><tr><th>Special Features</th><td>PFC</td></tr><tr><th>Standards</th><td>UL Recognized, CSA Certified, CE Marked</td></tr><tr><th>Temperature, Operating</th><td>-40 to +50 °C</td></tr><tr><th>Type</th><td>Industrial</td></tr><tr><th>Voltage, Input</th><td>86-264 VAC</td></tr><tr><th>Voltage, Output</th><td>24 VDC</td></tr></table>"
1011904,"<h5>Overview</h5><p>These high power, modular power supplies, from 1500 through 2000 watts, are capable of up to 12 independent outputs. Modular design makes these units easy to customize for unusual voltage and power combinations. All units have power factor corrected inputs, an end-mounted fan for cooling and a variety of built-in signals and controls. High-reliability and a flexible design make these an excellent choice for process control and semiconductor fabrication applications.</p><ul><li>For Industrial and Industrial Computing Applications</li><li>Universal AC: SH1 and SH2 Models — 85-264 VAC Single Phase; SH3 Models — 180-264 VAC Three Phase</li><li>Power Factor Correction to Meet IEC1000-3-2</li><li>Regulation: Single Outputs — &lt;2. 0%; Multiple Outputs — &lt;3. 3%</li><li>Signals: Remote Inhibit Global and Individual Output, Global Power Good, AC Power Fail</li><li>Single Wire Current Share for Redundancy or Scalability</li><li>Screw Terminals/Bus Bars for Power Terminations; Molex-Type Connections for Signals (Mating Connectors Included)</li><li>Chassis Mounting</li><li>World-Wide Approvals — UL, CSA, TUV and CE</li><li>EMI Filter FCC Level B, CISPR 22 Level B, EN55022 Level B </li></ul><h5>Specifications</h5><table class=""description-table""><tr><th>Brand/Series</th><td>SHP Series</td></tr><tr><th>Configuration</th><td>Modular</td></tr><tr><th>Current, Output</th><td>53. 4 A</td></tr><tr><th>Frequency, Operating</th><td>47 to 440 Hz</td></tr><tr><th>Line Regulation</th><td>0. 2 %</td></tr><tr><th>Load Regulation</th><td>0. 2%</td></tr><tr><th>Mounting Type</th><td>Panel</td></tr><tr><th>Number of Outputs</th><td>1</td></tr><tr><th>Operation</th><td>PFC</td></tr><tr><th>Output</th><td>28VDC@53. 4A</td></tr><tr><th>Power, Output</th><td>1500 W</td></tr><tr><th>Primary Type</th><td>AC-DC</td></tr><tr><th>Special Features</th><td>PFC</td></tr><tr><th>Standards</th><td>UL Recognized, CSA Certified, CE Marked</td></tr><tr><th>Temperature, Operating</th><td>-40 to +50 °C</td></tr><tr><th>Type</th><td>Industrial</td></tr><tr><th>Voltage, Input</th><td>86-264 VAC</td></tr><tr><th>Voltage, Output</th><td>28 VDC</td></tr></table>"
