id,additional_description
1310999,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 25 HP</td></tr><tr><th>Poles</th><td>2</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 372 lb. ft</td></tr><tr><th>Voltage</th><td>208-230/460 V</td></tr><tr><th>Frame</th><td>A56</td></tr><tr><th>RPM</th><td>3480</td></tr><tr><th>Full Load Amps</th><td>1. 05-1. 10/0. 550 A</td></tr><tr><th>Efficiency (100%)</th><td>58. 0</td></tr><tr><th>Power factor (100%)</th><td>0. 72</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>0. 947/0. 473 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>5. 8</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 25 HP</td></tr><tr><th>Frame</th><td>A56</td></tr><tr><th>Full Load Amps</th><td>1. 05-1. 10/0. 550 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1311000,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 25 HP</td></tr><tr><th>Poles</th><td>2</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 372 lb. ft</td></tr><tr><th>Voltage</th><td>208-230/460 V</td></tr><tr><th>Frame</th><td>A56</td></tr><tr><th>RPM</th><td>3480</td></tr><tr><th>Full Load Amps</th><td>1. 05-1. 10/0. 550 A</td></tr><tr><th>Efficiency (100%)</th><td>58. 0</td></tr><tr><th>Power factor (100%)</th><td>0. 72</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>0. 947/0. 473 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>5. 8</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 25 HP</td></tr><tr><th>Frame</th><td>A56</td></tr><tr><th>Full Load Amps</th><td>1. 05-1. 10/0. 550 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1310974,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 12 HP</td></tr><tr><th>Poles</th><td>4</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 355 lb. ft</td></tr><tr><th>Voltage</th><td>115/208-230 V</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>RPM</th><td>1750</td></tr><tr><th>Full Load Amps</th><td>3. 20/1. 50-1. 60 A</td></tr><tr><th>Efficiency (100%)</th><td>48. 1</td></tr><tr><th>Power factor (100%)</th><td>0. 52</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>2. 90/1. 45 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>4. 4</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 12 HP</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>Full Load Amps</th><td>3. 20/1. 50-1. 60 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1310975,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 12 HP</td></tr><tr><th>Poles</th><td>4</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 355 lb. ft</td></tr><tr><th>Voltage</th><td>115/208-230 V</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>RPM</th><td>1750</td></tr><tr><th>Full Load Amps</th><td>3. 20/1. 50-1. 60 A</td></tr><tr><th>Efficiency (100%)</th><td>48. 1</td></tr><tr><th>Power factor (100%)</th><td>0. 52</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>2. 90/1. 45 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>4. 4</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 12 HP</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>Full Load Amps</th><td>3. 20/1. 50-1. 60 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1310980,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 16 HP</td></tr><tr><th>Poles</th><td>2</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 241 lb. ft</td></tr><tr><th>Voltage</th><td>115/208-230 V</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>RPM</th><td>3440</td></tr><tr><th>Full Load Amps</th><td>3. 10/1. 50-1. 55 A</td></tr><tr><th>Efficiency (100%)</th><td>49. 9</td></tr><tr><th>Power factor (100%)</th><td>0. 69</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>2. 30/1. 15 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>5. 0</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 16 HP</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>Full Load Amps</th><td>3. 10/1. 50-1. 55 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1310981,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 16 HP</td></tr><tr><th>Poles</th><td>2</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 241 lb. ft</td></tr><tr><th>Voltage</th><td>115/208-230 V</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>RPM</th><td>3440</td></tr><tr><th>Full Load Amps</th><td>3. 10/1. 50-1. 55 A</td></tr><tr><th>Efficiency (100%)</th><td>49. 9</td></tr><tr><th>Power factor (100%)</th><td>0. 69</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>2. 30/1. 15 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>5. 0</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 16 HP</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>Full Load Amps</th><td>3. 10/1. 50-1. 55 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1310976,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 16 HP</td></tr><tr><th>Poles</th><td>4</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 476 lb. ft</td></tr><tr><th>Voltage</th><td>115/208-230 V</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>RPM</th><td>1740</td></tr><tr><th>Full Load Amps</th><td>3. 70/1. 75-1. 85 A</td></tr><tr><th>Efficiency (100%)</th><td>50. 3</td></tr><tr><th>Power factor (100%)</th><td>0. 55</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>3. 20/1. 60 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>4. 7</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 16 HP</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>Full Load Amps</th><td>3. 70/1. 75-1. 85 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1310977,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 16 HP</td></tr><tr><th>Poles</th><td>4</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 476 lb. ft</td></tr><tr><th>Voltage</th><td>115/208-230 V</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>RPM</th><td>1740</td></tr><tr><th>Full Load Amps</th><td>3. 70/1. 75-1. 85 A</td></tr><tr><th>Efficiency (100%)</th><td>50. 3</td></tr><tr><th>Power factor (100%)</th><td>0. 55</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>3. 20/1. 60 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>4. 7</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 16 HP</td></tr><tr><th>Frame</th><td>B48</td></tr><tr><th>Full Load Amps</th><td>3. 70/1. 75-1. 85 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1311134,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 25 HP</td></tr><tr><th>Poles</th><td>2</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 372 lb. ft</td></tr><tr><th>Voltage</th><td>115/208-230 V</td></tr><tr><th>Frame</th><td>B56</td></tr><tr><th>RPM</th><td>3480</td></tr><tr><th>Full Load Amps</th><td>4. 60/2. 20-2. 30 A</td></tr><tr><th>Efficiency (100%)</th><td>50. 0</td></tr><tr><th>Power factor (100%)</th><td>0. 70</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>3. 70/1. 85 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>5. 6</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 25 HP</td></tr><tr><th>Frame</th><td>B56</td></tr><tr><th>Full Load Amps</th><td>4. 60/2. 20-2. 30 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
1311135,"<h5>Specifications</h5><table class=""description-table""><tr><th>Output</th><td>0. 25 HP</td></tr><tr><th>Poles</th><td>2</td></tr><tr><th>Frequency</th><td>60 Hz</td></tr><tr><th>Torque</th><td>0. 372 lb. ft</td></tr><tr><th>Voltage</th><td>115/208-230 V</td></tr><tr><th>Frame</th><td>B56</td></tr><tr><th>RPM</th><td>3480</td></tr><tr><th>Full Load Amps</th><td>4. 60/2. 20-2. 30 A</td></tr><tr><th>Efficiency (100%)</th><td>50. 0</td></tr><tr><th>Power factor (100%)</th><td>0. 70</td></tr><tr><th>Insulation</th><td>B</td></tr><tr><th>Noise</th><td>---</td></tr><tr><th>No load current</th><td>3. 70/1. 85 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>5. 6</td></tr></table><table class=""description-table""><tbody><tr><th>Output HP</th><td>0. 25 HP</td></tr><tr><th>Frame</th><td>B56</td></tr><tr><th>Full Load Amps</th><td>4. 60/2. 20-2. 30 A</td></tr><tr><th>Locked rotor current (II/In)</th><td>Output HP0</td></tr><tr><th>Locked Rotor Torque</th><td>Output HP1</td></tr><tr><th>Break Down Torque</th><td>Output HP2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>Efficiency (%)</th><td>50</td></tr><tr><th>Power factor (%)</th><td>75</td></tr><tr><th>Service Factor</th><td>100</td></tr><tr><th>Inertia</th><td>Efficiency (%)0</td></tr><tr><th>L. R. Time</th><td>Efficiency (%)1</td></tr><tr><th>Weight</th><td>Efficiency (%)2</td></tr></tbody></table>"
