ID,ADDITIONAL_DESCRIPTION
1310114,"<ul><li>3 Pole with AC Coil</li><li>3 Pole with DC Coil</li><li>3 Pole with AC/DC Electronic Module Coil</li><li>2 Pole with AC Coil</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Max ULHP1 P115 V</th><td>0</td></tr><tr><th>Max ULHP1 P230 V</th><td>0</td></tr><tr><th>Max ULHP3 P200 V</th><td>200</td></tr><tr><th>Max ULHP3 P230 V</th><td>300</td></tr><tr><th>Max ULHP3 P460V</th><td>600</td></tr><tr><th>Max ULHP3 P575 V</th><td>600</td></tr><tr><th>Aux Contacts N. O. </th><td>2</td></tr><tr><th>Aux Contacts N. C. </th><td>2</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Coil</th><td>AC/DC Electronic Module</td></tr><tr><th>Features</th><td>General purpose motor applications, Fractional power through 600 HP@460V, Compact frame sizes, Panel mountable or 35 mm DIN rail up to 75 HP@460V, Built-in auxiliary contacts up to 10 HP@460V, Front and side mountable auxiliary contact blocks, Finger-touch protection IP20, Wide coil voltage selection AC or DC, AC/DC Coils with electronic modules available from 100 HP and up, Replaceable main contacts for entire line</td></tr><tr><th>Applications</th><td>Pumps, Blowers, Cranes, Agitators, Machine tools, Pressing machines, Cutting and sawing machines, Material handling equipment, K neading and mixing machines, By-pass/isolation, Elevator</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas. UL508. CSAC22.2 No14. IEC60947-1;IEC60947-4-1. </td></tr><tr><th>Optional Features</th><td>Other voltages available upon request. </td></tr></tr><tr><th>Approx. Shipping Weight</th><td>1 lbs</td></tr></table>"
1310113,"<ul><li>3 Pole with AC Coil</li><li>3 Pole with DC Coil</li><li>3 Pole with AC/DC Electronic Module Coil</li><li>2 Pole with AC Coil</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Max ULHP1 P115 V</th><td>0</td></tr><tr><th>Max ULHP1 P230 V</th><td>0</td></tr><tr><th>Max ULHP3 P200 V</th><td>200</td></tr><tr><th>Max ULHP3 P230 V</th><td>300</td></tr><tr><th>Max ULHP3 P460V</th><td>600</td></tr><tr><th>Max ULHP3 P575 V</th><td>600</td></tr><tr><th>Aux Contacts N. O. </th><td>2</td></tr><tr><th>Aux Contacts N. C. </th><td>2</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Coil</th><td>AC/DC Electronic Module</td></tr><tr><th>Features</th><td>General purpose motor applications, Fractional power through 600 HP@460V, Compact frame sizes, Panel mountable or 35 mm DIN rail up to 75 HP@460V, Built-in auxiliary contacts up to 10 HP@460V, Front and side mountable auxiliary contact blocks, Finger-touch protection IP20, Wide coil voltage selection AC or DC, AC/DC Coils with electronic modules available from 100 HP and up, Replaceable main contacts for entire line</td></tr><tr><th>Applications</th><td>Pumps, Blowers, Cranes, Agitators, Machine tools, Pressing machines, Cutting and sawing machines, Material handling equipment, K neading and mixing machines, By-pass/isolation, Elevator</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas. UL508. CSAC22.2 No14. IEC60947-1;IEC60947-4-1. </td></tr><tr><th>Optional Features</th><td>Other voltages available upon request. </td></tr></tr><tr><th>Approx. Shipping Weight</th><td>1 lbs</td></tr></table>"
1307943,"<ul><li>3 Pole, Class 10</li><li>2 Pole, Class 10</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>For Use With Model Number</th><td>CWC025</td></tr><tr><th>Min Setting Range Amps</th><td>15</td></tr><tr><th>Max Setting Range Amps</th><td>23</td></tr><tr><th>Max Fuse Amps</th><td>90</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas</td></tr><tr><th>Features</th><td>Adjustable tripping current, Phase-loss sensitivity, Tripping class 10, Auxiliary contacts 1 NO+1 NC, Temperature compensation from -40 F to +1400 F, Hand/Auto/Reset button</td></tr><tr><th>Approx. Shipping Weight</th><td>0.55 lbs</td></tr></table>"
1307944,"<ul><li>3 Pole, Class 10</li><li>2 Pole, Class 10</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>For Use With Model Number</th><td>CWC025</td></tr><tr><th>Min Setting Range Amps</th><td>22</td></tr><tr><th>Max Setting Range Amps</th><td>32</td></tr><tr><th>Max Fuse Amps</th><td>100</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas</td></tr><tr><th>Features</th><td>Adjustable tripping current, Phase-loss sensitivity, Tripping class 10, Auxiliary contacts 1 NO+1 NC, Temperature compensation from -40 F to +1400 F, Hand/Auto/Reset button</td></tr><tr><th>Approx. Shipping Weight</th><td>0.55 lbs</td></tr></table>"
1307931,"<ul><li>3 Pole, Class 10</li><li>2 Pole, Class 10</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>For Use With Model Number</th><td>CWC07…CWC016</td></tr><tr><th>Min Setting Range Amps</th><td>0.28</td></tr><tr><th>Max Setting Range Amps</th><td>0.40</td></tr><tr><th>Max Fuse Amps</th><td>15</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas</td></tr><tr><th>Features</th><td>Adjustable tripping current, Phase-loss sensitivity, Tripping class 10, Auxiliary contacts 1 NO+1 NC, Temperature compensation from -40 F to +1400 F, Hand/Auto/Reset button</td></tr><tr><th>Approx. Shipping Weight</th><td>0.33 lbs</td></tr></table>"
1307930,"<ul><li>3 Pole, Class 10</li><li>2 Pole, Class 10</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>For Use With Model Number</th><td>CWC07…CWC016</td></tr><tr><th>Min Setting Range Amps</th><td>0.4</td></tr><tr><th>Max Setting Range Amps</th><td>0.63</td></tr><tr><th>Max Fuse Amps</th><td>15</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas</td></tr><tr><th>Features</th><td>Adjustable tripping current, Phase-loss sensitivity, Tripping class 10, Auxiliary contacts 1 NO+1 NC, Temperature compensation from -40 F to +1400 F, Hand/Auto/Reset button</td></tr><tr><th>Approx. Shipping Weight</th><td>0.33 lbs</td></tr></table>"
1307932,"<ul><li>3 Pole, Class 10</li><li>2 Pole, Class 10</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>For Use With Model Number</th><td>CWC07…CWC016</td></tr><tr><th>Min Setting Range Amps</th><td>0.56</td></tr><tr><th>Max Setting Range Amps</th><td>0.8</td></tr><tr><th>Max Fuse Amps</th><td>15</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas</td></tr><tr><th>Features</th><td>Adjustable tripping current, Phase-loss sensitivity, Tripping class 10, Auxiliary contacts 1 NO+1 NC, Temperature compensation from -40 F to +1400 F, Hand/Auto/Reset button</td></tr><tr><th>Approx. Shipping Weight</th><td>0.33 lbs</td></tr></table>"
1310109,"<ul><li>3 Pole with AC Coil</li><li>3 Pole with DC Coil</li><li>3 Pole with AC/DC Electronic Module Coil</li><li>2 Pole with AC Coil</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Max ULHP1 P115 V</th><td>0</td></tr><tr><th>Max ULHP1 P230 V</th><td>0</td></tr><tr><th>Max ULHP3 P200 V</th><td>125</td></tr><tr><th>Max ULHP3 P230 V</th><td>150</td></tr><tr><th>Max ULHP3 P460V</th><td>300</td></tr><tr><th>Max ULHP3 P575 V</th><td>300</td></tr><tr><th>Aux Contacts N. O. </th><td>2</td></tr><tr><th>Aux Contacts N. C. </th><td>2</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Coil</th><td>AC/DC Electronic Module</td></tr><tr><th>Features</th><td>General purpose motor applications, Fractional power through 600 HP@460V, Compact frame sizes, Panel mountable or 35 mm DIN rail up to 75 HP@460V, Built-in auxiliary contacts up to 10 HP@460V, Front and side mountable auxiliary contact blocks, Finger-touch protection IP20, Wide coil voltage selection AC or DC, AC/DC Coils with electronic modules available from 100 HP and up, Replaceable main contacts for entire line</td></tr><tr><th>Applications</th><td>Pumps, Blowers, Cranes, Agitators, Machine tools, Pressing machines, Cutting and sawing machines, Material handling equipment, K neading and mixing machines, By-pass/isolation, Elevator</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas. UL508. CSAC22.2 No14. IEC60947-1;IEC60947-4-1. </td></tr><tr><th>Optional Features</th><td>Other voltages available upon request. </td></tr></tr><tr><th>Approx. Shipping Weight</th><td>1 lbs</td></tr></table>"
1310108,"<ul><li>3 Pole with AC Coil</li><li>3 Pole with DC Coil</li><li>3 Pole with AC/DC Electronic Module Coil</li><li>2 Pole with AC Coil</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Max ULHP1 P115 V</th><td>0</td></tr><tr><th>Max ULHP1 P230 V</th><td>0</td></tr><tr><th>Max ULHP3 P200 V</th><td>125</td></tr><tr><th>Max ULHP3 P230 V</th><td>150</td></tr><tr><th>Max ULHP3 P460V</th><td>300</td></tr><tr><th>Max ULHP3 P575 V</th><td>300</td></tr><tr><th>Aux Contacts N. O. </th><td>2</td></tr><tr><th>Aux Contacts N. C. </th><td>2</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Coil</th><td>AC/DC Electronic Module</td></tr><tr><th>Features</th><td>General purpose motor applications, Fractional power through 600 HP@460V, Compact frame sizes, Panel mountable or 35 mm DIN rail up to 75 HP@460V, Built-in auxiliary contacts up to 10 HP@460V, Front and side mountable auxiliary contact blocks, Finger-touch protection IP20, Wide coil voltage selection AC or DC, AC/DC Coils with electronic modules available from 100 HP and up, Replaceable main contacts for entire line</td></tr><tr><th>Applications</th><td>Pumps, Blowers, Cranes, Agitators, Machine tools, Pressing machines, Cutting and sawing machines, Material handling equipment, K neading and mixing machines, By-pass/isolation, Elevator</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas. UL508. CSAC22.2 No14. IEC60947-1;IEC60947-4-1. </td></tr><tr><th>Optional Features</th><td>Other voltages available upon request. </td></tr></tr><tr><th>Approx. Shipping Weight</th><td>1 lbs</td></tr></table>"
1310112,"<ul><li>3 Pole with AC Coil</li><li>3 Pole with DC Coil</li><li>3 Pole with AC/DC Electronic Module Coil</li><li>2 Pole with AC Coil</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Max ULHP1 P115 V</th><td>0</td></tr><tr><th>Max ULHP1 P230 V</th><td>0</td></tr><tr><th>Max ULHP3 P200 V</th><td>150</td></tr><tr><th>Max ULHP3 P230 V</th><td>200</td></tr><tr><th>Max ULHP3 P460V</th><td>400</td></tr><tr><th>Max ULHP3 P575 V</th><td>400</td></tr><tr><th>Aux Contacts N. O. </th><td>2</td></tr><tr><th>Aux Contacts N. C. </th><td>2</td></tr><tr><th>Poles</th><td>3</td></tr><tr><th>Coil</th><td>AC/DC Electronic Module</td></tr><tr><th>Features</th><td>General purpose motor applications, Fractional power through 600 HP@460V, Compact frame sizes, Panel mountable or 35 mm DIN rail up to 75 HP@460V, Built-in auxiliary contacts up to 10 HP@460V, Front and side mountable auxiliary contact blocks, Finger-touch protection IP20, Wide coil voltage selection AC or DC, AC/DC Coils with electronic modules available from 100 HP and up, Replaceable main contacts for entire line</td></tr><tr><th>Applications</th><td>Pumps, Blowers, Cranes, Agitators, Machine tools, Pressing machines, Cutting and sawing machines, Material handling equipment, K neading and mixing machines, By-pass/isolation, Elevator</td></tr><tr><th>Certifications</th><td>CE, UL for US and Canada, Bureau Veritas. UL508. CSAC22.2 No14. IEC60947-1;IEC60947-4-1. </td></tr><tr><th>Optional Features</th><td>Other voltages available upon request. </td></tr></tr><tr><th>Approx. Shipping Weight</th><td>1 lbs</td></tr></table>"
