ID,ADDITIONAL_DESCRIPTION
2145888,"<h5>Baldor ID5602-BO Hybrid AC Drive Digital Drive with Analog Interface</h5><h5>The ID5602-BO</h5><p>Adjustable Frequency Drive is a variable speed control in a NEMA-4X /IP-65 washdown and watertight enclosure. It is designed to operate 208-230 Volt 3-phase AC induction motors through 6.7 Amps RMS. The sine wave coded Pulse Width Modulated (PWM) output operates at a frequency of 16kHz which provides high motor torque, high efficiency and low noise.</p><h5>On/Off AC Line Switch – P/N: 9482</h5><p>Disconnects the AC line. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Forward-Stop-Reverse Switch – P/N: 9480</h5><p>Provides motor reversing and stop functions. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Run-Stop-Jog Switch – P/N: 9340</h5><p>Selects speed setting from either the Main Speed Potentiometer or the JOG Trimpot. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Signal Isolator – P/N: 9600</h5><p>Provides isolation between a non-isolated signal source and the drive. Mounts on the drive’s PC board with four snap-ins.</p><h5>Auto/Manual Switch – P/N: 9481</h5><p>When used with the Signal Isolator, it selects remote process signal or the Main Speed Potentiometer. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>AC Line Filter – P/N: 9507</h5><p>(Factory Installed) Provides Class A RFI (EMI) suppression.</p><h5>Liquidtight Fittings - P/N: 9526</h5><p>Provides a liquid-tight seal for wiring the drive. Kit includes necessary liquid-tight fittings</p><h5>*Warning!</h5><p>It is highly recommended that the Signal Isolator (Part No. 9600) be installed when using the drive with external control signals.</p>"
2099192,"<h5>Baldor ID5602-BO Hybrid AC Drive Digital Drive with Analog Interface</h5> <h5>The ID5602-BO</h5><p>Adjustable Frequency Drive is a variable speed control in a NEMA-4X /IP-65 washdown and watertight enclosure. It is designed to operate 208-230 Volt 3-phase AC induction motors through 6.7 Amps RMS. The sine wave coded Pulse Width Modulated (PWM) output operates at a frequency of 16kHz which provides high motor torque, high efficiency and low noise.</p><h5>On/Off AC Line Switch – P/N: 9482</h5><p>Disconnects the AC line. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Forward-Stop-Reverse Switch – P/N: 9480</h5><p>Provides motor reversing and stop functions. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Run-Stop-Jog Switch – P/N: 9340</h5><p>Selects speed setting from either the Main Speed Potentiometer or the JOG Trimpot. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Signal Isolator – P/N: 9600</h5><p>Provides isolation between a non-isolated signal source and the drive. Mounts on the drive’s PC board with four snap-ins.</p><h5>Auto/Manual Switch – P/N: 9481</h5><p>When used with the Signal Isolator, it selects remote process signal or the Main Speed Potentiometer. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>AC Line Filter – P/N: 9507</h5><p>(Factory Installed) Provides Class A RFI (EMI) suppression.</p><h5>Liquidtight Fittings - P/N: 9526</h5><p>Provides a liquid-tight seal for wiring the drive. Kit includes necessary liquid-tight fittings</p><h5>*Warning!</h5><p>It is highly recommended that the Signal Isolator (Part No. 9600) be installed when using the drive with external control signals.</p>"
2210687,"<h5>Applications</h5> Pumps, fans, conveyors, machine tools, gear reducers. <h5>Features</h5> <ul><li>Pressure cast aluminum end plates with ribbed design for rigidity</li><li>Ball bearings</li><li>Locked drive end bearing</li><li>Heavy gauge steel frame</li></ul><table class=""description-table""><tbody><tr><th>SPEC. NUMBER: </th><td>35N884R620H1</td></tr><tr><th>CATALOG NUMBER: </th><td>CM3211T</td></tr><tr><th>FL AMPS: </th><td>8.7-8/4</td></tr><tr><th>208V AMPS: </th><td>8.7</td></tr><tr><th>BEARING-DRIVE-END: </th><td>6206</td></tr><tr><th>BEARING-OPP-DRIVE-END: </th><td>6203</td></tr><tr><th>DESIGN CODE: </th><td>B</td></tr><tr><th>DOE-CODE: </th><td>010A</td></tr><tr><th>FL EFFICIENCY: </th><td>86.5</td></tr><tr><th>ENCLOSURE: </th><td>OPSB</td></tr><tr><th>FRAME: </th><td>182TC</td></tr><tr><th>HERTZ: </th><td>60</td></tr><tr><th>INSULATION-CLASS: </th><td>F</td></tr><tr><th>KVA-CODE: </th><td>K</td></tr><tr><th>SPEED [rpm]: </th><td>1725</td></tr><tr><th>OUTPUT [hp]: </th><td>3</td></tr><tr><th>PHASE: </th><td>3</td></tr><tr><th>POWER-FACTOR: </th><td>82</td></tr><tr><th>RATING: </th><td>40C AMB-CONT</td></tr><tr><th>SERIAL-NUMBER: </th><td>--</td></tr><tr><th>SERVICE FACTOR: </th><td>1.15</td></tr><tr><th>VOLTAGE: </th><td>208-230/460</td></tr></tbody></table>"
700130,<h5>Applications</h5><p>Ideal for wide variety of applications where hazardous fumes or dust may be present.</p>
1847152,"<h5>Applications</h5> Pumps, fans, conveyors, machine tools, gear reducers. . <h5>Features</h5> <ul><li>3 Year warranty</li><li>Pressure cast aluminum end plates with ribbed design for rigidity</li><li>Ball bearings</li><li>Locked drive and bearing</li><li>Heavy gauge steel frames</li></ul><table class=""description-table""><tbody><tr><th>SPEC. NUMBER: </th><td>35E012Q779G2</td></tr><tr><th>CATALOG NUMBER: </th><td>CNM3454/35</td></tr><tr><th>FL AMPS: </th><td>. 8/. 4</td></tr><tr><th>208V AMPS: </th><td>. 8</td></tr><tr><th>BEARING-DRIVE-END: </th><td>6205</td></tr><tr><th>BEARING-OPP-DRIVE-END: </th><td>6203</td></tr><tr><th>DESIGN CODE: </th><td>B</td></tr><tr><th>DOE-CODE: </th><td>--</td></tr><tr><th>FL EFFICIENCY: </th><td>80</td></tr><tr><th>ENCLOSURE: </th><td>TENV</td></tr><tr><th>FRAME: </th><td>56C</td></tr><tr><th>HERTZ: </th><td>60</td></tr><tr><th>INSULATION-CLASS: </th><td>F</td></tr><tr><th>KVA-CODE: </th><td>L</td></tr><tr><th>SPEED [rpm]: </th><td>1750</td></tr><tr><th>OUTPUT [hp]: </th><td>. 25</td></tr><tr><th>PHASE: </th><td>3</td></tr><tr><th>POWER-FACTOR: </th><td>72</td></tr><tr><th>RATING: </th><td>40C AMB-CONT</td></tr><tr><th>SERIAL-NUMBER: </th><td>--</td></tr><tr><th>SERVICE FACTOR: </th><td>1.15</td></tr><tr><th>VOLTAGE: </th><td>230/460</td></tr></tbody></table>"
27931,"<h5>Applications</h5>Speed feedback for controls <h5>Features</h5><ul><li>Ball bering construction</li><li>Standard mounting flanges</li></ul><table class=""description-table""><tbody><tr><th><h5>Catalog Number: </h5></th><td><h5>PFTG50XP</h5></td></tr><tr><th><h5>Part Nubmer: </h5></th><td><h5>601A101-2</h5></td></tr><tr><th><h5>Description: </h5></th><td><h5>DC TACH XPY 50VDC/KRPM</h5></td></tr><tr><th><h5>Max Speed RPM: </h5></th><td><h5>2500</h5></td></tr><tr><th><h5>Frame: </h5></th><td><h5>XPYTACH</h5></td></tr><tr><th><h5>Max AMB. : </h5></th><td><h5>40*C</h5></td></tr><tr><th><h5>Internal Resistance: </h5></th><td><h5>248 @25*C</h5></td></tr></tbody></table>"
2210424,"<h5>Baldor ID5602-BO Hybrid AC Drive Digital Drive with Analog Interface</h5> <h5>The ID5602-BO</h5><p>Adjustable Frequency Drive is a variable speed control in a NEMA-4X /IP-65 washdown and watertight enclosure. It is designed to operate 208-230 Volt 3-phase AC induction motors through 6.7 Amps RMS. The sine wave coded Pulse Width Modulated (PWM) output operates at a frequency of 16kHz which provides high motor torque, high efficiency and low noise.</p><h5>On/Off AC Line Switch – P/N: 9482</h5><p>Disconnects the AC line. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Forward-Stop-Reverse Switch – P/N: 9480</h5><p>Provides motor reversing and stop functions. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Run-Stop-Jog Switch – P/N: 9340</h5><p>Selects speed setting from either the Main Speed Potentiometer or the JOG Trimpot. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Signal Isolator – P/N: 9600</h5><p>Provides isolation between a non-isolated signal source and the drive. Mounts on the drive’s PC board with four snap-ins.</p><h5>Auto/Manual Switch – P/N: 9481</h5><p>When used with the Signal Isolator, it selects remote process signal or the Main Speed Potentiometer. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>AC Line Filter – P/N: 9507</h5><p>(Factory Installed) Provides Class A RFI (EMI) suppression.</p><h5>Liquidtight Fittings - P/N: 9526</h5><p>Provides a liquid-tight seal for wiring the drive. Kit includes necessary liquid-tight fittings</p><h5>*Warning!</h5><p>It is highly recommended that the Signal Isolator (Part No. 9600) be installed when using the drive with external control signals.</p>"
2210420,"<h5>Baldor ID5602-BO Hybrid AC Drive Digital Drive with Analog Interface</h5> <h5>The ID5602-BO</h5><p> Adjustable Frequency Drive is a variable speed control in a NEMA-4X /IP-65 washdown and watertight enclosure. It is designed to operate 208-230 Volt 3-phase AC induction motors through 6.7 Amps RMS. The sine wave coded Pulse Width Modulated (PWM) output operates at a frequency of 16kHz which provides high motor torque, high efficiency and low noise.</p><h5>On/Off AC Line Switch – P/N: 9482</h5><p>Disconnects the AC line. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Forward-Stop-Reverse Switch – P/N: 9480</h5><p>Provides motor reversing and stop functions. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Run-Stop-Jog Switch – P/N: 9340</h5><p>Selects speed setting from either the Main Speed Potentiometer or the JOG Trimpot. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Signal Isolator – P/N: 9600</h5><p>Provides isolation between a non-isolated signal source and the drive. Mounts on the drive’s PC board with four snap-ins.</p><h5>Auto/Manual Switch – P/N: 9481</h5><p>When used with the Signal Isolator, it selects remote process signal or the Main Speed Potentiometer. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>AC Line Filter – P/N: 9507</h5><p>(Factory Installed) Provides Class A RFI (EMI) suppression.</p><h5>Liquidtight Fittings - P/N: 9526</h5><p>Provides a liquid-tight seal for wiring the drive. Kit includes necessary liquid-tight fittings</p> <h5>*Warning!</h5><p>It is highly recommended that the Signal Isolator (Part No. 9600) be installed when using the drive with external control signals.</p>"
1955027,"<h5>Baldor ID5602-BO Hybrid AC Drive Digital Drive with Analog Interface</h5> <h5>The ID5602-BO</h5><p> Adjustable Frequency Drive is a variable speed control in a NEMA-4X /IP-65 washdown and watertight enclosure. It is designed to operate 208-230 Volt 3-phase AC induction motors through 6.7 Amps RMS. The sine wave coded Pulse Width Modulated (PWM) output operates at a frequency of 16kHz which provides high motor torque, high efficiency and low noise.</p><h5>On/Off AC Line Switch – P/N: 9482</h5><p>Disconnects the AC line. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Forward-Stop-Reverse Switch – P/N: 9480</h5><p>Provides motor reversing and stop functions. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Run-Stop-Jog Switch – P/N: 9340</h5><p>Selects speed setting from either the Main Speed Potentiometer or the JOG Trimpot. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>Signal Isolator – P/N: 9600</h5><p>Provides isolation between a non-isolated signal source and the drive. Mounts on the drive’s PC board with four snap-ins.</p><h5>Auto/Manual Switch – P/N: 9481</h5><p>When used with the Signal Isolator, it selects remote process signal or the Main Speed Potentiometer. Mounts on the enclosure cover and is supplied with a switch seal to maintain liquidtight integrity.</p><h5>AC Line Filter – P/N: 9507</h5><p>(Factory Installed) Provides Class A RFI (EMI) suppression.</p><h5>Liquidtight Fittings - P/N: 9526</h5><p>Provides a liquid-tight seal for wiring the drive. Kit includes necessary liquid-tight fittings</p><h5>*Warning!</h5><p>It is highly recommended that the Signal Isolator (Part No. 9600) be installed when using the drive with external control signals.</p>"
27465,"<table class=""description-table"">Mechanical Specification: <tr><th>Material</th><td>Heavy Duty Fabric</td></tr></table><table class=""description-table"">General Information: <tr><th>For use with</th><td>R1100, R1700i</td></tr></table><h5>Weight &amp; Dimensions</h5><table class=""description-table""> <tr><th>Weight</th><td>2.00 lbs. (0.91 kg)</td></tr><tr><th>LxWxH</th><td>12.00 x 12.00 x 12.00 in. (30.48 x 30.48 x 30.48 cm)</td></tr></table>"
