ID,ADDITIONAL_DESCRIPTION
727107,"<p>Three Phase TE U-frame Automotive Duty Motors.</p><p>For use on a wide variety of tough applications found in automotive manufacturing facilities and other industries utilizing U-Frame motors </p><p> Speed ranges (continuous duty) on variable-frequency electronic speed controls (inverters): </p> <p> P efficiency codes: Constant torque, 6 to 60 Hz Variable torque, 3 to 60 Hz</p> <p> G efficiency codes: Constant torque, 15 to 60 Hz Variable torque, 6 to 60 Hz</p> <h5>Features Include</h5> <ul><li> Made In U. S. A. </li> <li> Meets NEMA U-Frame dimensional and performance standards. </li> <li> Exceeds General Motors GM-7EH and -7EQ, FordEM1, and Chrysler NPEM-100 specifications. Exceed NEMA MG-1, Section IV, Part 31 spike resistance requirements. </li> <li> NEMA Design B Performance. </li> <li> Nameplated 1.15 service factor, 40°C ambient and 1.00 service factor, 65°C ambient. </li> <li> Inverter-Rated</li> <li> Premium Class F Insulation System. </li> <li> Lower noise designs improve plant sound quality. </li> <li> UL Recognized Component Listing and CSA Approval. </li> <li> Warranty – (sine-wave power) 42 months from date of manufacture and 36 months from date of installation which ever period expires first. (inverter power) 30 months from date of manufacture and 24 months from date of installation which ever period expires first. </li></ul>"
727960,"<h5>Applications</h5><p> For use on pumps designed for fire pump duty and installed per NFPA-20. These drip proof motors are intended for installation in relatively clean and dry environments. Fire Pump motors are not recommended for use with variable frequency drives. Motor HP Ratings are based on 230/460V and 460V 60Hz applications. 190/380V and 380V 50Hz applications require de-rating to the next lower HP. Example would be 30HP motor would be de-rated to a 25HP using 190/380V and 380V 50Hz power supply.  </p><h5>Features</h5><ul><li> Call for Availability</li> <li> 250 frame Rolled Steel Construction</li> <li> 280 frame and Larger - Cast Iron Construction</li> <li> EPACT Efficiency</li> <li> Ball Bearings</li> <li> Grease Fittings With Plugs All Ratings</li> <li> NEMA Design B, Code G. </li> <li> 1.15 Service Factor</li> <li> 280 Frame and larger Dual Voltage Motors – 12 leads suitable for Y-Delta, Low Voltage PWS, and Across The Line Start</li> <li> Single Voltage Motors – 12 leads suitable for Y-Delta, PWS, and Across The Line Start</li> <li> 40 C Max Ambient</li> <li> C-face Kits Available Through 250HP</li> <li> Exterior Red Paint</li> <li> UL Listed and CSA Certified (UL1004A) and CE Marked</li></ul>"
223781,<h5>Applications</h5><p> Can reduce or increase input speed when combined with right angle units for high ratios. Interchangeable with Baldor FX series. </p><h5>Features</h5><ul><li>High efficiency</li> <li>Cast iron construction</li> <li>Universal mounting positions</li> <li>Internal compression chamber eliminates breather vent</li> <li>Shipped with synthetic oil</li></ul>
223795,<h5>Applications</h5><p> Can reduce or increase input speed when combined with right angle units for high ratios. Interchangeable with Baldor FX series. </p><h5>Features</h5><ul><li>High efficiency</li> <li>Cast iron construction</li> <li>Universal mounting positions</li> <li>Internal compression chamber eliminates breather vent</li> <li>Shipped with synthetic oil</li></ul>
727570,"<h5>Applications</h5><p> For use where exposure is limited to splashes of water, dust and/or where mild corrosives exist. Ideally, suited for use on pumps, compressors, blowers, fans, conveyors, machine tools and other standard industrial applications. </p><h5>Features Include</h5><ul><li>Aluminum Frame construction</li> <li>EPACT efficient</li> <li>2-year warranty on EPACT efficient motors</li> <li>1.15 Service factor</li> <li>Inverter-rated</li> <li>Class F insulation systems</li> <li>Shielded ball bearings for direct coupled applications</li>  <li>Continuous duty</li> <li>Dynamically balanced rotors</li> <li>Torques exceed NEMA performance standards</li> <li>UL recognized and CSA certified</li> <li>Footnotes: A, US</li></ul>"
727410,"<p>Three Phase TEFC Crusher Duty Motors</p><p>Ideally suited for size reduction equipment including rock crushers and pulverizers and other uses in the aggregate and construction industries. Crusher Duty motors are designed for belted (radial) loads only. </p><h5>Features Include</h5> <ul><li> Made In U. S. A. </li> <li> Drive end roller bearing/Hi-strength steel shaft</li> <li> Superior speed-torque curves - most SF models nameplated Design B &amp; C. All CCS models labeled Design C</li> <li> Full cast iron construction</li> <li> Inverter-Rated</li> <li> Premium Class F Insulation System</li> <li> Across-the-line, Y-Delta (YDS) and Part Winding (PWS) Start capability</li> <li> Installation versatility - mount Crusher Duty motors horizontal or vertical shaft down</li> <li> Over temperature protection – Class F thermostats</li> <li> Drive-end roller bearing for belted load applications</li> <li> 4140 grade high strength shaft material</li> <li> Warranty – (sine-wave power and inverter power*) 18 months from date of manufacture and 12 months from date of installation which ever period expires first. </li></ul>"
225891,"<h5>Applications</h5><p> For use in constant torque (conveyors, machine tools) or variable torque (pumps, fans) variable speed applications within the stated speed range of the motor. </p><h5>Features</h5><ul><li>Made in U. S. A. </li> <li>Aluminum frame design</li> <li>Inverter duty insulation system</li> <li>Service factor 1.0</li> <li>Constant HP range at 2x base speed 56 - 256T frames</li> <li>Constant HP range at 1.5x base speed 284T - 445T frames</li> <li>No mounting available for encoder devices</li> <li>Normally enclosed thermostats</li> <li>Precision balanced rotors</li> <li>Footnotes: A, US</li></ul>"
727564,"<h5>Applications</h5><p>For use where water and dust exposure is minimal. Ideally suited for use on pumps, compressors, blowers, fans, and other standard industrial applications. </p><h5>Features Include: </h5><ul><li>Steel frame construction</li> <li>EPACT efficient</li> <li>C-face with no base</li> <li>1.15 service factor</li> <li>2-year warranty on EPACT efficient motors</li> <li>Class F insulation systems</li> <li>Shielded ball bearings for direct coupled applications</li> <li>Torques exceed NEMA performance standards</li> <li>Inverter-Rated</li> <li>UL Recognized and CSA certified</li> <li>Footnotes: S, MX</li></ul>"
225425,"<h5>Applications</h5><p> For use where exposure is limited to splashes of water, dust and/or where mild corrosives exist. Ideally, suited for use on pumps, compressors, blowers, fans, conveyors, machine tools and other standard industrial applications. </p><h5>Features Include</h5><ul><li>Aluminum Frame construction</li> <li>C-face with base</li> <li>Premium efficient</li> <li>3-year warranty on Premium efficient motors</li> <li>1.15 Service factor</li> <li>Inverter-rated</li> <li>Class F insulation systems</li> <li>Shielded ball bearings for direct coupled applications</li>  <li>Continuous duty</li> <li>Dynamically balanced rotors</li> <li>Torques exceed NEMA performance standards</li> <li>UL recognized and CSA certified</li> <li>Footnotes: A, MX</li></ul>"
222991,"<h5>The Wattsaver</h5><p> line of premium efficiency motors are now inverter capable. Leeson's unique IRIS voltage-spike -resistant insulation system is standard at no extra cost. Wattsaver motors carry a three-year warranty in general purpose and inverter fed applications. These motors meet or exceed most utility rebate programs and the EPACT federally mandated efficiency levels. The efficiency ratings have been verified to IEEE 112B test standards by Leeson's NVLAP-Certified lab. Cast iron 170 series motors can be field modified for forced ventilation service to extend the inverter-fed operation range and an encoder pack is stocked for closed-loop vector inverter systems. </p><table class=""description-table""><tbody><tr><th>Volts: 208-230</td><td>Volts</td><td>460</td><td>Volts</td><td>190/380</td></tr><tr><th>F. L. Amps: 21.8-20.8</td><td>F. L. Amps</td><td>10.4</td><td>F. L. Amps</td><td>24/12</td></tr><tr><th>S. F Amps: 25.6-24.8</td><td>S. F Amps</td><td>12.4</td><td>S. F Amps</td><td>27.2/13.8</td></tr><tr><th>RPM: 1800</td><td>Hertz</td><td>60/50</td><td></td><td></td></tr><tr><th>HP: 7 1/2</td><td>Duty</td><td>CONTINUOUS</td><td>TYPE</td><td>TD</td></tr><tr><th>KW: 5.60</td><td>Model Number</td><td>C213T17DC7 E</td><td></td><td></td></tr><tr><th>Frame: 213TC</td><td>Serv. Factor</td><td>1.25</td><td>Phase</td><td>3</td></tr><tr><th>Max Amb: 40</td><td>Design</td><td>B</td><td>Code</td><td>H</td></tr><tr><th>Insul Class: F</td><td>Protection</td><td>AUTOMATIC</td><td>Therm. Prot. </td><td>9700K46</td></tr><tr><th>Eff 100%: 91</td><td>Eff 75%</td><td></td><td>PF</td><td>74</td></tr><tr><th>UL: Yes</td><td>CSA</td><td>Yes</td><td>Bearing OPE</td><td>6206</td></tr><tr><th>CC Number: NONE</td><td>CE</td><td>Yes</td><td>Bearing PE</td><td>6207</td></tr><tr><th>Load Type: </td><td>Inverter Type</td><td></td><td>Speed Range</td><td>NONE</td></tr><tr><th>Motor Wt. : 132 LB</td><td>Enclosure</td><td>DP</td><td>Lubrication</td><td>POLYREX EM</td></tr><tr><th>Nameplate: 081298</td><td>Mounting</td><td>C FACE</td><td>Rotation</td><td>REV</td></tr></tbody></table>"
