ID,ADDITIONAL_DESCRIPTION
196481,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SS</th><th>SS</th><td>3/4</td></tr><tr><th>SS1</th><th>SS1</th><td>0. 75 INCH</td></tr><tr><th>K</th><th>K</th><td>1. 26 INCH</td></tr><tr><th>N</th><th>N</th><td>0. 28 INCH</td></tr></tbody></table>"
196480,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SS</th><th>SS</th><td>5/8</td></tr><tr><th>SS1</th><th>SS1</th><td>0. 625 INCH</td></tr><tr><th>K</th><th>K</th><td>1. 26 INCH</td></tr><tr><th>N</th><th>N</th><td>0. 28 INCH</td></tr></tbody></table>"
196478,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SD</th><th>Shaft Dia. Cap is Used With</th><td>1-1/2, 1-9/16</td></tr><tr><th>L</th><th>L</th><td>1. 46 INCH</td></tr><tr><th>L2</th><th>L2</th><td>1. 06 INCH</td></tr><tr><th>L3</th><th>L3</th><td>0. 43 INCH</td></tr><tr><th>M</th><th>M</th><td>3. 31 INCH</td></tr><tr><th>M2</th><th>M2</th><td>2. 7 INCH</td></tr><tr><th>T</th><th>T</th><td>0. 08 INCH</td></tr><tr><th>R</th><th>R</th><td>0. 12 INCH</td></tr><tr><th>K</th><th>K</th><td>2. 05 INCH</td></tr><tr><th>K2</th><th>K2</th><td>0. 0 INCH</td></tr></tbody></table>"
196477,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SD</th><th>Shaft Dia. Cap is Used With</th><td>1-1/4, 1-15/16, 1-3/8, 1-7/16</td></tr><tr><th>L</th><th>L</th><td>1. 26 INCH</td></tr><tr><th>L2</th><th>L2</th><td>0. 84 INCH</td></tr><tr><th>L3</th><th>L3</th><td>0. 39 INCH</td></tr><tr><th>M</th><th>M</th><td>2. 93 INCH</td></tr><tr><th>M2</th><th>M2</th><td>2. 63 INCH</td></tr><tr><th>T</th><th>T</th><td>0. 08 INCH</td></tr><tr><th>R</th><th>R</th><td>0. 12 INCH</td></tr><tr><th>K</th><th>K</th><td>1. 85 INCH</td></tr><tr><th>K2</th><th>K2</th><td>0. 0 INCH</td></tr></tbody></table>"
196476,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SD</th><th>Shaft Dia. Cap is Used With</th><td>1-1/16, 1-1/8, 1-3/16, 1-1/4S</td></tr><tr><th>L</th><th>L</th><td>1. 18 INCH</td></tr><tr><th>L2</th><th>L2</th><td>0. 78 INCH</td></tr><tr><th>L3</th><th>L3</th><td>0. 39 INCH</td></tr><tr><th>M</th><th>M</th><td>2. 52 INCH</td></tr><tr><th>M2</th><th>M2</th><td>2. 22 INCH</td></tr><tr><th>T</th><th>T</th><td>0. 08 INCH</td></tr><tr><th>R</th><th>R</th><td>0. 14 INCH</td></tr><tr><th>K</th><th>K</th><td>1. 65 INCH</td></tr><tr><th>K2</th><th>K2</th><td>0. 0 INCH</td></tr></tbody></table>"
1276896,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SERIES</th><th>Series</th><td>300</td></tr><tr><th>MODEL</th><th>Model</th><td>9TWS200JK</td></tr><tr><th>SSR</th><th>Shaft Size Range</th><td>1-15/16 - 2-3/16 INCH</td></tr><tr><th>IT</th><th>Input Type</th><td>N/A</td></tr><tr><th>BL</th><th>Bearing Lubrication</th><td>N/A</td></tr><tr><th>HM</th><th>Housing Material</th><td>Welded Steel</td></tr><tr><th>HS</th><th>Housing Style</th><td>Wide Slot</td></tr><tr><th>PT</th><th>Product Type</th><td>Take-up Frame</td></tr><tr><th>PL</th><th>Product Line</th><td>Industrialine Mounted Ball Bearing</td></tr><tr><th>ADJ</th><th>Adjustment</th><td>9 INCH</td></tr><tr><th>L</th><th>L</th><td>18. 25 INCH</td></tr><tr><th>W</th><th>W</th><td>6. 29 INCH</td></tr><tr><th>A</th><th>A</th><td>16. 875 INCH</td></tr><tr><th>B</th><th>B</th><td>4. 13 INCH</td></tr><tr><th>C</th><th>C</th><td>0. 62 INCH</td></tr><tr><th>D</th><th>D</th><td>0. 755 INCH</td></tr><tr><th>E</th><th>E</th><td>5. 18 INCH</td></tr><tr><th>G</th><th>G</th><td>2. 0 INCH</td></tr><tr><th>HMAX</th><th>H Max. </th><td>3. 719 INCH</td></tr><tr><th>K</th><th>K</th><td>1. 88 INCH</td></tr><tr><th>S</th><th>S</th><td>1 1/4 INCH</td></tr><tr><th>T</th><th>T</th><td>0. 31 INCH</td></tr><tr><th>BHN</th><th>Bolt Holes No. </th><td>4</td></tr><tr><th>BHS</th><th>Bolt Holes Size</th><td>11/16 INCH</td></tr><tr><th>WTL</th><th>Wt. </th><td>20. 0 lbs. </td></tr></tbody></table>"
1276895,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SERIES</th><th>Series</th><td>300</td></tr><tr><th>MODEL</th><th>Model</th><td>18TWS200FH</td></tr><tr><th>SSR</th><th>Shaft Size Range</th><td>1-7/16 - 1-3/4 INCH</td></tr><tr><th>IT</th><th>Input Type</th><td>N/A</td></tr><tr><th>BL</th><th>Bearing Lubrication</th><td>N/A</td></tr><tr><th>HM</th><th>Housing Material</th><td>Welded Steel</td></tr><tr><th>HS</th><th>Housing Style</th><td>Wide Slot</td></tr><tr><th>PT</th><th>Product Type</th><td>Take-up Frame</td></tr><tr><th>PL</th><th>Product Line</th><td>Industrialine Mounted Ball Bearing</td></tr><tr><th>ADJ</th><th>Adjustment</th><td>18 INCH</td></tr><tr><th>L</th><th>L</th><td>26. 5 INCH</td></tr><tr><th>W</th><th>W</th><td>5. 06 INCH</td></tr><tr><th>A</th><th>A</th><td>24. 875 INCH</td></tr><tr><th>B</th><th>B</th><td>3. 06 INCH</td></tr><tr><th>C</th><th>C</th><td>1. 0 INCH</td></tr><tr><th>D</th><th>D</th><td>0. 625 INCH</td></tr><tr><th>E</th><th>E</th><td>4. 06 INCH</td></tr><tr><th>G</th><th>G</th><td>2. 0 INCH</td></tr><tr><th>HMAX</th><th>H Max. </th><td>3. 125 INCH</td></tr><tr><th>K</th><th>K</th><td>1. 63 INCH</td></tr><tr><th>S</th><th>S</th><td>1. 0 INCH</td></tr><tr><th>T</th><th>T</th><td>0. 25 INCH</td></tr><tr><th>BHN</th><th>Bolt Holes No. </th><td>4</td></tr><tr><th>BHS</th><th>Bolt Holes Size</th><td>9/16 INCH</td></tr><tr><th>WTL</th><th>Wt. </th><td>15. 9 lbs. </td></tr></tbody></table>"
196474,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SD</th><th>Shaft Dia. Cap is Used With</th><td>1/2, 5/8, 3/4</td></tr><tr><th>L</th><th>L</th><td>0. 91 INCH</td></tr><tr><th>L2</th><th>L2</th><td>0. 5 INCH</td></tr><tr><th>L3</th><th>L3</th><td>0. 43 INCH</td></tr><tr><th>M</th><th>M</th><td>1. 97 INCH</td></tr><tr><th>M2</th><th>M2</th><td>1. 7 INCH</td></tr><tr><th>T</th><th>T</th><td>0. 08 INCH</td></tr><tr><th>R</th><th>R</th><td>0. 14 INCH</td></tr><tr><th>K</th><th>K</th><td>1. 26 INCH</td></tr><tr><th>K2</th><th>K2</th><td>0. 0 INCH</td></tr></tbody></table>"
196473,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SD</th><th>Shaft Dia. Cap is Used With</th><td>1-1/2, 1-9/16</td></tr><tr><th>L</th><th>L</th><td>1. 46 INCH</td></tr><tr><th>L2</th><th>L2</th><td>1. 06 INCH</td></tr><tr><th>L3</th><th>L3</th><td>0. 43 INCH</td></tr><tr><th>M</th><th>M</th><td>3. 31 INCH</td></tr><tr><th>M2</th><th>M2</th><td>2. 7 INCH</td></tr><tr><th>T</th><th>T</th><td>0. 08 INCH</td></tr><tr><th>R</th><th>R</th><td>0. 12 INCH</td></tr><tr><th>K</th><th>K</th><td>2. 05 INCH</td></tr><tr><th>K2</th><th>K2</th><td>1. 81 INCH</td></tr></tbody></table>"
196472,"<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Name</th><th>Description</th><th>Value</th></tr></thead><tbody><tr><th>SD</th><th>Shaft Dia. Cap is Used With</th><td>1-1/4, 1-15/16, 1-3/8, 1-7/16</td></tr><tr><th>L</th><th>L</th><td>1. 26 INCH</td></tr><tr><th>L2</th><th>L2</th><td>0. 84 INCH</td></tr><tr><th>L3</th><th>L3</th><td>0. 39 INCH</td></tr><tr><th>M</th><th>M</th><td>2. 93 INCH</td></tr><tr><th>M2</th><th>M2</th><td>2. 63 INCH</td></tr><tr><th>T</th><th>T</th><td>0. 08 INCH</td></tr><tr><th>R</th><th>R</th><td>0. 12 INCH</td></tr><tr><th>K</th><th>K</th><td>1. 85 INCH</td></tr><tr><th>K2</th><th>K2</th><td>1. 62 INCH</td></tr></tbody></table>"
