"ID","ADDITIONAL_DESCRIPTION"
"124986","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089645</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>350</td></tr><tr><th>Takeup Frame Travel: </th><td>12. 0000 in</td></tr><tr><th>Material Type: </th><td>STAINLESS STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 2500 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>STAINLESS STEEL</td></tr></table>"
"132238","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089646</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>350</td></tr><tr><th>Takeup Frame Travel: </th><td>18. 0000 in</td></tr><tr><th>Material Type: </th><td>STAINLESS STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 2500 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>STAINLESS STEEL</td></tr></table>"
"124988","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089647</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>350</td></tr><tr><th>Takeup Frame Travel: </th><td>24. 0000 in</td></tr><tr><th>Material Type: </th><td>STAINLESS STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 2500 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>STAINLESS STEEL</td></tr></table>"
"124992","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089649</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>350</td></tr><tr><th>Takeup Frame Travel: </th><td>36. 0000 in</td></tr><tr><th>Material Type: </th><td>STAINLESS STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 2500 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>STAINLESS STEEL</td></tr></table>"
"132242","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089653</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>400</td></tr><tr><th>Takeup Frame Travel: </th><td>12. 0000 in</td></tr><tr><th>Material Type: </th><td>STAINLESS STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 2500 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>STAINLESS STEEL</td></tr></table>"
"132237","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089154</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>350</td></tr><tr><th>Takeup Frame Travel: </th><td>12. 0000 in</td></tr><tr><th>Material Type: </th><td>STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 2500 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>ZINC COATED</td></tr></table>"
"124995","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089155</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>400</td></tr><tr><th>Takeup Frame Travel: </th><td>12. 0000 in</td></tr><tr><th>Material Type: </th><td>STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 2500 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>ZINC COATED</td></tr></table>"
"125019","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089156</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>500</td></tr><tr><th>Takeup Frame Travel: </th><td>12. 0000 in</td></tr><tr><th>Material Type: </th><td>STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 5000 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>ZINC COATED</td></tr></table>"
"132252","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089248</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>300</td></tr><tr><th>Takeup Frame Travel: </th><td>18. 0000 in</td></tr><tr><th>Material Type: </th><td>STAINLESS STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 2500 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>STAINLESS STEEL</td></tr></table>"
"125023","<h5>Specifications</h5><table class=""description-table""><tr><th>Item #: </th><td>089600</td></tr><tr><th>Item Name: </th><td>Mounted Bearing Takeup Frame</td></tr><tr><th>Takeup Frame Style: </th><td>HEAVY DUTY T-U FRAME</td></tr><tr><th>Frame Size: </th><td>250</td></tr><tr><th>Takeup Frame Travel: </th><td>60. 0000 in</td></tr><tr><th>Material Type: </th><td>STEEL</td></tr><tr><th>Screw Type: </th><td>ACME</td></tr><tr><th>Screw Diameter: </th><td>1. 0000 in</td></tr><tr><th>Screw TPI: </th><td>5</td></tr><tr><th>Screw Treatment: </th><td>ZINC COATED</td></tr></table>"
