ID,ADDITIONAL_DESCRIPTION
2181174,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>55 mm</td></tr><tr><th></th><td>D</td><td>100 mm</td></tr><tr><th></th><td>B</td><td>21 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>86, 6 mm</td></tr><tr><th></th><td>D a max</td><td>91 mm</td></tr><tr><th></th><td>d a max</td><td>65 mm</td></tr><tr><th></th><td>d a min</td><td>62 mm</td></tr><tr><th></th><td>d b min</td><td>68 mm</td></tr><tr><th></th><td>E</td><td>90 mm</td></tr><tr><th></th><td>F</td><td>66 mm</td></tr><tr><th></th><td>r 1 min</td><td>1, 1 mm</td></tr><tr><th></th><td>r a max</td><td>1, 5 mm</td></tr><tr><th></th><td>r a1 max</td><td>1 mm</td></tr><tr><th></th><td>r min</td><td>1, 5 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>0, 8 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 665 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>99000 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>95000 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>8700 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>5800 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>12700 N</td><td>C ur</td></tr></table>"
2181166,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>50 mm</td></tr><tr><th></th><td>D</td><td>90 mm</td></tr><tr><th></th><td>B</td><td>20 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>78, 3 mm</td></tr><tr><th></th><td>D a max</td><td>83 mm</td></tr><tr><th></th><td>d a max</td><td>58 mm</td></tr><tr><th></th><td>d a min</td><td>57 mm</td></tr><tr><th></th><td>d b min</td><td>62 mm</td></tr><tr><th></th><td>E</td><td>81, 5 mm</td></tr><tr><th></th><td>F</td><td>59, 5 mm</td></tr><tr><th></th><td>r 1 min</td><td>1, 1 mm</td></tr><tr><th></th><td>r a max</td><td>1 mm</td></tr><tr><th></th><td>r a1 max</td><td>1 mm</td></tr><tr><th></th><td>r min</td><td>1, 1 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>1, 3 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 487 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>75000 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>69000 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>9700 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>6700 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>8800 N</td><td>C ur</td></tr></table>"
2181129,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>25 mm</td></tr><tr><th></th><td>D</td><td>52 mm</td></tr><tr><th></th><td>B</td><td>15 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>43, 8 mm</td></tr><tr><th></th><td>D a max</td><td>46 mm</td></tr><tr><th></th><td>d a max</td><td>31 mm</td></tr><tr><th></th><td>d a min</td><td>29 mm</td></tr><tr><th></th><td>d b min</td><td>34 mm</td></tr><tr><th></th><td>E</td><td>46, 5 mm</td></tr><tr><th></th><td>F</td><td>31, 5 mm</td></tr><tr><th></th><td>r 1 min</td><td>0, 6 mm</td></tr><tr><th></th><td>r a max</td><td>1 mm</td></tr><tr><th></th><td>r a1 max</td><td>0, 6 mm</td></tr><tr><th></th><td>r min</td><td>1 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>1, 2 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 137 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>34500 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>27500 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>17200 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>11800 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>3300 N</td><td>C ur</td></tr></table>"
2181124,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>20 mm</td></tr><tr><th></th><td>D</td><td>47 mm</td></tr><tr><th></th><td>B</td><td>14 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>38, 8 mm</td></tr><tr><th></th><td>D a max</td><td>41 mm</td></tr><tr><th></th><td>d a max</td><td>26 mm</td></tr><tr><th></th><td>d a min</td><td>24 mm</td></tr><tr><th></th><td>d b min</td><td>29 mm</td></tr><tr><th></th><td>E</td><td>41, 5 mm</td></tr><tr><th></th><td>F</td><td>26, 5 mm</td></tr><tr><th></th><td>r 1 min</td><td>0, 6 mm</td></tr><tr><th></th><td>r a max</td><td>1 mm</td></tr><tr><th></th><td>r a1 max</td><td>0, 6 mm</td></tr><tr><th></th><td>r min</td><td>1 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>0, 8 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 114 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>32500 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>24700 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>19200 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>13100 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>2900 N</td><td>C ur</td></tr></table>"
2181158,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>45 mm</td></tr><tr><th></th><td>D</td><td>85 mm</td></tr><tr><th></th><td>B</td><td>19 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>73, 3 mm</td></tr><tr><th></th><td>D a max</td><td>78 mm</td></tr><tr><th></th><td>d a max</td><td>54 mm</td></tr><tr><th></th><td>d a min</td><td>52 mm</td></tr><tr><th></th><td>d b min</td><td>57 mm</td></tr><tr><th></th><td>E</td><td>76, 5 mm</td></tr><tr><th></th><td>F</td><td>54, 5 mm</td></tr><tr><th></th><td>r 1 min</td><td>1, 1 mm</td></tr><tr><th></th><td>r a max</td><td>1 mm</td></tr><tr><th></th><td>r a1 max</td><td>1 mm</td></tr><tr><th></th><td>r min</td><td>1, 1 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>1 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 434 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>72000 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>63000 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>10200 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>7100 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>8100 N</td><td>C ur</td></tr></table>"
2181152,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>40 mm</td></tr><tr><th></th><td>D</td><td>80 mm</td></tr><tr><th></th><td>B</td><td>18 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>68, 3 mm</td></tr><tr><th></th><td>D a max</td><td>73 mm</td></tr><tr><th></th><td>d a max</td><td>49 mm</td></tr><tr><th></th><td>d a min</td><td>47 mm</td></tr><tr><th></th><td>d b min</td><td>52 mm</td></tr><tr><th></th><td>E</td><td>71, 5 mm</td></tr><tr><th></th><td>F</td><td>49, 5 mm</td></tr><tr><th></th><td>r 1 min</td><td>1, 1 mm</td></tr><tr><th></th><td>r a max</td><td>1 mm</td></tr><tr><th></th><td>r a1 max</td><td>1 mm</td></tr><tr><th></th><td>r min</td><td>1, 1 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>1 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 379 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>63000 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>53000 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>10900 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>7600 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>6600 N</td><td>C ur</td></tr></table>"
2181143,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>35 mm</td></tr><tr><th></th><td>D</td><td>72 mm</td></tr><tr><th></th><td>B</td><td>17 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>61 mm</td></tr><tr><th></th><td>D a max</td><td>65 mm</td></tr><tr><th></th><td>d a max</td><td>43 mm</td></tr><tr><th></th><td>d a min</td><td>39 mm</td></tr><tr><th></th><td>d b min</td><td>46 mm</td></tr><tr><th></th><td>E</td><td>64 mm</td></tr><tr><th></th><td>F</td><td>44 mm</td></tr><tr><th></th><td>r 1 min</td><td>0, 6 mm</td></tr><tr><th></th><td>r a max</td><td>1 mm</td></tr><tr><th></th><td>r a1 max</td><td>0, 6 mm</td></tr><tr><th></th><td>r min</td><td>1, 1 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>0, 7 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 303 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>59000 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>50000 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>12300 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>8300 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>6100 N</td><td>C ur</td></tr></table>"
2181136,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>30 mm</td></tr><tr><th></th><td>D</td><td>62 mm</td></tr><tr><th></th><td>B</td><td>16 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>52, 5 mm</td></tr><tr><th></th><td>D a max</td><td>56 mm</td></tr><tr><th></th><td>d a max</td><td>37 mm</td></tr><tr><th></th><td>d a min</td><td>34 mm</td></tr><tr><th></th><td>d b min</td><td>40 mm</td></tr><tr><th></th><td>E</td><td>55, 5 mm</td></tr><tr><th></th><td>F</td><td>37, 5 mm</td></tr><tr><th></th><td>r 1 min</td><td>0, 6 mm</td></tr><tr><th></th><td>r a max</td><td>1 mm</td></tr><tr><th></th><td>r a1 max</td><td>0, 6 mm</td></tr><tr><th></th><td>r min</td><td>1 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>1, 5 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 207 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>46000 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>37500 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>14200 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>9800 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>4350 N</td><td>C ur</td></tr></table>"
2181190,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>65 mm</td></tr><tr><th></th><td>D</td><td>120 mm</td></tr><tr><th></th><td>B</td><td>23 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>104, 3 mm</td></tr><tr><th></th><td>D a max</td><td>111 mm</td></tr><tr><th></th><td>d a max</td><td>77 mm</td></tr><tr><th></th><td>d a min</td><td>74 mm</td></tr><tr><th></th><td>d b min</td><td>81 mm</td></tr><tr><th></th><td>E</td><td>108, 5 mm</td></tr><tr><th></th><td>F</td><td>78, 5 mm</td></tr><tr><th></th><td>r 1 min</td><td>1, 5 mm</td></tr><tr><th></th><td>r a max</td><td>1, 5 mm</td></tr><tr><th></th><td>r a1 max</td><td>1, 5 mm</td></tr><tr><th></th><td>r min</td><td>1, 5 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>1, 4 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>1, 04 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>128000 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>120000 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>7100 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>5000 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>16400 N</td><td>C ur</td></tr></table>"
2181181,"<h5>Specifications</h5><table class=""description-table""><tr><th></th><td>d</td><td>60 mm</td></tr><tr><th></th><td>D</td><td>110 mm</td></tr><tr><th></th><td>B</td><td>22 mm</td></tr></table><table class=""description-table""><tr><th></th><td>D 1</td><td>96, 1 mm</td></tr><tr><th></th><td>D a max</td><td>101 mm</td></tr><tr><th></th><td>d a max</td><td>71 mm</td></tr><tr><th></th><td>d a min</td><td>69 mm</td></tr><tr><th></th><td>d b min</td><td>75 mm</td></tr><tr><th></th><td>E</td><td>100 mm</td></tr><tr><th></th><td>F</td><td>72 mm</td></tr><tr><th></th><td>r 1 min</td><td>1, 5 mm</td></tr><tr><th></th><td>r a max</td><td>1, 5 mm</td></tr><tr><th></th><td>r a1 max</td><td>1, 5 mm</td></tr><tr><th></th><td>r min</td><td>1, 5 mm</td></tr><tr><th>Axial displacement facility from central position</th><td>1, 6 mm</td><td>s</td></tr></table><table class=""description-table""><tr><th>Mass</th><td>0, 824 kg</td><td>m</td></tr><tr><th>Basic dynamic load rating, radial</th><td>112000 N</td><td>C r</td></tr><tr><th>Basic static load rating, radial</th><td>103000 N</td><td>C 0r</td></tr><tr><th>Limiting speed</th><td>7700 1/min</td><td>n G</td></tr><tr><th>Reference speed</th><td>5400 1/min</td><td>n B</td></tr><tr><th>Fatigue limit load, radial</th><td>13900 N</td><td>C ur</td></tr></table>"
