"ID","ADDITIONAL_DESCRIPTION"
"2208348","<h5>Spring Retractable Fuel Hose Reel</h5> Reelcraft’s spring retractable fuel delivery reels, equipped with Viton seals, incorporate metal forms to insure the greatest possible strength and are ideal for mobile and permanent-mount applications. These rugged, corrosion-resistant reels are suitable for a wide variety of fuel applications including E85. <ul><li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance. </li> <li>Containerized external drive spring is easily and safely serviced. </li> <li>Ductile iron fluid path is strong and reliable. </li> <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>FSD13000 OLP</td></tr><tr><th>Series</th><td>FSD</td></tr><tr><th>Weight (lbs)</th><td>85</td></tr><tr><th>Hose I. D. (in)</th><td>3/4""</td></tr><tr><th>Hose O. D. (in)</th><td>1. 188</td></tr><tr><th>Hose Length (ft)</th><td>50</td></tr><tr><th>Pressure (psi)</th><td>500</td></tr><tr><th>Outlet (in)</th><td></td></tr><tr><th>Inlet (in)</th><td>1 (F)NPTF</td></tr><tr><th>Hose Included</th><td>no</td></tr><tr><th>Max Temperature (°F)</th><td>210</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>18. 25""</td></tr><tr><th>B</th><td>19. 125""</td></tr><tr><th>C</th><td>14""</td></tr><tr><th>D</th><td>11. 25""</td></tr><tr><th>E</th><td>18. 75""</td></tr><tr><th>F</th><td>8""</td></tr></table>"
"2207990","<h5>Spring Retractable Fuel Hose Reel</h5> Reelcraft’s spring retractable fuel delivery reels, equipped with Viton seals, incorporate metal forms to insure the greatest possible strength and are ideal for mobile and permanent-mount applications. These rugged, corrosion-resistant reels are suitable for a wide variety of fuel applications including E85. <ul><li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance. </li> <li>Containerized external drive spring is easily and safely serviced. </li> <li>Ductile iron fluid path is strong and reliable. </li> <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>FSD13035 OLP</td></tr><tr><th>Series</th><td>FSD</td></tr><tr><th>Weight (lbs)</th><td>102</td></tr><tr><th>Hose I. D. (in)</th><td>3/4""</td></tr><tr><th>Hose O. D. (in)</th><td>1. 188</td></tr><tr><th>Hose Length (ft)</th><td>35</td></tr><tr><th>Pressure (psi)</th><td>50</td></tr><tr><th>Outlet (in)</th><td>3/4 (M)NPTF</td></tr><tr><th>Inlet (in)</th><td>1 (F)NPTF</td></tr><tr><th>Hose Included</th><td>yes</td></tr><tr><th>Max Temperature (°F)</th><td>150</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>18. 25""</td></tr><tr><th>B</th><td>19. 125""</td></tr><tr><th>C</th><td>14""</td></tr><tr><th>D</th><td>11. 25""</td></tr><tr><th>E</th><td>18. 75""</td></tr><tr><th>F</th><td>8""</td></tr></table>"
"2207993","<h5>Spring Retractable Fuel Hose Reel</h5> Reelcraft’s spring retractable fuel delivery reels, equipped with Viton seals, incorporate metal forms to insure the greatest possible strength and are ideal for mobile and permanent-mount applications. These rugged, corrosion-resistant reels are suitable for a wide variety of fuel applications including E85. <ul><li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance. </li> <li>Containerized external drive spring is easily and safely serviced. </li> <li>Ductile iron fluid path is strong and reliable. </li> <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>FSD14050 OLP</td></tr><tr><th>Series</th><td>FSD</td></tr><tr><th>Weight (lbs)</th><td>127</td></tr><tr><th>Hose I. D. (in)</th><td>1""</td></tr><tr><th>Hose O. D. (in)</th><td>1. 500</td></tr><tr><th>Hose Length (ft)</th><td>50</td></tr><tr><th>Pressure (psi)</th><td>50</td></tr><tr><th>Outlet (in)</th><td>1 (M)NPTF</td></tr><tr><th>Inlet (in)</th><td>1 (F)NPTF</td></tr><tr><th>Hose Included</th><td>yes</td></tr><tr><th>Max Temperature (°F)</th><td>150</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>18. 25""</td></tr><tr><th>B</th><td>19. 125""</td></tr><tr><th>C</th><td>14""</td></tr><tr><th>D</th><td>13. 25""</td></tr><tr><th>E</th><td>20. 75""</td></tr><tr><th>F</th><td>10""</td></tr></table>"
"2208196","<h5>Twin Hydraulic Spring Retractable Hose Reel</h5> The hydraulic series hose reel incorporates contemporary engineering and manufacturing techniques to give trouble free performance. Used for medium pressure hydraulic applications, Series TH hose reels are ideal for operating hydraulic cylinders, tools and equipment. Reels are all steel construction and compact for applications with critical space requirements. <ul><li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion. </li> <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life. </li> <li>Constant tension or pos-i-latch spool mechanism</li> <li>Compact design for critical space requirements</li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>TH5400 OMP</td></tr><tr><th>Series</th><td>TH</td></tr><tr><th>Weight (lbs)</th><td>24</td></tr><tr><th>Hose I. D. (in)</th><td>1/4""</td></tr><tr><th>Hose O. D. (in)</th><td>. 530</td></tr><tr><th>Hose Length (ft)</th><td>25</td></tr><tr><th>Pressure (psi)</th><td>3000</td></tr><tr><th>Outlet (in)</th><td></td></tr><tr><th>Inlet (in)</th><td>1/4 (F)NPT</td></tr><tr><th>Hose Included</th><td>no</td></tr><tr><th>Max Temperature (°F)</th><td>210</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>14. 375""</td></tr><tr><th>B</th><td>14""</td></tr><tr><th>C</th><td>9. 75""</td></tr><tr><th>D</th><td>2. 5""</td></tr><tr><th>E</th><td>6. 125""</td></tr></table>"
"2207991","<h5>Spring Retractable Fuel Hose Reel</h5> Reelcraft’s spring retractable fuel delivery reels, equipped with Viton seals, incorporate metal forms to insure the greatest possible strength and are ideal for mobile and permanent-mount applications. These rugged, corrosion-resistant reels are suitable for a wide variety of fuel applications including E85. <ul><li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance. </li> <li>Containerized external drive spring is easily and safely serviced. </li> <li>Ductile iron fluid path is strong and reliable. </li> <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>FSD13050 OLP</td></tr><tr><th>Series</th><td>FSD</td></tr><tr><th>Weight (lbs)</th><td>110</td></tr><tr><th>Hose I. D. (in)</th><td>3/4""</td></tr><tr><th>Hose O. D. (in)</th><td>1. 188</td></tr><tr><th>Hose Length (ft)</th><td>50</td></tr><tr><th>Pressure (psi)</th><td>50</td></tr><tr><th>Outlet (in)</th><td>3/4 (M)NPTF</td></tr><tr><th>Inlet (in)</th><td>1 (F)NPTF</td></tr><tr><th>Hose Included</th><td>yes</td></tr><tr><th>Max Temperature (°F)</th><td>150</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>18. 25""</td></tr><tr><th>B</th><td>19. 125""</td></tr><tr><th>C</th><td>14""</td></tr><tr><th>D</th><td>11. 25""</td></tr><tr><th>E</th><td>18. 75""</td></tr><tr><th>F</th><td>8""</td></tr></table>"
"2208349","<h5>Spring Retractable Fuel Hose Reel</h5> Reelcraft’s spring retractable fuel delivery reels, equipped with Viton seals, incorporate metal forms to insure the greatest possible strength and are ideal for mobile and permanent-mount applications. These rugged, corrosion-resistant reels are suitable for a wide variety of fuel applications including E85. <ul><li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance. </li> <li>Containerized external drive spring is easily and safely serviced. </li> <li>Ductile iron fluid path is strong and reliable. </li> <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>FSD14000 OLP</td></tr><tr><th>Series</th><td>FSD</td></tr><tr><th>Weight (lbs)</th><td>85</td></tr><tr><th>Hose I. D. (in)</th><td>1""</td></tr><tr><th>Hose O. D. (in)</th><td>1. 500</td></tr><tr><th>Hose Length (ft)</th><td>35</td></tr><tr><th>Pressure (psi)</th><td>500</td></tr><tr><th>Outlet (in)</th><td></td></tr><tr><th>Inlet (in)</th><td>1 (F)NPTF</td></tr><tr><th>Hose Included</th><td>no</td></tr><tr><th>Max Temperature (°F)</th><td>210</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>18. 25""</td></tr><tr><th>B</th><td>19. 125""</td></tr><tr><th>C</th><td>14""</td></tr><tr><th>D</th><td>11. 25""</td></tr><tr><th>E</th><td>18. 75""</td></tr><tr><th>F</th><td>8""</td></tr></table>"
"2208350","<h5>Spring Retractable Fuel Hose Reel</h5> Reelcraft’s spring retractable fuel delivery reels, equipped with Viton seals, incorporate metal forms to insure the greatest possible strength and are ideal for mobile and permanent-mount applications. These rugged, corrosion-resistant reels are suitable for a wide variety of fuel applications including E85. <ul><li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance. </li> <li>Containerized external drive spring is easily and safely serviced. </li> <li>Ductile iron fluid path is strong and reliable. </li> <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>FSD14005 OLP</td></tr><tr><th>Series</th><td>FSD</td></tr><tr><th>Weight (lbs)</th><td>92</td></tr><tr><th>Hose I. D. (in)</th><td>1""</td></tr><tr><th>Hose O. D. (in)</th><td>1. 500</td></tr><tr><th>Hose Length (ft)</th><td>50</td></tr><tr><th>Pressure (psi)</th><td>500</td></tr><tr><th>Outlet (in)</th><td></td></tr><tr><th>Inlet (in)</th><td>1 (F)NPTF</td></tr><tr><th>Hose Included</th><td>no</td></tr><tr><th>Max Temperature (°F)</th><td>210</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>18. 25""</td></tr><tr><th>B</th><td>19. 125""</td></tr><tr><th>C</th><td>14""</td></tr><tr><th>D</th><td>13. 25""</td></tr><tr><th>E</th><td>20. 75""</td></tr><tr><th>F</th><td>10""</td></tr></table>"
"2207992","<h5>Spring Retractable Fuel Hose Reel</h5> Reelcraft’s spring retractable fuel delivery reels, equipped with Viton seals, incorporate metal forms to insure the greatest possible strength and are ideal for mobile and permanent-mount applications. These rugged, corrosion-resistant reels are suitable for a wide variety of fuel applications including E85. <ul><li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance. </li> <li>Containerized external drive spring is easily and safely serviced. </li> <li>Ductile iron fluid path is strong and reliable. </li> <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>FSD14035 OLP</td></tr><tr><th>Series</th><td>FSD</td></tr><tr><th>Weight (lbs)</th><td>105</td></tr><tr><th>Hose I. D. (in)</th><td>1""</td></tr><tr><th>Hose O. D. (in)</th><td>1. 500</td></tr><tr><th>Hose Length (ft)</th><td>35</td></tr><tr><th>Pressure (psi)</th><td>50</td></tr><tr><th>Outlet (in)</th><td>1 (M)NPTF</td></tr><tr><th>Inlet (in)</th><td>1 (F)NPTF</td></tr><tr><th>Hose Included</th><td>yes</td></tr><tr><th>Max Temperature (°F)</th><td>150</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>18. 25""</td></tr><tr><th>B</th><td>19. 125""</td></tr><tr><th>C</th><td>14""</td></tr><tr><th>D</th><td>11. 25""</td></tr><tr><th>E</th><td>18. 75""</td></tr><tr><th>F</th><td>8""</td></tr></table>"
"2208264","<h5>Spring Retractable Composite Reel</h5> Series S reels are economical, lighter weight, easy to handle and meet the demands of a medium-duty industrial grade reel for continuous operation. Made of corrosion-proof, tough polypropylene, extensive tests have shown it to be highly resistant to the vast majority of acids, alkalis and UV rays. The design protects the hose and allows easy cleaning of both hose and reel. Wall, ceiling or floor mount. <ul><li>Poly Case - Made of corrosion-proof, tough polypropylene, extensive tests have shown it to be highly resistant to a vast majority of acids, alkalis and UV rays. </li> <li>Vented Case - The reel is ideal for outdoor applications with and openings that allow water to drain. </li> <li>External hose tensioning - Hoses can easily be replaced and re-tensioned without disassembling the reel. </li> <li>Unique Mounting - Bracket system allows mounting in any position with the advantage of the swivel feature. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCA3850 OLP</td></tr><tr><th>Series</th><td>S</td></tr><tr><th>Weight (lbs)</th><td>22</td></tr><tr><th>Hose I. D. (in)</th><td>1/2""</td></tr><tr><th>Hose O. D. (in)</th><td>. 781</td></tr><tr><th>Hose Length (ft)</th><td>50</td></tr><tr><th>Pressure (psi)</th><td>232</td></tr><tr><th>Outlet (in)</th><td>1/2 (M)NPTF</td></tr><tr><th>Inlet (in)</th><td>1/2 (F)NPTF</td></tr><tr><th>Hose Included</th><td>yes</td></tr><tr><th>Max Temperature (°F)</th><td>140</td></tr><tr><th>Warehouse</th><td></td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>19. 375""</td></tr><tr><th>B</th><td>19. 25""</td></tr><tr><th>C</th><td>2. 5""</td></tr><tr><th>D</th><td>2. 125""</td></tr><tr><th>E</th><td>9. 125""</td></tr><tr><th>F</th><td>14. 125""</td></tr><tr><th>G</th><td>22""</td></tr></table>"
"2208125","<h5>Spring Retractable Fuel Hose Reel</h5> Reelcraft’s spring retractable fuel delivery reels, equipped with Viton seals, incorporate metal forms to insure the greatest possible strength and are ideal for mobile and permanent-mount applications. These rugged, corrosion-resistant reels are suitable for a wide variety of fuel applications including E85. Series F7000 reels are supplied with our ball-bearing style swivel. <ul><li>Robust Latching mechanism - Latch and ratchet are made of heavy duty cast aluminum with substantial surface area to limit the opportunity for premature wear. </li> <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li> <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life. </li> <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion. </li></ul> <h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>F7900 OLP</td></tr><tr><th>Series</th><td>F7000</td></tr><tr><th>Weight (lbs)</th><td>45</td></tr><tr><th>Hose I. D. (in)</th><td>3/4""</td></tr><tr><th>Hose O. D. (in)</th><td>1. 188</td></tr><tr><th>Hose Length (ft)</th><td>25</td></tr><tr><th>Pressure (psi)</th><td>500</td></tr><tr><th>Outlet (in)</th><td></td></tr><tr><th>Inlet (in)</th><td>3/4 (F)NPTF</td></tr><tr><th>Hose Included</th><td>no</td></tr><tr><th>Max Temperature (°F)</th><td>210</td></tr><tr><th>Warehouse</th><td>CA</td></tr></table><h5>Dimensions</h5><table class=""description-table""><tr><th>A</th><td>20. 25""</td></tr><tr><th>B</th><td>19. 75""</td></tr><tr><th>C</th><td>7. 8125""</td></tr><tr><th>D</th><td>3. 875""</td></tr><tr><th>E</th><td>7""</td></tr></table>"
