"ID","ADDITIONAL_DESCRIPTION"
"2246347","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-405TC-4-BR-D-100</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>405TC</td></tr><tr><th>Horsepower</th><td>100</td></tr><tr><th>RPM</th><td>1800 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246344","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-405TSC-2-BR-D-100</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>405TSC</td></tr><tr><th>Horsepower</th><td>100</td></tr><tr><th>RPM</th><td>3600 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246346","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-405T-4-RR-D-100</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>405T</td></tr><tr><th>Horsepower</th><td>100</td></tr><tr><th>RPM</th><td>1800 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246348","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-444T-6-RR-D-100</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>444T</td></tr><tr><th>Horsepower</th><td>100</td></tr><tr><th>RPM</th><td>1200 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246345","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-405T-4-BR-D-100</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>405T</td></tr><tr><th>Horsepower</th><td>100</td></tr><tr><th>RPM</th><td>1800 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246343","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-405TS-2-BR-D-100</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>405TS</td></tr><tr><th>Horsepower</th><td>100</td></tr><tr><th>RPM</th><td>3600 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246341","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-365TC-4-BR-D-75</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>365TC</td></tr><tr><th>Horsepower</th><td>75</td></tr><tr><th>RPM</th><td>1800 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246338","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-365TSC-2-BR-D-75</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>365TSC</td></tr><tr><th>Horsepower</th><td>75</td></tr><tr><th>RPM</th><td>3600 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246340","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-365T-4-RR-D-75</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>365T</td></tr><tr><th>Horsepower</th><td>75</td></tr><tr><th>RPM</th><td>1800 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
"2246342","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>GR3-CI-TF-405T-6-RR-D-75</td></tr><tr><th>Motor Group</th><td>3PH, CI, Premium TEFC</td></tr><tr><th>Frame Size</th><td>405T</td></tr><tr><th>Horsepower</th><td>75</td></tr><tr><th>RPM</th><td>1200 (60Hz)</td></tr><tr><th>Voltage</th><td>D=230/460V</td></tr><tr><th>Multiplier Code</th><td>G1</td></tr></table>"
