ID,ADDITIONAL_DESCRIPTION
2381597,"<h5>Specifications</h5><table class=""description-table""><tr><th>Product</th><td>System Plast - Flange Bracket - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (In)</th><td>1</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>Setscrew</td></tr><tr><th>Bearing Seal</th><td>Single Lip Contact</td></tr><tr><th>Duty Series</th><td>Standard</td></tr><tr><th>Housing Material</th><td>Nolu-Clean</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>1. 09</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Product: </th><td>System Plast - Flange Bracket - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (In): </th><td>1</td></tr><tr><th>Rolling Element: </th><td>Ball</td></tr><tr><th>Locking Device: </th><td>Setscrew</td></tr><tr><th>Bearing Seal: </th><td>Single Lip Contact</td></tr><tr><th>Duty Series: </th><td>Standard</td></tr><tr><th>Housing Material: </th><td>Nolu-Clean</td></tr><tr><th>Expansion: </th><td>No</td></tr><tr><th>Maximum Operating Temperature: </th><td>180</td></tr></table>"
2381549,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size (mm)</th><td>30</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>Setscrew</td></tr><tr><th>Bearing Seal</th><td>Single Lip Contact</td></tr><tr><th>Duty Series</th><td>Standard</td></tr><tr><th>Housing Base</th><td>Solid</td></tr><tr><th>Housing Material</th><td>Nolu-Clean</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>1. 15</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Shaft Size (mm): </th><td>30</td></tr><tr><th>Rolling Element: </th><td>Ball</td></tr><tr><th>Locking Device: </th><td>Setscrew</td></tr><tr><th>Bearing Seal: </th><td>Single Lip Contact</td></tr><tr><th>Duty Series: </th><td>Standard</td></tr><tr><th>Housing Base: </th><td>Solid</td></tr><tr><th>Housing Material: </th><td>Nolu-Clean</td></tr><tr><th>Expansion: </th><td>No</td></tr><tr><th>Maximum Operating Temperature: </th><td>180</td></tr></table>"
2381483,"<h5>Specifications</h5><table class=""description-table""><tr><th>Product</th><td>System Plast - Two Bolt Flange - 400 Series Stainless Steel</td></tr><tr><th>Shaft Size (In)</th><td>1 1/4</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>Setscrew</td></tr><tr><th>Bearing Seal</th><td>Single Lip Contact</td></tr><tr><th>Duty Series</th><td>Standard</td></tr><tr><th>Housing Material</th><td>Nolu-Clean</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>1. 03</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>Packaged Length: </th><td>5. 83</td></tr><tr><th>Packaged Width: </th><td>3. 31</td></tr><tr><th>Packaged Height: </th><td>2. 28</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Product: </th><td>System Plast - Two Bolt Flange - 400 Series Stainless Steel</td></tr><tr><th>Shaft Size (In): </th><td>1 1/4</td></tr><tr><th>Rolling Element: </th><td>Ball</td></tr><tr><th>Locking Device: </th><td>Setscrew</td></tr><tr><th>Bearing Seal: </th><td>Single Lip Contact</td></tr><tr><th>Duty Series: </th><td>Standard</td></tr><tr><th>Housing Material: </th><td>Nolu-Clean</td></tr><tr><th>Expansion: </th><td>No</td></tr><tr><th>Maximum Operating Temperature: </th><td>180</td></tr></table>"
2381829,"<h5>Specifications</h5><table class=""description-table""><tr><th>Product</th><td>System Plast - Tapped Base - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (In)</th><td>1</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>Setscrew</td></tr><tr><th>Bearing Seal</th><td>Single Lip Contact</td></tr><tr><th>Duty Series</th><td>Standard</td></tr><tr><th>Housing Base</th><td>Solid</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>0. 86</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Product: </th><td>System Plast - Tapped Base - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (In): </th><td>1</td></tr><tr><th>Rolling Element: </th><td>Ball</td></tr><tr><th>Locking Device: </th><td>Setscrew</td></tr><tr><th>Bearing Seal: </th><td>Single Lip Contact</td></tr><tr><th>Duty Series: </th><td>Standard</td></tr><tr><th>Housing Base: </th><td>Solid</td></tr><tr><th>Housing Material: </th><td>Nolu-Clean</td></tr><tr><th>Expansion: </th><td>No</td></tr><tr><th>Maximum Operating Temperature: </th><td>180</td></tr></table>"
2379884,"<h5>Specifications</h5><table class=""description-table""><tr><th>Product Type</th><td>Split Idler</td></tr><tr><th>Bore size (mm)</th><td>37</td></tr><tr><th>Number of Teeth</th><td>21</td></tr><tr><th>Construction</th><td>Sys Chain Molded Sprockets &amp; Idlers</td></tr><tr><th>Material</th><td>Reinforced Polyamide</td></tr><tr><th>Chain Series</th><td>815 - 815L - 881TAB - 881MO</td></tr><tr><th>Warranty</th><td>1 year</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>0. 01</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Product Type: </th><td>Split Idler</td></tr><tr><th>Bore size (mm): </th><td>37</td></tr><tr><th>Number of Teeth: </th><td>21</td></tr><tr><th>Construction: </th><td>Sys Chain Molded Sprockets &amp; Idlers</td></tr><tr><th>Material: </th><td>Reinforced Polyamide</td></tr><tr><th>Chain Series: </th><td>815 - 815L - 881TAB - 881MO</td></tr><tr><th>Warranty: </th><td>1 year</td></tr></table>"
2381645,"<h5>Specifications</h5><table class=""description-table""><tr><th>Product</th><td>System Plast - Four Bolt Flange - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (In)</th><td>1</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>Setscrew</td></tr><tr><th>Bearing Seal</th><td>Single Lip Contact</td></tr><tr><th>Duty Series</th><td>Standard</td></tr><tr><th>Housing Base</th><td>Solid</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>0. 75</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Product: </th><td>System Plast - Four Bolt Flange - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (In): </th><td>1</td></tr><tr><th>Rolling Element: </th><td>Ball</td></tr><tr><th>Locking Device: </th><td>Setscrew</td></tr><tr><th>Bearing Seal: </th><td>Single Lip Contact</td></tr><tr><th>Duty Series: </th><td>Standard</td></tr><tr><th>Housing Base: </th><td>Solid</td></tr><tr><th>Housing Material: </th><td>Nolu-Clean</td></tr><tr><th>Expansion: </th><td>No</td></tr><tr><th>Maximum Operating Temperature: </th><td>180</td></tr></table>"
2382932,"<h5>Specifications</h5><table class=""description-table""><tr><th>Product Category</th><td>Return Rollers</td></tr><tr><th>Type</th><td>Watertight Roller</td></tr><tr><th>Material</th><td>Polyethylene High-Density Green</td></tr><tr><th>Bore size (In)</th><td>3/4</td></tr><tr><th>Quantity standard packaging</th><td>n° 50</td></tr><tr><th>Feature 1</th><td>Sanitary, watertight, sealed; Excellent wear and chemical resistance; Low noise, low friction</td></tr><tr><th>Std Package Quantity</th><td>1</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>0. 12</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Product Category: </th><td>Return Rollers</td></tr><tr><th>Type: </th><td>Watertight Roller</td></tr><tr><th>Material: </th><td>Polyethylene High-Density Green</td></tr><tr><th>Bore size (In): </th><td>3/4</td></tr><tr><th>Quantity standard packaging: </th><td>n° 50</td></tr><tr><th>Feature 1: </th><td>Sanitary, watertight, sealed; Excellent wear and chemical resistance; Low noise, low friction</td></tr><tr><th>Std Package Quantity: </th><td>1</td></tr></table>"
2379003,"<h5>Specifications</h5><table class=""description-table""><tr><th>Flight Material</th><td>Acetal Resin (Grey)</td></tr><tr><th>Standard Width (In)</th><td>2 11/64</td></tr><tr><th>Pitch (In)</th><td>1 31/32</td></tr><tr><th>Max Breaking Load (lb)</th><td>1, 911</td></tr><tr><th>Pin Material</th><td>Austenitic Stainless Steal</td></tr><tr><th>Std Package Quantity (ft)</th><td>10</td></tr><tr><th>Pin Diameter (mm)</th><td>8. 00</td></tr><tr><th>Weight Unit of Measure: </th><td>FT</td></tr><tr><th>Weight: </th><td>0. 84</td></tr><tr><th>Sale Qty Multiple: </th><td>10</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Flight Material: </th><td>Acetal Resin (Grey)</td></tr><tr><th>Standard Width (In): </th><td>2 11/64</td></tr><tr><th>Pitch (In): </th><td>1 31/32</td></tr><tr><th>Max Breaking Load (lb): </th><td>1, 911</td></tr><tr><th>Pin Material: </th><td>Austenitic Stainless Steal</td></tr><tr><th>Std Package Quantity (ft): </th><td>10</td></tr><tr><th>Pin Diameter (mm): </th><td>8. 00</td></tr><tr><th>Standard Width (mm): </th><td>55. 00</td></tr><tr><th>Std Mfg Delivery: </th><td>Normally Stocked</td></tr><tr><th>Warranty: </th><td>1 Year</td></tr></table>"
2381842,"<h5>Specifications</h5><table class=""description-table""><tr><th>Product</th><td>System Plast - Tapped Base - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (mm)</th><td>30</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>Setscrew</td></tr><tr><th>Bearing Seal</th><td>Single Lip Contact</td></tr><tr><th>Duty Series</th><td>Standard</td></tr><tr><th>Housing Base</th><td>Solid</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>1. 15</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Product: </th><td>System Plast - Tapped Base - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (mm): </th><td>30</td></tr><tr><th>Rolling Element: </th><td>Ball</td></tr><tr><th>Locking Device: </th><td>Setscrew</td></tr><tr><th>Bearing Seal: </th><td>Single Lip Contact</td></tr><tr><th>Duty Series: </th><td>Standard</td></tr><tr><th>Housing Base: </th><td>Solid</td></tr><tr><th>Housing Material: </th><td>Black Polyamide</td></tr><tr><th>Expansion: </th><td>No</td></tr><tr><th>Maximum Operating Temperature: </th><td>180</td></tr></table>"
2381640,"<h5>Specifications</h5><table class=""description-table""><tr><th>Product</th><td>System Plast - Four Bolt Flange - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (In)</th><td>3/4</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>Setscrew</td></tr><tr><th>Bearing Seal</th><td>Single Lip Contact</td></tr><tr><th>Duty Series</th><td>Standard</td></tr><tr><th>Housing Base</th><td>Solid</td></tr><tr><th>Weight Unit of Measure: </th><td>EA</td></tr><tr><th>Weight: </th><td>0. 51</td></tr><tr><th>Sale Qty Multiple: </th><td>1</td></tr><tr><th>No. Links/Ft. : </th><td>0</td></tr><tr><th>Product: </th><td>System Plast - Four Bolt Flange - 52100 Chrome Steel</td></tr><tr><th>Shaft Size (In): </th><td>3/4</td></tr><tr><th>Rolling Element: </th><td>Ball</td></tr><tr><th>Locking Device: </th><td>Setscrew</td></tr><tr><th>Bearing Seal: </th><td>Single Lip Contact</td></tr><tr><th>Duty Series: </th><td>Standard</td></tr><tr><th>Housing Base: </th><td>Solid</td></tr><tr><th>Housing Material: </th><td>Nolu-Clean</td></tr><tr><th>Expansion: </th><td>No</td></tr><tr><th>Maximum Operating Temperature: </th><td>180</td></tr></table>"
