ID,ADDITIONAL_DESCRIPTION
859080,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>1.000 in</td></tr><tr><th>(B) Roller Width: </th><td>.6250 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.4375 in</td></tr><tr><th>(M) Stud Length: </th><td>1 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>1/2 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>7/16–20</td></tr><tr><th>(N) Oil Hole Location: </th><td>1/4</td></tr><tr><th>(H) Oil Hole Dia.: </th><td>3/32 in</td></tr><tr><th>(P) Lube Fitting Size: </th><td>3/16</td></tr><tr><th>Min Boss. Dia.: </th><td>5/8</td></tr><tr><th>Recomm. Bore: </th><td>.4375 in</td></tr><tr><th>Recomm. Torque: </th><td>350 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>3030 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>3100 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>12 in</td></tr><tr><th>McGill P/N: </th><td>CF – 1</td></tr><tr><th>RBC P/N: </th><td>S – 32</td></tr><tr><th>Torrington P/N: </th><td>CR – 16</td></tr></table>"
859109,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>1.125 in</td></tr><tr><th>(B) Roller Width: </th><td>.6250 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.4375 in</td></tr><tr><th>(M) Stud Length: </th><td>1 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>1/2 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>7/16–20</td></tr><tr><th>(N) Oil Hole Location: </th><td>1/4</td></tr><tr><th>(H) Oil Hole Dia.: </th><td>3/32 in</td></tr><tr><th>(P) Lube Fitting Size: </th><td>3/16</td></tr><tr><th>Min Boss. Dia.: </th><td>5/8</td></tr><tr><th>Recomm. Bore: </th><td>.4375 in</td></tr><tr><th>Recomm. Torque: </th><td>350 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>3030 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>3100 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>12 in</td></tr><tr><th>McGill P/N: </th><td>CF – 1 1/8</td></tr><tr><th>RBC P/N: </th><td>S – 36</td></tr><tr><th>Torrington P/N: </th><td>CR – 18</td></tr></table>"
859186,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>1.250 in</td></tr><tr><th>(B) Roller Width: </th><td>.7500 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.500 in</td></tr><tr><th>(M) Stud Length: </th><td>1-1/4 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>5/8 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>1/2–20</td></tr><tr><th>(N) Oil Hole Location: </th><td>5/16</td></tr><tr><th>(H) Oil Hole Dia.: </th><td>3/32 in</td></tr><tr><th>(P) Lube Fitting Size: </th><td>3/16</td></tr><tr><th>Min Boss. Dia.: </th><td>3/4</td></tr><tr><th>Recomm. Bore: </th><td>.5000 in</td></tr><tr><th>Recomm. Torque: </th><td>500 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>4470 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>4300 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>14 in</td></tr><tr><th>McGill P/N: </th><td>CF – 1 1/4</td></tr><tr><th>RBC P/N: </th><td>S – 40</td></tr><tr><th>Torrington P/N: </th><td>CR – 20</td></tr></table>"
859003,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series YR &amp; YR-X Yoke Type</td></tr><tr><th>Configuration: </th><td>Shaft Mounting</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>.750 in</td></tr><tr><th>(A) Bore Nominal: </th><td>.2500 in</td></tr><tr><th>Tolerance: </th><td>+.0002 -.0004 in</td></tr><tr><th>(B) Roller Width: </th><td>.500 in</td></tr><tr><th>(W) Overall Width: </th><td>.5625 in</td></tr><tr><th>(E) Min. Clamping Dia.: </th><td>1/2 in</td></tr><tr><th>Shaft Dia. Slip Fit Max.: </th><td>.2497 in</td></tr><tr><th>Shaft Dia. Slip Fit Min.: </th><td>.2493 in</td></tr><tr><th>Shaft Dia. Press Fit Max.: </th><td>.2505 in</td></tr><tr><th>Shaft Dia. Press Fit Min.: </th><td>.2501 in</td></tr><tr><th>Basic Dynamic Rating: </th><td>2140 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>4170 lbs</td></tr><tr><th>McGill P/N: </th><td>CYR – 3/4</td></tr><tr><th>RBC P/N: </th><td>Y-24</td></tr><tr><th>Torrington P/N: </th><td>YCR – 12</td></tr></table>"
859097,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>.500 in</td></tr><tr><th>(B) Roller Width: </th><td>.3750 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.190 in</td></tr><tr><th>(M) Stud Length: </th><td>5/8 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>1/4 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>10–32</td></tr><tr><th>(P) Lube Fitting Size: </th><td>1/8</td></tr><tr><th>Min Boss. Dia.: </th><td>19/64</td></tr><tr><th>Recomm. Bore: </th><td>.1900 in</td></tr><tr><th>Recomm. Torque: </th><td>20 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>970 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>720 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>7 in</td></tr><tr><th>McGill P/N: </th><td>CF – 1/2</td></tr><tr><th>RBC P/N: </th><td>S – 16</td></tr><tr><th>Torrington P/N: </th><td>CR – 8-1</td></tr></table>"
859140,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>.5625 in</td></tr><tr><th>(B) Roller Width: </th><td>.3750 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.190 in</td></tr><tr><th>(M) Stud Length: </th><td>5/8 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>1/4 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>10–32</td></tr><tr><th>(P) Lube Fitting Size: </th><td>1/8</td></tr><tr><th>Min Boss. Dia.: </th><td>19/64</td></tr><tr><th>Recomm. Bore: </th><td>.1900 in</td></tr><tr><th>Recomm. Torque: </th><td>20 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>970 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>720 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>7 in</td></tr><tr><th>McGill P/N: </th><td>CF – 9/16</td></tr><tr><th>RBC P/N: </th><td>S – 18</td></tr><tr><th>Torrington P/N: </th><td>––</td></tr></table>"
859121,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>.625 in</td></tr><tr><th>(B) Roller Width: </th><td>.4375 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.250 in</td></tr><tr><th>(M) Stud Length: </th><td>3/4 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>5/16 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>1/4–28</td></tr><tr><th>(P) Lube Fitting Size: </th><td>1/8</td></tr><tr><th>Min Boss. Dia.: </th><td>23/64</td></tr><tr><th>Recomm. Bore: </th><td>.2500 in</td></tr><tr><th>Recomm. Torque: </th><td>50 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>1320 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>1250 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>8 in</td></tr><tr><th>McGill P/N: </th><td>CF – 5/8</td></tr><tr><th>RBC P/N: </th><td>S – 20</td></tr><tr><th>Torrington P/N: </th><td>CR – 10-1</td></tr></table>"
859253,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>.6875 in</td></tr><tr><th>(B) Roller Width: </th><td>.4375 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.250 in</td></tr><tr><th>(M) Stud Length: </th><td>3/4 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>5/16 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>1/4–28</td></tr><tr><th>(P) Lube Fitting Size: </th><td>1/8</td></tr><tr><th>Min Boss. Dia.: </th><td>23/64</td></tr><tr><th>Recomm. Bore: </th><td>.2500 in</td></tr><tr><th>Recomm. Torque: </th><td>50 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>1320 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>1250 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>8 in</td></tr><tr><th>McGill P/N: </th><td>CF – 11/16</td></tr><tr><th>RBC P/N: </th><td>S – 22</td></tr><tr><th>Torrington P/N: </th><td>––</td></tr></table>"
859027,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>.875 in</td></tr><tr><th>(B) Roller Width: </th><td>.5000 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.375 in</td></tr><tr><th>(M) Stud Length: </th><td>7/8 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>3/8 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>3/8–24</td></tr><tr><th>(N) Oil Hole Location: </th><td>1/4</td></tr><tr><th>(H) Oil Hole Dia.: </th><td>3/32 in</td></tr><tr><th>(P) Lube Fitting Size: </th><td>3/16</td></tr><tr><th>Min Boss. Dia.: </th><td>1/2</td></tr><tr><th>Recomm. Bore: </th><td>.3750 in</td></tr><tr><th>Recomm. Torque: </th><td>120 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>2140 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>2200 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>10 in</td></tr><tr><th>McGill P/N: </th><td>CF – 7/8</td></tr><tr><th>RBC P/N: </th><td>S – 28</td></tr><tr><th>Torrington P/N: </th><td>CR – 14</td></tr></table>"
859020,"<h5>Specifications</h5><table class=""description-table""><tr><th>Item Name: </th><td>Series CR-C &amp; CR-XC Crowned-Regular Stud, Screwdriver Slot</td></tr><tr><th>Configuration: </th><td>Crowned Outer Race</td></tr><tr><th>Drive Type: </th><td>Screw-Driver Slot</td></tr><tr><th>Type: </th><td>Unsealed</td></tr><tr><th>(D) Roller OD: </th><td>.750 in</td></tr><tr><th>(B) Roller Width: </th><td>.5000 in</td></tr><tr><th>(A) Stud Dia.: </th><td>.375 in</td></tr><tr><th>(M) Stud Length: </th><td>7/8 in</td></tr><tr><th>(S) Eff. Thread Min.: </th><td>3/8 in</td></tr><tr><th>(T) Thread UNF Class 2A: </th><td>3/8–24</td></tr><tr><th>(N) Oil Hole Location: </th><td>1/4</td></tr><tr><th>(H) Oil Hole Dia.: </th><td>3/32 in</td></tr><tr><th>(P) Lube Fitting Size: </th><td>3/16</td></tr><tr><th>Min Boss. Dia.: </th><td>1/2</td></tr><tr><th>Recomm. Bore: </th><td>.3750 in</td></tr><tr><th>Recomm. Torque: </th><td>120 lbs-in</td></tr><tr><th>Basic Dynamic Rating: </th><td>2140 lbs</td></tr><tr><th>Max. Static Capacity: </th><td>2200 lbs</td></tr><tr><th>(R) Crown Radius: </th><td>10 in</td></tr><tr><th>McGill P/N: </th><td>CF – 3/4</td></tr><tr><th>RBC P/N: </th><td>S – 24</td></tr><tr><th>Torrington P/N: </th><td>CR – 12</td></tr></table>"
