ID,ADDITIONAL_DESCRIPTION
2310038,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>AS Part #</th><td>AS15002-3P</td></tr><tr><th>Alemite Part #</th><td>1770-AS</td></tr><tr><th>Supersedes MS #</th><td>MS-15002-3</td></tr><tr><th>NSN #</th><td>4730001720015</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Finish</th><td>Zinc</td></tr><tr><th>Configuration</th><td>45°</td></tr><tr><th>Thread</th><td>1/4”-28 Taper UNF-2A</td></tr><tr><th>Boeing Part #</th><td>NA</td></tr><tr><th>NAS Part#</th><td>NA</td></tr></tbody></table>"
2310040,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>AS Part #</th><td>AS15002-1P</td></tr><tr><th>Alemite Part #</th><td>1792-AS</td></tr><tr><th>Supersedes MS #</th><td>MS-15002-1</td></tr><tr><th>NSN #</th><td>4730001720010</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Finish</th><td>Zinc</td></tr><tr><th>Configuration</th><td>Straight</td></tr><tr><th>Thread</th><td>1/4”-28 Taper UNF-2A</td></tr><tr><th>Boeing Part #</th><td>NA</td></tr><tr><th>NAS Part#</th><td>NA</td></tr></tbody></table>"
2310056,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>AS Part #</th><td>AS15001-4P</td></tr><tr><th>Alemite Part #</th><td>1911-AS</td></tr><tr><th>Supersedes MS #</th><td>MS-15001-4</td></tr><tr><th>NSN #</th><td>4730000504207</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Finish</th><td>Zinc</td></tr><tr><th>Configuration</th><td>90°</td></tr><tr><th>Thread</th><td>1/4”-28 Taper (SAE-LT)</td></tr><tr><th>Boeing Part #</th><td>NA</td></tr><tr><th>NAS Part#</th><td>NA</td></tr></tbody></table>"
2309987,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>AS Part #</th><td>AS15001-3P</td></tr><tr><th>Alemite Part #</th><td>1637-AS</td></tr><tr><th>Supersedes MS #</th><td>MS-15001-3</td></tr><tr><th>NSN #</th><td>4730000504205</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Finish</th><td>Zinc</td></tr><tr><th>Configuration</th><td>45°</td></tr><tr><th>Thread</th><td>1/4”-28 Taper (SAE-LT)</td></tr><tr><th>Boeing Part #</th><td>NA</td></tr><tr><th>NAS Part#</th><td>NA</td></tr></tbody></table>"
2310012,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>AS Part #</th><td>AS15001-2P</td></tr><tr><th>Alemite Part #</th><td>1680-AS</td></tr><tr><th>Supersedes MS #</th><td>MS-15001-2</td></tr><tr><th>NSN #</th><td>4730001720001</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Finish</th><td>Zinc</td></tr><tr><th>Configuration</th><td>Straight, . 97” long</td></tr><tr><th>Thread</th><td>1/4”-28 Taper (SAE-LT)</td></tr><tr><th>Boeing Part #</th><td>NA</td></tr><tr><th>NAS Part#</th><td>NA</td></tr></tbody></table>"
2309993,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>AS Part #</th><td>AS15001-1P</td></tr><tr><th>Alemite Part #</th><td>1641-AS</td></tr><tr><th>Supersedes MS #</th><td>MS-15001-1</td></tr><tr><th>NSN #</th><td>4730000504203</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Finish</th><td>Zinc</td></tr><tr><th>Configuration</th><td>Straight</td></tr><tr><th>Thread</th><td>1/4”-28 Taper (SAE-LT)</td></tr><tr><th>Boeing Part #</th><td>NA</td></tr><tr><th>NAS Part#</th><td>NA</td></tr></tbody></table>"
2309863,"<h5>Description</h5><ul><li>Develops up to 4, 500 psi (model F101) or 8, 000 psi (model F106) pressure</li><li>Rigid extension and coupler included</li></ul><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Product #</th><td>F104</td></tr><tr><th>Description</th><td>Pistol Gun, Mini</td></tr><tr><th>Pressure</th><td>2, 900 psi</td></tr><tr><th>Cylinder Capacity</th><td>3 oz</td></tr><tr><th>Included Items</th><td>3 oz grease cartridge, rigid extension and coupler</td></tr></tbody></table>"
2309862,"<h5>Description</h5><ul><li>Develops up to 4, 500 psi (model F101) or 8, 000 psi (model F106) pressure</li><li>Rigid extension and coupler included</li></ul><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Product #</th><td>F103</td></tr><tr><th>Description</th><td>Pistol Gun</td></tr><tr><th>Pressure</th><td>4, 500 psi</td></tr><tr><th>Cylinder Capacity</th><td>14 oz</td></tr><tr><th>Included Items</th><td>Rigid extension and coupler</td></tr></tbody></table>"
2309865,"<h5>Description</h5><ul><li>Develops up to 4, 500 psi (model F101) or 8, 000 psi (model F106) pressure</li><li>Rigid extension and coupler included</li></ul><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Product #</th><td>F106</td></tr><tr><th>Description</th><td>Lever Gun</td></tr><tr><th>Pressure</th><td>8, 000 psi</td></tr><tr><th>Cylinder Capacity</th><td>14 oz</td></tr><tr><th>Included Items</th><td>Rigid extension and coupler</td></tr></tbody></table>"
2309861,"<h5>Description</h5><ul><li>Develops up to 4, 500 psi (model F101) or 8, 000 psi (model F106) pressure</li><li>Rigid extension and coupler included</li></ul><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Product #</th><td>F101</td></tr><tr><th>Description</th><td>Lever Gun</td></tr><tr><th>Pressure</th><td>4, 300 psi</td></tr><tr><th>Cylinder Capacity</th><td>14 oz</td></tr><tr><th>Included Items</th><td>Rigid extension and coupler</td></tr></tbody></table>"
