ID,ADDITIONAL_DESCRIPTION
2307130,"<h5>Specifications</h5><p>1/4"" Special Jacobs 1BA Drill Chuck.3/8-24 threads. Key is model T-7888-SPB. Chuck and key are model T-7888-SPB. This chuck can be used on forward and reversible drills. Capacity 0-1/4 (0 to 6.5mm). T-9888-SPA 1/4"" Special Hi-Precision Drill Chuck. Extra High quality 1/4"" Chuck.3/8-24 threads. Machined gear. Key is model T-9888-SPB. Chuck and key are model T-9888-SPC. This chuck can be used on forward and reversible drills. Capacity 0-1/4"" (0 to 6.5mm). </p>"
2307115,"<h5>Specifications</h5><p>1/4"" Special Jacobs 7BA Drill Chuck.3/8-24 threads. Key is model T-77887BASPAB. High quality machined gear. Key is model T-9888-SPB. Chuck and key are model T-77887BASPC. This chuck can be used on forward and reversible drills. Capacity 0-1/4"" (0 to 6.5mm). </p>"
2307070,"<h5>Specifications</h5><p>3-1/2"" Polishing Pad for the T-7888P. For use with Tay.7888P50V Velcro Pad. </p>"
2307109,"<h5>Specifications</h5><p>3/8"" Special Jacobs 2BA Drill Chuck.3/8-24 threads. Key is model T-77882BASPB. This chuck can be used on forward and reversible drills. Capacity 3/8"". </p>"
2307097,"<h5>Specifications</h5><p>3/8"" Special Hi-Precision Drill Chuck. Extra High quality 3/8"" chuck.3/8-24 threads. Machined gear. Key is model T-7768R-SPC. This chuck can be used on forward and reversible drills. Capacity 3/8"". </p><p> Discontinued </p>"
2307106,"<h5>Specifications</h5><p>3/8"" Standard Jacobs Multicraft Drill Chuck.3/8-24 Threads. Key is model T-7788-B. This chuck can be used on forward and reversible drills. Capacity 3/8"". </p>"
2306792,"<h5>Specifications</h5><p>3/8"" X 13"" Belt Sander converts to 1/4"" Angle Die Grinder and 3/8"" Angle Drill. </p>"
2307060,"<h5>Specifications</h5><p>7 1/2"" Wood Polisher Pad for the T-8816/P, T-9916P, T7716P, &amp; T7718/P. (Sold Separately)</p>"
2307058,"<h5>Specifications</h5><p>7"" Rubber Back Up Pad for the T-8816/P, T-9916P, T7716P, &amp; T7718/P.5/8""-11 Female Thread.6,600 RPM Max. (Sold Separately)</p>"
2306791,"<h5>Specifications</h5><p>Angle design provides comfortable grip. Strong and reliable, the T-7759R is excellent for grinding, polishing, deburring and breakup sharp edges in confined areas.1/8"" collet available (T-7508). </p><ul><li>Hardened spiral bevel gears</li> <li>Rear Exhaust</li> <li>Full ball bearing construction</li> <li>Powerful.25HP motor</li> <li>Grease fitting in head</li> <li>Lock off lever</li></ul>"
2306761,"<h5>Specifications</h5><p>Both the T-7718 &amp; T-7718P are available with a short muffler side handle. Add SM after the model #. </p> <p>Same great tool as the T-7718 but with a lower gear ratio. RPM is 2,000, the perfect polishing speed. Comes complete with a rubber back up pad our T-7470A and the T-7472 Wool Polishing Pad. A great tool for buffing and polishing paint, plastic, metal and wool. </p><ul><li>Built-in Regulator</li> <li>Ball bearing construction</li> <li>Lightweight aluminum housing</li> <li>Rugged 1 HP motor</li></ul><table class=""description-table""><tr><th></th><th>T-7716W</th><th>T-7718</th><th>T-7718P</th></tr><tr><th>Pad Size</th><td>N/A</td><td>7""</td><td>7""</td></tr><tr><th>RPM</th><td>4,500</td><td>4,000</td><td>2,000</td></tr><tr><th>Spindle Size</th><td>5/8"" - 11</td><td>5/8"" - 11</td><td>5/8"" - 11</td></tr><tr><th>Length</th><td>16""</td><td>8 1/4""</td><td>8 1/4""</td></tr><tr><th>Weight</th><td>4.62 lbs. </td><td>5.25 lbs. </td><td>5.25 lbs. </td></tr><tr><th>Air Inlet</th><td>1/4"" NPT</td><td>1/4"" NPT</td><td>1/4"" NPT</td></tr><tr><th>Air Pressure</th><td>90 PSI Max. </td><td>90 PSI Max. </td><td>90 PSI Max. </td></tr></table><p>Backup pad included (our T-7470A)</p>"
2306734,"<h5>Specifications</h5><p>Both tools have the adjustable vacuum shroud brush attachment. The shroud is effective at trapping and removing coatings, corrosion and other debris dislodged by the needle scaler. These scalers work on almost any surface including irregular shapes such as tubing, rivet heads, steel window sills, weld seams, corner, edges, bearing mounts, concrete and many others. </p><table class=""description-table""><tr><th>Blows per min. </th><td>3,000</td></tr><tr><th># of Needles</th><td>19</td></tr><tr><th>Needle Diameter</th><td>3mm</td></tr><tr><th>Length</th><td>10”</td></tr><tr><th>Weight</th><td>5.7 lbs. </td></tr><tr><th>Air Pressure</th><td>90 PSI Max. </td></tr><tr><th>Hose Size</th><td>3/8” ID</td></tr></table><ul><li>Heat treated piston and barrel</li> <li>Rubber grip</li> <li>Needles adjust to contours</li> <li>Heavy Duty</li></ul>"
2306862,<h5>Specifications</h5><p>Can be ordered in a convenient carrying case as T-7891NK or T-7892NK</p>
2307143,"<h5>Specifications</h5><p>Comes complete with key &amp; adapter that is tapered to fit the chuck on one end and 1/4-28 threaded on the other end to fit 1/4-28 threads in tools like the Taylor T-9750, T-9750EX, T-9751, T-9753, T-9754. Key is model T-9750-B. Chuck only is T-9750-A. Adapter is T-9750-D. </p>"
2306781,"<h5>Specifications</h5><p>Compact to work with in confined spaces. The T-7757D cannot be damaged by overloading. Drill, brush, hone or deburr without hazard of electric shock. (Not for use with cast wheels or accessories nor rated for 25,000 RPM. )</p><ul><li>Direct drive</li> <li>Rear exhaust</li> <li>Full ball bearing construction</li> <li>Powerful.5 HP motor</li> <li>Lock off lever</li></ul>"
2306782,"<h5>Specifications</h5><p>Compact, to work in close quarters, the T-7757R cannot be damaged by overloading. Drill, brush, hone, deburr without hazard of electric shock. (Not for use with cast wheels or accessories not rated for 25,000 RPM. ) Optional 1/8"" collet available (T-7508). </p><ul><li>Direct drive</li> <li>Rear Exhaust</li> <li>Full ball bearing construction</li> <li>Powerful.5HP motor</li></ul>"
