ID,ADDITIONAL_DESCRIPTION
1967714,"<p>10T Capacity Push-Pullers, 2 and 3-jaw pullers and specialty pullers in a lockable, rugged storage cabinet. 10 ton capacity Strong Box puller set –</p><p>Here’s a set of pullers that gives you almost unheard of versatility. This rugged, lockable metal storage cabinet contains pullers, attachments and extra puller jaws good for a variety of applications. Cabinet may be mounted on a wall, stand, or workbench.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>IPS10B</td></tr><tr><th>Description</th><td>Cabinet  (25 3/4"" x 29 ½"" x 10"") with tool board, adapter board, and tool set. </td></tr><tr><th>Weight  (lbs.)</th><td>98. 0</td></tr></tbody></table>"
1966390,"<p>Single-acting cylinders 3-way/2-position solenoid valve</p><p>Application: Single-acting cylinders. Actuation: solenoid operated, 115/230/24 volt, 50/60 Hz. Function: Advances cylinder piston when solenoid is de-energized, and pump is running. When solenoid is energized, oil is directed back through valve “return” port and cylinder piston returns. To place cylinder in “hold” position, pump must be stopped or its flow held at the valve “pressure” port with the solenoid de-energized. Note: Valve is equipped with a 9631 snubber valve in port “A. ” The line from the “return” port of the valve must be unrestricted  (100 psi back pressure maximum) back to the reservoir. important: a 9580 in-line check valve must be installed in the “pressure” port if the supply pump is not equipped with an outlet check valve. Note: Valves are shipped without control switch. Use Remote Hand Control  (No. 202777). caution: To prevent sudden, uncontrolled descent of a load as it is being lowered, use a Load Lowering Valve  (No. 9596) or Counter Balance Valve  (No. 9720) in conjunction with the directional valve used in your application.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>9559</td></tr><tr><th>Cylinder Application *</th><td>S. A. </td></tr><tr><th>Operation</th><td>solenoid</td></tr><tr><th>Valve Type</th><td>3-way, 2 Pos. </td></tr><tr><th>Volt</th><td>115</td></tr><tr><th>Advance / Return</th><td>No</td></tr><tr><th>Advance / Hold Return</th><td>Yes</td></tr><tr><th>posi-check Feature</th><td>No</td></tr><tr><th>posi-check Feature</th><td>9. 7</td></tr></tbody></table>"
1966389,"<p>Single-acting cylinders 3-way/2-position solenoid valve</p><p>Application: Single-acting cylinders. Actuation: solenoid operated, 115/230/24 volt, 50/60 Hz. Function: Advances cylinder piston when solenoid is de-energized, and pump is running. When solenoid is energized, oil is directed back through valve “return” port and cylinder piston returns. To place cylinder in “hold” position, pump must be stopped or its flow held at the valve “pressure” port with the solenoid de-energized. Note: Valve is equipped with a 9631 snubber valve in port “A. ” The line from the “return” port of the valve must be unrestricted  (100 psi back pressure maximum) back to the reservoir. important: a 9580 in-line check valve must be installed in the “pressure” port if the supply pump is not equipped with an outlet check valve. Note: Valves are shipped without control switch. Use Remote Hand Control  (No. 202777). caution: To prevent sudden, uncontrolled descent of a load as it is being lowered, use a Load Lowering Valve  (No. 9596) or Counter Balance Valve  (No. 9720) in conjunction with the directional valve used in your application.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>9556</td></tr><tr><th>Cylinder Application *</th><td>S. A. </td></tr><tr><th>Operation</th><td>solenoid</td></tr><tr><th>Valve Type</th><td>3-way, 2 Pos. </td></tr><tr><th>Volt</th><td>24</td></tr><tr><th>Advance / Return</th><td>No</td></tr><tr><th>Advance / Hold Return</th><td>Yes</td></tr><tr><th>posi-check Feature</th><td>No</td></tr><tr><th>posi-check Feature</th><td>9. 7</td></tr></tbody></table>"
1966383,"<p>Single-acting cylinders 3-way/2-position solenoid valve</p><p>Application: Single-acting cylinders. Actuation: solenoid operated, 115/230/24 volt, 50/60 Hz. Function: Advances cylinder piston when solenoid is de-energized, and pump is running. When solenoid is energized, oil is directed back through valve “return” port and cylinder piston returns. To place cylinder in “hold” position, pump must be stopped or its flow held at the valve “pressure” port with the solenoid de-energized. Note: Valve is equipped with a 9631 snubber valve in port “A. ” The line from the “return” port of the valve must be unrestricted  (100 psi back pressure maximum) back to the reservoir. important: a 9580 in-line check valve must be installed in the “pressure” port if the supply pump is not equipped with an outlet check valve. Note: Valves are shipped without control switch. Use Remote Hand Control  (No. 202777). caution: To prevent sudden, uncontrolled descent of a load as it is being lowered, use a Load Lowering Valve  (No. 9596) or Counter Balance Valve  (No. 9720) in conjunction with the directional valve used in your application.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>9526</td></tr><tr><th>Cylinder Application *</th><td>S. A. </td></tr><tr><th>Operation</th><td>solenoid</td></tr><tr><th>Valve Type</th><td>3-way, 2 Pos. </td></tr><tr><th>Volt</th><td>230</td></tr><tr><th>Advance / Return</th><td>No</td></tr><tr><th>Advance / Hold Return</th><td>Yes</td></tr><tr><th>posi-check Feature</th><td>No</td></tr><tr><th>posi-check Feature</th><td>9. 7</td></tr></tbody></table>"
1967519,"<p>Practical for pulling motor, generator, and magneto bearings. Also good for removing small-bore bushings, bearings and oil seeds.</p><p>Slide hammer puller set This very handy set is ideal for those close-quarter, inside pulling jobs. Very practical for pulling motor, generator, and magneto bearings. Also good for removing small-bore bushings, bearings, and oil seals.</p><p>Slide hammer puller set This useful set contains a reversible-jaw slide hammer puller with a 2. 5 lb. sliding hammer plus an assortment of special jaws  (3 of each size) and adapters. In this set, you get all the versatility you demand of a slide hammer puller.</p><p>Sliding hammers only -</p><p>Bearing cup remover The 7136 is perfect for pulling internal bearing cups, seals, bushings, etc. Jaw spread - 15/16"" to 3 1/4"", reach to 3 1/2"". Use with any slide hammer having 5/8""-18 thread  (Power Team 1155, 1156 or 927 Push-Puller).</p><p>Pilot bearing pullers These very versatile pullers are built especially for inside pulling jobs, and particularly for removing flywheel pilot bearings on machines and construction vehicles. Also very practical for pulling motor, generator and magneto bearings.</p><p>Special slide hammer puller Ideal for pulling jobs in very close quarters, as in removal of small-bore bushings, bearings, oil seals, etc. Internal pulling attachment has jaw spread of 1/2"" to 1 3/8"". Handle end has a 1/2""– 20 thread.</p><p>Basic slide hammer units Compatible with internal pulling attachment. Compatible with female-threaded adapters, and male-threaded adapters. 24"" in length, 5/8""–18 threaded end.</p><p>Reversible-jaw slide hammer pullers Ideal for pulling gears, bearings, outer races, grease retainers, oil seals, etc. Two or three jaws may be used and positioned for “inside” or “outside” pulling jobs. Both have 5/8""– 18 threaded end so attachments and adapters may be used.</p><p>Slide hammer pullers with cup pulling attachments These combine a basic slide hammer with No. 1152 internal pulling attachment for removing oil seals, outer races, and bearing cups from blind holes.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>1157</td></tr><tr><th>Description</th><td>Slide hammer puller consisting of 1156 slide hammer and 1152 internal pulling attachment. </td></tr><tr><th>Weight  (lbs.)</th><td>9. 7</td></tr></tbody></table>"
1966400,"<p>Single-acting cylinders.</p><p>Application – Single-acting cylinders. Actuation – solenoid operated, 115 volt, 50/60 Hz. Functions – Cylinder piston advances when solenoid is de-energized and pump is running. When solenoid is energized, oil is directed to reservoir, and piston returns. For “hold” position, pump is stopped with solenoid de-energized. Used on these pumps – PE17, PE21, PE30, PE46, PE55, PE84, PE90, PE120, PE200, PE400, PQ60 and PQ120 series. 10,000 PSI., 3/8"" ports, 5 GPM max flow rate. caution: To prevent sudden, uncontrolled descent of a load as it is being lowered, use a Load Lowering Valve  (No. 9596) or Counter Balance Valve  (No. 9720) in conjunction with the directional valve used in your application. important: Conversion kit 251528 must be used when mounting any of the valves on PA17 or PE17 pumps. important: When ordering any valve for a PE30 or PG30 series pump, ½” longer mounting screws are required. For valves 9569, 9570 and 9579, order four 10856 cap screws. For valves 9552, 9572 and 9592, order four 12001 cap screws.</p><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>9579</td></tr><tr><th>Cylinder Application *</th><td>S. A. </td></tr><tr><th>Operation</th><td>solenoid</td></tr><tr><th>Valve Type</th><td>3-way, 2 Pos. </td></tr><tr><th>Volt</th><td>115</td></tr><tr><th>Advance / Return</th><td>No</td></tr><tr><th>Advance / Hold Return</th><td>Yes</td></tr><tr><th>posi-check Feature</th><td>No</td></tr><tr><th>posi-check Feature</th><td>9. 6</td></tr></tbody></table>"
1966396,"<p>Single-acting cylinders.</p><p>Application – Single-acting cylinders. Actuation – solenoid operated, 115 volt, 50/60 Hz. Functions – Cylinder piston advances when solenoid is de-energized and pump is running. When solenoid is energized, oil is directed to reservoir, and piston returns. For “hold” position, pump is stopped with solenoid de-energized. Used on these pumps – PE17, PE21, PE30, PE46, PE55, PE84, PE90, PE120, PE200, PE400, PQ60 and PQ120 series. 10,000 PSI., 3/8"" ports, 5 GPM max flow rate. caution: To prevent sudden, uncontrolled descent of a load as it is being lowered, use a Load Lowering Valve  (No. 9596) or Counter Balance Valve  (No. 9720) in conjunction with the directional valve used in your application. important: Conversion kit 251528 must be used when mounting any of the valves on PA17 or PE17 pumps. important: When ordering any valve for a PE30 or PG30 series pump, ½” longer mounting screws are required. For valves 9569, 9570 and 9579, order four 10856 cap screws. For valves 9552, 9572 and 9592, order four 12001 cap screws.</p><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>9570</td></tr><tr><th>Cylinder Application *</th><td>S. A. </td></tr><tr><th>Operation</th><td>solenoid</td></tr><tr><th>Valve Type</th><td>3-way, 2 Pos. </td></tr><tr><th>Volt</th><td>230</td></tr><tr><th>Advance / Return</th><td>No</td></tr><tr><th>Advance / Hold Return</th><td>Yes</td></tr><tr><th>posi-check Feature</th><td>No</td></tr><tr><th>posi-check Feature</th><td>9. 6</td></tr></tbody></table>"
1965922,"<p>1 1/2""-9"": Recommended for the removal of bearings, bearing cups, bushings and oil seals. recommended for the removal of Bearings, Bearing cups, bushings and oil seals</p><ul><li>Handles internal pulling jobs, such as bearing/bearing cup removal, bushing removal, oil seals, etc. </li><li>Remove hard to get at parts easily and without damage</li><li>Use with corresponding Power Team Slide Hammer or Push-Puller. </li><li>Adjustable jaws fit various diameters. </li></ul>caution <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>24833</td></tr><tr><th>Application</th><td>Use with Nos. 1150, 1152, and 1153. Acts as a regular forcing screw when threaded directly into block of pulling attachment. </td></tr><tr><th>Weight  (lbs.)</th><td></td></tr></tbody></table>"
1966423,"<p>When multiple-cylinder installation is required.</p><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>9626</td></tr><tr><th>Description</th><td>Pump mounted manifold block - Converts pumps with pump mounted valves for use with remote mounted valves. This manifold block is sub plate mounted on the pump cover plate and provides 3/8"" NPTF pressure and return ports. Maximum recommended flow rate is 5 gpm. Note: If used on PE30 or PG30 series pump, 1/2"" longer mounting screws are required. Order four  (4) No. 11956 screws separately. </td></tr><tr><th>Weight  (lbs.)</th><td></td></tr></tbody></table>"
1967407,"<p>Enforcer 100: Hydraulic lift system for easy, precise position of 100 Ton puller. Enforcer 100 Series</p><li>Adjustable jaws mean they always pull on a flat surface. Retaining chain holds jaws in place during positioning. </li><li>Grip-O-Matic feature means jaws grip progressively tighter as more pulling force is applied. </li><li>100 ton hydraulic cylinder is single-acting, spring return type with a maximum working pressure of 10,000 psi. </li><li>Lifting bracket allows puller to be lifted if the work piece center is more than 36"" off the floor. </li><li>Adjusting screw allows operator to move vertical position of the puller. </li><li>Spring loaded feature means Enforcer 100 will align itself on uneven pulls. </li><li>Hydraulic pump is a 2-stage, high pressure unit controlled by remote hand switch with 25 foot cord. </li><li>Tow bar provides puller with plenty of mobility. </li><li>Pushing adapters have a diameter of 4 1/8"" and 2 1/2"". </li> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>PE552S*</td></tr><tr><th>Description</th><td>Pump only. 1 1/8 hp, 115 volt, 50/60Hz, single phase, draws 25 amps at full load. Also available in 220 volt, 50Hz</td></tr><tr><th>Weight  (lbs.)</th><td></td></tr></tbody></table>"
1980593,"<p>Provide an economical means of protecting a hydraulic circuit against over pressurization.</p><p>Application: Provide an economical means of protecting an hydraulic circuit against over pressurization.</p><p>Operation: These factory preset valves are designed for maximum flow rate of 5 gpm. Furnished with 1/8"" NPTF male port. All valves weigh 0. 2 lb. See chart in 'Specifications' for ordering information. Note: Care should be exercised to protect workers from hot, pressurized hydraulic oil. Install these valves only in an enclosed or shielded area.</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Order No. </th><th>Pressure Setting  (psi)</th><th>Weight  (lbs)</th><th></th><th>Order No. </th><th>Pressure Setting  (psi)</th><th>Weight  (lbs)</th></tr><tr><td>RV21278-48</td><td>4, 900 / 5, 300</td><td>0. 2</td><td>Preset — Non-Serviceable</td><td></td><td></td></tr></table>"
1966432,"<p>When multiple-cylinder installation is required.</p><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>9642 and 9644</td></tr><tr><th>Description</th><td>Manifold blocks with Need Valves - For independent multiple-cylinder operation, feature needle valves for precise manual control. Designed for remote-mounted applications. Can be used with all Power Team pumps. </td></tr><tr><th>Weight  (lbs.)</th><td></td></tr></tbody></table>"
1967633,"<p>Internal and external ring pliers horseshoe lock ring plier</p><table class=""description-table""><tr><th>For removing horseshoe lock rings used on hydraulic brakes, differentials, etc. Plier is 8"" long; max. spread</th><td>15/16""</td></tr></table><h5>retaining ring plier KITS</h5><ul><li>Choose from four sets; internal ring, external ring and convertible pliers for either internal or external rings. </li></ul>replace tips for 7300 and 7301 pliers<p>caution: Always wear safety goggles when using pliers.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>7313</td></tr><tr><th>Description</th><td>External snap ring plier easily removes snap rings used to retain bearings on shafts. Max. spread: 1 7/16""</td></tr><tr><th>Weight  (lbs)</th><td></td></tr></tbody></table>"
1967423,"<p>465 cu. in. min. Torque Wrench Pump. air hydraulic torque wrench pump</p><ul><li>Use where air is the preferred source of power</li><li>Powerful 3 hp motor starts under load</li><li>External adjustable pressure regulator</li><li>Retract side internal relief valve protects tool</li><li>Use for single or double-acting tools</li></ul>max flow 465 CU. IN. /MIN. 10,000 Psi caution: <h5>Specifications</h5><table class=""description-table""><tr><th>Order No. </th><th>Oil Delivery  (per min.)</th><th>Oil Reservoir  (gal.)</th><th>Usable Oil  (cu. in.)</th><th>Weight  (lbs.)</th></tr><tr><td>RWP55</td><td>465 in³ @ 100 psi 55 in³ @ 10,000 psi</td><td rowspan=""2"">2. 5</td><td rowspan=""2"">590</td><td rowspan=""2"">98. 0</td></tr></table>"
1966395,"<p>Single-acting cylinders.</p><p>Application – Single-acting cylinders. Actuation – solenoid operated, 115 volt, 50/60 Hz. Functions – Cylinder piston advances when solenoid is de-energized and pump is running. When solenoid is energized, oil is directed to reservoir, and piston returns. For “hold” position, pump is stopped with solenoid de-energized. Used on these pumps – PE17, PE21, PE30, PE46, PE55, PE84, PE90, PE120, PE200, PE400, PQ60 and PQ120 series. 10,000 PSI., 3/8"" ports, 5 GPM max flow rate. caution: To prevent sudden, uncontrolled descent of a load as it is being lowered, use a Load Lowering Valve  (No. 9596) or Counter Balance Valve  (No. 9720) in conjunction with the directional valve used in your application. important: Conversion kit 251528 must be used when mounting any of the valves on PA17 or PE17 pumps. important: When ordering any valve for a PE30 or PG30 series pump, ½” longer mounting screws are required. For valves 9569, 9570 and 9579, order four 10856 cap screws. For valves 9552, 9572 and 9592, order four 12001 cap screws.</p><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>9569</td></tr><tr><th>Cylinder Application *</th><td>S. A. </td></tr><tr><th>Operation</th><td>solenoid</td></tr><tr><th>Valve Type</th><td>3-way, 2 Pos. </td></tr><tr><th>Volt</th><td>24</td></tr><tr><th>Advance / Return</th><td>No</td></tr><tr><th>Advance / Hold Return</th><td>Yes</td></tr><tr><th>posi-check Feature</th><td>No</td></tr><tr><th>posi-check Feature</th><td>9. 6</td></tr></tbody></table>"
1967890,"<p>Double-Acting, Hydraulic-Return. High tonnage cylinders - rugged and reliable. high tonnage cylinders rugged and reliable</p><ul><li>Cylinders come standard with hardened caps. </li><li>Optional swivel caps to reduce the effects of off-center loading. </li><li>Cylinders may be “dead-ended” without damage. </li><li>Safety relief valve prevents over-pressurization of the retract circuit. </li><li>Each cylinder has two 9796 3⁄8"" NPTF female half couplers. </li></ul> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Order No. </th><td>RC9652D</td></tr><tr><th>In mm Cyl. Cap.  (tons)</th><td>965</td></tr><tr><th>Stroke  (in.)</th><td>2. 0</td></tr><tr><th>Oil Cap.  (cu. in.)</th><td>383. 2</td></tr><tr><th>Cyl. Effective Area  (cu. in.)</th><td>194. 8</td></tr><tr><th>Tons @ 10,000  (psi)</th><td>970</td></tr><tr><th>Weight  (lbs.)</th><td>957</td></tr></tbody></table>"
