ID,ADDITIONAL_DESCRIPTION
1626712,"<p>5"" flexible blade with desired flex point for applying and smoothing compound and taping joints. Black &amp; Silver joint knife with high carbon steel blade. Ideal flex point for spreading compound. Durable nylon handle. Full-tang blade. Guaranteed forever. </p>"
1651849,"<p>Premium quality Pro Stainless joint knife features 5"" flexible rust-resistant blade, double hollow-ground for the perfect flex-point plus durable Hammer Head end for setting nails and screws. Superior grip has overmold cushioning for prolonged taping jobs. Guaranteed forever. </p>"
1643356,"<p>Mix paint, adhesives, coatings, stains and wall texture in 1 or 5-gallon containers. High performance mixer for use with electric drill. Polypropylene impellers and plated steel drive shaft resist corrosion and clean up quickly. 17-1/2""x5/16"" hex shaft, 3-1/8"" impellers. </p>"
1633050,"<p>Use for painting, decorating, gardening and household cleaning. No messy clean-up. Large, one size fits all (left or right). 3 pairs per bag. </p>"
1626943,"<p>6"" flexible blade with desired flex point for applying and smoothing compound and taping joints. Black &amp; Silver joint knife with high carbon steel blade. Durable nylon handle with Hammer Head end for setting popped nails and screws as you work. Full-tang blade. Guaranteed forever. </p>"
1626931,"<p>6"" flexible blade with desired flex point for applying and smoothing compound and taping joints. Black &amp; Silver joint knife with high carbon steel blade. Ideal flex point for spreading putty or joint compound. Durable nylon handle. Full-tang blade. Guaranteed forever. </p>"
1651910,"<p>Premium quality Pro Stainless joint knife features 6"" flexible rust-resistant blade, double hollow-ground for the perfect flex-point plus durable Hammer Head end for setting nails and screws. Superior grip overmold cushioning for prolonged taping jobs. Guaranteed forever. </p>"
1646327,"<p>Economical joint knife with ergonomic handle shaped for comfort. 6"" flexible carbon steel blade hardened for durability. </p>"
1651935,"<p>6 tools in one. Includes: 2-1/2"" stiff stainless steel scraper blade. Putty remover. Spreader. Half round cut-out cleans paint rollers. Sharp point opens cracks for patching. Die cast metal Hammer Head end for setting drywall nails. Guaranteed forever. </p>"
1651936,"<p>Heavy duty multi-tool with 3"" stiff stainless steel scraper blade. Also includes: putty remover; spreader; half round cut-out cleans paint rollers; sharp point opens cracks for patching; die cast metal Hammer Head end sets drywall nails; nail puller; flat end opens paint can lids. Guaranteed forever. </p>"
1644818,"<p>Remove molding, open boxes, scrape paint and pull nails. Electrocoated high carbon steel has been hardened and tempered, with ground scraping ends and nail slot, 9-1/2"". </p>"
1628276,<p>5 tools in 1. Includes: 2 - 1/2'' high-carbon steel scraper blade. Putty remover. Spreader. Half round cut-out cleans paint rollers. Sharp point opens cracks for patching; fat end opens paint can lids. </p>
1644844,<p>Every painter appreciates quick easy cleanup. Regular cleaning with this patented tool also extends the life of brushes and rollers. Rust and chemical resistant. Guaranteed forever. US Patent #435154. </p>
