ID,ADDITIONAL_DESCRIPTION
2230629,"<ul><li>Aluminum construction</li> <li>Rated to 150 psi at ambient temperature of 70ºF</li> <li>3/4"" NPT inlet</li></ul> <p>Chicago ""Air King"" style coupler provides a quick and safe method to connect air hose to air tools. Claws insure positive connection. Safety clips (not included) provide added measure of safety. </p>"
2230630,"<ul><li>Aluminum construction</li> <li>Rated to 150 psi at ambient temperature of 70ºF</li> <li>3/4"" NPT inlet</li></ul> <p>Chicago ""Air King"" style swivel coupler provides a quick and safe method to connect air hose to air tools. Free-turning joint swivels 360º to prevent hose kinking. Claws insure positive connection. Safety clips (not included) provide added measure of safety. </p>"
2230492,"<ul><li>Aluminum Venturi nozzle</li> <li>Durable aluminum extension (also available in steel)</li> <li>Extension features 3/4"" threads</li> <li>Meets OSHA standards</li></ul> <p>Aluminum extension with pre-attached Venturi nozzle. Threads with 75LJ handle. </p>"
2230493,"<ul><li>Aluminum Venturi nozzle</li> <li>Durable aluminum extension (also available in steel)</li> <li>Extension features 3/4"" threads</li> <li>Meets OSHA standards</li></ul> <p>Aluminum extension with pre-attached Venturi nozzle. Threads with 75LJ handle. </p>"
2230494,"<ul><li>Aluminum Venturi nozzle</li> <li>Durable aluminum extension (also available in steel)</li> <li>Extension features 3/4"" threads</li> <li>Meets OSHA standards</li></ul> <p>Aluminum extension with pre-attached Venturi nozzle. Threads with 75LJ handle. </p>"
2230495,"<ul><li>Aluminum Venturi nozzle</li> <li>Durable aluminum extension (also available in steel)</li> <li>Extension features 3/4"" threads</li> <li>Meets OSHA standards</li></ul> <p>Aluminum extension with pre-attached Venturi nozzle. Threads with 75LJ handle. </p>"
2230496,"<ul><li>Aluminum Venturi nozzle</li> <li>Durable aluminum extension (also available in steel)</li> <li>Extension features 3/4"" threads</li> <li>Meets OSHA standards</li></ul> <p>Aluminum extension with pre-attached Venturi nozzle. Threads with 75LJ handle. </p>"
2230497,"<ul><li>Aluminum Venturi nozzle</li> <li>Durable aluminum extension (also available in steel)</li> <li>Extension features 3/4"" threads</li> <li>Meets OSHA standards</li></ul> <p>Aluminum extension with pre-attached Venturi nozzle. Threads with 75LJ handle. </p>"
2230498,"<ul><li>Aluminum Venturi nozzle</li> <li>Durable aluminum extension (also available in steel)</li> <li>Extension features 3/4"" threads</li> <li>Meets OSHA standards</li></ul> <p>Aluminum extension with pre-attached Venturi nozzle. Threads with 75LJ handle. </p>"
2230491,"<ul><li>Aluminum Venturi nozzle</li> <li>Durable aluminum extension (also available in steel)</li> <li>Extension features 3/4"" threads</li> <li>Meets OSHA standards</li></ul> <p>Aluminum extension with pre-attached Venturi nozzle. Threads with 75LJ handle. </p> "
2230446,<ul><li>US Industrial Interchange type</li> <li>Zinc plated steel construction</li> <li>Work Range: 40° - 250° F</li></ul><p>US Industrial Interchange type High Flow Series couplers are engineered to allow twice the flow of comparable sized standard couplers. Pair with High Flow Series connectors. Recommended for all Guardair safety air guns. </p> 
2230447,<ul><li>US Industrial Interchange type</li> <li>Zinc plated steel construction</li> <li>Work Range: 40° - 250° F</li></ul><p>US Industrial Interchange type High Flow Series couplers are engineered to allow twice the flow of comparable sized standard couplers. Pair with High Flow Series connectors. Recommended for all Guardair safety air guns. </p> 
2230448,<ul><li>US Industrial Interchange type</li> <li>Zinc plated steel construction</li> <li>Work Range: 40° - 250° F</li></ul><p>US Industrial Interchange type High Flow Series couplers are engineered to allow twice the flow of comparable sized standard couplers. Pair with High Flow Series connectors. Recommended for all Guardair safety air guns. </p> 
2230452,<ul><li>US Industrial Interchange type</li> <li>Zinc plated steel construction</li> <li>Work Range: 40° - 250° F</li></ul><p>US Industrial Interchange type High Flow Series couplers are engineered to allow twice the flow of comparable sized standard couplers. Pair with High Flow Series connectors. Recommended for all Guardair safety air guns. </p> 
2230453,<ul><li>US Industrial Interchange type</li> <li>Zinc plated steel construction</li> <li>Work Range: 40° - 250° F</li></ul><p>US Industrial Interchange type High Flow Series couplers are engineered to allow twice the flow of comparable sized standard couplers. Pair with High Flow Series connectors. Recommended for all Guardair safety air guns. </p> 
2230608,"<p>Kit Includes</p> <ul><li>2 Springs, 1 Stem</li> <li>1 Body Cap, 1 Poppet Skirt</li> <li>1 O-Ring, 1 Washer, 1 Poppet Seal</li> <li>1 Packing Nut, 1 Packing Top</li></ul> <p>10 piece valve repair kit comes complete with all the parts required to rebuild and repair Force 5, Inforcer, and HydroForce guns. </p>"
2230308,"<p>Kit Includes</p> <ul><li>LZR600 Palm Switch Safety Air Gun</li> <li>Brass venturi nozzle</li> <li>Brass booster nozzle</li> <li>Rubber tip nozzle</li> <li>3"" venturi extension</li> <li>6"" venturi extension</li> <li>1/4"" NPT Industrial Interchange connector</li></ul> <p>Featuring a revolutionary, contoured grip paired with a unique comfort trigger, the patented LZR600 is the ultimate palm switch style safety air gun. Designed to maximize operator comfort and reduce hand fatigue. Integrated hanging hook for intuitive storage and retrieval. Powerful, accurate. Perfect for DIY, automotive, and industrial cleaning applications. </p> "
2230312,"<p>Kit Includes</p> <ul><li>LZR650 Pistol Grip Safety Air Gun</li> <li>Brass venturi nozzle</li> <li>Brass booster nozzle</li> <li>Rubber tip nozzle</li> <li>3"" venturi extension</li> <li>6"" venturi extension</li> <li>1/4"" NPT Industrial Interchange connector</li></ul> <p>With a unique, ergonomic, pistol-grip design, the LZR650 provides hours of fatigue-free operation. Integrated hanging eyelet for easy storage and retrieval. Powerful, accurate. Perfect for DIY, automotive, and industrial cleaning applications. </p> "
2230610,"<p>Kit Includes</p> <ul><li>Shuttle valve</li> <li>Shuttle valve spring</li> <li>O-ring</li> <li>Insertion tool</li> <li>Lubricant and applicator</li></ul> <p>Replace the HydroForce shuttle valve with this 6 piece, easy to use maintenance kit. </p>"
2230416,"<ul><li>1500 Gun Vac with all metal construction</li> <li>Contoured comfort grip</li> <li>Convenient hanging eyelet</li> <li>High filtration collection bag with zipper</li> <li>5 piece plastic accessory kit included</li> <li>1/4"" FNPT bottom and rear inlets</li></ul> <p>Place twice the power of a standard shop vacuum in the palm of your hand. Powered by standard shop compressed air, the lightweight 1500 Gun Vac has no electric motors to burn out. Easy to empty, high filtration collection bag attaches to rear of vacuum via hose cuff. Tapered vacuum inlet accepts all standard 1-1/4"" vac accessories (5 included). Unit hangs on a hook, ready for use at anytime. </p> "
2230648,"<ul><li>18"" pigtail on tool end</li> <li>4"" pigtail on supply end</li> <li>Pre installed brass swivel fittings NPT</li></ul> <p>Finest polyurethane air hose available on the market. Super flexible, 100% kink proof, with low tension retractability. Withstands tough industrial environments while maintaining resiliency. Soft polyurethane will not scratch or mar work surfaces. </p> "
2230649,"<ul><li>18"" pigtail on tool end</li> <li>4"" pigtail on supply end</li> <li>Pre installed brass swivel fittings NPT</li></ul> <p>Finest polyurethane air hose available on the market. Super flexible, 100% kink proof, with low tension retractability. Withstands tough industrial environments while maintaining resiliency. Soft polyurethane will not scratch or mar work surfaces. </p> "
