ID,ADDITIONAL_DESCRIPTION
2263769,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263827,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263856,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263772,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263830,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263859,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263775,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263832,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263862,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263778,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263865,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263758,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263816,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263845,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263757,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263815,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263844,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263748,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263806,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263835,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
2263751,"<ul><li>Motors comply with CENELEC/EURONORM Standards EN60079 Certified by BASEEFA / ATEX </li><li>Zone 1, Groups IIA &amp; IIB </li><li>Totally Enclosed Fan Cooled Enclosure </li><li>All motors suitable for T4 application </li><li> Cast Iron Construction </li><li>Class F insulation </li><li>Service Factor 1.0 50Hz </li><li> C &amp; D Flanges available </li><li>F2 to F1 convertible up to 180 frame. 200 and above are F0, F2, F1 convertible </li><li>Warranty: 2 years </li></ul>"
