ID,ADDITIONAL_DESCRIPTION
34275,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34274,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34273,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34272,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34271,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34270,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34269,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34268,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34267,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34311,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34310,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34309,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34308,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34307,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34306,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34305,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34304,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34303,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34302,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34301,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34300,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34299,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
34298,"<ul><li> Speeds: Up to 5000 rpm in standard form; Up to 30000 rpm in balanced form. </li><li>Peak Torque: 266 (30)</li><li>Standard Bores: 1/8"" -3/4"" (3 to 26)</li><li>Temperature: -40° to +290°F,(-40° to +140°C)&nbsp;</li><li>Connection: Clamp,or Set Screw</li></ul>"
